matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attOboxOwnGoal,attObxdLeft,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard
284004,1,2009-08-15 17:30:00,11,Everton,Home,129.0,13.0,1.0,2.0,1.0,2.0,,158.0,3.0,,9.0,16.0,24.0,30.0,285.0,,2.0,20.0,16.0,15.0,4.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,10.0,8.0,,,61.0,4.0,2.0,7.0,,4.0,5.0,6.0,,17.0,1.0,55.0,52.0,4.0,15.0,11.0,,,95.0,12.0,13.0,1.0,,,,1.0,,,,,,,6.0,,1.0,,23.0,,26.0,25.0,4.0,9.0,93.0,45.0,9.0,,2.0,3.0,5.0,,4.0,,51.0,44.0,27.0,,,,,174.0,159.0,1.0,20.0,25.0,45.7,,,0.0,2.0,1.0,,,,,4.0,,3.0,80.0,,5.0,145.0,32.0,30.0,8.0,4.0,17.0,13.0,,149.0,16.0,270.0,2.0,,35.0,25.0,68.0,6.0,398.0,1.0,0.0,11.0,19.0,4.0,22.0,0.0,653.0,,5.0,4.0,16.0,0.0
284019,2,2010-03-24 19:45:00,11,Everton,Away,104.0,7.0,,2.0,2.0,2.0,,142.0,3.0,,5.0,7.0,19.0,25.0,244.0,,,17.0,11.0,18.0,6.0,,,,,,,1.0,,,,,,,,,,,3.0,9.0,8.0,,,44.0,4.0,4.0,10.0,1.0,4.0,5.0,4.0,,14.0,,47.0,56.0,4.0,20.0,9.0,,,74.0,13.0,11.0,,,,,1.0,2.0,,2.0,2.0,,,13.0,,,2.0,20.0,,15.0,15.0,1.0,6.0,90.0,38.0,7.0,2.0,3.0,5.0,3.0,,7.0,,44.0,40.0,18.0,,,,,160.0,131.0,1.0,19.0,14.0,40.1,,1.0,0.0,2.0,2.0,,,2.0,,3.0,,2.0,72.0,,8.0,123.0,15.0,49.0,6.0,2.0,12.0,10.0,,118.0,9.0,223.0,,,35.0,22.0,54.0,1.0,334.0,,0.0,10.0,21.0,1.0,21.0,2.0,578.0,,5.0,4.0,17.0,0.0
284022,3,2009-08-23 15:00:00,11,Everton,Away,123.0,15.0,2.0,8.0,6.0,7.0,,202.0,5.0,1.0,2.0,4.0,21.0,32.0,317.0,,3.0,35.0,13.0,7.0,14.0,1.0,2.0,1.0,,1.0,,3.0,,,1.0,16.0,,1.0,,,,,1.0,10.0,2.0,9.0,14.0,45.0,3.0,13.0,6.0,,7.0,14.0,9.0,,13.0,1.0,50.0,47.0,3.0,20.0,6.0,1.0,,91.0,14.0,13.0,,,4.0,1.0,3.0,,,,,,,7.0,,3.0,1.0,12.0,,13.0,13.0,1.0,2.0,100.0,53.0,3.0,,5.0,10.0,1.0,396.0,1.0,,69.0,42.0,42.0,,,,1.0,159.0,148.0,2.0,14.0,21.0,59.4,,,0.0,2.0,,2.0,,1.0,1.0,9.0,,1.0,100.0,304.0,15.0,140.0,38.0,31.0,14.0,6.0,30.0,24.0,1.0,154.0,12.0,303.0,3.0,1.0,25.0,24.0,69.0,1.0,413.0,,0.0,23.0,18.0,3.0,46.0,0.0,650.0,17.0,9.0,7.0,12.0,0.0
284034,4,2009-08-30 15:00:00,11,Everton,Home,89.0,17.0,6.0,11.0,5.0,7.0,,202.0,6.0,1.0,4.0,4.0,23.0,26.0,280.0,1.0,1.0,24.0,9.0,15.0,17.0,6.0,,3.0,,,1.0,1.0,,,1.0,,1.0,,,,1.0,,3.0,5.0,9.0,,,42.0,2.0,14.0,,,12.0,7.0,8.0,1.0,25.0,1.0,46.0,65.0,2.0,19.0,8.0,,,94.0,11.0,23.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,7.0,,,1.0,22.0,1.0,16.0,16.0,,4.0,82.0,43.0,5.0,,9.0,15.0,8.0,,5.0,,56.0,38.0,42.0,,,,1.0,157.0,137.0,2.0,9.0,25.0,56.1,1.0,,0.0,1.0,1.0,,,,3.0,11.0,1.0,3.0,109.0,,24.0,97.0,32.0,39.0,6.0,11.0,32.0,21.0,,162.0,15.0,298.0,,1.0,22.0,25.0,57.0,3.0,363.0,2.0,0.0,33.0,22.0,4.0,26.0,1.0,638.0,,4.0,12.0,17.0,0.0
284042,5,2009-09-13 16:15:00,11,Everton,Away,107.0,9.0,2.0,5.0,3.0,6.0,,145.0,9.0,1.0,4.0,11.0,18.0,39.0,247.0,1.0,1.0,25.0,10.0,14.0,7.0,,,,,,,1.0,,,,,,,,,,,1.0,8.0,11.0,,,48.0,3.0,8.0,3.0,1.0,4.0,8.0,6.0,,13.0,1.0,41.0,50.0,3.0,25.0,12.0,,,104.0,14.0,7.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,15.0,,2.0,1.0,24.0,,31.0,31.0,2.0,4.0,90.0,40.0,6.0,1.0,,8.0,4.0,,5.0,,66.0,34.0,24.0,,,,,181.0,156.0,4.0,18.0,12.0,48.1,,,0.0,1.0,5.0,,,3.0,,1.0,,3.0,73.0,,8.0,121.0,23.0,50.0,6.0,4.0,19.0,15.0,,142.0,20.0,246.0,2.0,1.0,36.0,20.0,77.0,8.0,348.0,1.0,0.0,13.0,25.0,3.0,36.0,1.0,648.0,,4.0,4.0,14.0,0.0
284055,6,2009-09-20 15:00:00,11,Everton,Home,110.0,10.0,1.0,8.0,7.0,1.0,,223.0,1.0,,7.0,2.0,27.0,21.0,325.0,,,13.0,19.0,17.0,13.0,2.0,,,,,,,,,,,,,,,,,1.0,7.0,1.0,,,53.0,7.0,5.0,7.0,,6.0,9.0,8.0,1.0,11.0,1.0,55.0,59.0,7.0,31.0,19.0,,,95.0,15.0,18.0,2.0,,,,,2.0,1.0,2.0,1.0,1.0,,6.0,,2.0,,30.0,,18.0,18.0,1.0,7.0,95.0,43.0,2.0,,6.0,11.0,9.0,,1.0,,65.0,59.0,27.0,,,,,164.0,134.0,5.0,12.0,28.0,57.0,,,0.0,4.0,,,,4.0,,7.0,1.0,3.0,108.0,,17.0,121.0,19.0,61.0,9.0,6.0,26.0,20.0,,157.0,6.0,313.0,2.0,,28.0,31.0,55.0,3.0,408.0,,0.0,21.0,18.0,1.0,24.0,1.0,689.0,,6.0,6.0,14.0,0.0
284065,7,2009-09-26 12:45:00,11,Everton,Away,93.0,9.0,2.0,7.0,5.0,4.0,,142.0,6.0,,5.0,6.0,14.0,30.0,228.0,,1.0,20.0,11.0,16.0,7.0,4.0,,,,,,2.0,,,,,,,,,,,1.0,10.0,9.0,,,51.0,2.0,3.0,7.0,1.0,6.0,12.0,6.0,,20.0,3.0,60.0,58.0,2.0,28.0,15.0,,,75.0,17.0,15.0,1.0,,,,2.0,1.0,,1.0,1.0,,,11.0,,2.0,1.0,28.0,,23.0,23.0,5.0,5.0,78.0,38.0,5.0,,4.0,8.0,6.0,,11.0,,70.0,35.0,14.0,,,,,172.0,146.0,3.0,20.0,16.0,48.6,,1.0,0.0,2.0,1.0,,,3.0,,4.0,1.0,3.0,69.0,,12.0,108.0,19.0,54.0,11.0,6.0,27.0,21.0,,112.0,15.0,232.0,3.0,,20.0,20.0,53.0,3.0,313.0,,0.0,13.0,22.0,2.0,27.0,3.0,612.0,,5.0,6.0,14.0,0.0
284075,8,2009-10-04 15:00:00,11,Everton,Home,117.0,11.0,3.0,11.0,8.0,3.0,,215.0,3.0,,10.0,3.0,24.0,37.0,321.0,,,21.0,21.0,22.0,16.0,3.0,,,,1.0,,1.0,,,,,,,,,,,,3.0,5.0,,,45.0,3.0,7.0,1.0,,11.0,12.0,11.0,,12.0,,45.0,57.0,3.0,18.0,13.0,,,97.0,8.0,15.0,,,,,1.0,1.0,,,1.0,,,3.0,,2.0,1.0,37.0,,20.0,20.0,4.0,10.0,78.0,39.0,4.0,1.0,5.0,15.0,11.0,,,,78.0,32.0,38.0,,,,,168.0,136.0,3.0,16.0,14.0,60.7,,1.0,0.0,2.0,2.0,,,1.0,,7.0,,2.0,106.0,,20.0,129.0,26.0,50.0,7.0,10.0,35.0,25.0,,169.0,9.0,319.0,2.0,,32.0,24.0,75.0,,413.0,,0.0,25.0,17.0,2.0,25.0,1.0,682.0,,3.0,11.0,14.0,0.0
284083,9,2009-10-17 15:00:00,11,Everton,Home,136.0,16.0,1.0,3.0,2.0,12.0,,171.0,6.0,,8.0,8.0,20.0,34.0,304.0,1.0,4.0,32.0,27.0,24.0,7.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,7.0,5.0,,,36.0,1.0,2.0,2.0,,6.0,12.0,8.0,,14.0,2.0,53.0,67.0,1.0,33.0,20.0,,,109.0,8.0,16.0,,,,,1.0,1.0,,1.0,1.0,,,6.0,,1.0,,43.0,,20.0,20.0,1.0,8.0,112.0,57.0,5.0,1.0,5.0,5.0,4.0,,5.0,,66.0,41.0,27.0,,,,,203.0,166.0,1.0,13.0,10.0,55.4,,,0.0,1.0,2.0,,,3.0,1.0,8.0,,3.0,94.0,,10.0,159.0,31.0,70.0,7.0,6.0,29.0,23.0,,164.0,24.0,289.0,1.0,,45.0,23.0,78.0,2.0,419.0,2.0,0.0,14.0,22.0,5.0,39.0,1.0,717.0,,5.0,6.0,15.0,0.0
284091,10,2009-10-25 13:30:00,11,Everton,Away,131.0,11.0,3.0,3.0,,7.0,,142.0,3.0,,5.0,10.0,20.0,26.0,270.0,,1.0,18.0,22.0,23.0,10.0,2.0,,,,1.0,,2.0,,,,,,,,,,,,7.0,6.0,,,44.0,3.0,6.0,6.0,,4.0,10.0,5.0,,16.0,1.0,62.0,57.0,3.0,36.0,26.0,,,89.0,16.0,15.0,1.0,,,,2.0,2.0,,,2.0,,,9.0,,2.0,,46.0,1.0,25.0,25.0,2.0,5.0,105.0,49.0,4.0,1.0,5.0,9.0,5.0,,2.0,,43.0,33.0,28.0,,,,,164.0,134.0,1.0,17.0,15.0,56.5,,1.0,0.0,,2.0,,,,,7.0,1.0,1.0,64.0,,14.0,144.0,27.0,66.0,8.0,4.0,20.0,16.0,,119.0,15.0,233.0,2.0,,45.0,24.0,72.0,2.0,357.0,,0.0,18.0,13.0,2.0,22.0,1.0,626.0,,6.0,4.0,10.0,0.0
