matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755305,1.0,2014-08-16 15:00:00,11,Everton,Away,253.0,20.0,,3.0,3.0,1.0,,259.0,4.0,2.0,9.0,6.0,26.0,35.0,509.0,,,11.0,27.0,14.0,5.0,,,,,,,,,,10.0,,,,,,,,8.0,7.0,4.0,,94.0,53.0,,,,2.0,24.0,5.0,6.0,,1.0,6.0,9.0,2.0,,6.0,,55.0,54.0,2.0,28.0,15.0,1.0,1.0,74.0,10.0,13.0,,,1.0,,,187.0,1.0,,,1.0,,,6.0,,,1.0,3.0,,,,,15.0,,5.0,5.0,,9.0,167.0,77.0,46.0,3.0,2.0,4.0,2.0,3.0,580.0,,,3.0,2.0,,88.0,39.0,33.0,,,,,142.0,142.0,2.0,24.0,17.0,63.5,,1.0,24.0,0.0,,,,157.0,1.0,,1.0,,,,5.0,,2.0,128.0,488.0,6.0,6.0,277.0,31.0,28.0,16.0,6.0,17.0,11.0,1.0,177.0,5.0,345.0,3.0,3.0,25.0,28.0,65.0,,605.0,4.0,0.0,13.0,19.0,2.0,17.0,1.0,784.0,11.0,9.0,6.0,15.0,0.0
755316,2.0,2014-08-23 17:30:00,11,Everton,Home,206.0,9.0,,2.0,2.0,1.0,,152.0,10.0,1.0,4.0,5.0,20.0,31.0,356.0,,1.0,17.0,10.0,10.0,4.0,,1.0,,1.0,,1.0,,1.0,1.0,6.0,,,,,,,1.0,8.0,6.0,7.0,,85.0,49.0,3.0,1.0,2.0,3.0,19.0,2.0,7.0,,,3.0,6.0,1.0,1.0,6.0,,42.0,52.0,3.0,33.0,10.0,,1.0,62.0,10.0,17.0,1.0,,4.0,,1.0,166.0,2.0,,2.0,1.0,1.0,1.0,17.0,,,1.0,1.0,,,,,10.0,,13.0,13.0,4.0,4.0,101.0,86.0,40.0,3.0,,2.0,4.0,2.0,406.0,,,1.0,,,74.0,45.0,11.0,,,,,126.0,126.0,1.0,27.0,16.0,45.8,,,19.0,0.0,,,,93.0,1.0,,1.0,,1.0,1.0,4.0,,3.0,76.0,330.0,9.0,6.0,224.0,22.0,33.0,16.0,2.0,9.0,7.0,3.0,121.0,6.0,230.0,1.0,1.0,28.0,21.0,78.0,2.0,445.0,2.0,0.0,8.0,19.0,1.0,24.0,1.0,627.0,6.0,7.0,3.0,15.0,0.0
755325,3.0,2014-08-30 17:30:00,11,Everton,Home,201.0,9.0,2.0,5.0,3.0,3.0,1.0,278.0,2.0,1.0,6.0,3.0,25.0,26.0,474.0,1.0,,29.0,10.0,15.0,10.0,1.0,,,,,1.0,1.0,,,13.0,,,,1.0,,,1.0,4.0,10.0,3.0,,90.0,54.0,3.0,2.0,1.0,1.0,15.0,6.0,9.0,,1.0,8.0,13.0,8.0,,17.0,1.0,56.0,60.0,1.0,22.0,17.0,2.0,1.0,75.0,7.0,16.0,,,6.0,4.0,1.0,183.0,3.0,1.0,3.0,2.0,1.0,,3.0,,,2.0,1.0,,,,,17.0,2.0,10.0,10.0,1.0,6.0,135.0,76.0,50.0,2.0,2.0,4.0,10.0,6.0,530.0,,,3.0,1.0,1.0,94.0,57.0,40.0,,,,,158.0,158.0,9.0,21.0,18.0,61.5,1.0,,15.0,0.0,,,,143.0,3.0,,3.0,,,,4.0,1.0,2.0,148.0,455.0,7.0,14.0,209.0,22.0,22.0,26.0,7.0,32.0,25.0,,199.0,4.0,374.0,1.0,1.0,17.0,27.0,51.0,8.0,551.0,2.0,0.0,16.0,16.0,1.0,31.0,1.0,793.0,13.0,13.0,8.0,15.0,0.0
755342,4.0,2014-09-13 15:00:00,11,Everton,Away,226.0,19.0,,,,5.0,,233.0,2.0,2.0,9.0,7.0,14.0,39.0,459.0,,,18.0,20.0,16.0,9.0,,,,,,,,,,12.0,,,,,,,,8.0,7.0,6.0,,87.0,57.0,,1.0,,2.0,15.0,1.0,4.0,,,1.0,3.0,1.0,,14.0,2.0,54.0,50.0,2.0,43.0,28.0,,,57.0,10.0,12.0,1.0,,1.0,,,168.0,1.0,,,1.0,,,6.0,,,2.0,5.0,,,,,28.0,,9.0,9.0,3.0,9.0,147.0,83.0,45.0,9.0,1.0,5.0,5.0,5.0,530.0,,,7.0,1.0,,89.0,57.0,8.0,,,,,136.0,136.0,2.0,21.0,20.0,54.5,,,15.0,0.0,,,,148.0,3.0,,3.0,,2.0,,6.0,,2.0,105.0,444.0,6.0,10.0,247.0,31.0,43.0,17.0,1.0,5.0,4.0,1.0,144.0,9.0,308.0,6.0,2.0,28.0,16.0,73.0,3.0,550.0,1.0,0.0,12.0,14.0,,25.0,3.0,757.0,9.0,11.0,1.0,11.0,0.0
755345,5.0,2014-09-21 16:00:00,11,Everton,Home,305.0,20.0,2.0,5.0,3.0,2.0,,373.0,3.0,1.0,6.0,2.0,34.0,34.0,673.0,1.0,4.0,24.0,9.0,11.0,10.0,,1.0,,,,1.0,,,,12.0,1.0,,,,,,,5.0,6.0,4.0,,97.0,49.0,2.0,1.0,2.0,1.0,10.0,5.0,9.0,,,7.0,5.0,6.0,1.0,12.0,,45.0,52.0,1.0,35.0,20.0,2.0,1.0,101.0,8.0,13.0,1.0,,5.0,1.0,1.0,228.0,1.0,,1.0,1.0,,,3.0,,,1.0,2.0,,,,,20.0,,5.0,5.0,,6.0,215.0,90.0,73.0,1.0,,4.0,7.0,6.0,738.0,,,5.0,2.0,,95.0,90.0,27.0,1.0,1.0,1.0,1.0,133.0,133.0,1.0,27.0,15.0,75.4,,,10.0,0.0,,,,220.0,,,,,,1.0,6.0,1.0,3.0,173.0,651.0,3.0,11.0,311.0,38.0,35.0,17.0,3.0,15.0,12.0,2.0,234.0,5.0,464.0,2.0,2.0,6.0,36.0,47.0,2.0,760.0,3.0,0.0,17.0,18.0,7.0,25.0,2.0,959.0,12.0,10.0,8.0,15.0,0.0
755357,6.0,2014-09-27 12:45:00,11,Everton,Away,209.0,19.0,,,,,,223.0,8.0,,9.0,4.0,25.0,44.0,432.0,,2.0,19.0,7.0,7.0,8.0,1.0,,,,,,,,,10.0,,,,,,,1.0,7.0,11.0,13.0,,82.0,60.0,1.0,1.0,,3.0,17.0,1.0,11.0,,1.0,2.0,9.0,1.0,1.0,19.0,4.0,54.0,44.0,3.0,22.0,12.0,,1.0,79.0,9.0,7.0,,1.0,1.0,,,160.0,,,,,,,9.0,,,1.0,3.0,,,,,12.0,,18.0,18.0,5.0,10.0,137.0,70.0,49.0,8.0,,4.0,5.0,5.0,475.0,,,8.0,3.0,,64.0,82.0,13.0,,,,,122.0,122.0,4.0,24.0,19.0,53.6,,,17.0,0.0,,,,120.0,4.0,3.0,7.0,,,,5.0,,3.0,106.0,409.0,7.0,9.0,218.0,33.0,22.0,18.0,2.0,12.0,10.0,,154.0,4.0,293.0,3.0,,13.0,26.0,71.0,2.0,499.0,,0.0,11.0,20.0,3.0,22.0,1.0,703.0,6.0,10.0,2.0,17.0,0.0
755368,7.0,2014-10-05 12:00:00,11,Everton,Away,199.0,28.0,3.0,6.0,3.0,1.0,,209.0,9.0,,2.0,3.0,21.0,41.0,402.0,,,15.0,8.0,12.0,4.0,2.0,,,,,,,,,3.0,,,1.0,,,,3.0,7.0,7.0,8.0,,67.0,44.0,3.0,3.0,1.0,2.0,18.0,2.0,12.0,,,6.0,9.0,5.0,,7.0,2.0,44.0,47.0,2.0,32.0,15.0,,,66.0,11.0,17.0,,,4.0,2.0,,161.0,1.0,,1.0,,1.0,,9.0,,,,1.0,,,,2.0,15.0,,11.0,11.0,3.0,3.0,130.0,61.0,45.0,11.0,1.0,2.0,5.0,6.0,447.0,,,3.0,,,76.0,47.0,19.0,,,,1.0,123.0,123.0,2.0,23.0,15.0,51.3,,1.0,18.0,0.0,,,,117.0,1.0,1.0,2.0,,,,2.0,1.0,3.0,105.0,375.0,9.0,7.0,212.0,45.0,32.0,14.0,6.0,22.0,16.0,,147.0,5.0,285.0,1.0,,8.0,22.0,58.0,3.0,475.0,,0.0,10.0,13.0,,17.0,3.0,664.0,13.0,6.0,6.0,10.0,0.0
755376,8.0,2014-10-18 15:00:00,11,Everton,Home,319.0,19.0,,3.0,3.0,2.0,,254.0,4.0,,5.0,7.0,31.0,38.0,570.0,1.0,1.0,21.0,16.0,15.0,9.0,,,,,,2.0,,,,10.0,,,,,,,1.0,6.0,5.0,5.0,,112.0,43.0,2.0,,2.0,6.0,13.0,7.0,4.0,,,3.0,5.0,2.0,2.0,10.0,1.0,42.0,47.0,6.0,33.0,17.0,,,78.0,11.0,16.0,1.0,,2.0,,2.0,198.0,3.0,,2.0,1.0,2.0,,6.0,,,1.0,,,,,1.0,17.0,,10.0,10.0,1.0,7.0,173.0,92.0,62.0,4.0,,1.0,11.0,6.0,623.0,,,4.0,,,87.0,74.0,12.0,,,,,120.0,120.0,3.0,17.0,15.0,60.7,,3.0,13.0,0.0,,,,164.0,1.0,1.0,2.0,,,,2.0,,3.0,110.0,550.0,5.0,12.0,335.0,33.0,33.0,7.0,1.0,8.0,7.0,,151.0,8.0,320.0,,,20.0,32.0,66.0,2.0,647.0,1.0,0.0,15.0,13.0,2.0,28.0,2.0,835.0,14.0,4.0,4.0,12.0,0.0
755383,9.0,2014-10-26 13:30:00,11,Everton,Away,310.0,17.0,1.0,3.0,2.0,3.0,,212.0,3.0,,9.0,7.0,33.0,31.0,519.0,1.0,,15.0,14.0,16.0,9.0,,,,,,,,,1.0,14.0,,,,1.0,,1.0,,4.0,8.0,6.0,,98.0,70.0,1.0,1.0,1.0,6.0,15.0,5.0,9.0,,,4.0,5.0,,,12.0,,47.0,60.0,6.0,43.0,26.0,1.0,1.0,71.0,7.0,12.0,1.0,,1.0,1.0,,209.0,2.0,,1.0,2.0,,,12.0,,,3.0,,,,,,26.0,2.0,13.0,13.0,3.0,9.0,166.0,99.0,47.0,5.0,2.0,2.0,9.0,6.0,597.0,,,5.0,3.0,,80.0,49.0,10.0,,,,,151.0,151.0,2.0,37.0,19.0,61.9,2.0,2.0,15.0,0.0,,,,154.0,2.0,,2.0,,1.0,,4.0,,2.0,77.0,501.0,7.0,11.0,338.0,28.0,43.0,21.0,3.0,9.0,6.0,,125.0,10.0,298.0,,1.0,41.0,38.0,83.0,3.0,627.0,2.0,0.0,15.0,18.0,1.0,17.0,2.0,841.0,11.0,15.0,4.0,13.0,0.0
755397,10.0,2014-11-01 15:00:00,11,Everton,Home,188.0,13.0,1.0,2.0,1.0,1.0,1.0,343.0,7.0,,3.0,6.0,28.0,37.0,529.0,2.0,1.0,14.0,6.0,11.0,10.0,1.0,,,2.0,,3.0,,,,11.0,,,,,,,2.0,6.0,4.0,4.0,,102.0,58.0,,1.0,,2.0,7.0,6.0,12.0,,1.0,11.0,16.0,4.0,,7.0,,48.0,57.0,2.0,14.0,11.0,,,76.0,10.0,15.0,,,5.0,2.0,3.0,178.0,,,,,,,10.0,,,,,,,,,11.0,,11.0,11.0,1.0,3.0,158.0,63.0,46.0,,,4.0,7.0,3.0,583.0,,,4.0,6.0,,98.0,87.0,18.0,,,,,142.0,142.0,3.0,24.0,28.0,66.7,,,7.0,0.0,,,,168.0,,,,,1.0,,8.0,1.0,3.0,194.0,509.0,2.0,11.0,201.0,22.0,14.0,30.0,10.0,32.0,22.0,,239.0,5.0,437.0,,,12.0,29.0,59.0,,606.0,2.0,0.0,17.0,16.0,1.0,15.0,2.0,794.0,8.0,17.0,11.0,13.0,0.0
