matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442004,1.0,2012-08-18 15:00:00,52,QPR,Home,134.0,16.0,2.0,2.0,1.0,,,236.0,1.0,,5.0,,8.0,25.0,368.0,,,20.0,4.0,6.0,14.0,1.0,,,,,,,,,,,19.0,,,,,,,10.0,3.0,,,,49.0,48.0,1.0,2.0,,1.0,9.0,3.0,,,5.0,14.0,4.0,,8.0,2.0,38.0,47.0,1.0,10.0,5.0,3.0,1.0,67.0,12.0,15.0,,,3.0,3.0,,148.0,,,,,,,6.0,,,,2.0,,,,,6.0,,16.0,14.0,2.0,5.0,114.0,58.0,40.0,3.0,,7.0,8.0,4.0,,,,1.0,2.0,,57.0,63.0,25.0,,,,,125.0,120.0,1.0,17.0,24.0,49.9,,1.0,0.0,,,,112.0,1.0,,,,2.0,,8.0,1.0,3.0,108.0,,15.0,141.0,27.0,15.0,18.0,4.0,24.0,21.0,,147.0,3.0,306.0,2.0,,6.0,8.0,37.0,,423.0,2.0,0.0,21.0,19.0,2.0,22.0,2.0,610.0,,15.0,7.0,5.0,15.0,0.0
442013,2.0,2012-08-25 15:00:00,52,QPR,Away,96.0,7.0,,3.0,3.0,4.0,,112.0,3.0,2.0,5.0,12.0,12.0,17.0,205.0,,,18.0,23.0,26.0,4.0,1.0,,,,,,1.0,,,,1.0,3.0,,1.0,,,,1.0,10.0,5.0,,,,41.0,40.0,1.0,2.0,1.0,4.0,2.0,8.0,,,2.0,8.0,5.0,,11.0,1.0,66.0,65.0,3.0,35.0,22.0,,2.0,64.0,13.0,16.0,1.0,,6.0,1.0,1.0,114.0,,,,,,,13.0,,,,,,,,,27.0,1.0,10.0,8.0,,5.0,64.0,79.0,27.0,6.0,,3.0,2.0,3.0,,,,2.0,3.0,,26.0,48.0,11.0,,,,1.0,171.0,155.0,1.0,21.0,11.0,44.9,,,0.0,,,,71.0,1.0,1.0,,,,,3.0,,3.0,47.0,,5.0,110.0,28.0,50.0,23.0,1.0,15.0,14.0,1.0,93.0,11.0,195.0,1.0,2.0,36.0,14.0,44.0,5.0,290.0,,0.0,8.0,11.0,1.0,30.0,2.0,503.0,,6.0,12.0,2.0,9.0,0.0
442021,3.0,2012-09-01 17:30:00,52,QPR,Away,163.0,8.0,1.0,3.0,2.0,4.0,,185.0,1.0,3.0,4.0,7.0,17.0,24.0,345.0,,,14.0,19.0,11.0,7.0,1.0,,,,,,,,,,,8.0,,,,,,,15.0,3.0,,,,63.0,49.0,,,1.0,3.0,3.0,7.0,1.0,1.0,3.0,8.0,6.0,,12.0,1.0,48.0,49.0,3.0,16.0,7.0,,,67.0,3.0,11.0,1.0,2.0,3.0,2.0,,140.0,,,,,,,4.0,,,1.0,2.0,,,,,11.0,,16.0,14.0,4.0,4.0,108.0,56.0,26.0,8.0,,4.0,4.0,4.0,,,,7.0,1.0,,48.0,53.0,13.0,,,,,138.0,125.0,3.0,21.0,16.0,40.1,,1.0,0.0,,,,110.0,4.0,,,,,,4.0,,3.0,69.0,,8.0,179.0,22.0,29.0,12.0,2.0,18.0,16.0,1.0,113.0,7.0,260.0,2.0,3.0,22.0,17.0,46.0,,421.0,,0.0,11.0,22.0,,19.0,1.0,605.0,,4.0,5.0,3.0,17.0,0.0
442035,4.0,2012-09-15 15:00:00,52,QPR,Home,192.0,27.0,,3.0,3.0,3.0,,183.0,6.0,,1.0,6.0,21.0,43.0,372.0,,,11.0,11.0,15.0,9.0,,,1.0,1.0,,,1.0,,,,1.0,10.0,,,,,,1.0,6.0,6.0,,,,78.0,57.0,1.0,2.0,,4.0,4.0,5.0,,,2.0,9.0,6.0,,13.0,2.0,55.0,69.0,4.0,18.0,12.0,,1.0,58.0,18.0,17.0,,,2.0,2.0,1.0,155.0,,,,,,,10.0,,,,,,,,1.0,21.0,,13.0,10.0,,1.0,111.0,81.0,54.0,4.0,,4.0,5.0,3.0,,,,4.0,4.0,,49.0,40.0,24.0,,,,,170.0,145.0,3.0,25.0,27.0,52.7,,,0.0,,,,107.0,2.0,2.0,,,,1.0,5.0,1.0,3.0,66.0,,9.0,215.0,40.0,43.0,13.0,2.0,19.0,17.0,2.0,98.0,8.0,255.0,,,17.0,22.0,57.0,3.0,451.0,,0.0,12.0,33.0,,16.0,0.0,669.0,,12.0,4.0,2.0,30.0,0.0
442045,5.0,2012-09-23 16:00:00,52,QPR,Away,186.0,12.0,3.0,4.0,1.0,1.0,,188.0,5.0,1.0,3.0,6.0,24.0,35.0,370.0,,1.0,17.0,16.0,16.0,2.0,3.0,,1.0,,,,,1.0,,,1.0,6.0,,,,,,,14.0,7.0,,,,71.0,52.0,2.0,1.0,1.0,2.0,2.0,10.0,,1.0,9.0,11.0,5.0,,12.0,5.0,57.0,45.0,2.0,18.0,11.0,,1.0,70.0,12.0,7.0,1.0,,,,,149.0,1.0,,1.0,1.0,,,6.0,,,1.0,1.0,,,,,17.0,,7.0,4.0,,3.0,110.0,64.0,34.0,10.0,,3.0,3.0,4.0,,,,7.0,,1.0,62.0,62.0,22.0,,,,,158.0,145.0,1.0,18.0,29.0,56.7,,1.0,0.0,,,,129.0,6.0,1.0,,,,1.0,3.0,,3.0,89.0,,6.0,200.0,36.0,31.0,11.0,8.0,24.0,16.0,2.0,149.0,5.0,283.0,1.0,1.0,23.0,25.0,69.0,3.0,459.0,,0.0,9.0,18.0,1.0,23.0,2.0,655.0,,7.0,4.0,9.0,13.0,0.0
442055,6.0,2012-10-01 20:00:00,52,QPR,Home,128.0,12.0,,4.0,4.0,2.0,1.0,134.0,8.0,,2.0,4.0,22.0,21.0,258.0,,1.0,25.0,21.0,22.0,9.0,,,,1.0,,,1.0,,,1.0,,11.0,,,,,,1.0,10.0,8.0,,,,43.0,51.0,,,,2.0,2.0,6.0,,,4.0,8.0,6.0,,15.0,2.0,57.0,66.0,2.0,41.0,25.0,,1.0,79.0,10.0,21.0,,1.0,4.0,3.0,1.0,152.0,1.0,,,1.0,,,11.0,,,1.0,1.0,,,,1.0,42.0,,16.0,9.0,5.0,2.0,75.0,86.0,44.0,13.0,1.0,3.0,7.0,7.0,,,,7.0,5.0,,36.0,42.0,30.0,,,,,192.0,160.0,,27.0,21.0,50.5,,1.0,0.0,,,,85.0,1.0,2.0,,1.0,,,4.0,,3.0,57.0,,10.0,146.0,29.0,73.0,10.0,4.0,21.0,17.0,1.0,114.0,9.0,230.0,1.0,,25.0,24.0,51.0,1.0,355.0,,1.0,13.0,19.0,2.0,29.0,1.0,610.0,,11.0,4.0,4.0,18.0,0.0
442066,7.0,2012-10-06 15:00:00,52,QPR,Away,153.0,19.0,2.0,4.0,2.0,3.0,,247.0,4.0,,5.0,4.0,27.0,45.0,396.0,,1.0,17.0,15.0,12.0,4.0,2.0,,,,,,1.0,,,,,8.0,,,,,,1.0,8.0,6.0,,,,64.0,50.0,,,,,4.0,4.0,,,5.0,13.0,8.0,,11.0,1.0,53.0,57.0,,12.0,7.0,1.0,,64.0,14.0,17.0,,,3.0,1.0,1.0,141.0,2.0,,1.0,2.0,,,7.0,,,2.0,1.0,,,,2.0,14.0,,17.0,15.0,,5.0,131.0,68.0,46.0,2.0,2.0,3.0,5.0,3.0,,,,4.0,2.0,,68.0,68.0,18.0,,,,,145.0,132.0,3.0,17.0,21.0,55.1,,,0.0,,,,127.0,1.0,1.0,,,1.0,,6.0,,3.0,110.0,,8.0,171.0,27.0,25.0,22.0,4.0,26.0,22.0,,145.0,6.0,318.0,1.0,,20.0,28.0,60.0,4.0,463.0,,0.0,13.0,17.0,1.0,18.0,2.0,666.0,,11.0,11.0,5.0,10.0,0.0
442073,8.0,2012-10-21 16:00:00,52,QPR,Home,129.0,17.0,1.0,4.0,3.0,3.0,1.0,222.0,7.0,1.0,1.0,5.0,19.0,26.0,347.0,,,25.0,22.0,20.0,11.0,2.0,,1.0,1.0,,,1.0,1.0,,,,10.0,,,,,,2.0,11.0,6.0,,,,51.0,45.0,1.0,1.0,,2.0,2.0,3.0,,1.0,5.0,16.0,6.0,,16.0,1.0,56.0,63.0,2.0,16.0,6.0,,,55.0,12.0,18.0,,,5.0,3.0,1.0,149.0,,,,,,,9.0,,,,1.0,,,,,8.0,,23.0,19.0,1.0,2.0,117.0,63.0,38.0,4.0,,6.0,7.0,5.0,,,,6.0,4.0,1.0,72.0,62.0,20.0,,,,,168.0,155.0,3.0,22.0,16.0,57.0,,2.0,0.0,,,,114.0,2.0,1.0,,,,1.0,8.0,1.0,3.0,105.0,,13.0,150.0,33.0,29.0,13.0,4.0,29.0,25.0,1.0,145.0,7.0,310.0,1.0,1.0,23.0,19.0,45.0,4.0,431.0,,0.0,15.0,15.0,,28.0,2.0,664.0,,13.0,10.0,5.0,12.0,0.0
442079,9.0,2012-10-27 15:00:00,52,QPR,Away,142.0,13.0,1.0,,,2.0,,89.0,3.0,,3.0,2.0,15.0,19.0,231.0,,1.0,12.0,20.0,7.0,3.0,1.0,1.0,,,,1.0,1.0,,,,1.0,4.0,,,,,,,12.0,10.0,3.0,3.0,,47.0,52.0,1.0,2.0,,3.0,2.0,13.0,,1.0,2.0,12.0,,,8.0,6.0,63.0,59.0,3.0,18.0,7.0,,2.0,38.0,9.0,14.0,,,3.0,1.0,1.0,123.0,,,,,,,11.0,,,,,,,,,12.0,,15.0,14.0,4.0,3.0,54.0,57.0,28.0,5.0,,2.0,2.0,2.0,278.0,,,4.0,1.0,,15.0,44.0,19.0,,,,,128.0,128.0,,31.0,15.0,33.5,,,0.0,,,,81.0,5.0,3.0,9.0,,1.0,,2.0,,3.0,40.0,218.0,4.0,168.0,23.0,32.0,30.0,2.0,14.0,13.0,,63.0,3.0,151.0,,,17.0,15.0,43.0,7.0,305.0,,1.0,6.0,21.0,1.0,16.0,2.0,519.0,13.0,7.0,17.0,2.0,19.0,0.0
442093,10.0,2012-11-04 13:30:00,52,QPR,Home,110.0,4.0,1.0,6.0,5.0,3.0,,167.0,5.0,,4.0,5.0,12.0,25.0,271.0,,,21.0,21.0,26.0,15.0,1.0,,1.0,2.0,,1.0,3.0,,,,,17.0,,,,,,1.0,14.0,5.0,,,,37.0,44.0,2.0,1.0,1.0,4.0,5.0,10.0,,,8.0,22.0,5.0,,7.0,,57.0,79.0,4.0,26.0,19.0,,,51.0,11.0,15.0,1.0,,4.0,1.0,3.0,146.0,1.0,,1.0,1.0,,,14.0,,,1.0,1.0,,,,,29.0,1.0,10.0,5.0,,5.0,93.0,73.0,36.0,8.0,,8.0,9.0,6.0,,,,5.0,1.0,,37.0,57.0,16.0,,,,,170.0,155.0,,24.0,12.0,56.1,,,0.0,,,,80.0,2.0,,,,1.0,1.0,12.0,,2.0,71.0,,17.0,136.0,19.0,41.0,21.0,5.0,33.0,28.0,2.0,111.0,9.0,253.0,1.0,,24.0,13.0,42.0,3.0,356.0,,0.0,23.0,25.0,,24.0,0.0,594.0,,11.0,13.0,8.0,22.0,0.0
