matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2367544,1.0,2023-08-12 15:00:00,31,Crystal Palace,Away,254.0,22.0,2.0,6.0,4.0,4.0,3.0,218.0,5.0,,5.0,3.0,6.0,27.0,466.0,,1.0,26.0,13.0,31.0,15.0,4.0,3.0,,,,,,1.0,,,,,,16.0,,,,,4.0,6.0,4.0,4.0,17.0,7.0,,94.0,62.0,2.0,1.0,1.0,2.0,10.0,8.0,2.0,,,5.0,6.0,3.0,,18.0,,48.0,83.0,2.0,14.0,10.0,,,58.0,11.0,18.0,1.0,,4.0,3.0,1.0,186.0,1.0,,1.0,1.0,,,6.0,,,1.0,1.0,,,,,10.0,,4.0,4.0,1.0,5.0,141.0,85.0,53.0,5.0,,7.0,13.0,8.0,539.0,,,3.0,3.0,,59.0,78.0,25.0,,,,,166.0,166.0,4.0,26.0,25.0,67.8,,,,,27.0,0.0,,,,141.0,,1.0,1.0,,,,8.0,,,1.0,87.0,446.0,10.0,20.0,287.0,46.0,14.0,17.0,5.0,17.0,12.0,,129.0,7.0,292.0,1.0,,12.0,6.0,54.0,2.0,562.0,,0.0,24.0,21.0,1.0,31.0,0.0,801.0,33.0,27.0,13.0,5.0,9.0,0.0
2367549,2.0,2023-08-21 20:00:00,31,Crystal Palace,Home,144.0,19.0,,3.0,3.0,4.0,1.0,229.0,4.0,,5.0,,4.0,24.0,370.0,,,14.0,13.0,14.0,9.0,1.0,,1.0,,1.0,,,1.0,,,,,,12.0,,,,,1.0,11.0,11.0,3.0,10.0,4.0,,66.0,49.0,1.0,1.0,,2.0,3.0,7.0,6.0,,,1.0,13.0,6.0,,5.0,,46.0,48.0,2.0,18.0,13.0,,,54.0,14.0,10.0,,,2.0,1.0,1.0,135.0,,,,,,,6.0,,,,3.0,,,,1.0,13.0,,5.0,5.0,,5.0,106.0,50.0,25.0,8.0,,2.0,8.0,2.0,410.0,,,4.0,,,67.0,69.0,26.0,1.0,1.0,1.0,,107.0,107.0,4.0,25.0,14.0,46.9,,,,1.0,10.0,0.0,,,,121.0,,2.0,2.0,,,1.0,5.0,1.0,,2.0,137.0,356.0,3.0,10.0,160.0,41.0,18.0,19.0,1.0,21.0,20.0,1.0,165.0,4.0,289.0,3.0,,2.0,5.0,45.0,,428.0,,0.0,14.0,14.0,2.0,17.0,2.0,601.0,30.0,14.0,10.0,1.0,10.0,0.0
2367560,3.0,2023-08-26 15:00:00,31,Crystal Palace,Away,122.0,13.0,2.0,6.0,4.0,1.0,,167.0,2.0,,2.0,,1.0,10.0,283.0,,,10.0,20.0,17.0,9.0,1.0,2.0,1.0,,,,1.0,1.0,,,,,,12.0,,,,,,10.0,10.0,2.0,10.0,5.0,,48.0,56.0,,1.0,,1.0,6.0,6.0,4.0,,,6.0,6.0,6.0,1.0,4.0,,47.0,63.0,1.0,24.0,15.0,,,32.0,15.0,9.0,,,1.0,,1.0,128.0,1.0,,1.0,1.0,,,6.0,,,1.0,1.0,,,,,15.0,,6.0,6.0,1.0,2.0,89.0,47.0,25.0,8.0,,4.0,7.0,5.0,328.0,,,6.0,2.0,,26.0,55.0,24.0,,,,,115.0,115.0,6.0,21.0,24.0,40.2,,,1.0,,16.0,0.0,,,,83.0,,,,,,1.0,4.0,,,2.0,86.0,270.0,6.0,11.0,147.0,39.0,24.0,22.0,5.0,17.0,12.0,1.0,107.0,4.0,218.0,1.0,,3.0,1.0,35.0,2.0,348.0,,0.0,15.0,20.0,1.0,13.0,0.0,544.0,20.0,23.0,17.0,6.0,9.0,0.0
2367573,4.0,2023-09-03 14:00:00,31,Crystal Palace,Home,158.0,18.0,1.0,4.0,3.0,,,159.0,9.0,,4.0,,4.0,19.0,313.0,,,13.0,13.0,12.0,8.0,1.0,2.0,1.0,,,,1.0,1.0,,,,,,12.0,,,,,1.0,8.0,9.0,3.0,14.0,2.0,,68.0,64.0,3.0,1.0,2.0,,4.0,1.0,9.0,,,4.0,8.0,2.0,,16.0,,58.0,51.0,,20.0,10.0,,,63.0,12.0,10.0,2.0,,5.0,4.0,1.0,147.0,3.0,,3.0,3.0,,,13.0,,,3.0,1.0,,,,2.0,10.0,,10.0,10.0,,4.0,75.0,56.0,25.0,2.0,1.0,2.0,10.0,11.0,365.0,,,2.0,,,61.0,48.0,33.0,,,,,138.0,138.0,7.0,28.0,23.0,42.9,,,,,9.0,0.0,,,,103.0,1.0,1.0,2.0,,2.0,1.0,4.0,,,2.0,89.0,293.0,4.0,12.0,180.0,49.0,20.0,15.0,3.0,17.0,14.0,1.0,129.0,3.0,230.0,1.0,,6.0,4.0,56.0,1.0,393.0,1.0,0.0,16.0,24.0,1.0,16.0,1.0,583.0,31.0,15.0,5.0,4.0,13.0,0.0
2367579,5.0,2023-09-16 15:00:00,31,Crystal Palace,Away,99.0,17.0,1.0,1.0,,3.0,,128.0,1.0,1.0,3.0,1.0,5.0,15.0,226.0,,2.0,18.0,11.0,6.0,5.0,,1.0,,,,,,,,,,,,5.0,,,,,,7.0,12.0,4.0,4.0,2.0,,43.0,77.0,3.0,2.0,1.0,7.0,12.0,1.0,6.0,,,2.0,8.0,3.0,,13.0,2.0,52.0,55.0,7.0,29.0,13.0,,1.0,41.0,9.0,13.0,1.0,,1.0,1.0,,129.0,1.0,,1.0,1.0,,,2.0,,,1.0,2.0,,,,,13.0,,12.0,12.0,4.0,3.0,55.0,54.0,30.0,4.0,,2.0,4.0,3.0,280.0,,,6.0,1.0,,57.0,32.0,23.0,1.0,1.0,1.0,,130.0,130.0,3.0,35.0,31.0,33.3,,3.0,,,30.0,0.0,,,,76.0,1.0,1.0,2.0,,,,2.0,,,3.0,67.0,211.0,12.0,6.0,116.0,40.0,29.0,26.0,2.0,14.0,12.0,,105.0,4.0,201.0,2.0,1.0,10.0,5.0,45.0,,303.0,,0.0,6.0,23.0,5.0,19.0,3.0,525.0,21.0,12.0,13.0,2.0,13.0,0.0
2367593,6.0,2023-09-23 15:00:00,31,Crystal Palace,Home,230.0,24.0,1.0,2.0,1.0,,1.0,160.0,2.0,,6.0,3.0,4.0,25.0,388.0,,1.0,15.0,17.0,14.0,3.0,2.0,1.0,,,,,1.0,1.0,,,,,,4.0,,,,,1.0,9.0,5.0,5.0,4.0,3.0,,96.0,63.0,,,,3.0,6.0,2.0,7.0,,,3.0,8.0,2.0,,15.0,4.0,60.0,57.0,3.0,22.0,10.0,,,58.0,10.0,15.0,,,3.0,2.0,1.0,155.0,,,,,,,6.0,,,,,,,,,10.0,,6.0,6.0,1.0,6.0,101.0,72.0,40.0,2.0,,2.0,3.0,3.0,455.0,,,2.0,,,53.0,71.0,22.0,,,,,149.0,149.0,8.0,28.0,22.0,50.5,,,,,15.0,0.0,,,,123.0,4.0,1.0,5.0,,,,2.0,,,2.0,77.0,374.0,6.0,5.0,252.0,49.0,22.0,27.0,3.0,15.0,12.0,,120.0,5.0,238.0,,,11.0,4.0,58.0,3.0,475.0,,0.0,7.0,14.0,1.0,20.0,3.0,672.0,15.0,14.0,15.0,3.0,9.0,0.0
2367602,7.0,2023-09-30 15:00:00,31,Crystal Palace,Away,87.0,18.0,1.0,3.0,2.0,3.0,1.0,64.0,5.0,,,1.0,1.0,14.0,148.0,1.0,1.0,15.0,10.0,13.0,4.0,2.0,2.0,1.0,,,,,,,,,,,3.0,,,,,3.0,4.0,15.0,4.0,5.0,3.0,,29.0,65.0,,,,6.0,10.0,2.0,13.0,1.0,,4.0,4.0,2.0,1.0,22.0,,63.0,58.0,6.0,36.0,15.0,,,37.0,8.0,9.0,,,2.0,2.0,,122.0,,,,,,,11.0,,,,2.0,,,,,15.0,,17.0,17.0,1.0,,38.0,49.0,26.0,10.0,,4.0,2.0,2.0,196.0,,,8.0,1.0,,30.0,36.0,16.0,,,,,135.0,135.0,1.0,42.0,19.0,22.9,,,,2.0,18.0,0.0,,,,32.0,3.0,1.0,3.0,,,1.0,4.0,,,2.0,34.0,136.0,10.0,6.0,112.0,33.0,36.0,20.0,2.0,10.0,8.0,1.0,61.0,8.0,119.0,2.0,,15.0,1.0,45.0,,221.0,1.0,0.0,8.0,26.0,1.0,17.0,2.0,456.0,8.0,20.0,10.0,4.0,10.0,0.0
2367611,8.0,2023-10-07 17:30:00,31,Crystal Palace,Home,232.0,21.0,,3.0,3.0,,,234.0,5.0,,8.0,1.0,1.0,23.0,463.0,,,9.0,14.0,11.0,5.0,,1.0,,,,,,,,,,,,6.0,,,,,1.0,2.0,11.0,5.0,7.0,1.0,,96.0,48.0,2.0,2.0,,,4.0,2.0,9.0,,,3.0,6.0,2.0,,16.0,2.0,49.0,49.0,,22.0,10.0,,,75.0,7.0,12.0,,,1.0,2.0,,141.0,,,,,,,5.0,,,,2.0,,,,,10.0,,6.0,6.0,,8.0,151.0,64.0,43.0,7.0,,3.0,2.0,2.0,509.0,,,4.0,1.0,,70.0,64.0,26.0,,,,,116.0,116.0,4.0,18.0,15.0,52.0,,,,1.0,9.0,0.0,,,,140.0,3.0,2.0,5.0,,,,4.0,1.0,,2.0,99.0,450.0,4.0,5.0,247.0,44.0,22.0,13.0,3.0,13.0,10.0,,140.0,2.0,294.0,2.0,,4.0,1.0,46.0,,528.0,,0.0,8.0,18.0,,12.0,0.0,704.0,20.0,17.0,9.0,3.0,10.0,0.0
2367624,9.0,2023-10-21 15:00:00,31,Crystal Palace,Away,155.0,15.0,3.0,4.0,1.0,,,157.0,1.0,,2.0,,12.0,11.0,308.0,1.0,,15.0,14.0,10.0,8.0,3.0,8.0,1.0,,,,1.0,1.0,,1.0,,,,8.0,,,,,,7.0,9.0,1.0,10.0,7.0,,79.0,56.0,,,,1.0,7.0,4.0,9.0,,,8.0,6.0,2.0,,4.0,2.0,43.0,45.0,1.0,23.0,10.0,1.0,,41.0,12.0,7.0,,,1.0,,1.0,155.0,,,,,,,5.0,,,,1.0,,,,,10.0,,11.0,11.0,3.0,2.0,74.0,60.0,32.0,6.0,,5.0,6.0,3.0,372.0,,,,,,51.0,55.0,23.0,,,,,121.0,121.0,2.0,24.0,27.0,40.5,,,,,22.0,0.0,,,,81.0,2.0,1.0,3.0,,,1.0,10.0,,,3.0,56.0,297.0,7.0,11.0,178.0,35.0,23.0,12.0,7.0,15.0,8.0,1.0,83.0,3.0,226.0,1.0,,6.0,13.0,34.0,1.0,389.0,1.0,0.0,17.0,20.0,,20.0,3.0,570.0,16.0,15.0,8.0,8.0,11.0,0.0
2367633,10.0,2023-10-27 20:00:00,31,Crystal Palace,Home,72.0,23.0,3.0,5.0,2.0,,,81.0,3.0,,2.0,1.0,2.0,22.0,148.0,,,19.0,6.0,4.0,5.0,4.0,8.0,,,,,,,1.0,,,,,4.0,,,,,1.0,10.0,5.0,6.0,8.0,5.0,,43.0,52.0,,,,2.0,10.0,6.0,8.0,,,11.0,5.0,2.0,,10.0,,52.0,46.0,2.0,12.0,2.0,,,37.0,19.0,11.0,,,2.0,3.0,,88.0,1.0,,1.0,1.0,,,5.0,,,1.0,2.0,,,,1.0,2.0,,10.0,10.0,,2.0,46.0,49.0,27.0,2.0,1.0,3.0,7.0,3.0,198.0,,,5.0,3.0,1.0,26.0,42.0,26.0,,,,,124.0,124.0,1.0,26.0,17.0,24.3,,,,,19.0,0.0,,,,43.0,,,,,1.0,,4.0,,,5.0,37.0,134.0,10.0,10.0,98.0,41.0,12.0,18.0,10.0,20.0,10.0,,67.0,1.0,142.0,2.0,,11.0,2.0,51.0,1.0,220.0,,0.0,13.0,24.0,,21.0,2.0,416.0,15.0,11.0,8.0,11.0,14.0,0.0
