matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694903,1.0,2013-08-18 13:30:00,31,Crystal Palace,Home,113.0,16.0,1.0,3.0,2.0,1.0,,149.0,7.0,,3.0,7.0,7.0,23.0,259.0,,,23.0,16.0,29.0,3.0,1.0,,,,,,,,,,,3.0,,,,,,1.0,3.0,9.0,9.0,,,,60.0,50.0,,,,3.0,9.0,,17.0,,,3.0,4.0,7.0,,14.0,1.0,62.0,62.0,3.0,26.0,17.0,,,71.0,9.0,7.0,,,1.0,,,150.0,,,,,,,11.0,,,,1.0,,,,3.0,17.0,,9.0,9.0,2.0,3.0,83.0,81.0,44.0,7.0,,2.0,2.0,3.0,349.0,,,3.0,,,45.0,48.0,20.0,1.0,1.0,1.0,,159.0,158.0,2.0,28.0,13.0,41.8,,,,9.0,0.0,,,,69.0,1.0,1.0,2.0,1.0,,2.0,,3.0,57.0,253.0,7.0,4.0,137.0,34.0,27.0,17.0,3.0,14.0,11.0,,107.0,8.0,239.0,1.0,,30.0,9.0,55.0,4.0,362.0,,0.0,5.0,21.0,1.0,31.0,1.0,551.0,,4.0,7.0,3.0,18.0,0.0
694919,2.0,2013-08-24 15:00:00,31,Crystal Palace,Away,202.0,9.0,,,,1.0,,145.0,2.0,,6.0,9.0,15.0,35.0,347.0,,,22.0,28.0,24.0,7.0,2.0,,,,1.0,,2.0,,,1.0,,10.0,,,,,,2.0,2.0,8.0,6.0,,,,78.0,64.0,,,,6.0,24.0,2.0,13.0,,,,4.0,2.0,,19.0,,65.0,71.0,6.0,37.0,25.0,,,56.0,6.0,13.0,1.0,1.0,3.0,2.0,2.0,157.0,1.0,,,1.0,,,7.0,,,1.0,3.0,,,,,25.0,,9.0,9.0,,6.0,101.0,84.0,45.0,7.0,,5.0,5.0,5.0,417.0,,,4.0,,,56.0,58.0,13.0,,,,,143.0,143.0,,29.0,20.0,50.4,,,,24.0,0.0,,,,101.0,,2.0,2.0,1.0,,7.0,,3.0,50.0,334.0,12.0,10.0,220.0,22.0,37.0,7.0,,8.0,8.0,,87.0,4.0,225.0,3.0,,33.0,16.0,64.0,,437.0,,0.0,14.0,31.0,,30.0,0.0,669.0,,11.0,6.0,,21.0,0.0
694923,3.0,2013-08-31 17:30:00,31,Crystal Palace,Home,177.0,9.0,1.0,3.0,2.0,3.0,,156.0,2.0,2.0,2.0,13.0,17.0,30.0,330.0,,,18.0,22.0,32.0,13.0,,,4.0,,,,,,,,,15.0,1.0,,,,,,3.0,7.0,3.0,,,,69.0,55.0,,,1.0,1.0,13.0,3.0,10.0,,,6.0,7.0,7.0,1.0,16.0,1.0,62.0,80.0,1.0,51.0,30.0,,,52.0,6.0,6.0,1.0,,2.0,1.0,,152.0,,,,,,,4.0,,,1.0,2.0,,,,,30.0,,14.0,14.0,2.0,2.0,112.0,87.0,43.0,6.0,1.0,6.0,7.0,7.0,406.0,,,6.0,1.0,,32.0,52.0,20.0,,,,1.0,152.0,152.0,1.0,26.0,19.0,50.0,,,,13.0,0.0,,,,86.0,,1.0,1.0,2.0,4.0,8.0,,3.0,54.0,322.0,5.0,13.0,195.0,22.0,51.0,22.0,6.0,21.0,15.0,4.0,93.0,8.0,245.0,2.0,2.0,35.0,18.0,56.0,2.0,419.0,,0.0,18.0,28.0,1.0,24.0,1.0,658.0,,10.0,14.0,6.0,22.0,0.0
694935,4.0,2013-09-14 12:45:00,31,Crystal Palace,Away,165.0,13.0,1.0,1.0,,,,105.0,6.0,1.0,4.0,13.0,11.0,17.0,269.0,,,6.0,15.0,19.0,3.0,1.0,,,,,,,,,,1.0,2.0,,,,,,1.0,3.0,12.0,8.0,,,,56.0,52.0,1.0,1.0,,9.0,14.0,,9.0,,1.0,1.0,,,,9.0,1.0,45.0,53.0,9.0,33.0,16.0,1.0,,46.0,12.0,8.0,,,,,,150.0,,,,,,,15.0,,,,3.0,,,,1.0,16.0,,24.0,24.0,5.0,4.0,88.0,91.0,47.0,11.0,,4.0,,,353.0,,,3.0,1.0,,22.0,32.0,6.0,1.0,1.0,1.0,,148.0,148.0,1.0,24.0,19.0,39.6,,,1.0,14.0,0.0,,,,83.0,2.0,4.0,6.0,1.0,,4.0,,3.0,22.0,255.0,7.0,4.0,201.0,18.0,33.0,7.0,1.0,1.0,,,53.0,11.0,177.0,3.0,1.0,44.0,12.0,47.0,,377.0,,1.0,4.0,24.0,,12.0,2.0,570.0,,11.0,3.0,1.0,18.0,0.0
694943,5.0,2013-09-22 13:30:00,31,Crystal Palace,Home,149.0,8.0,2.0,8.0,6.0,1.0,,182.0,5.0,,5.0,8.0,19.0,21.0,323.0,,,20.0,15.0,22.0,6.0,1.0,,,,,,1.0,,,,,7.0,,,,,,1.0,3.0,8.0,7.0,,,,70.0,51.0,,,,4.0,20.0,5.0,8.0,,1.0,6.0,9.0,8.0,,6.0,2.0,49.0,60.0,4.0,20.0,10.0,,,60.0,13.0,9.0,,,4.0,2.0,1.0,139.0,,,,,,,6.0,,,,1.0,,,,1.0,10.0,,11.0,11.0,,5.0,96.0,65.0,35.0,8.0,,3.0,4.0,1.0,394.0,,,4.0,2.0,,42.0,67.0,24.0,,,,,144.0,144.0,6.0,13.0,25.0,43.4,,,2.0,20.0,0.0,,,,108.0,2.0,3.0,5.0,1.0,,3.0,,3.0,87.0,308.0,13.0,7.0,159.0,23.0,20.0,19.0,5.0,24.0,19.0,,131.0,11.0,278.0,1.0,,24.0,20.0,51.0,1.0,413.0,,0.0,9.0,20.0,,27.0,2.0,617.0,,11.0,9.0,6.0,19.0,0.0
694956,6.0,2013-09-28 15:00:00,31,Crystal Palace,Away,94.0,10.0,,4.0,4.0,5.0,1.0,139.0,4.0,,3.0,11.0,14.0,20.0,229.0,,,30.0,14.0,29.0,5.0,,,,,,,,,,,,3.0,,,,,,2.0,5.0,5.0,7.0,,,,55.0,61.0,1.0,1.0,,4.0,20.0,6.0,5.0,1.0,1.0,2.0,9.0,6.0,,8.0,,45.0,69.0,4.0,27.0,20.0,,,68.0,15.0,11.0,,,1.0,3.0,,153.0,,,,,,,7.0,,,,2.0,,,,3.0,20.0,,11.0,11.0,1.0,3.0,64.0,75.0,35.0,8.0,,1.0,4.0,,320.0,,,4.0,2.0,,46.0,70.0,24.0,,,,,170.0,170.0,,26.0,24.0,39.2,,,,20.0,0.0,,,,66.0,1.0,1.0,1.0,,,2.0,,3.0,74.0,218.0,3.0,5.0,119.0,23.0,27.0,16.0,2.0,20.0,18.0,,128.0,16.0,239.0,2.0,,35.0,18.0,50.0,2.0,338.0,,0.0,8.0,22.0,1.0,35.0,2.0,550.0,,18.0,9.0,2.0,18.0,0.0
694964,7.0,2013-10-05 15:00:00,31,Crystal Palace,Away,131.0,11.0,,2.0,2.0,2.0,1.0,179.0,1.0,1.0,6.0,9.0,13.0,26.0,308.0,,1.0,13.0,12.0,10.0,6.0,,,,,,,1.0,,,,,9.0,,,,,,1.0,,10.0,3.0,,,,58.0,56.0,1.0,2.0,,3.0,15.0,4.0,17.0,,1.0,3.0,10.0,2.0,,13.0,2.0,54.0,54.0,3.0,32.0,19.0,,,60.0,6.0,9.0,1.0,1.0,2.0,1.0,1.0,151.0,1.0,1.0,1.0,,1.0,,4.0,,,,2.0,,,,,19.0,,26.0,26.0,4.0,6.0,91.0,72.0,31.0,11.0,,2.0,5.0,2.0,370.0,,,2.0,2.0,,43.0,59.0,17.0,1.0,1.0,1.0,,141.0,141.0,3.0,16.0,26.0,39.0,,,,15.0,0.0,,,,94.0,4.0,,4.0,1.0,,5.0,,3.0,95.0,293.0,9.0,7.0,149.0,20.0,32.0,13.0,3.0,16.0,13.0,,136.0,11.0,261.0,2.0,1.0,34.0,16.0,57.0,1.0,394.0,,0.0,11.0,29.0,1.0,20.0,1.0,612.0,,7.0,6.0,3.0,23.0,0.0
694973,8.0,2013-10-21 20:00:00,31,Crystal Palace,Home,137.0,16.0,1.0,6.0,5.0,4.0,1.0,152.0,1.0,3.0,6.0,7.0,9.0,31.0,283.0,,,25.0,15.0,27.0,6.0,2.0,,,,1.0,,2.0,,,,,8.0,,,,,,,,5.0,4.0,,,,56.0,52.0,,,,1.0,17.0,3.0,3.0,,,5.0,16.0,7.0,1.0,14.0,2.0,55.0,68.0,1.0,11.0,9.0,,1.0,58.0,10.0,13.0,,,3.0,1.0,2.0,154.0,,,,,,,2.0,,,,,,,,,9.0,,13.0,13.0,2.0,6.0,90.0,78.0,37.0,7.0,,3.0,5.0,4.0,358.0,,,2.0,3.0,,57.0,61.0,18.0,,,,,158.0,158.0,4.0,14.0,28.0,45.9,,,,17.0,0.0,,,,74.0,1.0,1.0,2.0,,,7.0,,3.0,74.0,271.0,11.0,8.0,155.0,28.0,11.0,20.0,5.0,29.0,24.0,,120.0,8.0,248.0,,3.0,29.0,12.0,60.0,2.0,374.0,,0.0,14.0,22.0,,29.0,0.0,581.0,,7.0,7.0,5.0,17.0,0.0
694983,9.0,2013-10-26 12:45:00,31,Crystal Palace,Home,157.0,25.0,2.0,8.0,6.0,3.0,4.0,159.0,4.0,,5.0,10.0,11.0,28.0,308.0,,,19.0,13.0,20.0,6.0,3.0,3.0,,,,,1.0,,1.0,,,7.0,,,,,,1.0,4.0,9.0,1.0,5.0,8.0,,56.0,55.0,,,,,11.0,2.0,11.0,,,4.0,6.0,5.0,,14.0,,60.0,59.0,,24.0,12.0,,,62.0,12.0,8.0,,,3.0,4.0,1.0,135.0,,,,,,,9.0,,,,,,,,,12.0,1.0,27.0,27.0,8.0,5.0,97.0,74.0,39.0,3.0,,5.0,4.0,4.0,374.0,,,1.0,4.0,,53.0,43.0,27.0,1.0,1.0,1.0,,138.0,138.0,2.0,35.0,12.0,37.5,,,,16.0,0.0,,,,107.0,2.0,,2.0,2.0,,7.0,,3.0,70.0,297.0,11.0,9.0,174.0,47.0,24.0,18.0,3.0,18.0,15.0,1.0,117.0,15.0,239.0,1.0,,27.0,11.0,60.0,2.0,395.0,,0.0,13.0,25.0,,22.0,0.0,601.0,18.0,6.0,6.0,4.0,18.0,0.0
694998,10.0,2013-11-02 15:00:00,31,Crystal Palace,Away,155.0,21.0,1.0,4.0,3.0,5.0,1.0,172.0,4.0,,5.0,11.0,12.0,32.0,323.0,,,23.0,25.0,26.0,8.0,2.0,,,,,,,,,,,10.0,,,,,,1.0,3.0,5.0,4.0,,,,61.0,64.0,1.0,1.0,,4.0,16.0,3.0,8.0,1.0,,3.0,5.0,7.0,,10.0,,58.0,69.0,4.0,37.0,21.0,,,63.0,9.0,11.0,,,2.0,3.0,,167.0,,,,,,,6.0,,,,1.0,,,,1.0,21.0,,15.0,15.0,2.0,5.0,113.0,93.0,44.0,10.0,,4.0,6.0,4.0,417.0,,,3.0,4.0,,51.0,47.0,22.0,,,,,172.0,172.0,2.0,24.0,27.0,50.2,,,2.0,16.0,0.0,,,,96.0,1.0,1.0,1.0,,,5.0,,3.0,59.0,311.0,9.0,10.0,183.0,37.0,37.0,16.0,3.0,18.0,15.0,,101.0,14.0,272.0,1.0,,37.0,14.0,61.0,,437.0,1.0,0.0,12.0,23.0,1.0,30.0,1.0,660.0,,14.0,9.0,3.0,16.0,0.0
