matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPostHigh,attPostLeft,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442004,1.0,2012-08-18 15:00:00,80,Swansea,Away,240.0,19.0,2.0,3.0,1.0,,,143.0,2.0,,4.0,3.0,8.0,36.0,380.0,,,10.0,6.0,4.0,2.0,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,9.0,2.0,,,8.0,13.0,,,,85.0,62.0,1.0,1.0,1.0,6.0,2.0,7.0,,,3.0,4.0,1.0,,12.0,1.0,47.0,38.0,6.0,17.0,11.0,,2.0,45.0,16.0,12.0,,3.0,2.0,1.0,138.0,4.0,,3.0,4.0,,1.0,13.0,,,5.0,3.0,,,,1.0,20.0,2.0,18.0,14.0,2.0,4.0,106.0,80.0,46.0,5.0,5.0,2.0,5.0,6.0,,,,9.0,1.0,,36.0,41.0,12.0,,,,,136.0,110.0,,35.0,20.0,50.1,2.0,,0.0,,,,105.0,1.0,3.0,,,1.0,1.0,5.0,1.0,3.0,44.0,,7.0,251.0,33.0,43.0,10.0,2.0,9.0,7.0,3.0,70.0,2.0,192.0,3.0,,7.0,8.0,53.0,2.0,434.0,,0.0,13.0,19.0,,11.0,2.0,632.0,,16.0,3.0,3.0,14.0,0.0
442017,2.0,2012-08-25 12:45:00,80,Swansea,Home,353.0,15.0,,2.0,2.0,2.0,1.0,208.0,6.0,,8.0,7.0,20.0,39.0,559.0,1.0,2.0,12.0,23.0,25.0,7.0,,,1.0,,,,,,,,,2.0,12.0,,,,7.0,2.0,10.0,2.0,,121.0,52.0,1.0,,2.0,,3.0,2.0,1.0,,5.0,4.0,,1.0,20.0,3.0,66.0,72.0,,23.0,11.0,,,54.0,14.0,17.0,1.0,4.0,2.0,,207.0,2.0,,2.0,2.0,,,7.0,,,3.0,,,,,1.0,19.0,,6.0,5.0,1.0,8.0,162.0,83.0,55.0,4.0,1.0,2.0,7.0,5.0,613.0,,,3.0,2.0,,60.0,51.0,17.0,,,,,125.0,125.0,2.0,25.0,16.0,62.2,,2.0,0.0,,,,146.0,4.0,1.0,4.0,,,1.0,4.0,,3.0,77.0,539.0,9.0,376.0,25.0,35.0,18.0,5.0,11.0,6.0,3.0,105.0,8.0,271.0,,,15.0,21.0,51.0,4.0,636.0,1.0,0.0,12.0,20.0,11.0,13.0,2.0,824.0,20.0,4.0,10.0,5.0,18.0,0.0
442024,3.0,2012-09-01 15:00:00,80,Swansea,Home,249.0,7.0,1.0,6.0,6.0,,,335.0,2.0,,4.0,4.0,1.0,39.0,578.0,,1.0,19.0,12.0,12.0,8.0,,,,,,,1.0,1.0,,,,,14.0,,,,4.0,,,,,98.0,43.0,1.0,,1.0,4.0,3.0,3.0,,,8.0,16.0,8.0,,16.0,,58.0,50.0,4.0,11.0,6.0,1.0,1.0,61.0,13.0,7.0,,2.0,1.0,1.0,153.0,2.0,,2.0,2.0,,,4.0,,,2.0,3.0,,,,1.0,16.0,,10.0,3.0,,4.0,185.0,64.0,50.0,,2.0,2.0,8.0,7.0,,,,1.0,1.0,,96.0,64.0,18.0,,,,,131.0,114.0,2.0,18.0,18.0,63.8,,,0.0,,,,186.0,,,,,,,5.0,,3.0,151.0,,10.0,258.0,11.0,28.0,25.0,8.0,32.0,25.0,,174.0,1.0,396.0,3.0,,8.0,1.0,46.0,,622.0,,1.0,15.0,21.0,2.0,21.0,1.0,815.0,,8.0,10.0,8.0,17.0,0.0
442030,4.0,2012-09-15 15:00:00,80,Swansea,Away,174.0,10.0,2.0,7.0,5.0,2.0,1.0,231.0,3.0,,6.0,8.0,5.0,37.0,398.0,,4.0,14.0,21.0,28.0,8.0,1.0,,,,,,,,,1.0,,,8.0,,,,12.0,4.0,,,,78.0,48.0,1.0,1.0,,3.0,3.0,10.0,1.0,1.0,4.0,14.0,3.0,,9.0,1.0,53.0,62.0,3.0,19.0,6.0,1.0,2.0,64.0,4.0,12.0,,2.0,2.0,,175.0,,,,,,,5.0,,,,1.0,,,,,35.0,,10.0,5.0,1.0,6.0,111.0,69.0,49.0,10.0,,4.0,5.0,3.0,,,,6.0,4.0,,40.0,94.0,21.0,,,,,180.0,138.0,,23.0,16.0,57.9,,1.0,0.0,,,,110.0,5.0,1.0,,,1.0,,4.0,,3.0,91.0,,9.0,194.0,15.0,61.0,12.0,4.0,23.0,19.0,,126.0,8.0,303.0,1.0,,13.0,5.0,50.0,1.0,474.0,,0.0,10.0,19.0,5.0,18.0,1.0,694.0,,17.0,3.0,4.0,14.0,0.0
442044,5.0,2012-09-22 12:45:00,80,Swansea,Home,176.0,14.0,4.0,7.0,3.0,2.0,,153.0,5.0,,4.0,6.0,7.0,32.0,322.0,,1.0,14.0,13.0,8.0,11.0,2.0,,,,1.0,1.0,,2.0,,,,,10.0,1.0,,3.0,24.0,7.0,,,,66.0,44.0,2.0,3.0,,4.0,6.0,4.0,1.0,2.0,8.0,9.0,6.0,,7.0,3.0,50.0,31.0,4.0,16.0,7.0,,,64.0,23.0,7.0,,2.0,1.0,2.0,151.0,,,,,,,9.0,,,,1.0,,,,1.0,13.0,1.0,15.0,10.0,3.0,4.0,89.0,70.0,45.0,3.0,,6.0,7.0,4.0,,,,9.0,2.0,,37.0,44.0,20.0,,,,,135.0,118.0,2.0,17.0,16.0,48.5,1.0,,0.0,,,,87.0,8.0,,,1.0,,,8.0,1.0,3.0,70.0,,13.0,188.0,26.0,33.0,4.0,8.0,24.0,16.0,1.0,111.0,9.0,229.0,1.0,,12.0,8.0,45.0,1.0,393.0,,1.0,18.0,16.0,5.0,17.0,4.0,583.0,,9.0,,8.0,12.0,0.0
442057,6.0,2012-09-29 15:00:00,80,Swansea,Away,223.0,9.0,,1.0,1.0,2.0,1.0,221.0,1.0,1.0,5.0,3.0,8.0,30.0,443.0,,2.0,23.0,20.0,16.0,5.0,2.0,1.0,,,,,,,,1.0,,,8.0,,,1.0,8.0,4.0,3.0,7.0,,101.0,67.0,,,,6.0,1.0,3.0,,,8.0,11.0,4.0,,14.0,,55.0,59.0,6.0,25.0,15.0,1.0,2.0,62.0,10.0,17.0,,2.0,3.0,,192.0,,,,,,,8.0,,,,3.0,,,,1.0,22.0,,9.0,6.0,1.0,6.0,121.0,87.0,54.0,6.0,,5.0,2.0,3.0,504.0,,,2.0,1.0,,45.0,55.0,36.0,,,,,148.0,148.0,1.0,21.0,36.0,61.0,,,0.0,,,,113.0,2.0,1.0,3.0,,1.0,,6.0,,2.0,89.0,428.0,7.0,241.0,21.0,47.0,16.0,7.0,25.0,18.0,,126.0,6.0,311.0,3.0,1.0,8.0,9.0,50.0,1.0,527.0,,0.0,10.0,20.0,4.0,24.0,1.0,754.0,14.0,12.0,6.0,8.0,15.0,0.0
442064,7.0,2012-10-06 15:00:00,80,Swansea,Home,255.0,2.0,4.0,8.0,4.0,6.0,1.0,249.0,3.0,,2.0,4.0,4.0,34.0,496.0,,2.0,20.0,27.0,26.0,14.0,5.0,,,,,,,,,1.0,,1.0,21.0,,,1.0,6.0,3.0,,,,94.0,47.0,4.0,3.0,1.0,2.0,6.0,2.0,1.0,,11.0,9.0,6.0,,6.0,,57.0,58.0,2.0,22.0,14.0,1.0,1.0,73.0,9.0,10.0,,3.0,2.0,,205.0,1.0,,1.0,1.0,,,5.0,,,2.0,,,,,,21.0,2.0,13.0,8.0,1.0,2.0,158.0,86.0,50.0,3.0,2.0,6.0,14.0,10.0,,,,3.0,1.0,,64.0,61.0,21.0,,,,,175.0,161.0,1.0,17.0,24.0,71.5,,,0.0,,,,143.0,2.0,1.0,,,1.0,,10.0,1.0,3.0,116.0,,20.0,276.0,7.0,36.0,19.0,10.0,27.0,17.0,,167.0,17.0,351.0,,,17.0,5.0,53.0,2.0,600.0,,0.0,26.0,16.0,7.0,28.0,1.0,803.0,,6.0,6.0,11.0,12.0,0.0
442075,8.0,2012-10-20 15:00:00,80,Swansea,Home,137.0,11.0,4.0,7.0,3.0,1.0,1.0,221.0,3.0,,5.0,5.0,4.0,37.0,351.0,,1.0,20.0,9.0,8.0,12.0,,,2.0,,,,1.0,1.0,,,,1.0,17.0,,,,8.0,3.0,,,,72.0,50.0,2.0,1.0,1.0,2.0,3.0,3.0,,,9.0,17.0,4.0,,3.0,2.0,40.0,38.0,2.0,7.0,5.0,,,69.0,14.0,12.0,,3.0,4.0,1.0,153.0,2.0,1.0,2.0,1.0,1.0,,3.0,,,1.0,1.0,,,,,8.0,,23.0,16.0,4.0,5.0,105.0,67.0,42.0,2.0,2.0,6.0,8.0,8.0,,,,1.0,,,57.0,68.0,17.0,,,,,136.0,128.0,2.0,12.0,25.0,47.6,,,0.0,,,,97.0,4.0,1.0,,,,2.0,9.0,,2.0,117.0,,14.0,150.0,18.0,15.0,15.0,8.0,33.0,25.0,2.0,159.0,5.0,310.0,1.0,,16.0,4.0,52.0,1.0,427.0,2.0,0.0,20.0,14.0,2.0,25.0,2.0,620.0,,6.0,4.0,9.0,11.0,0.0
442083,9.0,2012-10-27 17:30:00,80,Swansea,Away,279.0,12.0,,7.0,7.0,4.0,,152.0,7.0,,7.0,3.0,7.0,28.0,424.0,,1.0,24.0,13.0,11.0,7.0,,,1.0,,,,,,,,,1.0,9.0,,,,7.0,4.0,,,,82.0,61.0,1.0,1.0,,2.0,4.0,7.0,,,,8.0,9.0,,11.0,,50.0,41.0,2.0,13.0,8.0,,1.0,48.0,10.0,8.0,,1.0,,,174.0,,,,,,,10.0,,,,1.0,,,,,10.0,,20.0,15.0,1.0,7.0,122.0,59.0,36.0,3.0,,2.0,5.0,2.0,,,,1.0,1.0,,40.0,54.0,20.0,,,,,151.0,139.0,,33.0,18.0,46.3,,,0.0,,,,125.0,3.0,,,,,1.0,3.0,,3.0,62.0,,7.0,315.0,22.0,25.0,15.0,,17.0,17.0,1.0,87.0,9.0,205.0,1.0,,18.0,9.0,49.0,5.0,503.0,,0.0,9.0,17.0,2.0,31.0,2.0,710.0,,13.0,5.0,,13.0,0.0
442095,10.0,2012-11-03 15:00:00,80,Swansea,Home,205.0,6.0,2.0,5.0,3.0,,,226.0,5.0,,5.0,3.0,16.0,32.0,426.0,,1.0,17.0,10.0,5.0,7.0,,,,,1.0,,,1.0,,,,,8.0,,,,6.0,5.0,,,,99.0,42.0,,,,4.0,4.0,3.0,1.0,,8.0,8.0,6.0,,13.0,2.0,47.0,37.0,4.0,12.0,5.0,,,59.0,12.0,9.0,,2.0,,1.0,146.0,,,,,,,7.0,,,1.0,1.0,,,,,19.0,,14.0,12.0,,5.0,126.0,68.0,51.0,6.0,1.0,2.0,5.0,2.0,,,,4.0,2.0,,43.0,85.0,19.0,,,,,130.0,110.0,2.0,16.0,19.0,52.2,,,0.0,,,,110.0,2.0,2.0,,,,,4.0,1.0,3.0,115.0,,7.0,215.0,14.0,32.0,13.0,8.0,22.0,14.0,,145.0,1.0,288.0,1.0,,6.0,19.0,43.0,3.0,481.0,1.0,0.0,10.0,19.0,2.0,18.0,4.0,667.0,,8.0,4.0,8.0,15.0,0.0
