matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attLgRight,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694908,1.0,2013-08-17 17:30:00,80,Swansea,Home,208.0,11.0,3.0,10.0,7.0,,,265.0,4.0,,5.0,2.0,30.0,27.0,463.0,,,16.0,18.0,13.0,11.0,1.0,,,,,,,,,,,14.0,,,,,1.0,2.0,12.0,2.0,,,,86.0,55.0,2.0,1.0,1.0,2.0,20.0,1.0,4.0,1.0,,7.0,12.0,15.0,,3.0,1.0,41.0,40.0,2.0,27.0,13.0,,,67.0,13.0,10.0,1.0,,4.0,3.0,,184.0,1.0,,1.0,1.0,,5.0,,,1.0,1.0,,,,,13.0,,10.0,10.0,,5.0,135.0,67.0,53.0,4.0,,7.0,6.0,6.0,520.0,,,4.0,,,65.0,66.0,29.0,,,,,128.0,128.0,8.0,21.0,19.0,53.7,,,,,20.0,0.0,,,,129.0,4.0,,3.0,,,,10.0,,3.0,121.0,450.0,13.0,13.0,222.0,25.0,27.0,11.0,7.0,37.0,30.0,,161.0,1.0,349.0,1.0,,9.0,32.0,41.0,2.0,534.0,,0.0,17.0,14.0,,18.0,1.0,738.0,,16.0,5.0,7.0,9.0,0.0
694920,2.0,2013-08-25 16:00:00,80,Swansea,Away,280.0,16.0,1.0,4.0,3.0,3.0,1.0,151.0,5.0,,8.0,2.0,23.0,36.0,427.0,,,17.0,14.0,22.0,5.0,,,,,,,,,1.0,,,5.0,,,,,1.0,7.0,11.0,10.0,,,,72.0,62.0,,,,3.0,12.0,,22.0,1.0,1.0,3.0,3.0,4.0,,18.0,3.0,72.0,53.0,3.0,43.0,22.0,,,49.0,15.0,10.0,,,2.0,1.0,,161.0,,,,,,10.0,,,,,,,,,22.0,,18.0,18.0,1.0,8.0,153.0,81.0,48.0,8.0,,2.0,3.0,5.0,497.0,,,5.0,2.0,,51.0,33.0,13.0,1.0,1.0,1.0,,132.0,132.0,2.0,18.0,31.0,52.4,,,,2.0,12.0,0.0,,,,125.0,3.0,3.0,5.0,,,,2.0,,2.0,49.0,413.0,9.0,5.0,303.0,33.0,43.0,14.0,2.0,10.0,8.0,,81.0,6.0,218.0,,,12.0,24.0,60.0,3.0,511.0,1.0,0.0,7.0,14.0,,17.0,4.0,719.0,,10.0,10.0,3.0,12.0,0.0
694928,3.0,2013-09-01 13:30:00,80,Swansea,Away,326.0,14.0,,3.0,3.0,3.0,1.0,248.0,5.0,,9.0,2.0,36.0,49.0,571.0,1.0,2.0,12.0,15.0,13.0,7.0,1.0,,1.0,,1.0,,,,,,,9.0,,1.0,,,1.0,7.0,7.0,3.0,,,,111.0,67.0,1.0,,1.0,,14.0,4.0,16.0,,,5.0,12.0,4.0,1.0,11.0,,57.0,50.0,,29.0,17.0,,1.0,56.0,14.0,10.0,,,3.0,3.0,1.0,160.0,2.0,,2.0,2.0,,8.0,,,2.0,2.0,,,,,17.0,1.0,18.0,18.0,1.0,9.0,182.0,83.0,61.0,2.0,1.0,3.0,7.0,4.0,628.0,,,3.0,1.0,,59.0,49.0,19.0,,,,,120.0,120.0,4.0,31.0,23.0,58.0,1.0,,,,14.0,0.0,,,,184.0,1.0,,1.0,,,,4.0,,2.0,86.0,564.0,9.0,10.0,345.0,21.0,29.0,12.0,5.0,24.0,19.0,,117.0,5.0,316.0,2.0,,14.0,39.0,68.0,3.0,637.0,1.0,0.0,12.0,18.0,3.0,12.0,3.0,837.0,,12.0,9.0,5.0,15.0,0.0
694939,4.0,2013-09-16 20:00:00,80,Swansea,Home,254.0,24.0,,2.0,2.0,2.0,,298.0,3.0,,3.0,1.0,28.0,47.0,550.0,,,23.0,14.0,22.0,11.0,,,,2.0,2.0,,,,,,,16.0,,,,,,2.0,7.0,5.0,,,,107.0,49.0,,,,,11.0,2.0,7.0,,,3.0,12.0,11.0,,6.0,2.0,43.0,56.0,,35.0,19.0,2.0,,73.0,8.0,10.0,1.0,,2.0,,2.0,183.0,1.0,,1.0,1.0,,5.0,,,2.0,,,,,1.0,19.0,,21.0,21.0,1.0,3.0,169.0,80.0,57.0,7.0,1.0,5.0,7.0,9.0,616.0,,,2.0,,,88.0,76.0,26.0,,,,,130.0,130.0,3.0,14.0,28.0,58.9,,,,,11.0,0.0,,,,169.0,2.0,1.0,3.0,,,,7.0,,2.0,116.0,538.0,2.0,12.0,266.0,40.0,35.0,18.0,3.0,26.0,23.0,,156.0,9.0,388.0,,,5.0,28.0,60.0,1.0,628.0,,0.0,18.0,18.0,,24.0,2.0,836.0,,8.0,8.0,3.0,12.0,0.0
694943,5.0,2013-09-22 13:30:00,80,Swansea,Away,271.0,23.0,2.0,5.0,3.0,,,220.0,5.0,,4.0,5.0,25.0,47.0,486.0,1.0,2.0,15.0,22.0,15.0,8.0,3.0,,,,,,,,,,,12.0,,,,1.0,,1.0,,9.0,,,,103.0,67.0,3.0,2.0,2.0,2.0,14.0,4.0,9.0,,,8.0,10.0,3.0,,12.0,,60.0,49.0,2.0,49.0,25.0,,,49.0,11.0,12.0,1.0,,2.0,1.0,,192.0,2.0,,1.0,2.0,,8.0,,,2.0,1.0,,,,2.0,25.0,1.0,20.0,20.0,1.0,4.0,121.0,76.0,48.0,6.0,1.0,3.0,10.0,7.0,534.0,,,4.0,3.0,,51.0,80.0,16.0,,,,,128.0,128.0,4.0,34.0,22.0,56.6,1.0,,,,14.0,0.0,,,,134.0,,1.0,1.0,,,,4.0,,3.0,101.0,476.0,9.0,13.0,287.0,28.0,49.0,16.0,8.0,22.0,14.0,,126.0,3.0,285.0,1.0,,20.0,26.0,65.0,4.0,550.0,1.0,0.0,15.0,16.0,4.0,17.0,2.0,787.0,,15.0,8.0,8.0,14.0,0.0
694959,6.0,2013-09-28 17:30:00,80,Swansea,Home,250.0,29.0,,1.0,1.0,,,290.0,6.0,,8.0,2.0,24.0,39.0,539.0,1.0,,21.0,27.0,12.0,5.0,,,1.0,,1.0,,,,,,2.0,8.0,,,,,,2.0,7.0,3.0,,,,102.0,56.0,1.0,1.0,1.0,3.0,19.0,2.0,8.0,,1.0,4.0,8.0,7.0,1.0,14.0,1.0,57.0,45.0,3.0,7.0,3.0,,,86.0,6.0,11.0,,,2.0,1.0,1.0,201.0,1.0,,1.0,1.0,,7.0,,,1.0,2.0,,,,1.0,3.0,,16.0,16.0,,8.0,156.0,84.0,62.0,3.0,,2.0,4.0,3.0,609.0,,,2.0,1.0,,62.0,96.0,21.0,,,,,142.0,142.0,3.0,24.0,20.0,58.5,,,,1.0,19.0,0.0,,,,165.0,2.0,,2.0,,,,5.0,,2.0,129.0,526.0,10.0,6.0,261.0,50.0,7.0,11.0,4.0,20.0,16.0,,183.0,4.0,383.0,2.0,,5.0,25.0,52.0,3.0,624.0,1.0,0.0,10.0,16.0,1.0,22.0,3.0,812.0,,14.0,7.0,4.0,11.0,0.0
694967,7.0,2013-10-06 13:30:00,80,Swansea,Away,195.0,25.0,,9.0,9.0,3.0,1.0,232.0,2.0,,8.0,8.0,20.0,50.0,418.0,1.0,1.0,25.0,15.0,13.0,15.0,,,1.0,,1.0,,,,,,,16.0,,,,1.0,,1.0,5.0,7.0,,,,82.0,53.0,1.0,1.0,,4.0,13.0,3.0,4.0,,,4.0,18.0,4.0,,8.0,2.0,49.0,48.0,4.0,18.0,15.0,1.0,1.0,56.0,8.0,13.0,,,6.0,3.0,1.0,150.0,,,,,,7.0,,,,,,,,,15.0,1.0,18.0,18.0,1.0,8.0,129.0,74.0,46.0,7.0,,6.0,9.0,7.0,479.0,,,3.0,,,54.0,86.0,16.0,,,,,141.0,141.0,6.0,19.0,19.0,57.4,1.0,,,,13.0,0.0,,,,136.0,,2.0,2.0,,,,7.0,,1.0,122.0,403.0,6.0,15.0,216.0,47.0,18.0,24.0,4.0,29.0,25.0,,155.0,8.0,310.0,,,12.0,24.0,71.0,1.0,497.0,1.0,0.0,17.0,14.0,1.0,26.0,1.0,713.0,,12.0,9.0,4.0,12.0,0.0
694978,8.0,2013-10-19 15:00:00,80,Swansea,Home,287.0,8.0,3.0,8.0,5.0,3.0,1.0,274.0,2.0,1.0,5.0,2.0,37.0,26.0,553.0,,,16.0,9.0,9.0,6.0,3.0,,1.0,,1.0,,,,,,,8.0,1.0,,,,2.0,4.0,5.0,1.0,,,,90.0,53.0,1.0,1.0,1.0,1.0,12.0,3.0,7.0,,,7.0,7.0,10.0,,9.0,,48.0,35.0,1.0,12.0,3.0,,,46.0,12.0,13.0,1.0,,6.0,2.0,1.0,181.0,1.0,,,1.0,,4.0,,,1.0,,,,,,3.0,,13.0,13.0,,7.0,175.0,75.0,49.0,2.0,1.0,4.0,6.0,6.0,613.0,,,,2.0,,44.0,76.0,22.0,,,,1.0,127.0,127.0,1.0,23.0,22.0,63.9,,,,1.0,12.0,0.0,,,,182.0,,1.0,1.0,,,,5.0,2.0,3.0,123.0,539.0,6.0,10.0,308.0,18.0,12.0,15.0,6.0,25.0,19.0,,150.0,6.0,345.0,,1.0,10.0,39.0,38.0,2.0,628.0,,0.0,14.0,10.0,1.0,16.0,1.0,792.0,,7.0,4.0,7.0,10.0,0.0
694989,9.0,2013-10-27 16:00:00,80,Swansea,Home,253.0,14.0,3.0,3.0,,2.0,,234.0,7.0,,9.0,4.0,28.0,30.0,484.0,,,22.0,17.0,9.0,7.0,1.0,,,,,,1.0,,,,,6.0,,,,,,3.0,12.0,3.0,,,,72.0,49.0,2.0,2.0,,2.0,15.0,3.0,3.0,1.0,1.0,9.0,7.0,7.0,,3.0,2.0,42.0,45.0,2.0,32.0,13.0,,,69.0,12.0,12.0,,,1.0,1.0,,173.0,,,,,,13.0,,,,1.0,,,,2.0,13.0,,12.0,12.0,,9.0,182.0,83.0,44.0,6.0,,2.0,6.0,5.0,561.0,,,4.0,1.0,,46.0,64.0,24.0,,,,,157.0,157.0,5.0,15.0,18.0,67.0,,,,3.0,15.0,0.0,,,,151.0,3.0,1.0,3.0,,,,2.0,,2.0,99.0,468.0,6.0,8.0,270.0,29.0,32.0,17.0,9.0,24.0,15.0,,142.0,6.0,332.0,1.0,,15.0,28.0,48.0,2.0,578.0,,0.0,10.0,17.0,,22.0,1.0,797.0,,21.0,8.0,9.0,13.0,0.0
694991,10.0,2013-11-03 16:00:00,80,Swansea,Away,252.0,22.0,,4.0,4.0,1.0,,188.0,4.0,,5.0,4.0,28.0,36.0,436.0,,,20.0,18.0,25.0,6.0,,,,1.0,1.0,,,,,,,9.0,,,,,,1.0,4.0,5.0,,,,92.0,42.0,,,,5.0,15.0,3.0,6.0,,,3.0,8.0,8.0,,12.0,,48.0,53.0,5.0,19.0,14.0,1.0,,60.0,7.0,11.0,,,1.0,,1.0,154.0,,,,,,7.0,,,,1.0,,,,1.0,14.0,,13.0,13.0,1.0,5.0,143.0,60.0,33.0,6.0,,3.0,3.0,3.0,504.0,,,3.0,2.0,,40.0,57.0,19.0,,,,,133.0,133.0,1.0,18.0,16.0,54.7,,,,1.0,15.0,0.0,,,,131.0,1.0,1.0,2.0,,,,4.0,,3.0,84.0,423.0,9.0,6.0,281.0,42.0,19.0,11.0,3.0,19.0,16.0,,117.0,2.0,258.0,1.0,1.0,20.0,33.0,58.0,5.0,520.0,,1.0,10.0,15.0,,21.0,1.0,706.0,,5.0,5.0,3.0,10.0,0.0
