matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
918900,1,2017-08-12 15:00:00,80,Swansea,Away,163.0,3.0,,2.0,2.0,2.0,1.0,123.0,12.0,,3.0,6.0,4.0,35.0,284.0,,,12.0,17.0,18.0,3.0,,,,,,,,4.0,,,,,,10.0,16.0,13.0,3.0,1.0,51.0,46.0,,,,3.0,20.0,2.0,6.0,,,,3.0,4.0,,10.0,2.0,47.0,42.0,3.0,38.0,17.0,,1.0,45.0,13.0,10.0,,,,1.0,,132.0,,,,,,22.0,,3.0,1.0,17.0,,8.0,8.0,1.0,3.0,99.0,72.0,43.0,13.0,,1.0,2.0,,332.0,11.0,1.0,,54.0,34.0,14.0,,,,,,115.0,115.0,2.0,15.0,24.0,40.4,,,,,20.0,0.0,83.0,,2.0,2.0,1.0,,2.0,,3.0,31.0,264.0,14.0,3.0,191.0,16.0,38.0,6.0,,8.0,8.0,,61.0,8.0,182.0,3.0,,22.0,4.0,71.0,1.0,365.0,,0.0,4.0,11.0,,15.0,1.0,532.0,7.0,11.0,4.0,,8.0,0.0
918910,2,2017-08-19 12:30:00,80,Swansea,Home,168.0,16.0,2.0,6.0,4.0,1.0,1.0,153.0,4.0,,6.0,4.0,8.0,19.0,315.0,,,16.0,11.0,19.0,1.0,1.0,,,,,,,4.0,,1.0,,,,7.0,10.0,7.0,3.0,2.0,65.0,66.0,1.0,1.0,,1.0,18.0,,13.0,,,3.0,13.0,5.0,,13.0,1.0,52.0,56.0,1.0,28.0,21.0,1.0,2.0,46.0,12.0,11.0,,,2.0,1.0,,149.0,,,,,,8.0,,1.0,,21.0,1.0,10.0,10.0,4.0,6.0,102.0,60.0,28.0,5.0,,2.0,,,381.0,3.0,3.0,,68.0,45.0,23.0,,,,,,147.0,147.0,3.0,31.0,23.0,41.0,1.0,,,,18.0,0.0,90.0,2.0,2.0,4.0,,,5.0,,3.0,71.0,299.0,2.0,2.0,195.0,34.0,28.0,8.0,3.0,22.0,19.0,,110.0,5.0,233.0,2.0,,14.0,10.0,47.0,1.0,406.0,,0.0,5.0,21.0,2.0,23.0,1.0,592.0,12.0,13.0,5.0,3.0,14.0,0.0
918915,3,2017-08-26 15:00:00,80,Swansea,Away,238.0,19.0,1.0,4.0,3.0,3.0,,135.0,10.0,,2.0,3.0,8.0,45.0,369.0,,,15.0,21.0,18.0,2.0,1.0,,,,,,,5.0,,,,,1.0,4.0,7.0,9.0,5.0,2.0,67.0,57.0,2.0,2.0,,4.0,6.0,2.0,7.0,,,1.0,2.0,2.0,,11.0,2.0,50.0,51.0,4.0,28.0,17.0,,1.0,57.0,6.0,9.0,2.0,,3.0,,,168.0,2.0,,2.0,2.0,,19.0,2.0,2.0,,17.0,,5.0,5.0,,2.0,122.0,90.0,43.0,1.0,,2.0,3.0,3.0,428.0,1.0,4.0,,49.0,90.0,14.0,,,,,,133.0,133.0,,25.0,20.0,46.9,,,,,6.0,0.0,107.0,2.0,1.0,3.0,,,2.0,,3.0,44.0,349.0,3.0,5.0,253.0,46.0,28.0,9.0,1.0,5.0,4.0,,89.0,13.0,216.0,2.0,,18.0,10.0,94.0,3.0,464.0,,0.0,7.0,20.0,1.0,20.0,1.0,618.0,8.0,9.0,4.0,1.0,15.0,0.0
918931,4,2017-09-10 16:00:00,80,Swansea,Home,207.0,21.0,3.0,9.0,6.0,5.0,,226.0,1.0,,9.0,5.0,3.0,37.0,424.0,,1.0,20.0,16.0,21.0,5.0,2.0,,2.0,,2.0,,,6.0,,,,,,7.0,7.0,9.0,7.0,3.0,82.0,60.0,2.0,2.0,,3.0,16.0,1.0,5.0,,1.0,7.0,15.0,7.0,,16.0,1.0,53.0,62.0,3.0,28.0,17.0,,,55.0,11.0,14.0,,,5.0,2.0,2.0,175.0,,,,,,5.0,,,,17.0,,7.0,7.0,1.0,9.0,141.0,85.0,49.0,5.0,,3.0,4.0,4.0,506.0,3.0,1.0,,56.0,87.0,45.0,,,,,,160.0,160.0,3.0,27.0,19.0,61.8,,,,1.0,16.0,0.0,127.0,5.0,2.0,7.0,,,5.0,,2.0,90.0,411.0,7.0,7.0,228.0,43.0,28.0,18.0,7.0,31.0,24.0,,139.0,7.0,328.0,,,25.0,6.0,77.0,1.0,525.0,,0.0,10.0,14.0,1.0,21.0,2.0,738.0,21.0,13.0,13.0,8.0,10.0,0.0
918940,5,2017-09-16 17:30:00,80,Swansea,Away,85.0,16.0,1.0,1.0,,4.0,,80.0,8.0,,4.0,7.0,3.0,29.0,164.0,,,7.0,17.0,13.0,,1.0,,,,,,,2.0,,,,,1.0,5.0,10.0,16.0,2.0,2.0,42.0,51.0,,,,8.0,13.0,,7.0,,,1.0,6.0,,,11.0,6.0,46.0,50.0,8.0,44.0,26.0,,,44.0,9.0,10.0,,,2.0,2.0,,135.0,,,,,,21.0,,1.0,,26.0,,8.0,8.0,,4.0,44.0,77.0,33.0,11.0,,1.0,,,221.0,4.0,2.0,,37.0,56.0,13.0,,,,,,127.0,127.0,1.0,22.0,16.0,25.1,,,,,13.0,0.0,36.0,4.0,4.0,8.0,,,4.0,,3.0,26.0,146.0,5.0,1.0,106.0,26.0,44.0,13.0,1.0,9.0,8.0,,62.0,11.0,160.0,1.0,,30.0,4.0,76.0,,257.0,,0.0,4.0,17.0,1.0,7.0,3.0,440.0,5.0,10.0,10.0,1.0,14.0,0.0
918951,6,2017-09-23 15:00:00,80,Swansea,Home,182.0,14.0,2.0,8.0,6.0,2.0,2.0,149.0,1.0,,4.0,6.0,14.0,26.0,323.0,,,21.0,29.0,23.0,3.0,3.0,,,,1.0,,,4.0,,,,,3.0,3.0,4.0,4.0,8.0,2.0,72.0,53.0,,1.0,1.0,,13.0,4.0,12.0,,,5.0,12.0,11.0,,15.0,2.0,65.0,68.0,,17.0,9.0,,1.0,62.0,9.0,16.0,,1.0,5.0,5.0,1.0,167.0,,,,,,4.0,1.0,,1.0,9.0,,10.0,10.0,2.0,4.0,91.0,67.0,38.0,4.0,,2.0,4.0,3.0,409.0,2.0,,,41.0,63.0,47.0,,,,,,166.0,166.0,2.0,23.0,24.0,50.8,,,,,13.0,0.0,99.0,1.0,1.0,2.0,,,3.0,1.0,3.0,54.0,312.0,7.0,6.0,212.0,32.0,17.0,10.0,5.0,33.0,28.0,,97.0,5.0,250.0,,,27.0,16.0,62.0,,429.0,,0.0,10.0,21.0,,24.0,1.0,628.0,20.0,14.0,8.0,6.0,19.0,0.0
918962,7,2017-09-30 15:00:00,80,Swansea,Away,194.0,14.0,1.0,1.0,,1.0,,219.0,,,7.0,3.0,11.0,26.0,412.0,,,17.0,24.0,19.0,4.0,,,1.0,,1.0,,,5.0,,,,,,7.0,7.0,2.0,1.0,5.0,70.0,63.0,,,,3.0,17.0,2.0,6.0,,,1.0,6.0,11.0,,11.0,2.0,65.0,51.0,3.0,18.0,10.0,,,67.0,13.0,14.0,,,2.0,3.0,1.0,163.0,,,,,,5.0,,3.0,,10.0,,12.0,12.0,,7.0,149.0,89.0,52.0,2.0,,2.0,2.0,1.0,480.0,2.0,2.0,,81.0,64.0,30.0,,,,,,159.0,159.0,5.0,21.0,27.0,56.8,,,,,17.0,0.0,119.0,2.0,1.0,3.0,,,3.0,,3.0,72.0,399.0,9.0,4.0,213.0,29.0,18.0,17.0,1.0,21.0,20.0,,114.0,5.0,309.0,3.0,,19.0,12.0,62.0,,501.0,,0.0,6.0,14.0,,29.0,2.0,690.0,6.0,14.0,6.0,1.0,14.0,0.0
918970,8,2017-10-14 15:00:00,80,Swansea,Home,136.0,15.0,,2.0,2.0,2.0,,146.0,3.0,,2.0,7.0,3.0,35.0,280.0,,,21.0,13.0,20.0,2.0,,,1.0,,1.0,,,5.0,,,,,,5.0,4.0,3.0,5.0,2.0,57.0,54.0,2.0,1.0,2.0,3.0,15.0,2.0,12.0,,,5.0,6.0,2.0,,11.0,,52.0,53.0,3.0,15.0,8.0,,,63.0,12.0,16.0,2.0,,4.0,4.0,1.0,137.0,2.0,,1.0,2.0,,7.0,2.0,1.0,1.0,8.0,,13.0,13.0,,2.0,84.0,68.0,36.0,3.0,,1.0,3.0,3.0,340.0,4.0,2.0,,66.0,69.0,20.0,,,,,,131.0,131.0,6.0,11.0,31.0,40.2,,,,,15.0,0.0,82.0,1.0,1.0,2.0,,,2.0,1.0,3.0,58.0,269.0,9.0,4.0,149.0,26.0,15.0,8.0,5.0,17.0,12.0,,100.0,4.0,228.0,1.0,,22.0,3.0,65.0,1.0,360.0,,0.0,7.0,15.0,1.0,23.0,1.0,533.0,16.0,15.0,3.0,5.0,9.0,0.0
918980,9,2017-10-21 15:00:00,80,Swansea,Home,162.0,17.0,5.0,11.0,6.0,1.0,,228.0,2.0,1.0,6.0,2.0,14.0,30.0,379.0,,,25.0,20.0,18.0,11.0,2.0,,,,1.0,1.0,,15.0,,,,,,4.0,6.0,6.0,7.0,12.0,75.0,56.0,,,,1.0,20.0,7.0,13.0,,,7.0,12.0,13.0,1.0,17.0,4.0,62.0,49.0,1.0,21.0,6.0,,,87.0,6.0,9.0,,,4.0,3.0,1.0,175.0,1.0,,1.0,,1.0,5.0,,1.0,,6.0,,4.0,4.0,,6.0,102.0,80.0,43.0,6.0,,6.0,8.0,4.0,445.0,2.0,1.0,1.0,82.0,90.0,36.0,,,,,,152.0,152.0,1.0,23.0,23.0,55.8,,,,,20.0,0.0,111.0,3.0,2.0,5.0,,,8.0,,3.0,113.0,368.0,8.0,14.0,177.0,32.0,21.0,11.0,7.0,35.0,28.0,,160.0,6.0,321.0,1.0,1.0,15.0,14.0,60.0,,463.0,,0.0,19.0,17.0,,31.0,0.0,685.0,21.0,14.0,5.0,7.0,12.0,0.0
918984,10,2017-10-28 15:00:00,80,Swansea,Away,131.0,7.0,,,,1.0,,87.0,4.0,2.0,2.0,6.0,4.0,25.0,218.0,,1.0,12.0,17.0,8.0,1.0,,,,,,,1.0,3.0,,,,,1.0,6.0,12.0,5.0,3.0,1.0,45.0,47.0,1.0,1.0,1.0,2.0,9.0,,3.0,,1.0,2.0,1.0,3.0,,14.0,1.0,45.0,35.0,2.0,38.0,20.0,,,48.0,9.0,9.0,,,,1.0,,121.0,1.0,,1.0,1.0,,18.0,1.0,1.0,,20.0,,18.0,18.0,6.0,2.0,67.0,69.0,24.0,5.0,1.0,1.0,1.0,2.0,263.0,3.0,,,28.0,48.0,18.0,,,,,,122.0,122.0,3.0,24.0,11.0,27.1,,3.0,,,9.0,0.0,67.0,3.0,,3.0,1.0,,2.0,,3.0,30.0,202.0,5.0,2.0,146.0,23.0,38.0,6.0,2.0,7.0,5.0,,69.0,7.0,161.0,1.0,2.0,26.0,5.0,73.0,1.0,300.0,,0.0,4.0,14.0,1.0,17.0,0.0,467.0,7.0,11.0,4.0,2.0,7.0,0.0
