matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360472,1,2011-08-15 20:00:00,80,Swansea,Away,308.0,16.0,,2.0,2.0,3.0,1.0,180.0,5.0,2.0,13.0,5.0,34.0,44.0,486.0,,2.0,17.0,10.0,6.0,6.0,1.0,1.0,,,,,,,,,6.0,,,,,,,23.0,7.0,119.0,63.0,,,,1.0,2.0,14.0,,4.0,6.0,3.0,,13.0,7.0,45.0,48.0,1.0,16.0,7.0,1.0,,53.0,3.0,10.0,,,3.0,2.0,,185.0,,,,,,,9.0,,,,13.0,,13.0,8.0,,13.0,147.0,88.0,55.0,7.0,,2.0,5.0,3.0,6.0,,,54.0,81.0,10.0,,,,,,156.0,145.0,1.0,24.0,21.0,57.6,,,0.0,129.0,7.0,4.0,,1.0,1.0,3.0,,3.0,50.0,7.0,338.0,34.0,27.0,18.0,3.0,14.0,11.0,1.0,89.0,8.0,256.0,,2.0,26.0,35.0,71.0,1.0,580.0,1.0,0.0,8.0,20.0,4.0,18.0,0.0,781.0,14.0,12.0,4.0,15.0,0.0
360487,2,2011-08-20 15:00:00,80,Swansea,Home,276.0,16.0,,4.0,4.0,2.0,,198.0,4.0,,6.0,1.0,15.0,36.0,470.0,,1.0,23.0,7.0,4.0,7.0,,,,,,,1.0,,1.0,,,,,,,,,6.0,4.0,86.0,55.0,,,,2.0,1.0,5.0,,7.0,10.0,6.0,,11.0,1.0,40.0,41.0,2.0,9.0,4.0,,,54.0,9.0,19.0,,,,,1.0,160.0,,,,,,,8.0,,,1.0,7.0,,10.0,9.0,,6.0,142.0,87.0,54.0,7.0,,5.0,2.0,4.0,1.0,5.0,,61.0,71.0,24.0,,1.0,1.0,1.0,,144.0,140.0,3.0,21.0,24.0,64.0,,,0.0,157.0,3.0,,,1.0,,8.0,,3.0,72.0,7.0,289.0,29.0,13.0,18.0,7.0,27.0,20.0,,112.0,2.0,283.0,,,14.0,16.0,57.0,2.0,545.0,,0.0,13.0,9.0,6.0,24.0,0.0,728.0,10.0,9.0,7.0,8.0,0.0
360495,3,2011-08-27 15:00:00,80,Swansea,Home,198.0,12.0,2.0,7.0,5.0,3.0,,205.0,5.0,2.0,4.0,9.0,23.0,27.0,396.0,,,23.0,18.0,9.0,12.0,3.0,,,,,,,,,,14.0,,,1.0,,,,8.0,4.0,73.0,67.0,3.0,3.0,,4.0,5.0,6.0,,7.0,12.0,4.0,,17.0,2.0,57.0,40.0,4.0,19.0,9.0,,,63.0,7.0,10.0,,,1.0,,,193.0,,,,,,,9.0,,3.0,,10.0,1.0,23.0,18.0,1.0,4.0,127.0,90.0,51.0,4.0,,9.0,6.0,3.0,6.0,2.0,,59.0,90.0,17.0,,,,,,178.0,174.0,4.0,27.0,28.0,62.0,1.0,,0.0,113.0,2.0,,,1.0,,10.0,,3.0,90.0,15.0,230.0,25.0,23.0,15.0,6.0,22.0,16.0,,142.0,8.0,298.0,3.0,2.0,36.0,25.0,56.0,1.0,506.0,,0.0,18.0,15.0,,24.0,1.0,716.0,15.0,6.0,7.0,11.0,0.0
360499,4,2011-09-10 15:00:00,80,Swansea,Away,157.0,19.0,2.0,5.0,3.0,,,154.0,7.0,,2.0,6.0,26.0,28.0,306.0,,,14.0,14.0,3.0,7.0,2.0,,,1.0,1.0,,2.0,,,,6.0,,,1.0,,,,8.0,11.0,61.0,62.0,2.0,2.0,,2.0,4.0,7.0,1.0,5.0,11.0,5.0,,15.0,2.0,48.0,39.0,2.0,14.0,5.0,1.0,,56.0,8.0,10.0,,,2.0,,2.0,117.0,,,,,,,15.0,,1.0,1.0,11.0,1.0,15.0,11.0,1.0,3.0,100.0,68.0,35.0,4.0,,4.0,5.0,2.0,6.0,2.0,,37.0,66.0,15.0,,,,,,136.0,128.0,5.0,28.0,24.0,43.5,1.0,,0.0,101.0,3.0,,,,,6.0,,3.0,61.0,9.0,175.0,34.0,22.0,15.0,3.0,19.0,16.0,,96.0,2.0,223.0,2.0,,18.0,27.0,50.0,2.0,379.0,1.0,0.0,12.0,16.0,,15.0,2.0,556.0,7.0,10.0,5.0,8.0,0.0
360516,5,2011-09-17 15:00:00,80,Swansea,Home,294.0,21.0,1.0,5.0,4.0,3.0,,192.0,8.0,,4.0,8.0,43.0,48.0,481.0,,,13.0,8.0,8.0,4.0,1.0,1.0,,1.0,,,1.0,,,,5.0,1.0,,,,,,5.0,10.0,97.0,58.0,3.0,1.0,3.0,2.0,3.0,5.0,,2.0,7.0,3.0,,15.0,3.0,37.0,45.0,2.0,8.0,4.0,,,47.0,4.0,9.0,1.0,,3.0,,1.0,156.0,2.0,,,1.0,1.0,1.0,13.0,1.0,2.0,,9.0,,18.0,11.0,2.0,4.0,168.0,91.0,58.0,8.0,2.0,1.0,6.0,4.0,4.0,3.0,,54.0,84.0,8.0,,,,,1.0,144.0,133.0,2.0,25.0,25.0,53.7,,,0.0,139.0,2.0,3.0,,,1.0,3.0,,3.0,65.0,7.0,320.0,33.0,19.0,11.0,2.0,12.0,10.0,2.0,94.0,5.0,252.0,2.0,,38.0,45.0,72.0,,560.0,,0.0,10.0,22.0,,16.0,1.0,736.0,16.0,6.0,2.0,18.0,0.0
360520,6,2011-09-24 15:00:00,80,Swansea,Away,236.0,26.0,4.0,8.0,4.0,,1.0,202.0,8.0,,4.0,4.0,33.0,42.0,430.0,,1.0,14.0,5.0,3.0,2.0,4.0,,,,,,,,,,1.0,,,,,,2.0,9.0,6.0,95.0,53.0,2.0,1.0,1.0,2.0,3.0,10.0,,6.0,8.0,5.0,1.0,14.0,2.0,46.0,38.0,2.0,9.0,4.0,,,55.0,12.0,15.0,,,1.0,2.0,,138.0,1.0,1.0,1.0,,1.0,,16.0,,1.0,1.0,6.0,1.0,16.0,14.0,1.0,5.0,135.0,85.0,53.0,1.0,,3.0,4.0,1.0,1.0,,,82.0,63.0,14.0,,,,,,134.0,127.0,1.0,30.0,18.0,50.4,,,0.0,127.0,1.0,2.0,,1.0,,3.0,2.0,3.0,90.0,7.0,254.0,40.0,16.0,7.0,6.0,21.0,15.0,,125.0,1.0,262.0,1.0,,15.0,33.0,59.0,4.0,495.0,,0.0,7.0,19.0,3.0,16.0,3.0,659.0,14.0,1.0,6.0,13.0,0.0
360536,7,2011-10-02 15:00:00,80,Swansea,Home,207.0,14.0,2.0,3.0,1.0,2.0,,140.0,4.0,,1.0,25.0,40.0,45.0,344.0,,,24.0,18.0,5.0,3.0,2.0,,,,,,2.0,,,,,1.0,,,,,,4.0,7.0,89.0,64.0,,,2.0,5.0,4.0,8.0,,6.0,7.0,3.0,,11.0,3.0,61.0,49.0,5.0,16.0,9.0,,,54.0,15.0,18.0,2.0,,,,2.0,170.0,,,,,,,6.0,,1.0,1.0,18.0,,7.0,7.0,1.0,1.0,90.0,93.0,56.0,5.0,,2.0,3.0,3.0,3.0,2.0,,41.0,68.0,10.0,,,,,1.0,170.0,151.0,2.0,28.0,26.0,59.1,,,0.0,93.0,1.0,1.0,,1.0,,4.0,,2.0,60.0,5.0,243.0,25.0,35.0,18.0,4.0,14.0,10.0,,97.0,9.0,213.0,2.0,,57.0,41.0,71.0,2.0,442.0,,0.0,11.0,18.0,1.0,27.0,3.0,634.0,12.0,8.0,6.0,10.0,0.0
360544,8,2011-10-15 15:00:00,80,Swansea,Away,301.0,17.0,,4.0,4.0,2.0,1.0,238.0,6.0,,10.0,4.0,25.0,38.0,535.0,,,21.0,10.0,1.0,8.0,,,,,,,,,,,11.0,,,,,,,9.0,9.0,98.0,51.0,,,,2.0,2.0,6.0,,4.0,8.0,,,20.0,3.0,46.0,29.0,2.0,12.0,4.0,,,61.0,5.0,5.0,1.0,,1.0,1.0,,177.0,,,,,,,13.0,1.0,3.0,,7.0,,12.0,7.0,,10.0,164.0,94.0,64.0,4.0,,7.0,1.0,3.0,2.0,2.0,,55.0,77.0,10.0,,,,,,141.0,127.0,2.0,25.0,13.0,60.2,,,0.0,159.0,1.0,2.0,,,,7.0,,3.0,75.0,8.0,319.0,32.0,26.0,17.0,3.0,12.0,9.0,,105.0,4.0,291.0,3.0,,17.0,25.0,55.0,2.0,598.0,,0.0,12.0,11.0,,25.0,1.0,789.0,16.0,12.0,4.0,10.0,0.0
360558,9,2011-10-22 12:45:00,80,Swansea,Away,215.0,14.0,3.0,9.0,6.0,2.0,,152.0,7.0,1.0,3.0,,9.0,25.0,358.0,,1.0,14.0,7.0,2.0,14.0,1.0,,,,,,,,,,15.0,,,,,,,12.0,10.0,86.0,42.0,5.0,3.0,2.0,8.0,4.0,4.0,,13.0,10.0,4.0,,6.0,3.0,31.0,42.0,8.0,30.0,15.0,,,43.0,11.0,13.0,1.0,,1.0,1.0,,148.0,2.0,,2.0,2.0,,,8.0,2.0,2.0,,28.0,,16.0,8.0,,4.0,107.0,81.0,43.0,8.0,1.0,4.0,13.0,9.0,6.0,2.0,,38.0,75.0,16.0,,,,,,147.0,126.0,,18.0,12.0,52.4,,,0.0,101.0,4.0,3.0,,,,4.0,,3.0,72.0,17.0,242.0,23.0,51.0,9.0,11.0,26.0,15.0,,97.0,5.0,226.0,3.0,1.0,22.0,11.0,59.0,1.0,442.0,,0.0,17.0,21.0,2.0,18.0,0.0,669.0,7.0,6.0,13.0,13.0,0.0
360565,10,2011-10-29 15:00:00,80,Swansea,Home,369.0,15.0,3.0,4.0,1.0,,,255.0,9.0,,4.0,2.0,30.0,38.0,620.0,1.0,3.0,21.0,12.0,5.0,17.0,2.0,,,,,,,1.0,,,18.0,1.0,,2.0,,,1.0,6.0,3.0,115.0,41.0,4.0,4.0,2.0,1.0,9.0,6.0,,10.0,9.0,1.0,,9.0,1.0,39.0,38.0,1.0,7.0,3.0,,1.0,52.0,9.0,13.0,1.0,,1.0,,,174.0,2.0,1.0,1.0,1.0,1.0,,10.0,1.0,1.0,,9.0,2.0,5.0,4.0,,4.0,190.0,86.0,74.0,2.0,2.0,5.0,16.0,8.0,1.0,,1.0,66.0,71.0,12.0,,,,,1.0,102.0,95.0,1.0,15.0,21.0,69.5,2.0,,0.0,193.0,2.0,1.0,,,,6.0,,1.0,92.0,21.0,385.0,24.0,14.0,11.0,8.0,18.0,10.0,,121.0,3.0,305.0,1.0,,5.0,32.0,49.0,6.0,672.0,1.0,0.0,23.0,12.0,4.0,21.0,3.0,829.0,10.0,8.0,10.0,7.0,0.0
