matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755307,1.0,2014-08-16 12:45:00,80,Swansea,Away,202.0,8.0,,2.0,2.0,1.0,,107.0,5.0,,7.0,5.0,15.0,28.0,307.0,,1.0,19.0,20.0,10.0,3.0,,,,,,,,,,,5.0,,,,,,8.0,8.0,6.0,,,,65.0,57.0,,,,4.0,13.0,1.0,13.0,,,,4.0,4.0,7.0,1.0,65.0,44.0,4.0,35.0,17.0,,,34.0,20.0,11.0,,1.0,1.0,1.0,,128.0,2.0,,2.0,2.0,,,9.0,,,2.0,6.0,,,,,17.0,,17.0,17.0,3.0,7.0,105.0,78.0,42.0,4.0,2.0,,5.0,4.0,352.0,,,3.0,2.0,,45.0,37.0,4.0,,,,,115.0,115.0,3.0,24.0,14.0,40.4,,,1.0,13.0,0.0,,,,85.0,1.0,3.0,4.0,,1.0,,,,3.0,37.0,284.0,7.0,5.0,224.0,22.0,35.0,10.0,,9.0,9.0,,55.0,2.0,168.0,6.0,,19.0,17.0,60.0,1.0,383.0,,0.0,5.0,19.0,2.0,23.0,4.0,569.0,,11.0,4.0,,19.0,0.0
755321,2.0,2014-08-23 15:00:00,80,Swansea,Home,319.0,14.0,,2.0,2.0,7.0,,162.0,7.0,1.0,5.0,12.0,29.0,46.0,479.0,,1.0,13.0,22.0,19.0,4.0,1.0,,,,,,,,,,7.0,,,,,3.0,6.0,7.0,5.0,,,,95.0,59.0,1.0,1.0,,2.0,15.0,2.0,3.0,,,2.0,7.0,7.0,6.0,1.0,55.0,52.0,2.0,39.0,23.0,,2.0,54.0,14.0,12.0,,1.0,3.0,1.0,,182.0,1.0,,,1.0,,,9.0,,,1.0,7.0,,,,1.0,23.0,,11.0,11.0,3.0,5.0,146.0,86.0,51.0,3.0,1.0,,6.0,5.0,532.0,,,5.0,2.0,,35.0,79.0,12.0,,,,,129.0,129.0,2.0,26.0,19.0,55.4,,,1.0,15.0,0.0,,,,135.0,1.0,,1.0,,2.0,,3.0,,3.0,57.0,460.0,9.0,6.0,340.0,22.0,39.0,19.0,2.0,17.0,15.0,,87.0,12.0,235.0,7.0,1.0,32.0,30.0,77.0,3.0,558.0,,0.0,10.0,16.0,1.0,15.0,2.0,757.0,,8.0,6.0,2.0,11.0,0.0
755330,3.0,2014-08-30 15:00:00,80,Swansea,Home,329.0,17.0,,2.0,2.0,1.0,1.0,183.0,3.0,,10.0,3.0,23.0,32.0,510.0,,1.0,15.0,10.0,12.0,7.0,1.0,,,,,,,,2.0,,12.0,,,,,2.0,7.0,6.0,10.0,,,,95.0,62.0,3.0,1.0,2.0,6.0,20.0,,3.0,,1.0,,8.0,3.0,13.0,2.0,43.0,42.0,6.0,29.0,15.0,,1.0,40.0,10.0,6.0,,1.0,3.0,2.0,,163.0,2.0,,2.0,2.0,,,6.0,,,3.0,1.0,,,,1.0,15.0,,19.0,19.0,1.0,11.0,162.0,71.0,51.0,7.0,3.0,5.0,5.0,8.0,558.0,,,7.0,1.0,,37.0,93.0,10.0,,,,,107.0,107.0,2.0,25.0,22.0,55.9,,,2.0,20.0,0.0,,,,153.0,,2.0,2.0,,,,7.0,,3.0,49.0,500.0,8.0,10.0,344.0,28.0,29.0,16.0,,13.0,13.0,1.0,71.0,6.0,242.0,1.0,,9.0,25.0,50.0,2.0,573.0,1.0,0.0,15.0,16.0,1.0,15.0,1.0,770.0,,7.0,8.0,,9.0,0.0
755334,4.0,2014-09-13 15:00:00,80,Swansea,Away,251.0,15.0,,2.0,2.0,1.0,,145.0,4.0,,10.0,5.0,33.0,21.0,394.0,1.0,2.0,13.0,11.0,6.0,8.0,1.0,,,,,,,,,2.0,11.0,,,,,,7.0,17.0,13.0,6.0,6.0,,90.0,62.0,2.0,1.0,1.0,7.0,14.0,2.0,20.0,,,4.0,5.0,6.0,10.0,4.0,59.0,48.0,7.0,40.0,15.0,,,34.0,11.0,12.0,,,,,,151.0,1.0,,1.0,1.0,,,11.0,,,1.0,3.0,,,,,15.0,,13.0,13.0,2.0,10.0,109.0,75.0,43.0,7.0,1.0,7.0,3.0,2.0,426.0,,,7.0,1.0,,38.0,49.0,16.0,,,,,104.0,104.0,1.0,29.0,21.0,44.7,,3.0,1.0,14.0,0.0,,,,105.0,2.0,3.0,5.0,,,,8.0,,3.0,29.0,374.0,6.0,10.0,266.0,24.0,40.0,19.0,4.0,15.0,11.0,,50.0,1.0,204.0,3.0,1.0,20.0,33.0,51.0,,455.0,1.0,0.0,12.0,18.0,2.0,13.0,3.0,668.0,13.0,12.0,12.0,4.0,15.0,0.0
755350,5.0,2014-09-20 15:00:00,80,Swansea,Home,206.0,13.0,1.0,2.0,1.0,3.0,,133.0,3.0,,12.0,9.0,9.0,28.0,337.0,,,14.0,12.0,11.0,2.0,1.0,,,,,,,,,1.0,4.0,,1.0,,,,6.0,8.0,3.0,,,,53.0,65.0,2.0,2.0,,6.0,14.0,1.0,2.0,,,2.0,5.0,4.0,5.0,2.0,39.0,39.0,6.0,42.0,24.0,,,51.0,11.0,15.0,,,2.0,2.0,,144.0,,,,,,,8.0,,,,7.0,,,,,24.0,1.0,16.0,16.0,,12.0,124.0,78.0,35.0,4.0,,1.0,2.0,2.0,388.0,,,2.0,3.0,,42.0,46.0,9.0,,,,,121.0,121.0,1.0,24.0,23.0,44.0,1.0,,,14.0,0.0,,,,97.0,2.0,1.0,3.0,1.0,,,2.0,,2.0,42.0,319.0,6.0,4.0,222.0,36.0,42.0,18.0,2.0,13.0,11.0,,74.0,10.0,209.0,7.0,,23.0,9.0,68.0,,418.0,,1.0,5.0,6.0,,16.0,0.0,604.0,,8.0,7.0,2.0,5.0,0.0
755361,6.0,2014-09-27 15:00:00,80,Swansea,Away,179.0,13.0,,2.0,2.0,2.0,1.0,156.0,5.0,2.0,6.0,6.0,28.0,29.0,333.0,,,10.0,9.0,12.0,6.0,1.0,,,,,,,,,,6.0,,,,,1.0,5.0,6.0,9.0,,,,86.0,64.0,,,,1.0,8.0,,10.0,,2.0,1.0,7.0,4.0,11.0,2.0,50.0,52.0,1.0,33.0,18.0,,,51.0,15.0,13.0,,,2.0,3.0,,137.0,,,,,,,7.0,,,,2.0,,,,,18.0,,19.0,19.0,4.0,7.0,83.0,74.0,48.0,10.0,,6.0,1.0,1.0,372.0,,,6.0,2.0,,41.0,42.0,12.0,,,,,109.0,109.0,2.0,29.0,24.0,50.5,,,1.0,8.0,0.0,,,,88.0,2.0,1.0,3.0,1.0,,,6.0,,3.0,57.0,317.0,7.0,7.0,192.0,19.0,33.0,14.0,1.0,15.0,14.0,,82.0,5.0,217.0,2.0,2.0,23.0,31.0,58.0,2.0,394.0,,1.0,7.0,18.0,1.0,10.0,1.0,585.0,,14.0,9.0,1.0,15.0,0.0
755370,7.0,2014-10-04 15:00:00,80,Swansea,Home,344.0,27.0,1.0,3.0,2.0,3.0,1.0,200.0,5.0,1.0,3.0,4.0,33.0,36.0,541.0,,1.0,20.0,13.0,15.0,6.0,1.0,,,,,,,,,2.0,8.0,,,,,1.0,6.0,7.0,2.0,,,,115.0,67.0,3.0,1.0,2.0,2.0,19.0,1.0,9.0,,,3.0,4.0,4.0,14.0,1.0,56.0,50.0,2.0,26.0,14.0,,1.0,64.0,11.0,14.0,1.0,,3.0,2.0,,214.0,2.0,,2.0,2.0,,,5.0,,,2.0,1.0,,,,1.0,14.0,,21.0,21.0,1.0,4.0,157.0,101.0,71.0,1.0,1.0,4.0,5.0,5.0,604.0,,,1.0,,,60.0,50.0,21.0,,,,,142.0,142.0,3.0,27.0,32.0,62.9,,,1.0,19.0,0.0,,,,141.0,1.0,1.0,2.0,,,,5.0,,2.0,67.0,522.0,5.0,9.0,362.0,43.0,26.0,19.0,3.0,13.0,10.0,,106.0,8.0,278.0,1.0,1.0,15.0,36.0,59.0,3.0,627.0,,0.0,11.0,14.0,1.0,22.0,1.0,823.0,,15.0,8.0,3.0,13.0,0.0
755381,8.0,2014-10-19 16:00:00,80,Swansea,Away,224.0,8.0,,3.0,3.0,3.0,1.0,174.0,5.0,,7.0,4.0,24.0,18.0,395.0,,1.0,25.0,18.0,16.0,7.0,,,,1.0,,1.0,2.0,,,1.0,7.0,1.0,,,,2.0,4.0,9.0,8.0,,,,100.0,58.0,3.0,4.0,1.0,2.0,13.0,4.0,13.0,,1.0,5.0,6.0,3.0,15.0,,60.0,69.0,2.0,27.0,15.0,,,53.0,7.0,17.0,1.0,,5.0,2.0,2.0,179.0,,,,,,,10.0,,,,2.0,,,,1.0,15.0,,11.0,11.0,1.0,7.0,105.0,85.0,50.0,3.0,,3.0,4.0,5.0,457.0,,,6.0,1.0,,26.0,52.0,14.0,1.0,1.0,1.0,1.0,137.0,137.0,,29.0,21.0,57.0,,,,13.0,0.0,,,,99.0,1.0,,1.0,,,,4.0,,3.0,56.0,377.0,7.0,8.0,246.0,26.0,27.0,19.0,5.0,16.0,11.0,,90.0,7.0,253.0,2.0,,18.0,25.0,57.0,,483.0,,0.0,13.0,25.0,2.0,25.0,1.0,693.0,,12.0,11.0,5.0,22.0,0.0
755389,9.0,2014-10-25 17:30:00,80,Swansea,Home,246.0,15.0,1.0,1.0,,4.0,,202.0,5.0,,10.0,4.0,16.0,22.0,447.0,1.0,3.0,18.0,17.0,15.0,3.0,1.0,,,,,,,,,1.0,6.0,,1.0,,,,4.0,4.0,5.0,,,,84.0,73.0,2.0,1.0,2.0,6.0,15.0,,9.0,,,2.0,9.0,2.0,7.0,3.0,50.0,43.0,6.0,23.0,10.0,,1.0,60.0,7.0,10.0,2.0,,,,,186.0,2.0,,2.0,2.0,,,10.0,,,2.0,1.0,,,,,10.0,1.0,17.0,17.0,,10.0,145.0,76.0,48.0,2.0,,3.0,3.0,3.0,521.0,,,1.0,1.0,,51.0,53.0,15.0,,,,,140.0,140.0,5.0,22.0,32.0,49.5,1.0,,1.0,15.0,0.0,,,,128.0,2.0,2.0,4.0,,2.0,,4.0,,3.0,73.0,431.0,7.0,6.0,276.0,26.0,23.0,15.0,2.0,13.0,11.0,1.0,109.0,8.0,280.0,1.0,,20.0,17.0,53.0,1.0,543.0,1.0,0.0,7.0,15.0,8.0,20.0,0.0,718.0,,11.0,5.0,2.0,11.0,0.0
755397,10.0,2014-11-01 15:00:00,80,Swansea,Away,115.0,13.0,,1.0,1.0,,,120.0,6.0,,4.0,5.0,12.0,24.0,234.0,1.0,,13.0,11.0,6.0,6.0,,,,,,,,,,,8.0,,,,,,10.0,6.0,11.0,,,,46.0,61.0,1.0,1.0,,7.0,7.0,4.0,17.0,,1.0,,6.0,3.0,10.0,2.0,57.0,48.0,7.0,36.0,21.0,,,40.0,15.0,10.0,,,1.0,1.0,,138.0,,,,,,,10.0,,,,2.0,,,,,21.0,,18.0,18.0,3.0,4.0,69.0,60.0,29.0,11.0,,3.0,3.0,,284.0,,,5.0,1.0,,33.0,45.0,10.0,,,,,112.0,112.0,2.0,33.0,20.0,33.3,,,1.0,7.0,0.0,,,,53.0,1.0,2.0,3.0,1.0,,,4.0,1.0,3.0,59.0,222.0,5.0,6.0,132.0,20.0,36.0,18.0,,10.0,10.0,1.0,83.0,5.0,184.0,2.0,,25.0,13.0,59.0,1.0,306.0,1.0,1.0,8.0,20.0,,16.0,3.0,496.0,,10.0,12.0,,16.0,0.0
