playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalKicks,cleanSheets,throwInsToOppositionPlayer,ownGoalScored,successfulLaunches,gkSuccessfulDistribution,throwInsToOwnPlayer,overruns,goals,awayGoals,homeGoals,rightFootGoals,leftFootGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,penaltyGoalsConceded,savesMade,goalkeeperSmother,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCornersIntoBox,unsuccessfulCornersIntoBox,handballsConceded,expectedGoalsFreekick,foulWonPenalty,headedGoals,freekickTotal,attemptsFromSetPieces,hitWoodwork,clearancesOffTheLine,penaltiesConceded,lastPlayerTackle,penaltiesTaken,penaltyGoals,secondGoalAssists
39155,Adam Lallana,Midfielder,Brighton,36,England,2023-24,44.0,2.0,1.9685,0.0,3.0,2.0,0.353,8.0,8.0,3.0,48.0,25.0,1.0,30.0,13.0,50.0,5.0,499.0,2.0,1.0,12.0,4.0,8.0,1.0,2.0,1.0,846.0,1.0,2.0,5.0,25.0,2.0,10.0,22.0,446.0,46.0,8.3487,14.0,1.0,13.0,2.0,39.0,147.0,11.0,0.0,69.0,1.0,106.0,22.0,25.0,1.0,5.0,9.0,274.0,11.0,5.0,27.0,2.0,61.0,3.0,0.0,484.0,6.0,4.0,99.0,3.0,3.0,1.0,87.0,8.0,3.0,3.0,159.0,604.0,13.0,1.0,1.0,177.0,7.0,0.8315,2.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110735,Adam Webster,Defender,Brighton,36,England,2023-24,38.0,,0.3194,0.0,3.0,1.0,,14.0,5.0,1.0,67.0,15.0,,1.0,13.0,95.0,1.0,1086.0,,,2.0,,46.0,,,1.0,1143.0,1.0,,13.0,50.0,4.0,6.0,17.0,956.0,14.0,17.3806,5.0,41.0,22.0,3.0,25.0,206.0,3.0,0.0,88.0,4.0,376.0,63.0,15.0,,2.0,2.0,366.0,18.0,1.0,4.0,3.0,42.0,33.0,0.0,1062.0,4.0,3.0,108.0,12.0,,12.0,437.0,9.0,16.0,35.0,67.0,1214.0,2.0,,10.0,625.0,8.0,0.4313,2.0,28.0,44.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465607,Ansu Fati,Forward,Brighton,36,Spain,2023-24,45.0,,0.6025,0.0,12.0,11.0,2.4171,5.0,14.0,1.0,25.0,19.0,,9.0,3.0,26.0,3.0,204.0,2.0,2.0,16.0,,11.0,3.0,,6.0,514.0,6.0,1.0,10.0,24.0,4.0,18.0,23.0,172.0,46.0,8.5615,6.0,3.0,12.0,10.0,35.0,73.0,13.0,0.0,69.0,8.0,36.0,22.0,19.0,3.0,2.0,9.0,113.0,8.0,3.0,19.0,10.0,58.0,1.0,0.0,200.0,3.0,5.0,67.0,3.0,5.0,,43.0,6.0,3.0,6.0,52.0,325.0,3.0,2.0,,65.0,4.0,3.4349,2.0,1.0,5.0,,,,,,,,1.0,2.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
489639,Bart Verbruggen,Goalkeeper,Brighton,36,Netherlands,2023-24,2.0,,0.01,0.0,,,,1.0,,,9.0,21.0,,1.0,21.0,107.0,,743.0,,,,,6.0,,,,1890.0,,,,9.0,2.0,1.0,3.0,545.0,,25.2098,,17.0,28.0,,2.0,165.0,2.0,0.0,11.0,,353.0,205.0,21.0,,,,29.0,26.0,,,,5.0,6.0,0.0,647.0,,,109.0,1.0,1.0,,225.0,1.0,,91.0,,976.0,,,48.0,607.0,1.0,,3.0,98.0,41.0,72.0,4.0,,,20.0,185.0,1.0,,,,,,,17.0,21.0,5.0,3.0,6.0,3.0,65.0,7.0,4.0,12.0,42.0,,,,,,,,,,,,,,,
514154,Ben Jackson,Defender,Brighton,36,England,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475480,Benicio Baker-Boaitey,Midfielder,Brighton,36,England,2023-24,4.0,,0.094,0.0,1.0,,,,,,6.0,5.0,,,,6.0,,19.0,1.0,1.0,5.0,,,,,,37.0,,,,1.0,,1.0,1.0,13.0,1.0,0.7751,1.0,1.0,1.0,,4.0,2.0,,0.0,5.0,1.0,5.0,2.0,5.0,,,,10.0,1.0,,1.0,,5.0,,0.0,19.0,,2.0,10.0,,1.0,,8.0,2.0,,,4.0,31.0,,1.0,,3.0,1.0,0.0239,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243568,Billy Gilmour,Midfielder,Brighton,36,Scotland,2023-24,88.0,3.0,2.4991,1.0,11.0,5.0,0.3806,26.0,14.0,9.0,123.0,30.0,1.0,58.0,24.0,162.0,9.0,2065.0,,8.0,6.0,20.0,32.0,4.0,11.0,1.0,2125.0,1.0,1.0,21.0,75.0,3.0,29.0,64.0,1839.0,12.0,31.6373,21.0,14.0,37.0,3.0,67.0,543.0,30.0,0.0,163.0,14.0,475.0,132.0,30.0,4.0,10.0,13.0,939.0,34.0,23.0,22.0,3.0,131.0,11.0,1.0,2024.0,9.0,4.0,244.0,16.0,8.0,9.0,623.0,22.0,11.0,64.0,424.0,2328.0,10.0,8.0,4.0,975.0,15.0,0.981,8.0,39.0,45.0,6.0,3.0,,,1.0,6.0,1.0,2.0,,,,,,,,,,,4.0,,,,,,8.0,12.0,,,,,,,,,,,,,
491598,Cameron Peupion,Midfielder,Brighton,36,Australia,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535301,Carlos Baleba,Midfielder,Brighton,36,Cameroon,2023-24,90.0,,0.2513,0.0,6.0,5.0,0.8809,40.0,15.0,,49.0,27.0,,15.0,15.0,60.0,,773.0,,5.0,12.0,,35.0,5.0,,,1323.0,,,10.0,102.0,5.0,38.0,77.0,695.0,5.0,24.7777,8.0,27.0,28.0,1.0,80.0,196.0,27.0,0.0,192.0,28.0,117.0,95.0,27.0,5.0,20.0,6.0,284.0,23.0,,22.0,1.0,157.0,25.0,0.0,767.0,10.0,4.0,103.0,20.0,11.0,7.0,261.0,40.0,18.0,18.0,199.0,1022.0,8.0,5.0,5.0,429.0,32.0,0.8193,7.0,11.0,26.0,,2.0,,,2.0,,,3.0,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,
50175,Danny Welbeck,Forward,Brighton,36,England,2023-24,77.0,,1.4031,0.0,10.0,16.0,4.728,35.0,31.0,4.0,83.0,29.0,1.0,33.0,21.0,85.0,3.0,506.0,9.0,3.0,8.0,,38.0,2.0,,9.0,1704.0,9.0,8.0,22.0,80.0,2.0,34.0,64.0,420.0,81.0,24.9409,21.0,17.0,28.0,7.0,55.0,125.0,21.0,0.0,157.0,12.0,75.0,42.0,29.0,2.0,18.0,16.0,267.0,26.0,3.0,37.0,7.0,119.0,16.0,0.0,487.0,15.0,9.0,179.0,17.0,8.0,,120.0,12.0,9.0,1.0,186.0,776.0,17.0,3.0,1.0,154.0,9.0,5.3121,4.0,2.0,29.0,,,,,,,2.0,4.0,5.0,4.0,1.0,2.0,2.0,,,,,,1.0,,,,,,,,1.0,0.0574,2.0,1.0,1.0,1.0,1.0,,,,,,
