playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,aerialDuels,shotsOnTargetOutsideBox,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,touches,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,cornersTakenInclShortCorners,cleanSheets,successfulCrossesAndCorners,successfulCornersIntoBox,penaltyGoalsConceded,successfulLaunches,leftFootGoals,redCards2ndYellow,blocks,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,throwInsToOwnPlayer,secondGoalAssists,penaltiesConceded,throwInsToOppositionPlayer,ownGoalScored,headedGoals,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,hitWoodwork,setPiecesGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals
233425,Aaron Connolly,Forward,Brighton,36,Ireland,2019-20,93.0,0.437,0.0,13.0,14.0,3.6346,7.0,25.0,1.0,32.0,24.0,1.0,13.0,2.0,14.0,33.0,9.0,145.0,3.0,14.0,5.0,10.0,61.0,3.0,8.0,1261.0,8.0,2.0,42.0,69.0,3.0,22.0,50.0,111.0,59.0,18.0406,5.0,3.0,22.0,8.0,51.0,33.0,38.0,162.0,11.0,23.0,31.0,24.0,3.0,3.0,1.0,14.0,72.0,19.0,9.0,8.0,101.0,19.0,0.0,132.0,11.0,16.0,131.0,6.0,6.0,37.0,16.0,1.0,52.0,377.0,14.0,5.0,1.0,40.0,3.0,4.0,4.0835,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74471,Aaron Mooy,Midfielder,Brighton,36,Australia,2019-20,132.0,3.226,1.0,8.0,8.0,1.8542,37.0,25.0,4.0,139.0,31.0,2.0,22.0,,25.0,179.0,37.0,971.0,2.0,,6.0,6.0,40.0,3.0,3.0,2089.0,3.0,,25.0,101.0,3.0,68.0,86.0,749.0,43.0,31.3013,37.0,26.0,31.0,2.0,107.0,254.0,11.0,233.0,29.0,344.0,134.0,31.0,3.0,1.0,13.0,18.0,588.0,28.0,86.0,2.0,193.0,15.0,0.0,957.0,17.0,20.0,382.0,24.0,38.0,188.0,13.0,43.0,185.0,1464.0,10.0,6.0,18.0,227.0,8.0,,2.3227,1.0,40.0,37.0,10.0,53.0,2.0,23.0,13.0,2.0,4.0,1.0,1.0,7.0,23.0,36.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
110735,Adam Webster,Defender,Brighton,36,England,2019-20,104.0,0.8422,0.0,3.0,7.0,1.5721,30.0,13.0,1.0,204.0,31.0,1.0,2.0,,31.0,317.0,4.0,1882.0,3.0,,2.0,,176.0,1.0,3.0,2670.0,3.0,,65.0,170.0,5.0,31.0,59.0,1451.0,30.0,41.9284,10.0,107.0,44.0,1.0,39.0,265.0,19.0,274.0,16.0,782.0,176.0,31.0,1.0,1.0,13.0,4.0,441.0,39.0,4.0,1.0,98.0,111.0,0.0,1832.0,6.0,2.0,364.0,17.0,14.0,715.0,13.0,114.0,120.0,2285.0,2.0,2.0,45.0,1126.0,7.0,,1.3323,4.0,113.0,127.0,2.0,,5.0,2.0,,2.0,21.0,,,26.0,45.0,,,22.0,,2.0,9.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
215066,Alex Cochrane,Defender,Brighton,36,England,2019-20,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243016,Alexis Mac Allister,Midfielder,Brighton,36,Argentina,2019-20,22.0,0.1677,0.0,3.0,1.0,0.3676,9.0,4.0,,20.0,9.0,,2.0,,4.0,24.0,4.0,98.0,,1.0,2.0,5.0,8.0,,1.0,352.0,1.0,1.0,5.0,17.0,2.0,16.0,14.0,72.0,7.0,4.1046,5.0,1.0,6.0,1.0,17.0,30.0,4.0,39.0,12.0,26.0,15.0,9.0,,,4.0,2.0,54.0,4.0,20.0,1.0,31.0,3.0,0.0,92.0,3.0,2.0,60.0,5.0,2.0,15.0,4.0,2.0,27.0,183.0,4.0,2.0,,23.0,3.0,,0.4642,0.0,4.0,5.0,1.0,15.0,,3.0,2.0,,,,,,1.0,11.0,,,,,,,,0.038,1.0,1.0,,,,,,,,,,,,,,,,,
165210,Alireza Jahanbakhsh,Forward,Brighton,36,Iran,2019-20,23.0,0.377,0.0,4.0,2.0,0.5181,8.0,8.0,1.0,21.0,10.0,,5.0,,3.0,28.0,24.0,112.0,2.0,1.0,2.0,7.0,6.0,,,308.0,,,6.0,23.0,,10.0,23.0,81.0,10.0,2.143,4.0,1.0,4.0,2.0,17.0,15.0,7.0,46.0,5.0,35.0,16.0,10.0,,2.0,4.0,7.0,67.0,4.0,24.0,2.0,40.0,,0.0,111.0,6.0,6.0,73.0,4.0,8.0,31.0,2.0,3.0,31.0,214.0,3.0,2.0,3.0,17.0,1.0,,0.594,0.0,7.0,4.0,,1.0,,,,,2.0,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
209362,Bernardo,Defender,Brighton,36,Brazil,2019-20,30.0,0.3154,0.0,3.0,2.0,0.3535,27.0,4.0,,68.0,14.0,,1.0,,7.0,87.0,14.0,330.0,,4.0,2.0,7.0,39.0,,2.0,678.0,2.0,,8.0,69.0,3.0,14.0,38.0,231.0,13.0,10.6733,4.0,20.0,17.0,1.0,22.0,92.0,3.0,99.0,4.0,170.0,49.0,14.0,,,11.0,4.0,139.0,14.0,14.0,1.0,60.0,31.0,0.0,329.0,2.0,2.0,140.0,16.0,8.0,13.0,3.0,12.0,55.0,527.0,3.0,2.0,12.0,107.0,3.0,,0.4568,1.0,19.0,34.0,3.0,,,3.0,,,5.0,,,3.0,6.0,,,40.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,
40845,Dale Stephens,Midfielder,Brighton,36,England,2019-20,129.0,1.664,0.0,6.0,2.0,0.1412,73.0,13.0,3.0,166.0,33.0,1.0,11.0,,28.0,240.0,4.0,1676.0,,,4.0,5.0,41.0,2.0,,2528.0,,2.0,22.0,108.0,6.0,36.0,89.0,1327.0,7.0,38.623,19.0,39.0,42.0,2.0,107.0,515.0,6.0,237.0,20.0,442.0,230.0,33.0,2.0,,29.0,2.0,657.0,36.0,4.0,2.0,196.0,19.0,0.0,1670.0,11.0,3.0,282.0,44.0,10.0,435.0,42.0,109.0,284.0,2019.0,4.0,4.0,23.0,779.0,33.0,,0.5707,8.0,74.0,87.0,,,5.0,,,1.0,5.0,,,11.0,58.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
78916,Dan Burn,Defender,Brighton,36,England,2019-20,159.0,1.6934,0.0,3.0,,,67.0,9.0,3.0,274.0,34.0,,,,33.0,408.0,41.0,1571.0,,3.0,1.0,1.0,196.0,,,2881.0,,,55.0,239.0,5.0,71.0,98.0,1118.0,26.0,43.057,19.0,122.0,42.0,2.0,104.0,552.0,15.0,398.0,23.0,699.0,156.0,34.0,,,24.0,21.0,572.0,37.0,41.0,2.0,202.0,141.0,0.0,1560.0,9.0,11.0,581.0,43.0,19.0,91.0,32.0,45.0,229.0,2363.0,2.0,1.0,72.0,601.0,15.0,1.0,1.2136,5.0,134.0,122.0,10.0,,9.0,10.0,,2.0,10.0,,,20.0,42.0,,,220.0,,,40.0,,,,,,1.0,,,,,,,,,,,,,,,,
50093,David Button,Goalkeeper,Brighton,36,England,2019-20,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66242,Davy Pröpper,Midfielder,Brighton,36,Netherlands,2019-20,145.0,2.1124,0.0,10.0,8.0,0.6306,63.0,19.0,3.0,237.0,35.0,2.0,10.0,,32.0,284.0,33.0,1789.0,1.0,,6.0,3.0,50.0,5.0,2.0,2829.0,2.0,1.0,22.0,154.0,7.0,51.0,126.0,1435.0,29.0,41.2316,27.0,33.0,46.0,4.0,123.0,429.0,18.0,299.0,19.0,612.0,236.0,35.0,5.0,,29.0,18.0,844.0,39.0,33.0,4.0,249.0,28.0,0.0,1774.0,11.0,13.0,428.0,34.0,45.0,499.0,31.0,70.0,249.0,2271.0,4.0,6.0,19.0,666.0,26.0,,1.6256,4.0,47.0,99.0,5.0,,6.0,5.0,,1.0,7.0,,,8.0,38.0,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
74375,Ezequiel Schelotto,Defender,Brighton,36,Italy,2019-20,24.0,0.0922,0.0,2.0,1.0,0.0707,4.0,2.0,,33.0,8.0,,,,4.0,38.0,14.0,121.0,,1.0,,4.0,8.0,,1.0,362.0,1.0,,2.0,19.0,,7.0,13.0,80.0,8.0,5.3275,,13.0,7.0,2.0,22.0,6.0,4.0,43.0,3.0,37.0,25.0,8.0,,,1.0,3.0,46.0,7.0,14.0,2.0,35.0,6.0,0.0,121.0,1.0,3.0,79.0,3.0,5.0,59.0,7.0,3.0,19.0,248.0,4.0,,3.0,38.0,4.0,,0.2332,2.0,5.0,18.0,1.0,,,1.0,,1.0,,,,,7.0,,,37.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
93284,Florin Andone,Forward,Brighton,36,Romania,2019-20,9.0,0.0037,1.0,,1.0,0.7645,1.0,1.0,,5.0,3.0,,,,1.0,5.0,,12.0,1.0,,,2.0,5.0,,,72.0,,1.0,1.0,10.0,,1.0,6.0,7.0,3.0,0.3693,1.0,1.0,,,8.0,1.0,3.0,19.0,,2.0,6.0,3.0,,1.0,,5.0,6.0,,,,14.0,4.0,1.0,11.0,,3.0,16.0,1.0,2.0,5.0,2.0,,4.0,37.0,,,,1.0,2.0,,0.3616,0.0,,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20529,Glenn Murray,Forward,Brighton,36,England,2019-20,85.0,0.4834,0.0,3.0,5.0,1.496,5.0,15.0,,58.0,23.0,1.0,12.0,,7.0,63.0,4.0,166.0,1.0,10.0,,16.0,80.0,1.0,3.0,790.0,3.0,3.0,43.0,56.0,1.0,9.0,19.0,102.0,37.0,7.9891,2.0,11.0,10.0,3.0,42.0,51.0,15.0,141.0,4.0,42.0,17.0,23.0,1.0,1.0,3.0,5.0,84.0,9.0,4.0,3.0,61.0,37.0,0.0,164.0,10.0,3.0,114.0,2.0,,33.0,15.0,1.0,40.0,285.0,5.0,,,19.0,6.0,,2.4067,0.0,5.0,13.0,,,,,,,,,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
