season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243388,1,45,Norwich_City,Away,15823,37614,Mario Vrančić,mario-vrancic,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243388,1,45,Norwich_City,Away,75756,78607,Kenny McLean,kenny-mclean,M,False,,,,7.0,22.0,29.0,,,,1.0,,,,,,2.0,3.0,4.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,5.0,,,6.4,,,,,,3.0,1.0,,,,,10.0,22.0,32.0,,,0,2.0,45.0,,1.0,1.0,1.0
2019-20,8243388,1,45,Norwich_City,Away,101789,71738,Marco Stiepermann,marco-stiepermann,M,False,,,,5.0,6.0,11.0,4.0,,,2.0,,,,,,,4.0,2.0,,,,,,,,,,,58.0,1.0,,,,,,,6.0,,,6.4,,,2.0,,,1.0,,,,1.0,,7.0,9.0,16.0,,,3,1.0,23.0,1.0,1.0,,
2019-20,8243388,1,45,Norwich_City,Away,129916,90440,Tom Trybull,tom-trybull,M,False,,,2.0,7.0,24.0,31.0,,3.0,,6.0,,,,4.0,,,7.0,5.0,,,3.0,,,,,1.0,,,70.0,,,,,,,,6.0,,,6.2,,,1.0,,,3.0,,,,2.0,1.0,7.0,28.0,35.0,,,1,1.0,50.0,2.0,1.0,,1.0
2019-20,8243388,1,45,Norwich_City,Away,361326,124165,Patrick Roberts,patrick-roberts,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243388,1,45,Norwich_City,Away,783126,195546,Emiliano Buendía,emiliano-buendia,M,False,1.0,,,20.0,5.0,24.0,2.0,1.0,,3.0,1.0,,,1.0,,5.0,11.0,5.0,,,1.0,1.0,,,,1.0,3.0,,90.0,2.0,,,,,,,20.0,,,6.8,,,,,,1.0,4.0,1.0,,,,24.0,11.0,34.0,,,2,1.0,61.0,1.0,1.0,2.0,
2019-20,8243388,1,45,Norwich_City,Away,891803,194799,Jamal Lewis,jamal-lewis,M,False,,,,15.0,10.0,25.0,,,,2.0,,,,,,2.0,2.0,4.0,,,,,,,,,2.0,,90.0,,1.0,,,,,,17.0,,,6.6,,,,,,4.0,3.0,1.0,,3.0,,23.0,11.0,33.0,,,0,1.0,69.0,,,3.0,1.0
2019-20,8243388,1,45,Norwich_City,Away,907070,193111,Todd Cantwell,todd-cantwell,M,False,,,1.0,17.0,11.0,28.0,1.0,,,4.0,,,,2.0,,4.0,7.0,6.0,,,,,,,,1.0,3.0,,90.0,,,,,,,,12.0,,,6.2,,,,,,1.0,1.0,,,1.0,1.0,21.0,13.0,34.0,,,0,2.0,49.0,1.0,3.0,1.0,1.0
2019-20,8243388,1,45,Norwich_City,Away,2022918,87396,Mo Leitner,mo-leitner,M,True,,,1.0,7.0,7.0,14.0,,,,2.0,,,,2.0,,1.0,4.0,1.0,,,1.0,,,,1.0,1.0,,,32.0,,,,,,,,5.0,,,6.4,,,1.0,,,1.0,,,,1.0,,8.0,8.0,16.0,,,1,,26.0,1.0,1.0,,
2019-20,8243421,2,45,Norwich_City,Home,512,18665,Alexander Tettey,alexander-tettey,M,True,,,,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,2.0,,,6.4,,,,,,1.0,,,,2.0,,1.0,6.0,7.0,,,0,,8.0,,,,
