season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2015-16,6767933,1,45,Norwich_City,Home,512,18665,Alexander Tettey,alexander-tettey,M,False,,,2.0,16.0,14.0,30.0,,2.0,4.0,,,,1.0,,,,4.0,3.0,,,3.0,,,,,,,,54.0,,1.0,,,,,,6.5,,,2.0,,1.0,,,,2.0,,17.0,16.0,33.0,2,1.0,40.0,,1.0,,
2015-16,6767933,1,45,Norwich_City,Home,9148,20141,Graham Dorrans,graham-dorrans,M,False,,,6.0,35.0,16.0,51.0,1.0,,1.0,,,,,,,1.0,4.0,2.0,,,2.0,,,,,2.0,1.0,,80.0,,,,,,,,6.9,,,1.0,,,,,,9.0,,41.0,16.0,57.0,1,,63.0,,2.0,,
2015-16,6767933,1,45,Norwich_City,Home,14336,28499,Wesley Hoolahan,wesley-hoolahan,M,False,,,,39.0,11.0,50.0,2.0,,6.0,,,,,,,3.0,6.0,9.0,,,,1.0,,,,1.0,3.0,,90.0,,,,,,,,6.9,,,,,,3.0,1.0,,2.0,,50.0,14.0,63.0,0,1.0,82.0,2.0,6.0,2.0,
2015-16,6767933,1,45,Norwich_City,Home,20292,19569,Bradley Johnson,bradley-johnson,M,False,1.0,,1.0,18.0,4.0,21.0,,1.0,3.0,,,1.0,1.0,,,3.0,8.0,8.0,,1.0,3.0,,,,,,,,90.0,1.0,,,,,,,6.5,,,2.0,,2.0,1.0,1.0,,3.0,,27.0,5.0,31.0,4,4.0,52.0,1.0,3.0,,
2015-16,6767933,1,45,Norwich_City,Home,29691,5716,Gary O'Neil,gary-oneil,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767933,1,45,Norwich_City,Home,115346,83283,Nathan Redmond,nathan-redmond,M,True,1.0,,,6.0,4.0,9.0,,,1.0,,,,1.0,,,,3.0,,,,2.0,,1.0,,,,1.0,,36.0,1.0,,,,,,,7.0,,,,,,,1.0,,1.0,,8.0,5.0,12.0,1,,15.0,,,,
2015-16,6767933,1,45,Norwich_City,Home,267621,90517,Robbie Brady,robbie-brady,M,False,2.0,,4.0,17.0,10.0,25.0,1.0,1.0,4.0,,,1.0,3.0,,,,5.0,6.0,,,1.0,,,,,,2.0,,90.0,1.0,,,,,,,6.7,,,1.0,,3.0,,7.0,,8.0,,30.0,12.0,35.0,3,3.0,61.0,,2.0,,
2015-16,6767952,2,45,Norwich_City,Away,512,18665,Alexander Tettey,alexander-tettey,M,False,,,4.0,17.0,30.0,47.0,1.0,1.0,10.0,,,,1.0,,,,3.0,5.0,,,1.0,,,,,,,,90.0,,1.0,,,,,,6.9,,,,,2.0,1.0,,,7.0,,26.0,33.0,59.0,0,2.0,68.0,,1.0,1.0,
2015-16,6767952,2,45,Norwich_City,Away,9148,20141,Graham Dorrans,graham-dorrans,M,False,,,4.0,31.0,9.0,40.0,1.0,,4.0,,,,1.0,,,2.0,7.0,3.0,,,2.0,,,,,,,,90.0,,,,,,,,6.5,,,1.0,,2.0,4.0,1.0,,4.0,,37.0,10.0,46.0,1,,64.0,3.0,,3.0,
2015-16,6767952,2,45,Norwich_City,Away,14336,28499,Wesley Hoolahan,wesley-hoolahan,M,False,,,,24.0,10.0,34.0,,,6.0,,,,,,,3.0,5.0,1.0,,,,2.0,,,,2.0,3.0,,62.0,,,,,,,,7.2,,,,,,2.0,2.0,,1.0,,30.0,11.0,39.0,0,,54.0,2.0,1.0,,
