season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576193,1,45,Norwich_City,Home,56601,76306,Lukas Rupp,lukas-rupp,M,False,,,1.0,14.0,22.0,36.0,,1.0,4.0,,,1.0,1.0,,,1.0,2.0,6.0,,,,,,,,,,,,90.0,,,,,,,,11.0,,6.9,,,3.0,,2.0,1.0,1.0,,3.0,,20.0,25.0,44.0,4,2.0,62.0,,2.0,1.0,2.0
2021-22,9576193,1,45,Norwich_City,Home,75756,78607,Kenny McLean,kenny-mclean,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576193,1,45,Norwich_City,Home,354878,189627,Dimitrios Giannoulis,dimitrios-giannoulis,M,False,,,2.0,12.0,37.0,49.0,1.0,1.0,10.0,,,,1.0,,,,3.0,9.0,,,,,,,,,,1.0,,90.0,,,,,,,,15.0,,6.9,,,,,4.0,5.0,5.0,,3.0,,21.0,40.0,56.0,0,3.0,90.0,2.0,1.0,4.0,
2021-22,9576193,1,45,Norwich_City,Home,784503,171270,Kieran Dowell,kieran-dowell,M,True,,,,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,,,,,2.0,,,,,,,,,,,,,4.0,1.0,5.0,0,,6.0,1.0,,,
2021-22,9576193,1,45,Norwich_City,Home,800411,212723,Milot Rashica,milot-rashica,M,False,2.0,,,9.0,10.0,17.0,3.0,1.0,4.0,,,,,,,,7.0,2.0,,,,,,,,,,2.0,,77.0,,,,,,,,12.0,,6.5,,,1.0,,,4.0,7.0,,,1.0,14.0,10.0,17.0,1,,36.0,2.0,1.0,,
2021-22,9576193,1,45,Norwich_City,Home,801306,212325,Pierre Lees Melou,pierre-lees-melou,M,False,2.0,,4.0,12.0,27.0,37.0,,1.0,4.0,1.0,,,,1.0,,1.0,2.0,4.0,,,,,,,,,,2.0,,90.0,,2.0,,,,,,14.0,,7.9,,,1.0,,2.0,1.0,3.0,,5.0,,20.0,30.0,47.0,1,3.0,63.0,,,,2.0
2021-22,9576193,1,45,Norwich_City,Home,837846,235546,Jacob Lungi Sørensen,jacob-lungi-sorensen,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576193,1,45,Norwich_City,Home,907070,193111,Todd Cantwell,todd-cantwell,M,False,,,1.0,12.0,12.0,24.0,1.0,,8.0,,,,1.0,,,2.0,6.0,9.0,,,1.0,,,,,,1.0,2.0,,86.0,,,,,,,,12.0,,7.2,,,1.0,,1.0,1.0,,,2.0,,16.0,13.0,29.0,1,5.0,49.0,3.0,4.0,,5.0
2021-22,9576193,1,45,Norwich_City,Home,907668,243568,Billy Gilmour,billy-gilmour,M,False,,,6.0,18.0,50.0,68.0,1.0,,4.0,,,,1.0,,,1.0,3.0,4.0,,,,,,,,,1.0,,,90.0,,,,,,,,13.0,,6.7,,,,,2.0,2.0,2.0,,10.0,,23.0,55.0,76.0,0,1.0,90.0,2.0,1.0,2.0,1.0
2021-22,9576193,1,45,Norwich_City,Home,933320,220686,Bali Mumba,bali-mumba,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
