season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436875,1,17,Nottingham_Forest,Home,50480,60689,Chris Wood,chris-wood,F,False,,,1.0,11.0,5.0,16.0,4.0,7.0,2.0,,,,,,,5.0,7.0,,,0.0225409,0.7061,0.9484,1.0,0.0,1.0,,,,,,,72.0,1.0,,,,,13.0,,7.2,,,,,,,,,3.0,1.0,19.0,7.0,26.0,1,,32.0,3.0,,,
2024-25,12436875,1,17,Nottingham_Forest,Home,359664,210156,Taiwo Awoniyi,taiwo-awoniyi,F,True,,,,4.0,,4.0,1.0,,1.0,,,,,,,2.0,2.0,,,0.0282416,0.1151,0.0411,1.0,0.0,,,,,,,,18.0,1.0,,,,,1.0,,6.9,,,,,,1.0,,,,,5.0,,5.0,1,,9.0,,1.0,1.0,
2024-25,12436875,1,17,Nottingham_Forest,Home,979232,449434,Anthony Elanga,anthony-elanga,F,False,,,,14.0,12.0,26.0,,1.0,6.0,,,,,,4.0,4.0,5.0,,,0.163622,0.0183,0.0723,,0.0,,,,,,2.0,,54.0,1.0,,,,,10.0,,7.1,,,,,,2.0,1.0,,1.0,,18.0,13.0,30.0,1,,44.0,,2.0,2.0,
2024-25,12436875,1,17,Nottingham_Forest,Home,1011895,510500,Jota Silva,jota-silva,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436900,2,17,Nottingham_Forest,Away,50480,60689,Chris Wood,chris-wood,F,False,1.0,,,6.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,,,,,2.0,3.0,,,0.0889527,0.2364,0.1287,1.0,0.0,,,,,1.0,1.0,,75.0,2.0,,,,,6.0,,6.4,,,1.0,,,,1.0,,,,8.0,4.0,11.0,3,,18.0,1.0,1.0,,
2024-25,12436900,2,17,Nottingham_Forest,Away,359664,210156,Taiwo Awoniyi,taiwo-awoniyi,F,True,,,,3.0,,3.0,,,1.0,,,,,,,,2.0,,,0.0019216,,,,0.0,,,,,,,,15.0,,,,,,2.0,,6.7,,,,,1.0,,,,,,3.0,,3.0,0,1.0,8.0,2.0,1.0,,
2024-25,12436900,2,17,Nottingham_Forest,Away,979232,449434,Anthony Elanga,anthony-elanga,F,False,2.0,,1.0,17.0,2.0,17.0,,1.0,5.0,1.0,,1.0,1.0,,,7.0,5.0,,,0.242345,0.2223,0.097,,0.0,,,,,1.0,3.0,,90.0,1.0,,,,,19.0,,7.2,,,,,1.0,7.0,9.0,,1.0,1.0,26.0,2.0,19.0,2,2.0,46.0,4.0,1.0,1.0,1.0
2024-25,12436900,2,17,Nottingham_Forest,Away,1011895,510500,Jota Silva,jota-silva,F,True,,,1.0,1.0,,1.0,,,,,,,,,,,,,,4.494e-05,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,0,,2.0,,,,
2024-25,12436926,3,17,Nottingham_Forest,Home,50480,60689,Chris Wood,chris-wood,F,False,,,1.0,5.0,10.0,15.0,3.0,2.0,1.0,,1.0,1.0,,,2.0,6.0,6.0,,,0.0138065,0.4711,1.0657,1.0,0.0,1.0,,,,1.0,,,90.0,3.0,,,,,9.0,,7.5,,,1.0,,1.0,1.0,,,1.0,3.0,9.0,10.0,19.0,5,,40.0,3.0,3.0,1.0,
2024-25,12436926,3,17,Nottingham_Forest,Home,359664,210156,Taiwo Awoniyi,taiwo-awoniyi,F,True,,,,,,,2.0,,,,,,,,,3.0,,,,,,,1.0,0.0,,,,,,,,10.0,,,,,,1.0,,6.4,,,,,,,,,,,,,,0,,2.0,1.0,,,
