season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090049,5,11,Everton,Home,96372,94924,Gerard Deulofeu,gerard-deulofeu,F,True,,,1.0,6.0,3.0,9.0,,,2.0,,,,2.0,,1.0,4.0,1.0,,,1.0,,,,,1.0,,,18.0,,,,,,,,,3.0,,6.5,,,,,,1.0,,,1.0,,8.0,3.0,11.0,0,,14.0,,,1.0,
2016-17,7090049,5,11,Everton,Home,106456,148179,Enner Valencia,enner-valencia,F,True,,,,4.0,,4.0,,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,24.0,,,,,,,,,5.0,,6.6,,,,,,,,,,1.0,5.0,1.0,6.0,0,,11.0,2.0,1.0,,
2016-17,7090061,6,11,Everton,Away,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,3.0,,3.0,13.0,4.0,14.0,2.0,2.0,3.0,,,1.0,1.0,,1.0,11.0,8.0,,,2.0,,,,,,1.0,,90.0,,,,,,,,,24.0,,6.3,,,1.0,,,5.0,7.0,,4.0,,24.0,6.0,23.0,2,3.0,50.0,5.0,3.0,,2.0
2016-17,7090061,6,11,Everton,Away,78893,66749,Romelu Lukaku,romelu-lukaku,F,False,,,1.0,13.0,4.0,17.0,3.0,6.0,3.0,,1.0,1.0,,,,5.0,6.0,,,1.0,,,,,,2.0,,90.0,1.0,,,,,,,,6.0,,6.9,,,,,,1.0,1.0,,1.0,,17.0,5.0,21.0,2,,26.0,,,,
2016-17,7090061,6,11,Everton,Away,96372,94924,Gerard Deulofeu,gerard-deulofeu,F,True,,,1.0,4.0,2.0,6.0,,,5.0,,,,1.0,,1.0,3.0,1.0,,,,,,,,,1.0,,30.0,,,,,,,,,11.0,,6.5,,,,,,1.0,4.0,,1.0,,11.0,3.0,10.0,0,1.0,20.0,,,,1.0
2016-17,7090061,6,11,Everton,Away,106456,148179,Enner Valencia,enner-valencia,F,True,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,9.0,,,,,,,,,1.0,,6.6,,,1.0,,,,,,,1.0,1.0,,1.0,1,,4.0,1.0,,,
2016-17,7090063,7,11,Everton,Home,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,1.0,,,17.0,2.0,18.0,2.0,2.0,4.0,1.0,,1.0,,,2.0,8.0,9.0,,,4.0,,,,,,1.0,,90.0,,1.0,,,,,,,19.0,,7.5,,,1.0,,3.0,6.0,8.0,,,2.0,30.0,2.0,24.0,2,,54.0,3.0,1.0,6.0,
2016-17,7090063,7,11,Everton,Home,78893,66749,Romelu Lukaku,romelu-lukaku,F,False,,,,17.0,1.0,18.0,7.0,2.0,2.0,,,1.0,,,5.0,14.0,5.0,,,2.0,,1.0,,,,2.0,,90.0,2.0,1.0,,,,,,,17.0,,7.4,,,,,,1.0,,,1.0,,23.0,2.0,25.0,3,,44.0,2.0,2.0,1.0,
2016-17,7090063,7,11,Everton,Home,106456,148179,Enner Valencia,enner-valencia,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090073,8,11,Everton,Away,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,,,,5.0,5.0,10.0,2.0,,3.0,,,,,,2.0,9.0,5.0,,,2.0,1.0,,,,,2.0,,84.0,,,,,,,,,20.0,,6.7,,,,,1.0,7.0,6.0,,1.0,,14.0,8.0,16.0,0,1.0,37.0,2.0,,4.0,1.0
