season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385509,1,11,Everton,Home,914902,232826,Anthony Gordon,anthony-gordon,F,False,,,1.0,6.0,4.0,10.0,5.0,2.0,3.0,,,,1.0,,,4.0,14.0,7.0,,,0.00564808,0.0529,0.0,2.0,,,,,,,,,90.0,,,,,,,17.0,,6.4,,,1.0,,,4.0,2.0,,1.0,,12.0,5.0,15.0,1,2.0,36.0,3.0,1.0,2.0,2.0
2022-23,10385503,2,11,Everton,Away,35532,57134,Salomón Rondón,salomon-rondon,F,True,,,,4.0,1.0,5.0,3.0,2.0,1.0,,1.0,,,,,,3.0,2.0,,,0.109408,0.5445,0.8655,,,,,,,,1.0,,26.0,1.0,,,,,,2.0,,6.4,,,,,,,,,,,5.0,2.0,7.0,1,,8.0,,,,
2022-23,10385503,2,11,Everton,Away,914902,232826,Anthony Gordon,anthony-gordon,F,False,,,,6.0,4.0,10.0,2.0,,3.0,,,1.0,1.0,,,,6.0,3.0,,,0.00356922,0.2266,0.0609,3.0,,,,,,,,,90.0,2.0,,,,,,12.0,,6.8,,,,,,1.0,2.0,,1.0,1.0,11.0,6.0,15.0,3,1.0,34.0,3.0,1.0,1.0,1.0
2022-23,10385537,3,11,Everton,Home,35532,57134,Salomón Rondón,salomon-rondon,F,False,,,,6.0,3.0,9.0,1.0,1.0,,,,1.0,,,,1.0,2.0,1.0,,,0.00268946,0.2334,0.0,,,,,,,,1.0,,57.0,,,,,,,1.0,,6.6,,,1.0,,,,,,,2.0,6.0,3.0,9.0,2,,12.0,,,,
2022-23,10385537,3,11,Everton,Home,914902,232826,Anthony Gordon,anthony-gordon,F,False,,,1.0,15.0,6.0,21.0,3.0,,6.0,,1.0,1.0,1.0,,,4.0,17.0,5.0,,,0.0985269,0.6079,0.6278,2.0,,,,,,,3.0,,90.0,5.0,,,,,,16.0,,6.5,,,,,,7.0,1.0,,2.0,1.0,17.0,8.0,24.0,6,3.0,52.0,1.0,2.0,,1.0
2022-23,10385556,4,11,Everton,Away,35532,57134,Salomón Rondón,salomon-rondon,F,True,,,,1.0,,1.0,1.0,2.0,,,,,,,,,2.0,2.0,,,0.00182284,0.0,0.0,1.0,,,,,,,,,10.0,,,,,,,3.0,,6.6,,,,,,,,,,,4.0,,4.0,0,,4.0,,,,
2022-23,10385556,4,11,Everton,Away,914902,232826,Anthony Gordon,anthony-gordon,F,False,,,,15.0,8.0,23.0,7.0,1.0,4.0,,,1.0,3.0,,,2.0,16.0,7.0,,,0.034003,0.3197,1.273,2.0,,1.0,,,,,,,90.0,4.0,,,,,,11.0,,7.5,,,,,,3.0,,,,1.0,18.0,10.0,28.0,5,5.0,50.0,2.0,,1.0,4.0
2022-23,10385758,5,11,Everton,Away,35532,57134,Salomón Rondón,salomon-rondon,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385758,5,11,Everton,Away,914902,232826,Anthony Gordon,anthony-gordon,F,False,,,1.0,8.0,10.0,18.0,1.0,,7.0,1.0,,,1.0,,,1.0,9.0,4.0,,,0.170227,0.2825,0.2413,1.0,,1.0,,,,,2.0,,90.0,1.0,,,,,,16.0,,7.2,,,,,2.0,5.0,,,1.0,,11.0,12.0,23.0,1,1.0,46.0,4.0,3.0,,1.0
2022-23,10385599,6,11,Everton,Home,35532,57134,Salomón Rondón,salomon-rondon,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
