season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437932,29,11,Everton,Away,72127,66838,Cenk Tosun,cenk-tosun,F,False,,,1.0,16.0,4.0,20.0,1.0,2.0,1.0,1.0,,,,,1.0,3.0,5.0,,,1.0,,1.0,,,,2.0,68.0,2.0,,,,,,,11.0,,8.1,,,1.0,,,,,,1.0,1.0,21.0,6.0,27.0,3,2.0,38.0,2.0,1.0,,2.0
2017-18,7437932,29,11,Everton,Away,226780,113688,Oumar Niasse,oumar-niasse,F,True,,,,3.0,1.0,4.0,2.0,1.0,1.0,,,,,,1.0,4.0,2.0,,,1.0,,,,,,,22.0,,,,,,,,5.0,,6.6,,,1.0,,,1.0,,,,,6.0,2.0,8.0,1,,11.0,,,1.0,
2017-18,7437932,29,11,Everton,Away,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,False,1.0,,,12.0,6.0,17.0,8.0,5.0,5.0,,,,2.0,,2.0,18.0,9.0,,,3.0,,,,,2.0,1.0,90.0,,,,,,,,25.0,,5.8,,,,,2.0,6.0,4.0,,1.0,,23.0,11.0,30.0,0,,54.0,1.0,1.0,3.0,
2017-18,7437949,30,11,Everton,Home,751,13017,Wayne Rooney,wayne-rooney,F,False,,,9.0,35.0,19.0,54.0,,1.0,7.0,,1.0,1.0,1.0,,1.0,4.0,3.0,,,2.0,,,,,4.0,2.0,90.0,1.0,,,,1.0,,,13.0,,6.9,,,1.0,,1.0,,,,15.0,,45.0,20.0,65.0,3,2.0,78.0,1.0,,,1.0
2017-18,7437949,30,11,Everton,Home,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,1.0,,1.0,9.0,1.0,9.0,2.0,1.0,8.0,,1.0,,,,,2.0,7.0,,,,,,,,,,78.0,,,,,,,,20.0,,7.3,,,4.0,,1.0,2.0,6.0,,4.0,,22.0,4.0,20.0,4,2.0,44.0,3.0,2.0,2.0,2.0
2017-18,7437949,30,11,Everton,Home,72127,66838,Cenk Tosun,cenk-tosun,F,False,,,1.0,15.0,9.0,24.0,5.0,1.0,5.0,,,,,,2.0,9.0,3.0,,,2.0,,1.0,,,,2.0,90.0,1.0,,,,,,,13.0,,7.3,,,,,1.0,1.0,,,1.0,,18.0,12.0,30.0,1,,42.0,5.0,1.0,1.0,
2017-18,7437949,30,11,Everton,Home,226780,113688,Oumar Niasse,oumar-niasse,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437949,30,11,Everton,Home,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,True,,,,2.0,,2.0,,,,,,,,,2.0,4.0,2.0,,,2.0,,,,,,,17.0,,,,,,,1.0,2.0,,6.9,,,,,,1.0,,,,,2.0,,2.0,0,,7.0,,1.0,1.0,
2017-18,7438014,31,11,Everton,Away,751,13017,Wayne Rooney,wayne-rooney,F,False,3.0,,5.0,32.0,21.0,50.0,,,10.0,2.0,,,2.0,,3.0,5.0,3.0,,,,,,,,2.0,5.0,87.0,2.0,1.0,,,,,,20.0,,8.1,,,,,1.0,,8.0,,10.0,,46.0,22.0,60.0,2,2.0,83.0,1.0,1.0,,2.0
2017-18,7438014,31,11,Everton,Away,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,1.0,,,6.0,2.0,7.0,,,7.0,1.0,,1.0,1.0,,2.0,4.0,3.0,,,1.0,,,,,,1.0,89.0,1.0,,,,,,,20.0,,6.8,,,2.0,,,2.0,5.0,,3.0,,16.0,5.0,16.0,4,,36.0,2.0,1.0,2.0,
