season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576149,1,11,Everton,Home,47992,60252,Andros Townsend,andros-townsend,F,False,2.0,,,10.0,1.0,9.0,1.0,,4.0,1.0,,,3.0,,2.0,7.0,5.0,,,,1.0,,,,,,3.0,,70.0,,,,,,,,14.0,,7.1,,,,,,1.0,7.0,,2.0,,16.0,5.0,14.0,0,3.0,34.0,1.0,2.0,,1.0
2021-22,9576149,1,11,Everton,Home,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,False,,,,6.0,4.0,10.0,6.0,7.0,3.0,,,,,,,8.0,9.0,,,1.0,,1.0,,,,,,,90.0,2.0,1.0,,,,,,11.0,,7.8,,,3.0,,,1.0,1.0,,,,12.0,5.0,16.0,5,,31.0,3.0,2.0,,
2021-22,9576149,1,11,Everton,Home,840217,212319,Richarlison,richarlison,F,False,1.0,,,9.0,3.0,11.0,2.0,2.0,8.0,2.0,,,,,6.0,11.0,11.0,,,2.0,1.0,1.0,,,,,2.0,,89.0,1.0,,,,,,,21.0,,8.2,,,,,2.0,5.0,2.0,,,,14.0,4.0,16.0,1,3.0,51.0,6.0,3.0,3.0,2.0
2021-22,9576149,1,11,Everton,Home,911710,173818,Nathan Broadhead,nathan-broadhead,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576149,1,11,Everton,Home,914902,232826,Anthony Gordon,anthony-gordon,F,True,,,,2.0,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,1.0,,,,,2.0,1.0,3.0,0,,5.0,1.0,,,
2021-22,9576170,2,11,Everton,Away,47992,60252,Andros Townsend,andros-townsend,F,True,,,,3.0,1.0,4.0,1.0,1.0,,,,,1.0,,,3.0,1.0,,,,,,,,,,,,15.0,1.0,,,,,,,3.0,,6.5,,,,,,1.0,,,,,5.0,1.0,6.0,1,,8.0,,,,
2021-22,9576170,2,11,Everton,Away,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,False,,,,11.0,3.0,14.0,7.0,5.0,,,1.0,,1.0,,1.0,11.0,7.0,,,2.0,,1.0,,,,2.0,2.0,,89.0,4.0,,,,,,1.0,11.0,,7.5,,,,,1.0,1.0,,,,,13.0,5.0,18.0,4,,38.0,5.0,2.0,,
2021-22,9576170,2,11,Everton,Away,835601,242058,Moise Kean,moise-kean,F,True,,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,0,,2.0,,,,
2021-22,9576170,2,11,Everton,Away,840217,212319,Richarlison,richarlison,F,False,,,,8.0,3.0,11.0,3.0,2.0,3.0,,,3.0,1.0,,2.0,11.0,3.0,,,2.0,,,,,,,3.0,,90.0,,,,,,,,14.0,,6.4,,,2.0,,2.0,3.0,1.0,,2.0,,13.0,3.0,15.0,5,,37.0,4.0,1.0,,
2021-22,9576147,3,11,Everton,Away,47992,60252,Andros Townsend,andros-townsend,F,False,,,1.0,13.0,7.0,20.0,,1.0,8.0,,,,2.0,,2.0,6.0,10.0,,,,,,,,,1.0,1.0,,90.0,1.0,1.0,,,,,,12.0,,7.1,,,,,,3.0,3.0,,1.0,,19.0,7.0,23.0,1,4.0,49.0,2.0,4.0,1.0,3.0
