season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436888,2,36,Brighton_and_Hove_Albion,Home,946695,463067,Georginio Rutter,georginio-rutter,M,True,,,,3.0,,3.0,,,,,,,,,,,,,1.0,,,0.013347,,,,0.0,,,,,,,,8.0,,,,,,,1.0,,,6.7,,,,,,,1.0,,,,,3.0,,3.0,,,0,,5.0,1.0,,1.0,
2024-25,12436888,2,36,Brighton_and_Hove_Albion,Home,973556,474120,Julio Enciso,julio-enciso,M,True,1.0,,,4.0,,3.0,,,,,,,,,,,,1.0,1.0,,,0.0028793,0.0304,,,0.0,,,,,,,,11.0,,,,,,,6.0,,,6.6,,,1.0,,,,2.0,4.0,,,,8.0,,4.0,,,1,,12.0,1.0,,1.0,
2024-25,12436888,2,36,Brighton_and_Hove_Albion,Home,1036269,509416,Yasin Ayari,yasin-ayari,M,True,,,,2.0,1.0,3.0,,,,2.0,,,1.0,,,,,,,,,0.0277979,0.0167,,,0.0,,,,,,,,8.0,,1.0,,,,,2.0,,,6.8,,,,,,,,,,,,3.0,1.0,4.0,,,1,,8.0,1.0,,,
2024-25,12436888,2,36,Brighton_and_Hove_Albion,Home,1110842,535818,Simon Adingra,simon-adingra,M,True,,,,3.0,,3.0,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,0.56364,0.0871,,,1.0,,,,,,1.0,,8.0,,,,,,,3.0,,,7.3,,,1.0,,,,1.0,,,,,4.0,,4.0,,,1,,8.0,1.0,,,
2024-25,12436888,2,36,Brighton_and_Hove_Albion,Home,1142315,532529,Jack Hinshelwood,jack-hinshelwood,M,False,,,3.0,13.0,22.0,35.0,1.0,,,2.0,,,,,,,,1.0,2.0,,,0.193082,,,,0.0,,,,,,1.0,,90.0,,,,,,,10.0,,,6.9,,,,,,,1.0,,,4.0,,20.0,23.0,43.0,,,0,,54.0,1.0,1.0,1.0,
2024-25,12436888,2,36,Brighton_and_Hove_Albion,Home,1199043,535301,Carlos Baleba,carlos-baleba,M,True,,,,4.0,4.0,8.0,,,,1.0,,,,1.0,,,,1.0,4.0,,,0.00335218,,,,0.0,,,,,,,,17.0,,,,,,,,,,6.9,,,,,,,1.0,,,,,4.0,4.0,8.0,,,0,1.0,12.0,,2.0,1.0,1.0
2024-25,12436888,2,36,Brighton_and_Hove_Albion,Home,1400106,592031,Yankuba Minteh,yankuba-minteh,M,False,2.0,,,10.0,3.0,11.0,1.0,2.0,,4.0,,,1.0,2.0,,,,10.0,5.0,,,0.235425,0.0754,,2.0,0.0,,,,,1.0,2.0,,89.0,,,,,,,22.0,,,6.9,,,1.0,,,,6.0,3.0,,,,23.0,4.0,24.0,,,2,2.0,49.0,3.0,,1.0,1.0
2024-25,12436906,3,36,Brighton_and_Hove_Albion,Away,791,15157,James Milner,james-milner,M,False,,,,1.0,1.0,2.0,,,,,,,,,,,,1.0,,,,0.00016154,,,1.0,0.0,,,,,1.0,,,17.0,,,,,,,,,,6.5,,,,,,,,,,,,1.0,1.0,2.0,,,0,,4.0,,,,
2024-25,12436906,3,36,Brighton_and_Hove_Albion,Away,805465,204214,Pervis Estupiñán,pervis-estupinan,M,True,3.0,,,19.0,1.0,17.0,,,,,,,,,,,,,,,,0.0743124,0.039,,,0.0,,,,,,2.0,,18.0,,,,,,,3.0,,,7.2,,,2.0,,,,,4.0,,,,22.0,1.0,19.0,,,2,,25.0,,,,
2024-25,12436906,3,36,Brighton_and_Hove_Albion,Away,936849,451340,Kaoru Mitoma,kaoru-mitoma,M,False,,,1.0,22.0,5.0,27.0,2.0,,,5.0,,,,,,,,5.0,4.0,,,0.136104,0.0431,,,0.0,,,,,,2.0,,85.0,,,,,,,12.0,,,6.9,,,1.0,,,,7.0,4.0,,1.0,,28.0,7.0,31.0,,,1,,47.0,1.0,,4.0,
2024-25,12436906,3,36,Brighton_and_Hove_Albion,Away,946695,463067,Georginio Rutter,georginio-rutter,M,True,,,,,,,,2.0,,,,,1.0,,,,,,3.0,,,,0.1389,,,0.0,,,,,,,,19.0,,,,,,,3.0,,,6.9,,,2.0,,,,,1.0,,,,3.0,,2.0,,,3,,7.0,,1.0,,
2024-25,12436906,3,36,Brighton_and_Hove_Albion,Away,973556,474120,Julio Enciso,julio-enciso,M,True,1.0,,,5.0,,4.0,,1.0,,,,,,,,,,,1.0,,,0.112239,,,,0.0,,,,,,2.0,,12.0,,,,,,,4.0,,,6.8,,,,,,,,2.0,,,,9.0,,7.0,,,0,,9.0,,,,
2024-25,12436906,3,36,Brighton_and_Hove_Albion,Away,1036269,509416,Yasin Ayari,yasin-ayari,M,True,1.0,,,12.0,8.0,19.0,,,,5.0,,1.0,1.0,,,,1.0,1.0,4.0,,,0.0649871,0.4141,0.1866,,0.0,,,,,,1.0,,73.0,1.0,,,,,,10.0,,,6.6,,,,,,,,2.0,,,,15.0,12.0,25.0,,,2,3.0,37.0,2.0,1.0,,1.0
2024-25,12436906,3,36,Brighton_and_Hove_Albion,Away,1110842,535818,Simon Adingra,simon-adingra,M,True,,,,4.0,,4.0,,,,1.0,,,,,,,,2.0,,,,0.00691186,,,,0.0,,,,,,,,12.0,,,,,,,3.0,,,6.3,,,,,,,2.0,,,,,5.0,,5.0,,,0,,8.0,,,,
2024-25,12436906,3,36,Brighton_and_Hove_Albion,Away,1142315,532529,Jack Hinshelwood,jack-hinshelwood,M,False,1.0,,1.0,25.0,19.0,43.0,2.0,,,1.0,,,1.0,2.0,,,,5.0,2.0,,,0.144177,0.2088,0.0477,1.0,0.0,,,,,1.0,1.0,,90.0,1.0,,,,,,15.0,,,6.9,,,1.0,,,2.0,,5.0,,3.0,,32.0,25.0,52.0,,,3,2.0,71.0,,,,
2024-25,12436906,3,36,Brighton_and_Hove_Albion,Away,1199043,535301,Carlos Baleba,carlos-baleba,M,False,,,4.0,16.0,16.0,32.0,1.0,4.0,,5.0,,,3.0,2.0,,,1.0,7.0,7.0,,,0.0346444,0.1768,,2.0,0.0,,,,,2.0,1.0,,90.0,,,,,,,9.0,,,6.8,,,1.0,,,,1.0,,,4.0,,21.0,16.0,37.0,,,4,3.0,51.0,1.0,,,2.0
2024-25,12436906,3,36,Brighton_and_Hove_Albion,Away,1400106,592031,Yankuba Minteh,yankuba-minteh,M,False,,,,4.0,2.0,6.0,1.0,2.0,,2.0,,1.0,,2.0,,,1.0,5.0,6.0,,,0.00796643,0.3699,0.1464,,0.0,,,,,,,,71.0,1.0,,,,,,9.0,,,6.6,,,1.0,,,,2.0,4.0,,,1.0,9.0,3.0,8.0,,,2,1.0,22.0,1.0,2.0,1.0,1.0
2024-25,12436936,4,36,Brighton_and_Hove_Albion,Home,805465,204214,Pervis Estupiñán,pervis-estupinan,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
