season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243397,1,49,Sheffield_United,Away,27999,47247,John Fleck,john-fleck,M,False,1.0,,,24.0,12.0,35.0,2.0,1.0,6.0,,,,2.0,,,7.0,2.0,,,2.0,,,,,,2.0,,90.0,,,,,,,11.0,,6.5,,,,,1.0,2.0,4.0,,1.0,,31.0,12.0,39.0,0,1.0,51.0,2.0,,,1.0
2019-20,8243397,1,49,Sheffield_United,Away,31703,49083,Luke Freeman,luke-freeman,M,True,1.0,,,9.0,,8.0,,,1.0,,,,,,1.0,2.0,2.0,,,,,,,,,,,12.0,,,,,,,4.0,,6.6,,,,,,2.0,2.0,,,,10.0,,8.0,0,,16.0,1.0,1.0,1.0,
2019-20,8243397,1,49,Sheffield_United,Away,100637,79934,Oliver Norwood,oliver-norwood,M,False,2.0,,4.0,33.0,24.0,55.0,1.0,1.0,14.0,,,,1.0,,,4.0,5.0,,,2.0,,,,,3.0,1.0,,90.0,,,,,,,16.0,,7.1,,,,,,,7.0,,11.0,,47.0,26.0,66.0,0,3.0,86.0,,1.0,,1.0
2019-20,8243397,1,49,Sheffield_United,Away,124960,87447,Muhamed Bešić,muhamed-besic,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243397,1,49,Sheffield_United,Away,149815,153723,John Lundstram,john-lundstram,M,False,,,7.0,14.0,17.0,31.0,1.0,,5.0,2.0,,,,,,1.0,1.0,,,,,,,,1.0,2.0,,78.0,,,,,,,7.0,,7.5,,,1.0,,,,3.0,,7.0,,19.0,19.0,35.0,1,1.0,44.0,,,,1.0
2019-20,8243397,1,49,Sheffield_United,Away,282665,167878,Ben Osborn,ben-osborn,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243417,2,49,Sheffield_United,Home,27999,47247,John Fleck,john-fleck,M,False,1.0,,,9.0,1.0,9.0,1.0,,,,,,1.0,,,2.0,1.0,,,,,,,,,1.0,,29.0,,,,,,,5.0,,6.7,,,1.0,,,1.0,1.0,,1.0,,12.0,3.0,14.0,1,,18.0,,,1.0,
2019-20,8243417,2,49,Sheffield_United,Home,31703,49083,Luke Freeman,luke-freeman,M,True,,,2.0,13.0,2.0,15.0,,1.0,3.0,,,1.0,4.0,,2.0,11.0,3.0,,,3.0,,,,,3.0,1.0,,61.0,,,,,,,13.0,,6.0,,,,,1.0,2.0,3.0,,3.0,,21.0,2.0,20.0,1,1.0,40.0,1.0,1.0,,1.0
2019-20,8243417,2,49,Sheffield_United,Home,100637,79934,Oliver Norwood,oliver-norwood,M,False,2.0,,9.0,21.0,22.0,41.0,,,7.0,,,1.0,,,,1.0,5.0,,,1.0,,,,,1.0,5.0,,90.0,,,,,,,13.0,,7.7,,,,,,,5.0,,16.0,,32.0,23.0,50.0,1,2.0,64.0,1.0,3.0,,1.0
2019-20,8243417,2,49,Sheffield_United,Home,124960,87447,Muhamed Bešić,muhamed-besic,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
