season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352254,1,49,Sheffield_United,Home,100637,79934,Oliver Norwood,oliver-norwood,M,False,2.0,,7.0,24.0,11.0,33.0,3.0,1.0,4.0,,,,2.0,,,1.0,7.0,2.0,,,0.08602,0.0396,0.0475,1.0,,,,,,1.0,2.0,,90.0,1.0,1.0,,,,,16.0,,7.1,,,1.0,,1.0,,5.0,,13.0,,37.0,12.0,44.0,2,1.0,59.0,1.0,,,1.0
2023-24,11352254,1,49,Sheffield_United,Home,282665,167878,Ben Osborn,ben-osborn,M,False,,,,7.0,4.0,11.0,,,5.0,,,1.0,1.0,,,,2.0,2.0,,,0.00533532,0.1233,0.0,,,,,,,,,,87.0,,,,,,,15.0,,6.6,,,,,1.0,1.0,2.0,,4.0,,16.0,6.0,20.0,1,2.0,42.0,2.0,,,
2023-24,11352254,1,49,Sheffield_United,Home,979290,424001,Vinícius Souza,vinicius-souza,M,True,,,,3.0,,3.0,,1.0,1.0,,,,,,,1.0,1.0,3.0,,,0.00078303,0.0,0.0,,,,,,,,,,10.0,,,,,,,3.0,,6.6,,,,,,,,,,,4.0,1.0,5.0,0,2.0,8.0,,,,
2023-24,11352254,1,49,Sheffield_United,Home,1006147,504198,Anis Ben Slimane,anis-ben-slimane,M,True,,,,,,,2.0,,1.0,,,,1.0,,,,5.0,1.0,,,0.0,0.0,0.0,1.0,,,,,,1.0,,,10.0,,,,,,,4.0,,6.4,,,,,,1.0,,,,,2.0,,2.0,0,,7.0,,1.0,,
2023-24,11352254,1,49,Sheffield_United,Home,1099792,523957,Bénie Traoré,benie-traore,M,False,,,1.0,8.0,2.0,10.0,4.0,,7.0,,,,2.0,,,1.0,17.0,3.0,,,0.0817423,0.0,0.0,5.0,,,,,,,2.0,,87.0,,,,,,,9.0,,6.3,,,,,,5.0,,,1.0,,10.0,2.0,12.0,0,2.0,23.0,1.0,1.0,,1.0
2023-24,11352254,1,49,Sheffield_United,Home,1396445,538210,Andre Brooks,andre-brooks,M,True,,,,5.0,2.0,7.0,,,1.0,,,,,,,,,,,,0.0159012,0.0,0.0,,,,,,,,,,9.0,,,,,,,2.0,,6.6,,,,,,,1.0,,,,6.0,2.0,7.0,0,,12.0,1.0,,,
2023-24,11352399,2,49,Sheffield_United,Away,100637,79934,Oliver Norwood,oliver-norwood,M,False,1.0,,2.0,31.0,28.0,58.0,1.0,1.0,9.0,,,,,,,,1.0,4.0,,,0.186279,0.0,0.0,,,,,,,1.0,,,90.0,,,,,,,21.0,,6.8,,,,,1.0,,4.0,,13.0,,49.0,29.0,74.0,0,3.0,88.0,2.0,,,3.0
2023-24,11352399,2,49,Sheffield_United,Away,282665,167878,Ben Osborn,ben-osborn,M,False,1.0,,2.0,21.0,13.0,33.0,2.0,2.0,8.0,,,,1.0,,,2.0,8.0,4.0,,,0.0901391,0.0,0.0,,,,,,,,,,90.0,,,,,,,19.0,,6.4,,,,,4.0,3.0,5.0,,4.0,,31.0,15.0,41.0,0,2.0,73.0,,,,1.0
2023-24,11352399,2,49,Sheffield_United,Away,795058,173807,Tom Davies,tom-davies,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352399,2,49,Sheffield_United,Away,837495,196100,Gustavo Hamer,gustavo-hamer,M,False,2.0,,3.0,28.0,5.0,31.0,,,3.0,,,,,,,1.0,3.0,3.0,,,0.11624,0.0244,0.4588,1.0,,1.0,,,,2.0,1.0,,90.0,1.0,,,,,,19.0,,7.5,,,,,1.0,2.0,5.0,,6.0,,40.0,7.0,42.0,1,1.0,61.0,3.0,1.0,1.0,
2023-24,11352399,2,49,Sheffield_United,Away,979290,424001,Vinícius Souza,vinicius-souza,M,False,,,1.0,9.0,20.0,29.0,1.0,1.0,8.0,,,,,,,,2.0,6.0,,,0.00349588,0.0558,0.449,1.0,,,,,,2.0,1.0,,58.0,1.0,,,,,,8.0,,7.3,,,1.0,,,,1.0,,2.0,,10.0,27.0,36.0,2,5.0,50.0,,,,3.0
2023-24,11352399,2,49,Sheffield_United,Away,1099792,523957,Bénie Traoré,benie-traore,M,False,,,,6.0,7.0,13.0,2.0,,3.0,,1.0,,1.0,,,1.0,10.0,3.0,,,0.0308713,0.2676,0.6183,1.0,,,,,,,,,82.0,1.0,,,,,,10.0,,5.9,,,,,,7.0,1.0,,,1.0,7.0,8.0,14.0,1,,29.0,1.0,1.0,2.0,
2023-24,11352399,2,49,Sheffield_United,Away,1396445,538210,Andre Brooks,andre-brooks,M,True,,,,3.0,,3.0,1.0,1.0,,,,,,,,,1.0,1.0,,,0.00174302,0.0,0.0,,,,,,,1.0,,,16.0,,,,,,,2.0,,6.6,,,,,,,,,,,4.0,,4.0,0,,9.0,1.0,,,
2023-24,11352524,3,49,Sheffield_United,Home,100637,79934,Oliver Norwood,oliver-norwood,M,False,1.0,,3.0,6.0,6.0,11.0,,,4.0,,,,1.0,,,,1.0,2.0,,,0.0281663,0.0,0.0,,,,,,,,1.0,,80.0,,2.0,,,,,4.0,,7.2,,,,,6.0,,1.0,,4.0,,8.0,8.0,15.0,0,2.0,27.0,,,,2.0
2023-24,11352524,3,49,Sheffield_United,Home,282665,167878,Ben Osborn,ben-osborn,M,False,,,2.0,2.0,,2.0,,,3.0,,,,,,,,,,,,0.00148987,0.0,0.0,,,,,,,,,,17.0,,,,,,,2.0,,6.6,,,,,1.0,,,,3.0,,3.0,1.0,4.0,0,,5.0,,,,
2023-24,11352524,3,49,Sheffield_United,Home,837495,196100,Gustavo Hamer,gustavo-hamer,M,False,,,,4.0,11.0,15.0,,,3.0,,,,,,,1.0,1.0,1.0,,,0.024269,0.1519,0.0,,,,,,,,1.0,,90.0,1.0,,,,,,6.0,,6.7,,,,,1.0,,,,,,7.0,12.0,19.0,1,1.0,25.0,1.0,,,1.0
