season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385502,1,14,Liverpool,Away,924871,447203,Darwin Núñez,darwin-nunez,F,True,,,1.0,3.0,2.0,5.0,2.0,3.0,,1.0,2.0,,,,1.0,4.0,3.0,,,0.101194,0.5599,1.1739,,1.0,1.0,,,,,2.0,39.0,3.0,,,,,,,,4.0,,7.4,,,1.0,,,1.0,,,1.0,1.0,4.0,2.0,6.0,4,,14.0,1.0,,,
2022-23,10385502,1,14,Liverpool,Away,991604,244858,Fabio Carvalho,fabio-carvalho,F,True,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,3.0,1.0,,,0.00056483,0.0478,0.0,2.0,,,,,,2.0,,12.0,,,,,,,,,,,6.7,,,1.0,,,,,,,,1.0,1.0,2.0,1,,5.0,,,,
2022-23,10385740,2,14,Liverpool,Home,924871,447203,Darwin Núñez,darwin-nunez,F,False,,,1.0,5.0,1.0,6.0,5.0,,,,2.0,2.0,,,,6.0,2.0,,,0.0899201,0.6892,0.0,1.0,,,,,1.0,,,57.0,,,,,,,,,6.0,,5.4,,,3.0,,,1.0,2.0,,1.0,,9.0,2.0,9.0,5,,19.0,1.0,1.0,1.0,
2022-23,10385740,2,14,Liverpool,Home,991604,244858,Fabio Carvalho,fabio-carvalho,F,True,,,,3.0,1.0,4.0,1.0,,1.0,,,,,,2.0,3.0,1.0,,,0.0470363,0.0535,0.0,,,,,,,,,11.0,,,,,,,,,5.0,,6.3,,,1.0,,,,,,,,3.0,2.0,5.0,1,,12.0,2.0,1.0,,
2022-23,10385531,3,14,Liverpool,Away,991604,244858,Fabio Carvalho,fabio-carvalho,F,True,,,1.0,6.0,2.0,8.0,2.0,,,,,1.0,,,1.0,3.0,1.0,,,0.00971894,0.1786,0.0343,,,,,,,,,17.0,1.0,,,,,,,,2.0,,6.6,,,,,,1.0,,,1.0,,6.0,2.0,8.0,2,,14.0,1.0,,1.0,
2022-23,10385547,4,14,Liverpool,Home,991604,244858,Fabio Carvalho,fabio-carvalho,F,True,,,,8.0,5.0,13.0,1.0,,2.0,,,,,,,3.0,2.0,,,0.00997642,0.1313,0.1303,,,1.0,,,,,,45.0,1.0,,,,,,,,6.0,,7.1,,,,,,2.0,1.0,,,,11.0,5.0,15.0,1,2.0,24.0,1.0,,,2.0
2022-23,10385582,5,14,Liverpool,Home,991604,244858,Fabio Carvalho,fabio-carvalho,F,True,1.0,,,5.0,3.0,7.0,,,3.0,,,,,,,,1.0,,,0.0106211,0.1535,0.5698,,,1.0,,,,,,19.0,1.0,,,,,,,,2.0,,7.5,,,1.0,,,,1.0,,,,6.0,4.0,9.0,2,,14.0,,1.0,,
2022-23,10385599,6,14,Liverpool,Away,606164,194634,Diogo Jota,diogo-jota,F,True,,,,2.0,,2.0,,1.0,1.0,,1.0,,,,,3.0,2.0,,,0.00760736,0.6544,0.0,1.0,,,,,,,2.0,10.0,,,,,,,,,6.0,,6.3,,,2.0,,,2.0,,,,,4.0,1.0,5.0,2,1.0,13.0,1.0,,,1.0
2022-23,10385599,6,14,Liverpool,Away,924871,447203,Darwin Núñez,darwin-nunez,F,False,,,,5.0,1.0,6.0,1.0,4.0,3.0,,,1.0,,,3.0,4.0,5.0,,,0.0483733,0.5367,0.0719,1.0,,,,,1.0,,2.0,80.0,2.0,,,,,,,,11.0,,7.3,,,3.0,,,,1.0,,1.0,,10.0,1.0,10.0,6,1.0,26.0,2.0,,,
2022-23,10385599,6,14,Liverpool,Away,991604,244858,Fabio Carvalho,fabio-carvalho,F,False,,,,9.0,7.0,16.0,2.0,,1.0,,,,,,1.0,3.0,2.0,,,0.00785234,0.0,0.0,,,,,,,,,45.0,,,,,,,,,4.0,,6.5,,,,,,,,,,,10.0,8.0,18.0,0,1.0,22.0,1.0,1.0,,1.0
2022-23,11047752,7,14,Liverpool,Home,606164,194634,Diogo Jota,diogo-jota,F,False,,,,17.0,6.0,23.0,2.0,1.0,2.0,1.0,,1.0,2.0,,,8.0,4.0,,,0.620852,0.2438,0.0,3.0,1.0,,,,,,2.0,76.0,,,,,,,,,7.0,,7.2,,,1.0,,,1.0,,,,,22.0,6.0,28.0,2,1.0,39.0,1.0,2.0,,1.0
