season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896944,1,14,Liverpool,Home,190399,152760,Divock Origi,divock-origi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897016,2,14,Liverpool,Away,190399,152760,Divock Origi,divock-origi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896930,3,14,Liverpool,Home,190399,152760,Divock Origi,divock-origi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896930,3,14,Liverpool,Home,606164,194634,Diogo Jota,diogo-jota,F,True,,,,3.0,3.0,6.0,1.0,,,,1.0,,,,,2.0,,,,,,1.0,,,,,,10.0,1.0,,,,,,4.0,,6.9,,,2.0,,,1.0,,,,,4.0,3.0,7.0,3,,16.0,1.0,,,
2020-21,8896884,4,14,Liverpool,Away,190399,152760,Divock Origi,divock-origi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896884,4,14,Liverpool,Away,606164,194634,Diogo Jota,diogo-jota,F,False,,,,29.0,5.0,34.0,4.0,2.0,3.0,,,,2.0,,1.0,12.0,4.0,,,3.0,,,,,,1.0,,90.0,3.0,,,,,,16.0,,6.7,,,1.0,,1.0,2.0,1.0,,,,36.0,6.0,41.0,4,1.0,64.0,5.0,1.0,,
2020-21,8897007,5,14,Liverpool,Away,606164,194634,Diogo Jota,diogo-jota,F,True,,,,6.0,,6.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,12.0,,,,,,,1.0,,6.8,,,,,,1.0,,,,,7.0,,7.0,1,,9.0,,,1.0,
2020-21,8896880,6,14,Liverpool,Home,606164,194634,Diogo Jota,diogo-jota,F,False,,,,22.0,9.0,31.0,4.0,1.0,8.0,,,,2.0,,2.0,10.0,6.0,,,,,1.0,,,,,,83.0,1.0,,,,,,16.0,,6.8,,,,,,5.0,2.0,,1.0,,29.0,11.0,38.0,1,,56.0,2.0,2.0,3.0,
2020-21,8896865,7,14,Liverpool,Home,606164,194634,Diogo Jota,diogo-jota,F,True,,,,5.0,2.0,7.0,,,3.0,,,,,,,1.0,3.0,,,1.0,,1.0,,,,,,20.0,1.0,,,,,,3.0,,7.4,,,,,,,,,,,8.0,2.0,10.0,1,2.0,14.0,,1.0,,1.0
2020-21,8896883,8,14,Liverpool,Away,190399,152760,Divock Origi,divock-origi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896883,8,14,Liverpool,Away,606164,194634,Diogo Jota,diogo-jota,F,False,,,,17.0,5.0,22.0,2.0,,4.0,,,1.0,2.0,,2.0,10.0,3.0,,,3.0,,,,,,,,90.0,1.0,,,,,,9.0,,6.2,,,1.0,,,2.0,,,,,17.0,7.0,24.0,3,,40.0,3.0,2.0,1.0,
2020-21,8896849,9,14,Liverpool,Home,190399,152760,Divock Origi,divock-origi,F,True,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0,,2.0,,,,
2020-21,8896849,9,14,Liverpool,Home,606164,194634,Diogo Jota,diogo-jota,F,False,1.0,,4.0,21.0,3.0,23.0,4.0,1.0,4.0,2.0,1.0,,2.0,,,8.0,4.0,,,1.0,,1.0,,,,3.0,,89.0,3.0,,,,,,14.0,,8.1,,,2.0,,,4.0,3.0,,4.0,,28.0,3.0,28.0,5,,46.0,5.0,,3.0,
2020-21,8896860,10,14,Liverpool,Away,190399,152760,Divock Origi,divock-origi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
