season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,blockedScoringAttempt,challengeLost,dispossessed,duelLost,duelWon,errorLeadToAGoal,fouls,goalAssist,goals,goodHighClaim,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,possessionLostCtrl,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,wasFouled,wonContest,wonTackle
2009-10,1062496,4,14,Liverpool,Away,2436,14402,Fernando Torres,fernando-torres,F,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062496,4,14,Liverpool,Away,9737,13594,Yossi Benayoun,yossi-benayoun,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,27.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062496,4,14,Liverpool,Away,1422690,,Andrey Voronin,andrey-voronin,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,16.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062507,5,14,Liverpool,Home,2436,14402,Fernando Torres,fernando-torres,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,75.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062507,5,14,Liverpool,Home,9737,13594,Yossi Benayoun,yossi-benayoun,F,False,,,,,,,,,,,,,,,,,0.0,3.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062507,5,14,Liverpool,Home,16582,38328,David N'Gog,david-ngog,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,15.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062507,5,14,Liverpool,Home,1422690,,Andrey Voronin,andrey-voronin,F,True,,,,,,,,,,,,,,,,,1.0,0.0,,,,21.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062522,6,14,Liverpool,Away,1876,19520,Ryan Babel,ryan-babel,F,True,,,,,,,,,,,,,,,,,1.0,0.0,,,,30.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062522,6,14,Liverpool,Away,2436,14402,Fernando Torres,fernando-torres,F,False,,,,,,,,,,,,,,,,,0.0,2.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062522,6,14,Liverpool,Away,9737,13594,Yossi Benayoun,yossi-benayoun,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,85.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062527,7,14,Liverpool,Home,1876,19520,Ryan Babel,ryan-babel,F,True,,,,7.0,,7.0,1.0,,,1.0,1.0,1.0,4.0,1.0,,,0.0,2.0,,,1.0,23.0,2.0,,0.0,5.0,,1.0,,,2.0,2.0,,,,10.0,,8.0,4.0,,18.0,,1.0,
2009-10,1062527,7,14,Liverpool,Home,2436,14402,Fernando Torres,fernando-torres,F,False,,,2.0,11.0,3.0,14.0,2.0,3.0,3.0,1.0,,2.0,11.0,11.0,,1.0,0.0,3.0,,,1.0,67.0,3.0,,0.0,15.0,,2.0,,1.0,12.0,1.0,,2.0,1.0,17.0,4.0,20.0,6.0,1.0,49.0,1.0,6.0,1.0
2009-10,1062527,7,14,Liverpool,Home,9737,13594,Yossi Benayoun,yossi-benayoun,F,False,,,,15.0,6.0,21.0,2.0,,3.0,,1.0,1.0,5.0,1.0,,,2.0,0.0,,3.0,2.0,77.0,,,0.0,6.0,,,,1.0,1.0,3.0,,,,18.0,7.0,22.0,0.0,1.0,32.0,,,
2009-10,1062527,7,14,Liverpool,Home,16582,38328,David N'Gog,david-ngog,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,1062527,7,14,Liverpool,Home,1422690,,Andrey Voronin,andrey-voronin,F,True,1.0,,3.0,10.0,1.0,10.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,1.0,0.0,0.0,,,1.0,13.0,,,0.0,2.0,,1.0,,,,1.0,,3.0,,11.0,1.0,11.0,2.0,,18.0,,,
2009-10,1062538,8,14,Liverpool,Away,1876,19520,Ryan Babel,ryan-babel,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,14.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062538,8,14,Liverpool,Away,2436,14402,Fernando Torres,fernando-torres,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062538,8,14,Liverpool,Away,9737,13594,Yossi Benayoun,yossi-benayoun,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,23.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062538,8,14,Liverpool,Away,16582,38328,David N'Gog,david-ngog,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,1062552,9,14,Liverpool,Away,1876,19520,Ryan Babel,ryan-babel,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,81.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062552,9,14,Liverpool,Away,9737,13594,Yossi Benayoun,yossi-benayoun,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062552,9,14,Liverpool,Away,16582,38328,David N'Gog,david-ngog,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,9.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062552,9,14,Liverpool,Away,1422690,,Andrey Voronin,andrey-voronin,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,18.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062559,10,14,Liverpool,Home,1876,19520,Ryan Babel,ryan-babel,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
