season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089871,1,14,Liverpool,Away,190399,152760,Divock Origi,divock-origi,F,True,,,,2.0,1.0,3.0,3.0,,,,,,,,1.0,7.0,2.0,,,1.0,,,,,,1.0,,14.0,,,,,,,,4.0,,6.5,,,,,,4.0,,,,1.0,3.0,1.0,4.0,0,,9.0,,,2.0,
2016-17,7090382,2,14,Liverpool,Away,20963,40755,Daniel Sturridge,daniel-sturridge,F,False,,,2.0,21.0,7.0,28.0,,,1.0,,,1.0,,,,3.0,5.0,,,1.0,,,,,,,,65.0,,,,,,,,11.0,,6.8,,,3.0,,,6.0,,,2.0,,29.0,7.0,36.0,4,,50.0,1.0,1.0,4.0,
2016-17,7090382,2,14,Liverpool,Away,190399,152760,Divock Origi,divock-origi,F,True,,,,2.0,,2.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,25.0,,,,,,,,3.0,,6.5,,,,,,,,,,,4.0,,4.0,0,,5.0,1.0,,,
2016-17,7090025,3,14,Liverpool,Away,20963,40755,Daniel Sturridge,daniel-sturridge,F,True,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0,,2.0,,,,
2016-17,7090025,3,14,Liverpool,Away,190399,152760,Divock Origi,divock-origi,F,True,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,21.0,,,,,,,,2.0,,6.4,,,,,,,,,,1.0,2.0,,2.0,0,,3.0,1.0,,,
2016-17,7090038,4,14,Liverpool,Home,20963,40755,Daniel Sturridge,daniel-sturridge,F,False,,,2.0,8.0,4.0,12.0,4.0,2.0,1.0,1.0,2.0,1.0,,,,5.0,3.0,,,1.0,1.0,,,,1.0,2.0,,76.0,4.0,,,,,,,13.0,,7.2,,,,,,2.0,,,2.0,1.0,16.0,5.0,21.0,5,,32.0,2.0,,1.0,
2016-17,7090038,4,14,Liverpool,Home,190399,152760,Divock Origi,divock-origi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090047,5,14,Liverpool,Away,20963,40755,Daniel Sturridge,daniel-sturridge,F,False,,,,11.0,2.0,13.0,1.0,,,,,1.0,,,1.0,2.0,,,,,,,,,,1.0,,57.0,1.0,,,,,,,6.0,,6.8,,,1.0,,,,,,,,16.0,2.0,18.0,3,,22.0,,,,
2016-17,7090047,5,14,Liverpool,Away,190399,152760,Divock Origi,divock-origi,F,True,,,,6.0,1.0,7.0,2.0,1.0,,,1.0,,,,,2.0,3.0,,,,,,,,,,,33.0,1.0,,,,,,,6.0,,6.4,,,,,,2.0,,,,,7.0,2.0,9.0,1,,16.0,3.0,,2.0,
2016-17,7090054,6,14,Liverpool,Home,20963,40755,Daniel Sturridge,daniel-sturridge,F,True,,,1.0,7.0,,7.0,,,,,,,,,,,4.0,,,,,,,,,,,21.0,,,,,,,1.0,3.0,,7.4,,,1.0,,,3.0,,,2.0,,9.0,,9.0,1,,15.0,1.0,1.0,3.0,
