playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,ownGoalScored,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCornersIntoBox,successfulLaunches,unsuccessfulCornersIntoBox,leftFootGoals,throwInsToOppositionPlayer,lastPlayerTackle,attemptsFromSetPieces,clearancesOffTheLine,headedGoals,redCards2ndYellow,hitWoodwork,setPiecesGoals,penaltiesTaken,penaltyGoals,foulWonPenalty,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
41792,Aaron Ramsey,Midfielder,Arsenal,3,Wales,2011-12,188.0,9.0,0.0,15.0,18.0,3.0,59.0,47.0,30.0,213.0,34.0,4.0,131.0,27.0,244.0,29.0,1925.0,2.0,1.0,2.0,7.0,4.0,28.0,8.0,9.0,2465.0,2.0,19.0,129.0,5.0,1.0,120.0,1576.0,87.0,2.0,1.0,51.0,11.0,34.0,169.0,557.0,27.0,0.0,317.0,0.0,460.0,164.0,34.0,2.0,20.0,20.0,1101.0,29.0,29.0,108.0,289.0,9.0,0.0,1900.0,29.0,21.0,451.0,39.0,34.0,3.0,585.0,32.0,27.0,105.0,323.0,2449.0,32.0,10.0,10.0,589.0,3.0,3.0,31.0,43.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28566,Abou Diaby,Midfielder,Arsenal,3,France,2011-12,12.0,,0.0,2.0,1.0,,1.0,1.0,2.0,9.0,4.0,,,,9.0,,70.0,,,,4.0,,4.0,,,91.0,,2.0,10.0,,,8.0,58.0,3.0,,,,1.0,,10.0,18.0,1.0,0.0,22.0,,25.0,7.0,4.0,,1.0,,43.0,,,8.0,18.0,2.0,0.0,70.0,,2.0,19.0,,6.0,1.0,23.0,2.0,2.0,3.0,4.0,95.0,,1.0,,18.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81880,Alex Oxlade-Chamberlain,Midfielder,Arsenal,3,England,2011-12,53.0,3.0,0.0,3.0,4.0,6.0,10.0,12.0,5.0,31.0,16.0,1.0,26.0,6.0,38.0,16.0,243.0,2.0,1.0,0.0,10.0,12.0,6.0,,7.0,556.0,1.0,3.0,49.0,2.0,,46.0,188.0,35.0,1.0,,10.0,1.0,9.0,50.0,69.0,10.0,0.0,102.0,2.0,63.0,32.0,16.0,2.0,4.0,13.0,157.0,7.0,23.0,44.0,96.0,3.0,0.0,240.0,8.0,8.0,120.0,6.0,26.0,,44.0,4.0,7.0,17.0,67.0,416.0,1.0,6.0,7.0,55.0,1.0,0.0,7.0,10.0,,4.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21091,Alexandre Song,Midfielder,Arsenal,3,Cameroon,2011-12,203.0,4.0,0.0,5.0,5.0,5.0,100.0,9.0,90.0,300.0,34.0,11.0,93.0,34.0,353.0,9.0,2248.0,1.0,,0.0,,,40.0,11.0,4.0,2999.0,4.0,15.0,188.0,6.0,,163.0,1784.0,34.0,2.0,1.0,35.0,42.0,38.0,188.0,692.0,38.0,0.0,391.0,1.0,823.0,280.0,34.0,1.0,27.0,15.0,1190.0,32.0,9.0,70.0,351.0,25.0,0.0,2230.0,4.0,4.0,483.0,73.0,25.0,9.0,564.0,73.0,66.0,111.0,169.0,2744.0,2.0,4.0,15.0,709.0,1.0,10.0,53.0,65.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13227,Andrey Arshavin,Midfielder,Arsenal,3,Russia,2011-12,44.0,4.0,0.0,10.0,5.0,6.0,9.0,16.0,13.0,80.0,19.0,3.0,37.0,8.0,87.0,16.0,340.0,1.0,3.0,0.0,11.0,5.0,1.0,,6.0,722.0,5.0,1.0,23.0,3.0,,23.0,249.0,34.0,2.0,,16.0,4.0,15.0,43.0,117.0,3.0,2.0,67.0,1.0,105.0,18.0,19.0,,2.0,16.0,194.0,12.0,18.0,28.0,66.0,,0.0,334.0,11.0,11.0,160.0,7.0,11.0,1.0,52.0,6.0,7.0,4.0,66.0,501.0,6.0,7.0,1.0,65.0,1.0,1.0,7.0,20.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56861,Emmanuel Frimpong,Midfielder,Arsenal,3,Ghana,2011-12,36.0,,1.0,3.0,2.0,2.0,22.0,4.0,2.0,49.0,11.0,1.0,8.0,8.0,55.0,,298.0,,,,3.0,,6.0,,,513.0,,5.0,39.0,3.0,,38.0,227.0,3.0,1.0,,3.0,5.0,9.0,31.0,94.0,8.0,0.0,75.0,,121.0,51.0,11.0,,6.0,5.0,137.0,6.0,,8.0,69.0,1.0,0.0,294.0,2.0,4.0,70.0,16.0,8.0,4.0,56.0,14.0,23.0,16.0,27.0,398.0,1.0,7.0,2.0,106.0,,1.0,6.0,18.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
56864,Francis Coquelin,Midfielder,Arsenal,3,France,2011-12,43.0,2.0,0.0,,,,32.0,1.0,2.0,49.0,10.0,1.0,9.0,6.0,60.0,5.0,393.0,,1.0,,4.0,,9.0,,2.0,630.0,,4.0,55.0,6.0,,50.0,312.0,2.0,,,3.0,14.0,12.0,39.0,90.0,11.0,0.0,98.0,,135.0,43.0,10.0,,9.0,3.0,186.0,6.0,5.0,25.0,89.0,5.0,0.0,385.0,1.0,,97.0,23.0,7.0,2.0,122.0,5.0,19.0,21.0,46.0,571.0,38.0,1.0,7.0,149.0,,2.0,11.0,21.0,1.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
40564,Henri Lansbury,Midfielder,Arsenal,3,England,2011-12,1.0,,0.0,,,,1.0,,,1.0,2.0,,1.0,,2.0,,17.0,,,,2.0,,,,,24.0,,,1.0,,,1.0,13.0,,,,1.0,,3.0,1.0,4.0,,0.0,2.0,,4.0,3.0,2.0,,,,6.0,3.0,,,2.0,,0.0,17.0,,,2.0,1.0,,,8.0,1.0,1.0,2.0,1.0,19.0,,,,9.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8758,Mikel Arteta,Midfielder,Arsenal,3,Spain,2011-12,125.0,4.0,0.0,17.0,14.0,3.0,72.0,27.0,21.0,195.0,31.0,2.0,144.0,30.0,217.0,20.0,2304.0,7.0,,3.0,1.0,84.0,37.0,11.0,29.0,2600.0,1.0,21.0,165.0,4.0,,149.0,1932.0,31.0,1.0,,62.0,12.0,28.0,104.0,645.0,57.0,4.0,290.0,4.0,708.0,171.0,31.0,7.0,13.0,4.0,1398.0,24.0,80.0,31.0,253.0,16.0,0.0,2226.0,13.0,16.0,360.0,59.0,20.0,6.0,668.0,42.0,56.0,155.0,283.0,2790.0,6.0,4.0,12.0,718.0,2.0,4.0,22.0,44.0,,24.0,2.0,52.0,,,,16.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
86364,Nico Yennaris,Midfielder,Arsenal,3,England,2011-12,2.0,3.0,0.0,,,,4.0,,,1.0,1.0,,,,1.0,6.0,18.0,,,,1.0,,1.0,,3.0,45.0,,1.0,4.0,,,4.0,16.0,,,,2.0,3.0,1.0,1.0,1.0,,0.0,6.0,,8.0,5.0,1.0,,1.0,,12.0,1.0,6.0,,5.0,,0.0,18.0,,,7.0,3.0,,,4.0,,1.0,1.0,5.0,43.0,7.0,,,8.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
