playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,setPiecesGoals,foulWonPenalty,leftFootGoals,headedGoals,freekickTotal,attemptsFromSetPieces,ownGoalScored,penaltiesConceded,throwInsToOppositionPlayer,gkSuccessfulDistribution,punches,catches,savesMade,goalkeeperSmother,savesMadeFromOutsideBox,crossesNotClaimed,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,penaltiesTaken,penaltyGoals,penaltiesFaced,drops
41792,Aaron Ramsey,Midfielder,Arsenal,3,Wales,2015-16,229.0,9.0,4.7422,0.0,23.0,21.0,6.5622,78.0,46.0,20.0,261.0,31.0,4.0,81.0,29.0,299.0,32.0,2154.0,5.0,5.0,12.0,2.0,9.0,53.0,14.0,6.0,12.0,10.0,2623.0,10.0,5.0,26.0,190.0,10.0,76.0,163.0,1797.0,3.0,32.7183,33.0,1.0,20.0,28.0,11.0,203.0,543.0,47.0,419.0,32.0,618.0,248.0,31.0,6.0,5.0,19.0,26.0,1189.0,18.0,38.0,11.0,366.0,27.0,0.0,2101.0,25.0,19.0,514.0,59.0,39.0,11.0,674.0,47.0,56.0,3.0,1.0,58.0,319.0,2774.0,9.0,2.0,2.0,12.0,6.0,678.0,31.0,3.0,8.631,4.0,38.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
81880,Alex Oxlade-Chamberlain,Midfielder,Arsenal,3,England,2015-16,71.0,6.0,1.2933,0.0,10.0,5.0,1.8608,23.0,13.0,5.0,66.0,22.0,,24.0,9.0,77.0,33.0,439.0,1.0,2.0,5.0,13.0,6.0,19.0,,2.0,9.0,2.0,919.0,2.0,2.0,10.0,81.0,3.0,30.0,72.0,336.0,3.0,10.9952,19.0,2.0,9.0,11.0,5.0,61.0,104.0,13.0,152.0,18.0,103.0,58.0,22.0,2.0,1.0,6.0,15.0,251.0,8.0,34.0,5.0,133.0,9.0,0.0,435.0,8.0,20.0,187.0,17.0,36.0,5.0,146.0,11.0,12.0,1.0,,26.0,86.0,716.0,5.0,8.0,2.0,5.0,1.0,120.0,7.0,,1.3709,0.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56864,Francis Coquelin,Midfielder,Arsenal,3,France,2015-16,85.0,2.0,1.0268,1.0,3.0,,,72.0,5.0,3.0,101.0,26.0,,50.0,21.0,122.0,,1116.0,,,3.0,5.0,,36.0,8.0,,2.0,,1646.0,,,17.0,145.0,6.0,37.0,126.0,938.0,,17.9098,6.0,1.0,22.0,15.0,,68.0,311.0,24.0,230.0,23.0,340.0,188.0,26.0,,,15.0,6.0,589.0,9.0,,,194.0,19.0,0.0,1100.0,5.0,3.0,167.0,57.0,30.0,7.0,323.0,24.0,76.0,,,56.0,142.0,1453.0,,8.0,,3.0,5.0,407.0,18.0,2.0,0.1868,5.0,21.0,37.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
54102,Jack Wilshere,Midfielder,Arsenal,3,England,2015-16,10.0,,0.1986,0.0,,,,3.0,1.0,1.0,13.0,3.0,,5.0,1.0,13.0,,83.0,,,,2.0,,4.0,,,,,141.0,,,2.0,15.0,1.0,4.0,13.0,70.0,,0.741,1.0,,3.0,1.0,,8.0,13.0,4.0,25.0,2.0,29.0,12.0,3.0,,,1.0,2.0,54.0,,,,21.0,2.0,0.0,83.0,1.0,1.0,23.0,2.0,6.0,,32.0,1.0,2.0,,,,9.0,114.0,,1.0,1.0,,,16.0,1.0,,0.325,0.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
208987,Jeff Reine-Adélaïde,Midfielder,Arsenal,3,France,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18155,Mathieu Flamini,Midfielder,Arsenal,3,France,2015-16,40.0,1.0,0.4292,0.0,2.0,2.0,0.2572,31.0,5.0,2.0,72.0,16.0,,14.0,12.0,82.0,4.0,627.0,,,2.0,4.0,,17.0,4.0,,1.0,2.0,1089.0,2.0,1.0,5.0,48.0,3.0,14.0,36.0,528.0,,14.3242,3.0,5.0,25.0,11.0,,35.0,181.0,3.0,88.0,9.0,207.0,66.0,16.0,,,11.0,2.0,294.0,8.0,4.0,,71.0,12.0,0.0,618.0,3.0,1.0,107.0,20.0,2.0,13.0,166.0,18.0,35.0,,,17.0,73.0,801.0,7.0,3.0,,2.0,3.0,252.0,14.0,,1.0186,3.0,10.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37605,Mesut Özil,Midfielder,Arsenal,3,Germany,2015-16,171.0,23.0,15.6844,0.0,17.0,20.0,9.1329,35.0,30.0,42.0,282.0,35.0,19.0,173.0,35.0,312.0,42.0,2276.0,6.0,15.0,7.0,,144.0,19.0,7.0,3.0,93.0,11.0,3047.0,11.0,13.0,15.0,127.0,9.0,73.0,123.0,1911.0,58.0,36.071,127.0,1.0,10.0,31.0,10.0,156.0,623.0,43.0,298.0,13.0,646.0,147.0,35.0,3.0,1.0,8.0,35.0,1645.0,22.0,135.0,10.0,279.0,4.0,0.0,2214.0,10.0,33.0,636.0,27.0,46.0,,583.0,20.0,22.0,72.0,,53.0,424.0,2963.0,23.0,14.0,3.0,7.0,1.0,412.0,6.0,,7.6148,4.0,30.0,39.0,0.4308,,,5.0,,6.0,6.0,,,1.0,,,,,,,,,,,,,,,,
8758,Mikel Arteta,Midfielder,Arsenal,3,Spain,2015-16,15.0,,0.1985,0.0,,1.0,0.7457,8.0,1.0,1.0,14.0,9.0,,3.0,,17.0,,132.0,,,,9.0,,12.0,,,,1.0,161.0,1.0,,4.0,20.0,,,12.0,108.0,,2.7849,1.0,,8.0,4.0,,11.0,36.0,4.0,35.0,,35.0,17.0,9.0,,,,,63.0,4.0,,,23.0,8.0,0.0,128.0,,2.0,21.0,8.0,,1.0,48.0,8.0,7.0,,,7.0,13.0,170.0,,1.0,1.0,,3.0,52.0,5.0,1.0,0.4029,1.0,3.0,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
153256,Mohamed Elneny,Midfielder,Arsenal,3,Egypt,2015-16,35.0,,0.6409,0.0,8.0,2.0,0.5964,10.0,5.0,,43.0,11.0,1.0,36.0,9.0,53.0,5.0,738.0,,,7.0,2.0,6.0,14.0,5.0,2.0,1.0,,794.0,,,9.0,30.0,3.0,13.0,25.0,666.0,1.0,6.5106,2.0,1.0,16.0,8.0,1.0,26.0,217.0,11.0,65.0,6.0,188.0,61.0,11.0,2.0,,2.0,1.0,420.0,5.0,10.0,1.0,51.0,5.0,0.0,727.0,3.0,7.0,82.0,8.0,4.0,3.0,246.0,9.0,16.0,4.0,,19.0,87.0,860.0,3.0,4.0,,7.0,2.0,266.0,4.0,,1.194,3.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19524,Santi Cazorla,Midfielder,Arsenal,3,Spain,2015-16,73.0,1.0,4.0707,1.0,6.0,8.0,1.0405,28.0,18.0,16.0,91.0,15.0,3.0,25.0,15.0,119.0,8.0,1228.0,,2.0,3.0,,41.0,7.0,6.0,2.0,15.0,6.0,1292.0,6.0,2.0,6.0,80.0,3.0,36.0,79.0,1056.0,9.0,13.0531,35.0,1.0,15.0,11.0,3.0,67.0,406.0,14.0,153.0,21.0,392.0,139.0,15.0,2.0,,5.0,9.0,796.0,8.0,44.0,3.0,146.0,1.0,0.0,1191.0,10.0,4.0,217.0,23.0,37.0,1.0,320.0,13.0,26.0,26.0,,53.0,110.0,1525.0,3.0,2.0,,3.0,8.0,328.0,10.0,,1.8581,2.0,28.0,26.0,0.0552,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,
