matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
321659,1,2010-08-14 15:00:00,"DW Stadium, Wigan",16152,Away,Blackpool,Wigan,4,0,W,3,0,0,0,4.0,10.0,6.0,3.0,1.0,4.0,1.0,4.0,,3.0,8.0,6.0,12.0,62.0,337.0,259.0,43.6,17.0,12.0,12.0,37.0,22.0,2.0,,,12.0,17.0,161.0,,,1.0,,41.0,63.0,10.0,13.0,4.0,4.0,,12.0,8.0,0.0,0.0,,,4.0
321667,2,2010-08-21 15:00:00,"Emirates Stadium, London",60032,Away,Blackpool,Arsenal,0,6,L,0,3,1,0,,5.0,1.0,2.0,2.0,1.0,,1.0,,,5.0,3.0,14.0,46.0,505.0,409.0,46.7,18.0,15.0,20.0,21.0,17.0,5.0,,,19.0,9.0,139.0,,6.0,,,44.0,48.0,8.0,10.0,2.0,2.0,1.0,5.0,10.0,0.0,0.0,,,3.0
321679,3,2010-08-28 15:00:00,"Bloomfield Road, Blackpool",15529,Home,Blackpool,Fulham,2,2,D,0,1,0,0,2.0,17.0,5.0,9.0,3.0,1.0,1.0,,,1.0,8.0,4.0,26.0,110.0,477.0,374.0,54.0,28.0,21.0,13.0,43.0,20.0,4.0,,,5.0,7.0,181.0,,2.0,,,58.0,53.0,7.0,19.0,4.0,4.0,2.0,13.0,16.0,0.0,0.0,,,6.0
321692,4,2010-09-11 15:00:00,"St. James' Park, Newcastle",49597,Away,Blackpool,Newcastle,2,0,W,1,0,0,0,2.0,8.0,5.0,2.0,1.0,2.0,1.0,2.0,,1.0,5.0,3.0,15.0,68.0,311.0,221.0,43.5,11.0,7.0,16.0,52.0,35.0,8.0,,,15.0,6.0,148.0,,,1.0,,46.0,56.0,10.0,19.0,2.0,2.0,1.0,17.0,16.0,0.0,0.0,1.0,1.0,11.0
321699,5,2010-09-19 16:00:00,"Stamford Bridge, London",41761,Away,Blackpool,Chelsea,0,4,L,0,4,0,0,,11.0,3.0,5.0,3.0,1.0,,1.0,,,10.0,6.0,21.0,56.0,403.0,327.0,43.5,19.0,15.0,20.0,32.0,23.0,6.0,,,15.0,9.0,129.0,,4.0,,1.0,40.0,42.0,10.0,10.0,6.0,6.0,,6.0,7.0,0.0,0.0,,,1.0
321709,6,2010-09-25 15:00:00,"Bloomfield Road, Blackpool",15901,Home,Blackpool,Blackburn,1,2,L,0,1,0,0,1.0,15.0,3.0,7.0,5.0,2.0,,2.0,1.0,1.0,12.0,5.0,30.0,88.0,393.0,287.0,58.2,24.0,14.0,5.0,54.0,32.0,5.0,,1.0,4.0,10.0,205.0,,2.0,,1.0,57.0,54.0,17.0,23.0,8.0,8.0,1.0,13.0,11.0,0.0,0.0,,,1.0
321719,7,2010-10-03 15:00:00,"Anfield, Liverpool",43156,Away,Blackpool,Liverpool,2,1,W,2,0,0,0,2.0,15.0,7.0,5.0,3.0,,,,,1.0,11.0,8.0,13.0,68.0,391.0,298.0,43.2,21.0,19.0,13.0,45.0,25.0,6.0,1.0,,7.0,14.0,171.0,,1.0,,,57.0,58.0,16.0,19.0,2.0,2.0,1.0,11.0,11.0,0.0,0.0,1.0,1.0,1.0
321730,8,2010-10-17 16:00:00,"Bloomfield Road, Blackpool",16116,Home,Blackpool,Man City,2,3,L,0,0,0,0,2.0,16.0,4.0,11.0,1.0,2.0,1.0,1.0,,2.0,12.0,5.0,26.0,88.0,491.0,388.0,56.3,14.0,11.0,14.0,26.0,16.0,3.0,,1.0,11.0,17.0,176.0,3.0,3.0,,,46.0,56.0,14.0,14.0,3.0,3.0,1.0,9.0,9.0,0.0,0.0,,,4.0
321737,9,2010-10-23 15:00:00,"St. Andrew's Stadium, Birmingham",26850,Away,Blackpool,Birmingham,0,2,L,0,1,0,0,,19.0,6.0,6.0,7.0,,,,,,15.0,11.0,26.0,76.0,363.0,296.0,45.8,17.0,10.0,13.0,36.0,20.0,9.0,1.0,1.0,2.0,10.0,151.0,,2.0,,,44.0,50.0,13.0,18.0,10.0,10.0,1.0,16.0,8.0,0.0,0.0,,,
321750,10,2010-11-01 20:00:00,"Bloomfield Road, Blackpool",15210,Home,Blackpool,West Brom,2,1,W,1,0,0,2,2.0,26.0,5.0,14.0,7.0,5.0,2.0,5.0,,1.0,18.0,8.0,28.0,75.0,550.0,480.0,65.4,19.0,12.0,3.0,15.0,10.0,3.0,1.0,,7.0,8.0,128.0,,1.0,,,49.0,47.0,11.0,9.0,8.0,8.0,1.0,16.0,13.0,0.0,0.0,1.0,1.0,2.0
321760,11,2010-11-06 15:00:00,"Bloomfield Road, Blackpool",16094,Home,Blackpool,Everton,2,2,D,1,1,0,0,2.0,15.0,4.0,4.0,7.0,,,,,,8.0,4.0,18.0,71.0,395.0,296.0,48.2,25.0,20.0,18.0,55.0,32.0,7.0,,1.0,10.0,22.0,183.0,,2.0,,,62.0,77.0,17.0,22.0,3.0,3.0,,14.0,12.0,0.0,0.0,,,3.0
321772,12,2010-11-10 19:45:00,"Villa Park, Birmingham",34330,Away,Blackpool,Aston Villa,2,3,L,1,1,0,0,2.0,14.0,3.0,7.0,4.0,3.0,1.0,2.0,,2.0,12.0,6.0,19.0,72.0,511.0,397.0,59.4,12.0,10.0,13.0,35.0,19.0,5.0,1.0,,4.0,10.0,189.0,,3.0,,,39.0,49.0,11.0,18.0,8.0,8.0,,10.0,9.0,0.0,0.0,,,4.0
321784,13,2010-11-13 15:00:00,"Boleyn Ground, London",31194,Away,Blackpool,West Ham,0,0,D,0,0,0,0,,23.0,3.0,11.0,9.0,2.0,,3.0,,,15.0,7.0,22.0,78.0,368.0,291.0,51.5,15.0,10.0,10.0,47.0,25.0,13.0,1.0,,9.0,12.0,162.0,,,1.0,,41.0,61.0,13.0,27.0,7.0,7.0,1.0,8.0,7.0,0.0,0.0,,,2.0
321790,14,2010-11-20 15:00:00,"Bloomfield Road, Blackpool",15922,Home,Blackpool,Wolves,2,1,W,2,0,0,0,2.0,13.0,4.0,5.0,4.0,1.0,1.0,,,2.0,10.0,8.0,14.0,65.0,367.0,273.0,44.2,25.0,17.0,8.0,61.0,37.0,5.0,,,3.0,15.0,190.0,,1.0,,,54.0,53.0,16.0,17.0,4.0,4.0,,7.0,8.0,0.0,0.0,,,4.0
