playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,blockedShots,expectedGoalsOnTarget,oboxBlocked,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,throwInsToOppositionPlayer,shotsBlockedInBox,oboxTarget,iboxBlocked,shotsBlockedOutsideBox,handballsConceded,successfulLaunches,lastPlayerTackle,redCards2ndYellow,blocks,hitWoodwork,expectedGoalsFreekick,penaltiesConceded,freekickTotal,attemptsFromSetPieces,clearancesOffTheLine,punches,catches,savesMade,goalkeeperSmother,drops,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,headedGoals,setPiecesGoals,penaltiesTaken,leftFootGoals,penaltyGoals,ownGoalScored,savesMadeCaught,penaltiesFaced,crossesNotClaimed
17349,Aaron Lennon,Midfielder,Everton,11,England,2014-15,79.0,7.0,0.8496,0.0,5.0,2.0,36.0,9.0,3.0,77.0,23.0,2.0,25.0,2.0,15.0,88.0,27.0,435.0,2.0,2.0,2.0,8.0,1.0,13.0,3.0,7.0,1347.0,1.0,10.0,72.0,2.0,41.0,69.0,336.0,39.0,1.0,3.6487,22.0,12.0,16.0,69.0,65.0,22.0,0.0,151.0,15.0,0.0,116.0,44.0,23.0,2.0,8.0,17.0,257.0,14.0,28.0,38.0,138.0,3.0,0.0,433.0,4.0,7.0,172.0,28.0,11.0,137.0,15.0,13.0,1.0,11.0,117.0,671.0,12.0,8.0,9.0,97.0,12.0,0.0626,3.0,11.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18267,Aiden McGeady,Midfielder,Everton,11,Ireland,2014-15,75.0,5.0,1.2754,0.0,3.0,1.0,15.0,15.0,1.0,38.0,16.0,2.0,24.0,,10.0,44.0,33.0,292.0,1.0,,1.0,6.0,8.0,18.0,1.0,7.0,887.0,2.0,15.0,43.0,2.0,20.0,40.0,242.0,26.0,,8.8575,15.0,3.0,13.0,60.0,30.0,9.0,0.0,118.0,11.0,0.0,73.0,43.0,16.0,1.0,3.0,16.0,180.0,11.0,39.0,32.0,100.0,3.0,0.0,290.0,12.0,12.0,134.0,12.0,16.0,100.0,16.0,6.0,6.0,6.0,89.0,485.0,3.0,9.0,1.0,75.0,12.0,0.9366,1.0,6.0,8.0,1.0,7.0,1.1191,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104953,Christian Atsu,Midfielder,Everton,11,Ghana,2014-15,4.0,1.0,,0.0,1.0,2.0,1.0,3.0,3.0,16.0,5.0,1.0,1.0,,1.0,16.0,,67.0,,,,4.0,,3.0,,1.0,110.0,,1.0,7.0,,2.0,5.0,50.0,18.0,1.0,,4.0,1.0,5.0,3.0,5.0,,0.0,11.0,2.0,,17.0,10.0,5.0,,,2.0,35.0,5.0,,3.0,8.0,2.0,0.0,67.0,2.0,1.0,24.0,1.0,4.0,26.0,,1.0,,1.0,19.0,92.0,,1.0,,17.0,,,0.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27707,Darron Gibson,Midfielder,Everton,11,Ireland,2014-15,13.0,,0.7417,0.0,2.0,,11.0,7.0,4.0,37.0,9.0,,1.0,,3.0,59.0,4.0,356.0,,,,6.0,1.0,10.0,1.0,,411.0,,2.0,24.0,3.0,12.0,16.0,271.0,1.0,,4.591,2.0,12.0,8.0,11.0,94.0,4.0,0.0,37.0,5.0,,140.0,35.0,9.0,,1.0,,182.0,5.0,5.0,3.0,27.0,8.0,0.0,347.0,5.0,2.0,71.0,10.0,1.0,83.0,5.0,8.0,1.0,26.0,39.0,430.0,,,7.0,115.0,4.0,0.3359,0.0,22.0,12.0,,3.0,0.5885,2.0,2.0,,,,,1.0,2.0,1.0,2.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Gareth Barry,Midfielder,Everton,11,England,2014-15,180.0,5.0,2.6657,1.0,7.0,1.0,83.0,12.0,6.0,216.0,33.0,2.0,29.0,,33.0,313.0,17.0,2039.0,,3.0,,,,87.0,9.0,5.0,2827.0,,43.0,167.0,2.0,45.0,123.0,1559.0,30.0,4.0,34.8727,14.0,93.0,40.0,137.0,582.0,31.0,0.0,347.0,23.0,,846.0,227.0,33.0,,12.0,8.0,951.0,38.0,17.0,33.0,260.0,44.0,0.0,1970.0,5.0,7.0,385.0,71.0,10.0,446.0,61.0,57.0,,167.0,165.0,2474.0,8.0,4.0,19.0,780.0,39.0,1.2701,10.0,97.0,72.0,,4.0,0.8655,3.0,4.0,3.0,3.0,,1.0,1.0,4.0,1.0,3.0,1.0,4.0,,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50472,James McCarthy,Midfielder,Everton,11,Ireland,2014-15,124.0,2.0,0.9312,0.0,2.0,4.0,67.0,10.0,,138.0,28.0,1.0,39.0,1.0,27.0,206.0,11.0,1418.0,2.0,,0.0,1.0,,63.0,6.0,2.0,2403.0,,27.0,150.0,6.0,43.0,114.0,1123.0,20.0,3.0,29.4995,15.0,80.0,35.0,97.0,329.0,34.0,2.0,274.0,29.0,2.0,426.0,167.0,28.0,2.0,12.0,7.0,694.0,29.0,11.0,30.0,211.0,36.0,0.0,1385.0,8.0,4.0,276.0,55.0,16.0,455.0,31.0,47.0,,89.0,208.0,1841.0,6.0,4.0,32.0,520.0,15.0,1.6179,7.0,68.0,37.0,1.0,9.0,1.0521,6.0,,,,,,3.0,,3.0,6.0,1.0,4.0,,,23.0,1.0,0.0275,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
26901,Kevin Mirallas,Midfielder,Everton,11,Belgium,2014-15,104.0,5.0,1.4123,0.0,16.0,13.0,21.0,36.0,,62.0,29.0,1.0,28.0,,18.0,73.0,36.0,474.0,7.0,13.0,3.0,11.0,38.0,7.0,1.0,15.0,1421.0,1.0,4.0,70.0,3.0,30.0,67.0,373.0,56.0,2.0,22.905,17.0,2.0,27.0,100.0,204.0,21.0,2.0,174.0,15.0,4.0,108.0,56.0,29.0,6.0,3.0,37.0,322.0,24.0,57.0,67.0,167.0,3.0,0.0,460.0,20.0,15.0,239.0,18.0,25.0,61.0,16.0,6.0,18.0,28.0,101.0,830.0,10.0,15.0,1.0,94.0,10.0,5.0517,3.0,11.0,10.0,,16.0,5.6878,10.0,6.0,3.0,3.0,10.0,2.0,6.0,6.0,6.0,10.0,,1.0,,,1.0,2.0,0.6505,,11.0,11.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
8378,Leon Osman,Midfielder,Everton,11,England,2014-15,88.0,2.0,1.344,0.0,16.0,,20.0,25.0,6.0,95.0,21.0,2.0,44.0,,13.0,119.0,10.0,726.0,2.0,1.0,1.0,8.0,2.0,34.0,3.0,2.0,1274.0,1.0,23.0,61.0,1.0,33.0,50.0,583.0,43.0,1.0,11.714,14.0,24.0,14.0,65.0,193.0,19.0,1.0,149.0,10.0,1.0,261.0,68.0,21.0,1.0,8.0,10.0,393.0,13.0,13.0,34.0,115.0,11.0,0.0,712.0,9.0,8.0,188.0,12.0,13.0,129.0,17.0,15.0,2.0,24.0,143.0,956.0,3.0,3.0,10.0,216.0,12.0,2.4674,0.0,24.0,25.0,2.0,3.0,3.8795,,5.0,9.0,9.0,,1.0,3.0,5.0,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
87447,Muhamed Besic,Midfielder,Everton,11,Bosnia & Herzegovina,2014-15,112.0,3.0,0.8284,0.0,3.0,2.0,58.0,11.0,2.0,82.0,23.0,,34.0,,15.0,112.0,8.0,868.0,,,,8.0,,16.0,1.0,3.0,1284.0,,7.0,112.0,1.0,31.0,103.0,672.0,2.0,1.0,14.906,8.0,33.0,16.0,105.0,218.0,13.0,0.0,224.0,15.0,,244.0,89.0,23.0,,14.0,16.0,460.0,15.0,8.0,37.0,208.0,9.0,0.0,857.0,8.0,5.0,172.0,44.0,32.0,262.0,30.0,24.0,,84.0,144.0,1146.0,6.0,9.0,7.0,299.0,23.0,0.5296,8.0,30.0,27.0,,7.0,0.911,7.0,3.0,,,,,,3.0,,7.0,1.0,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
88894,Ross Barkley,Midfielder,Everton,11,England,2014-15,175.0,3.0,1.8369,0.0,14.0,15.0,32.0,33.0,11.0,122.0,29.0,2.0,96.0,,22.0,139.0,16.0,1156.0,2.0,1.0,0.0,7.0,14.0,57.0,3.0,6.0,1964.0,5.0,30.0,151.0,3.0,23.0,124.0,956.0,45.0,2.0,20.5561,31.0,11.0,22.0,145.0,365.0,34.0,0.0,326.0,14.0,2.0,253.0,106.0,29.0,1.0,8.0,55.0,721.0,19.0,27.0,106.0,269.0,27.0,0.0,1135.0,19.0,13.0,330.0,24.0,61.0,240.0,19.0,9.0,8.0,61.0,298.0,1593.0,3.0,10.0,3.0,302.0,5.0,3.8806,1.0,17.0,33.0,,18.0,3.4937,15.0,7.0,5.0,5.0,2.0,,3.0,7.0,3.0,15.0,1.0,,,,2.0,,0.4387,,7.0,7.0,,,,,,,,,,,,,,,1.0,1.0,,,,,
