playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,gamesPlayed,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,homeGoals,recoveries,appearances,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,cleanSheets,throwInsToOppositionPlayer,headedGoals,hitWoodwork,lastPlayerTackle,attemptsFromSetPieces,ownGoalScored,forwardPasses,penaltiesTaken,clearancesOffTheLine,penaltyGoals,foulWonPenalty,handballsConceded,setPiecesGoals,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,redCards2ndYellow,penaltiesConceded,penaltyGoalsConceded,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,savesMadeFromInsideBox
80179,Adam Forshaw,Midfielder,Everton,11,England,2009-10,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40387,Dan Gosling,Midfielder,Everton,11,England,2009-10,0.0,0.0,0.0,11.0,21.0,2.0,3.0,4.0,7.0,6.0,2.0,21.0,7.0,3.0,27.0,12.0,106.0,2.0,1.0,1.0,8.0,6.0,6.0,6.0,341.0,2.0,3.0,21.0,2.0,18.0,77.0,4.0,11.0,4.0,1.0,6.0,7.0,18.0,8.0,4.0,42.0,1.0,17.0,11.0,1.0,4.0,1.0,2.0,46.0,5.0,14.0,12.0,36.0,3.0,106.0,2.0,4.0,59.0,3.0,3.0,3.0,2.0,9.0,2.0,2.0,201.0,1.0,2.0,2.0,39.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17891,Diniyar Bilyaletdinov,Midfielder,Everton,11,Russia,2009-10,1.0,1.0,1.0,23.0,85.0,5.0,7.0,15.0,28.0,27.0,9.0,85.0,50.0,16.0,101.0,46.0,520.0,6.0,3.0,0.0,7.0,30.0,31.0,14.0,1434.0,3.0,22.0,71.0,1.0,62.0,400.0,6.0,60.0,23.0,1.0,19.0,18.0,63.0,16.0,2.0,156.0,6.0,61.0,23.0,2.0,8.0,3.0,12.0,291.0,17.0,78.0,42.0,125.0,9.0,514.0,12.0,17.0,234.0,20.0,18.0,3.0,12.0,17.0,23.0,19.0,849.0,10.0,9.0,7.0,142.0,16.0,19.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78270,Hope Akpan,Midfielder,Everton,11,Nigeria,2009-10,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49384,Jack Rodwell,Midfielder,Everton,11,England,2009-10,0.0,0.0,4.0,26.0,74.0,5.0,14.0,11.0,42.0,30.0,1.0,98.0,24.0,17.0,130.0,12.0,665.0,2.0,,0.0,9.0,,36.0,5.0,1620.0,,19.0,74.0,5.0,57.0,469.0,,36.0,14.0,4.0,48.0,29.0,55.0,8.0,0.0,148.0,2.0,75.0,26.0,2.0,11.0,,7.0,287.0,24.0,12.0,31.0,112.0,17.0,655.0,19.0,11.0,203.0,31.0,7.0,10.0,17.0,21.0,,66.0,924.0,2.0,5.0,9.0,253.0,32.0,20.0,1.0,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55588,James Wallace,Midfielder,Everton,11,England,2009-10,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8378,Leon Osman,Midfielder,Everton,11,England,2009-10,0.0,0.0,3.0,26.0,151.0,6.0,18.0,10.0,54.0,30.0,6.0,125.0,31.0,25.0,145.0,34.0,765.0,2.0,1.0,1.0,1.0,,40.0,6.0,1993.0,5.0,26.0,121.0,3.0,107.0,585.0,,49.0,19.0,2.0,37.0,23.0,125.0,30.0,0.0,272.0,1.0,98.0,26.0,,14.0,1.0,13.0,442.0,20.0,35.0,74.0,232.0,14.0,755.0,20.0,20.0,281.0,40.0,23.0,4.0,28.0,75.0,,35.0,1219.0,1.0,15.0,16.0,184.0,20.0,30.0,1.0,5.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41184,Marouane Fellaini,Midfielder,Everton,11,Belgium,2009-10,0.0,0.0,6.0,23.0,186.0,10.0,10.0,16.0,74.0,27.0,9.0,220.0,62.0,20.0,248.0,10.0,1003.0,2.0,7.0,2.0,3.0,,134.0,10.0,1763.0,10.0,45.0,199.0,5.0,110.0,711.0,,68.0,21.0,5.0,84.0,28.0,141.0,28.0,0.0,385.0,0.0,142.0,23.0,2.0,16.0,,6.0,469.0,23.0,10.0,57.0,251.0,89.0,1001.0,11.0,11.0,366.0,58.0,8.0,6.0,67.0,60.0,,44.0,1431.0,2.0,3.0,14.0,296.0,28.0,57.0,2.0,6.0,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
8758,Mikel Arteta,Midfielder,Everton,11,Spain,2009-10,0.0,0.0,3.0,13.0,52.0,6.0,8.0,12.0,39.0,16.0,8.0,104.0,53.0,11.0,112.0,20.0,808.0,6.0,,2.0,2.0,38.0,24.0,23.0,1030.0,2.0,12.0,81.0,3.0,69.0,611.0,14.0,24.0,31.0,3.0,15.0,11.0,40.0,28.0,6.0,133.0,4.0,57.0,13.0,6.0,7.0,,4.0,484.0,8.0,46.0,17.0,109.0,12.0,774.0,4.0,7.0,183.0,32.0,2.0,5.0,17.0,23.0,17.0,85.0,1065.0,2.0,3.0,,235.0,8.0,18.0,1.0,2.0,1.0,,,,8.0,,,2.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
1821,Phil Neville,Midfielder,Everton,11,England,2009-10,0.0,0.0,1.0,23.0,42.0,10.0,3.0,,42.0,3.0,1.0,131.0,17.0,22.0,198.0,44.0,933.0,,1.0,,1.0,,20.0,10.0,1955.0,,4.0,70.0,6.0,54.0,684.0,,6.0,9.0,3.0,74.0,26.0,38.0,9.0,0.0,112.0,,78.0,23.0,,8.0,,2.0,422.0,20.0,44.0,9.0,92.0,16.0,906.0,3.0,9.0,343.0,34.0,3.0,6.0,22.0,33.0,,51.0,1377.0,125.0,2.0,43.0,323.0,67.0,35.0,1.0,7.0,52.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
