playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,aerialDuels,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,successfulShortPasses,totalTouchesInOppositionBox,keyPassesAttemptAssists,groundDuelsLost,rightsidePasses,winningGoal,duels,forwardPasses,recoveries,appearances,unsuccessfulDribbles,successfulPassesOppositionHalf,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,touches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,overruns,totalTackles,starts,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,groundDuelsWon,expectedGoalsOnTargetConceded,totalClearances,goalsConceded,totalFoulsWon,oboxTarget,tacklesLost,goalsConcededInsideBox,cornersWon,tacklesWon,successfulDribbles,interceptions,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,shotsBlockedOutsideBox,unsuccessfulLaunches,expectedGoalsFreekick,throughBalls,goals,awayGoals,cleanSheets,goalsConcededOutsideBox,successfulCornersIntoBox,penaltyGoalsConceded,successfulLaunches,shotsBlockedInBox,homeGoals,rightFootGoals,freekickTotal,iboxBlocked,blocks,attemptsFromSetPieces,substituteOff,hitWoodwork,handballsConceded,secondGoalAssists,clearancesOffTheLine,punches,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,offsides,throwInsToOppositionPlayer,leftFootGoals,headedGoals,setPiecesGoals,ownGoalScored,penaltiesTaken,lastPlayerTackle,penaltyGoals,penaltiesConceded,redCards2ndYellow,otherGoals,penaltiesFaced,goalkeeperSmother,drops,crossesNotClaimed
27707,Darron Gibson,Midfielder,Everton,11,Ireland,2012-13,55.0,1.9259,1.0,4.0,0.4883,22.0,144.0,23.0,2.0,28.0,209.0,18.0,1140.0,1.0,25.0,,1807.0,,15.0,66.0,816.0,3.0,25.0,40.0,295.0,2.0,121.0,464.0,131.0,23.0,3.0,586.0,37.0,10.0,96.0,10.0,1.0,1107.0,18.0,271.0,254.0,18.0,115.0,127.0,1415.0,358.0,1.2325,4.0,65.0,32.0,8.0,14.0,,44.0,22.0,24.0,16.0,8.0,13.0,,56.0,21.9057,37.0,18.0,4.0,8.0,17.0,15.0,11.0,27.0,8.0,35.0,14.0,2.0,24.0,18.0,0.4047,2.0,1.0,0.0,7.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,12.0,1.0,5.0,6.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115596,Francisco Júnior,Midfielder,Everton,11,Portugal,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26901,Kevin Mirallas,Midfielder,Everton,11,Belgium,2012-13,160.0,3.4382,0.0,28.0,7.1988,44.0,103.0,27.0,3.0,34.0,112.0,51.0,584.0,4.0,18.0,22.0,1831.0,22.0,15.0,100.0,447.0,108.0,40.0,145.0,160.0,4.0,260.0,153.0,89.0,27.0,47.0,396.0,87.0,93.0,242.0,3.0,0.0,559.0,16.0,337.0,141.0,29.0,25.0,130.0,1085.0,109.0,6.5442,3.0,9.0,15.0,15.0,27.0,9.0,35.0,23.0,23.0,76.0,23.0,33.0,1.0,97.0,23.6628,6.0,24.0,25.0,23.0,9.0,19.0,34.0,26.0,37.0,16.0,34.0,16.0,23.0,3.0,0.1477,2.0,6.0,2.0,1.0,5.0,17.0,,,25.0,4.0,4.0,4.0,25.0,,2.0,18.0,2.0,,,,,,,,,,,,,,1.0,15.0,1.0,1.0,1.0,,,,,,,,,,,,
8378,Leon Osman,Midfielder,Everton,11,England,2012-13,214.0,2.2957,0.0,24.0,5.8854,55.0,226.0,36.0,2.0,57.0,252.0,28.0,1788.0,,101.0,21.0,3184.0,21.0,43.0,238.0,1430.0,79.0,25.0,171.0,425.0,2.0,452.0,632.0,212.0,36.0,18.0,1001.0,30.0,74.0,351.0,58.0,0.0,1767.0,31.0,399.0,539.0,44.0,106.0,192.0,2434.0,539.0,7.1587,9.0,26.0,62.0,4.0,21.0,1.0,85.0,36.0,18.0,2.0,18.0,4.0,2.0,180.0,39.2175,83.0,37.0,67.0,18.0,19.0,30.0,17.0,66.0,28.0,82.0,2.0,,18.0,17.0,0.1547,6.0,5.0,1.0,7.0,7.0,,2.0,11.0,19.0,4.0,2.0,1.0,19.0,16.0,1.0,7.0,1.0,5.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
41184,Marouane Fellaini,Midfielder,Everton,11,Belgium,2012-13,285.0,3.6757,0.0,35.0,9.6699,65.0,320.0,31.0,5.0,80.0,337.0,34.0,1627.0,,253.0,36.0,2785.0,36.0,102.0,298.0,1234.0,179.0,35.0,183.0,479.0,4.0,583.0,432.0,206.0,31.0,23.0,918.0,34.0,96.0,330.0,151.0,0.0,1620.0,30.0,553.0,406.0,80.0,56.0,310.0,2253.0,376.0,10.5633,8.0,17.0,73.0,4.0,25.0,7.0,82.0,31.0,13.0,,13.0,4.0,7.0,147.0,33.2262,65.0,32.0,47.0,13.0,22.0,27.0,22.0,60.0,18.0,37.0,,5.0,13.0,11.0,,6.0,11.0,5.0,8.0,5.0,,2.0,6.0,27.0,6.0,5.0,,27.0,4.0,,2.0,5.0,6.0,,,,,,,,,,,,,,13.0,,1.0,5.0,,,,,,1.0,,,,,,
92476,Matthew Kennedy,Midfielder,Everton,11,Scotland,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,Phil Neville,Midfielder,Everton,11,England,2012-13,60.0,0.4973,0.0,2.0,0.4618,3.0,86.0,18.0,1.0,15.0,107.0,14.0,810.0,,36.0,2.0,1553.0,2.0,20.0,44.0,660.0,3.0,6.0,40.0,156.0,0.0,104.0,258.0,76.0,18.0,2.0,389.0,14.0,10.0,68.0,16.0,0.0,790.0,1.0,160.0,278.0,24.0,43.0,118.0,1010.0,316.0,0.1135,4.0,21.0,27.0,2.0,,,22.0,18.0,,,2.0,2.0,1.0,28.0,18.6065,26.0,19.0,5.0,2.0,5.0,14.0,2.0,17.0,1.0,27.0,,34.0,,11.0,,1.0,,,3.0,5.0,,,3.0,,,,,,5.0,,5.0,,1.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,
88894,Ross Barkley,Midfielder,Everton,11,England,2012-13,19.0,0.3177,0.0,2.0,0.5123,6.0,21.0,7.0,,4.0,21.0,2.0,101.0,5.0,12.0,2.0,206.0,2.0,3.0,23.0,76.0,3.0,2.0,16.0,24.0,0.0,42.0,25.0,10.0,7.0,4.0,48.0,2.0,11.0,30.0,9.0,0.0,100.0,4.0,41.0,25.0,3.0,4.0,27.0,155.0,32.0,0.5163,2.0,,2.0,,1.0,,9.0,2.0,1.0,,2.0,,1.0,14.0,1.4851,5.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,4.0,4.0,,,1.0,,,1.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7525,Steven Pienaar,Midfielder,Everton,11,South Africa,2012-13,212.0,5.3087,2.0,19.0,4.6332,41.0,266.0,35.0,6.0,67.0,295.0,63.0,1623.0,,45.0,14.0,3066.0,14.0,28.0,193.0,1274.0,106.0,76.0,184.0,497.0,6.0,405.0,501.0,203.0,35.0,35.0,1078.0,78.0,119.0,360.0,17.0,0.0,1616.0,22.0,574.0,320.0,45.0,54.0,305.0,2320.0,267.0,5.114,5.0,29.0,32.0,13.0,21.0,5.0,67.0,35.0,16.0,19.0,10.0,17.0,5.0,176.0,34.3658,14.0,34.0,86.0,10.0,22.0,27.0,36.0,45.0,23.0,70.0,13.0,18.0,16.0,11.0,0.2201,19.0,6.0,2.0,8.0,7.0,3.0,2.0,2.0,20.0,4.0,3.0,2.0,20.0,3.0,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,,,,,,,2.0,1.0,,,,
8402,Thomas Hitzlsperger,Midfielder,Everton,11,Germany,2012-13,14.0,0.5826,0.0,2.0,0.0697,7.0,37.0,7.0,,9.0,44.0,6.0,199.0,3.0,4.0,,349.0,,2.0,9.0,143.0,2.0,9.0,12.0,43.0,0.0,23.0,76.0,23.0,7.0,1.0,100.0,21.0,4.0,19.0,2.0,0.0,194.0,5.0,76.0,58.0,3.0,12.0,22.0,274.0,62.0,0.3416,0.0,7.0,11.0,4.0,3.0,1.0,5.0,4.0,3.0,18.0,4.0,7.0,,7.0,5.8511,8.0,6.0,,4.0,,6.0,5.0,5.0,2.0,7.0,12.0,1.0,3.0,7.0,,2.0,,,,,3.0,1.0,1.0,2.0,,,,2.0,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
