playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,aerialDuels,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,offsides,awayGoals,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,homeGoals,oboxTarget,rightFootGoals,aerialDuelsWon,foulWonPenalty,goalKicks,cleanSheets,penaltiesConceded,successfulLaunches,headedGoals,gkUnsuccessfulDistribution,handballsConceded,hitWoodwork,throughBalls,leftFootGoals,attemptsFromSetPieces,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,throwInsToOppositionPlayer,secondGoalAssists,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,freekickTotal,expectedGoalsFreekick,clearancesOffTheLine,penaltiesTaken,penaltyGoals,penaltiesSaved,savesFromPenalty,ownGoalScored,redCards2ndYellow,setPiecesGoals
17349,Aaron Lennon,Midfielder,Everton,11,England,2016-17,17.0,2.0,0.3585,0.0,3.0,13.0,2.0,22.0,11.0,1.0,9.0,6.0,26.0,9.0,134.0,2.0,5.0,5.0,2.0,509.0,1.0,5.0,19.0,1.0,13.0,19.0,105.0,8.0,1.0,7.3083,5.0,9.0,5.0,1.0,12.0,24.0,3.0,0.0,36.0,8.0,40.0,25.0,11.0,1.0,2.0,82.0,4.0,9.0,5.0,1.0,31.0,0.0,133.0,2.0,1.0,51.0,12.0,3.0,1.0,26.0,1.0,3.0,3.0,44.0,216.0,1.0,5.0,2.0,4.0,28.0,1.0,0.2877,0.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Gareth Barry,Midfielder,Everton,11,England,2016-17,120.0,3.0,1.8032,0.0,5.0,70.0,12.0,182.0,33.0,1.0,9.0,23.0,283.0,13.0,1375.0,3.0,10.0,55.0,5.0,2112.0,,23.0,136.0,4.0,44.0,104.0,992.0,22.0,1.0,29.8223,27.0,57.0,28.0,2.0,97.0,364.0,24.0,1.0,256.0,29.0,522.0,168.0,33.0,22.0,1.0,634.0,24.0,17.0,20.0,2.0,201.0,0.0,1343.0,5.0,6.0,338.0,48.0,12.0,22.0,342.0,48.0,35.0,100.0,147.0,1732.0,3.0,12.0,3.0,32.0,463.0,30.0,0.897,10.0,101.0,73.0,7.0,0.698,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,,32.0,,,3.0,,4.0,1.0,,1.0,,5.0,1.0,,13.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
80801,Idrissa Gueye,Midfielder,Everton,11,Senegal,2016-17,166.0,4.0,1.6019,0.0,10.0,136.0,15.0,197.0,33.0,1.0,43.0,32.0,258.0,8.0,1885.0,7.0,1.0,52.0,4.0,2685.0,,20.0,246.0,8.0,62.0,214.0,1531.0,25.0,2.0,32.0872,24.0,39.0,31.0,3.0,146.0,459.0,52.0,1.0,412.0,41.0,583.0,245.0,33.0,36.0,9.0,946.0,23.0,8.0,45.0,3.0,360.0,0.0,1858.0,9.0,5.0,346.0,100.0,26.0,9.0,555.0,51.0,81.0,96.0,288.0,2420.0,,8.0,7.0,24.0,685.0,36.0,1.8206,11.0,61.0,71.0,6.0,0.5747,1.0,,0.0,3.0,2.0,2.0,1.0,3.0,1.0,32.0,1.0,,8.0,,14.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50472,James McCarthy,Midfielder,Everton,11,Ireland,2016-17,29.0,1.0,0.1766,0.0,2.0,19.0,4.0,43.0,12.0,1.0,7.0,7.0,60.0,3.0,247.0,,5.0,16.0,1.0,612.0,,5.0,42.0,1.0,22.0,31.0,168.0,7.0,1.0,9.7087,4.0,8.0,10.0,2.0,24.0,42.0,8.0,0.0,71.0,14.0,90.0,23.0,12.0,9.0,2.0,115.0,9.0,3.0,6.0,2.0,55.0,0.0,246.0,1.0,,82.0,10.0,5.0,3.0,71.0,10.0,10.0,19.0,44.0,363.0,12.0,5.0,,12.0,73.0,9.0,0.4905,2.0,17.0,17.0,3.0,0.1939,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
169527,Joe Williams,Midfielder,Everton,11,England,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26901,Kevin Mirallas,Midfielder,Everton,11,Belgium,2016-17,146.0,10.0,3.5115,0.0,20.0,18.0,42.0,102.0,35.0,6.0,35.0,23.0,123.0,48.0,719.0,15.0,12.0,55.0,34.0,2080.0,3.0,38.0,108.0,4.0,37.0,91.0,557.0,95.0,1.0,28.3011,37.0,11.0,26.0,5.0,108.0,249.0,25.0,2.0,254.0,21.0,175.0,95.0,35.0,5.0,26.0,478.0,22.0,102.0,62.0,5.0,199.0,0.0,681.0,18.0,29.0,347.0,13.0,49.0,,99.0,27.0,7.0,39.0,196.0,1199.0,7.0,18.0,15.0,5.0,152.0,13.0,3.7776,2.0,21.0,18.0,24.0,3.4949,4.0,4.0,2.0,11.0,9.0,9.0,2.0,11.0,3.0,17.0,,,1.0,,1.0,,,,1.0,2.0,1.0,3.0,84.0,19.0,48.0,1.0,1.0,,,,,,,,,,,,3.0,0.1871,,,,,,,,
42774,Morgan Schneiderlin,Midfielder,Everton,11,France,2016-17,78.0,1.0,0.2506,0.0,1.0,26.0,7.0,66.0,17.0,,10.0,12.0,88.0,,866.0,,5.0,46.0,1.0,1070.0,,28.0,60.0,2.0,15.0,42.0,709.0,14.0,1.0,16.3984,6.0,28.0,14.0,1.0,50.0,270.0,9.0,0.0,138.0,12.0,257.0,89.0,17.0,7.0,1.0,380.0,12.0,,12.0,1.0,92.0,0.0,843.0,4.0,1.0,110.0,19.0,9.0,4.0,241.0,21.0,31.0,69.0,98.0,1027.0,1.0,2.0,,4.0,399.0,19.0,0.9348,2.0,22.0,21.0,3.0,1.57,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87447,Muhamed Besic,Midfielder,Everton,11,Bosnia & Herzegovina,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88894,Ross Barkley,Midfielder,Everton,11,England,2016-17,256.0,6.0,4.5565,0.0,27.0,30.0,61.0,245.0,36.0,8.0,115.0,32.0,289.0,37.0,1651.0,13.0,4.0,83.0,29.0,2905.0,8.0,41.0,171.0,7.0,60.0,129.0,1251.0,111.0,2.0,36.5493,76.0,35.0,36.0,14.0,215.0,437.0,37.0,1.0,427.0,19.0,439.0,163.0,36.0,5.0,37.0,987.0,29.0,84.0,133.0,14.0,344.0,0.0,1558.0,32.0,23.0,597.0,25.0,62.0,6.0,381.0,49.0,10.0,111.0,394.0,2319.0,10.0,13.0,13.0,6.0,404.0,22.0,6.0028,5.0,44.0,50.0,29.0,5.786,5.0,8.0,1.0,14.0,10.0,10.0,4.0,14.0,3.0,42.0,,,3.0,,,1.0,,2.0,,10.0,1.0,5.0,63.0,20.0,32.0,,1.0,,,,,,,,,,,,5.0,0.3307,2.0,,,,,,,1.0
43250,Tom Cleverley,Midfielder,Everton,11,England,2016-17,104.0,2.0,1.174,0.0,1.0,42.0,9.0,83.0,27.0,2.0,28.0,20.0,145.0,7.0,857.0,,7.0,25.0,16.0,1843.0,1.0,21.0,65.0,4.0,33.0,61.0,671.0,14.0,1.0,25.567,26.0,21.0,40.0,1.0,83.0,237.0,11.0,0.0,169.0,19.0,266.0,107.0,27.0,11.0,3.0,409.0,36.0,44.0,27.0,1.0,144.0,0.0,825.0,5.0,6.0,246.0,31.0,8.0,6.0,197.0,23.0,31.0,41.0,157.0,1157.0,5.0,4.0,,29.0,319.0,16.0,0.3847,4.0,62.0,42.0,4.0,0.207,,,,3.0,,,,3.0,,4.0,,,2.0,,6.0,,,1.0,1.0,2.0,,,46.0,13.0,31.0,,,,,,,,,,,,,,,,,,,,,,,
