playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,expectedAssists,expectedGoalsOnTarget,throughBalls,goalAssists,oboxBlocked,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,expectedGoalsOnTargetConceded,shotsBlockedInBox,oboxTarget,leftFootGoals,headedGoals,iboxBlocked,shotsBlockedOutsideBox,expectedGoals,throwInsToOppositionPlayer,clearancesOffTheLine,successfulCornersIntoBox,unsuccessfulCornersIntoBox,penaltiesConceded,redCards2ndYellow,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,penaltiesTaken,penaltyGoals,hitWoodwork,ownGoalScored
17349,Aaron Lennon,Midfielder,Everton,11,England,2015-16,63.0,7.0,0.0,3.0,11.0,3.0,35.0,15.0,78.0,25.0,22.0,1.0,17.0,90.0,27.0,477.0,5.0,1.0,2.0,8.0,1.0,5.0,2.0,7.0,1539.0,4.0,83.0,1.0,37.0,82.0,374.0,61.0,1.0,23.0,1.0,15.0,25.0,59.0,60.0,21.0,0.0,146.0,21.0,3.0,130.0,55.0,25.0,5.0,10.0,17.0,267.0,24.0,27.0,31.0,141.0,1.0,0.0,472.0,4.0,12.0,169.0,25.0,26.0,2.0,149.0,13.0,8.0,13.0,138.0,735.0,5.0,8.0,4.0,127.0,8.0,1.0,1.0,12.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18267,Aiden McGeady,Midfielder,Everton,11,Ireland,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175832,Callum Connolly,Midfielder,Everton,11,England,2015-16,1.0,,0.0,,,,,,,1.0,,,,,2.0,8.0,,,,1.0,,1.0,,,36.0,1.0,,,2.0,,6.0,,,,,3.0,1.0,,1.0,,,1.0,2.0,,1.0,1.0,1.0,,,,5.0,1.0,2.0,,,,0.0,8.0,,1.0,4.0,,,,1.0,,,2.0,5.0,19.0,1.0,,,3.0,,,0.0,,,,0.0027,,,,,,,,,1.2491,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
27707,Darron Gibson,Midfielder,Everton,11,Ireland,2015-16,11.0,,0.0,,1.0,,4.0,2.0,12.0,7.0,1.0,,2.0,27.0,,181.0,,,,5.0,,8.0,,,239.0,1.0,14.0,,3.0,7.0,131.0,,1.0,3.0,2.0,15.0,3.0,10.0,58.0,,,25.0,2.0,,56.0,18.0,7.0,,4.0,,71.0,3.0,,,17.0,7.0,0.0,177.0,1.0,,37.0,,3.0,2.0,46.0,4.0,4.0,23.0,21.0,226.0,,1.0,3.0,83.0,4.0,,3.0,15.0,4.0,,0.0646,0.0223,,1.0,,1.0,,,,3.7969,,1.0,,,,,0.0515,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1632,Gareth Barry,Midfielder,Everton,11,England,2015-16,140.0,7.0,1.0,6.0,4.0,,96.0,9.0,253.0,33.0,12.0,,32.0,374.0,20.0,2061.0,,1.0,,1.0,8.0,83.0,10.0,9.0,2835.0,27.0,193.0,3.0,74.0,137.0,1502.0,,4.0,33.0,7.0,79.0,43.0,113.0,583.0,25.0,,333.0,52.0,,834.0,239.0,33.0,,28.0,3.0,942.0,40.0,24.0,,250.0,56.0,0.0,2012.0,5.0,8.0,473.0,68.0,18.0,24.0,446.0,42.0,54.0,185.0,198.0,2560.0,8.0,1.0,21.0,754.0,19.0,3.0,5.0,121.0,87.0,,2.8406,0.6725,5.0,1.0,2.0,,4.0,4.0,,42.5996,4.0,,,,4.0,2.0,1.2358,,,2.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,
50472,James McCarthy,Midfielder,Everton,11,Ireland,2015-16,113.0,3.0,1.0,3.0,7.0,,79.0,13.0,118.0,29.0,28.0,,29.0,176.0,14.0,1357.0,2.0,,,,,31.0,4.0,3.0,2434.0,20.0,124.0,3.0,63.0,113.0,1086.0,1.0,1.0,12.0,4.0,48.0,37.0,93.0,316.0,28.0,,237.0,39.0,,381.0,135.0,29.0,1.0,18.0,3.0,612.0,34.0,14.0,,206.0,11.0,0.0,1334.0,6.0,7.0,247.0,61.0,7.0,17.0,433.0,37.0,51.0,95.0,227.0,1760.0,12.0,6.0,34.0,572.0,23.0,4.0,5.0,58.0,43.0,,1.3803,1.5983,4.0,2.0,3.0,2.0,3.0,3.0,,37.0738,,2.0,1.0,,,3.0,0.7549,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26901,Kevin Mirallas,Midfielder,Everton,11,Belgium,2015-16,69.0,5.0,2.0,16.0,16.0,,14.0,25.0,43.0,23.0,12.0,,10.0,57.0,19.0,329.0,4.0,7.0,,13.0,24.0,21.0,1.0,13.0,1005.0,15.0,56.0,2.0,15.0,50.0,249.0,,2.0,16.0,1.0,6.0,15.0,54.0,95.0,17.0,,125.0,11.0,,96.0,51.0,23.0,3.0,2.0,19.0,196.0,13.0,32.0,,104.0,6.0,1.0,317.0,9.0,15.0,148.0,12.0,19.0,1.0,46.0,14.0,9.0,23.0,92.0,569.0,8.0,4.0,4.0,89.0,6.0,,0.0,14.0,13.0,,1.1256,3.7802,2.0,2.0,9.0,6.0,6.0,6.0,,18.3852,7.0,6.0,1.0,,7.0,9.0,3.3536,,,7.0,11.0,,1.0,,,,,,,,,,,,,,0.3551,6.0,6.0,,,,
171270,Kieran Dowell,Midfielder,Everton,11,England,2015-16,12.0,,0.0,,,,,,4.0,2.0,3.0,,1.0,5.0,3.0,30.0,,,,1.0,2.0,1.0,,,72.0,1.0,2.0,,1.0,2.0,25.0,,,1.0,,,,11.0,6.0,,,14.0,1.0,,9.0,4.0,2.0,,,1.0,20.0,,5.0,,13.0,,0.0,29.0,,1.0,17.0,,2.0,,11.0,1.0,,,4.0,48.0,,1.0,,5.0,1.0,,0.0,1.0,3.0,,0.0458,,,,,,,,,0.2684,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
8378,Leon Osman,Midfielder,Everton,11,England,2015-16,20.0,,0.0,,,,3.0,3.0,20.0,9.0,3.0,,2.0,21.0,4.0,142.0,,,,7.0,,8.0,,,218.0,7.0,9.0,,6.0,8.0,117.0,,,,,1.0,1.0,13.0,40.0,6.0,,29.0,1.0,,37.0,13.0,9.0,,2.0,4.0,81.0,1.0,4.0,,21.0,1.0,0.0,139.0,3.0,1.0,38.0,1.0,,,32.0,2.0,1.0,4.0,33.0,178.0,,1.0,1.0,40.0,2.0,,0.0,1.0,5.0,,0.1024,,,,,,,,1.0,3.0057,,,,,,,0.1566,,,,,,,,,,,,,,,,,,,,,,,,,,
87447,Muhamed Besic,Midfielder,Everton,11,Bosnia & Herzegovina,2015-16,33.0,1.0,0.0,,2.0,,26.0,4.0,38.0,12.0,9.0,1.0,7.0,46.0,5.0,337.0,,,,5.0,,10.0,1.0,1.0,557.0,5.0,47.0,1.0,12.0,42.0,268.0,,,5.0,,16.0,12.0,28.0,79.0,2.0,,80.0,9.0,,90.0,45.0,12.0,,6.0,2.0,141.0,11.0,5.0,,70.0,5.0,0.0,333.0,2.0,2.0,76.0,20.0,14.0,3.0,111.0,5.0,9.0,23.0,57.0,462.0,4.0,4.0,4.0,151.0,3.0,1.0,1.0,8.0,14.0,,0.3814,0.8565,1.0,,,2.0,,,,12.3675,,2.0,,,,,0.1291,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
88894,Ross Barkley,Midfielder,Everton,11,England,2015-16,228.0,5.0,0.0,38.0,29.0,,34.0,57.0,204.0,38.0,69.0,1.0,36.0,253.0,23.0,1802.0,8.0,5.0,,2.0,70.0,60.0,4.0,24.0,3085.0,31.0,250.0,3.0,60.0,221.0,1446.0,2.0,5.0,49.0,,18.0,51.0,197.0,625.0,71.0,,478.0,19.0,,460.0,186.0,38.0,7.0,12.0,67.0,1034.0,48.0,86.0,,418.0,29.0,0.0,1764.0,28.0,28.0,574.0,22.0,116.0,5.0,350.0,29.0,17.0,103.0,367.0,2567.0,5.0,14.0,2.0,539.0,15.0,1.0,4.0,49.0,44.0,3.0,5.8653,6.7839,19.0,8.0,26.0,11.0,10.0,10.0,4.0,47.8549,12.0,11.0,1.0,,12.0,26.0,8.445,,1.0,18.0,43.0,,,,,,,,,,,,,,,,0.6498,10.0,10.0,2.0,2.0,5.0,
7525,Steven Pienaar,Midfielder,Everton,11,South Africa,2015-16,10.0,1.0,0.0,1.0,,,,1.0,13.0,4.0,2.0,,,17.0,2.0,77.0,,,,4.0,,4.0,,1.0,118.0,2.0,8.0,1.0,3.0,6.0,56.0,,,1.0,,3.0,3.0,8.0,24.0,3.0,,18.0,1.0,,24.0,7.0,4.0,,,1.0,48.0,2.0,2.0,,14.0,2.0,0.0,76.0,1.0,,30.0,,3.0,,15.0,1.0,4.0,4.0,14.0,109.0,1.0,,2.0,13.0,,,0.0,4.0,7.0,,0.0957,,,,1.0,,,,,2.088,,,,,,1.0,0.0778,,,,,,,,,,,,,,,,,,,,,,,,,,
43250,Tom Cleverley,Midfielder,Everton,11,England,2015-16,83.0,4.0,0.0,11.0,7.0,,47.0,13.0,113.0,22.0,20.0,1.0,17.0,150.0,34.0,885.0,2.0,1.0,,5.0,23.0,38.0,4.0,13.0,1613.0,19.0,96.0,3.0,33.0,77.0,685.0,,3.0,19.0,6.0,17.0,27.0,64.0,255.0,19.0,,179.0,19.0,,265.0,98.0,22.0,,13.0,3.0,476.0,24.0,51.0,,141.0,19.0,0.0,873.0,6.0,12.0,245.0,34.0,13.0,1.0,191.0,11.0,19.0,50.0,174.0,1181.0,24.0,6.0,14.0,272.0,8.0,,1.0,37.0,27.0,1.0,2.0208,1.2848,2.0,4.0,4.0,5.0,,,1.0,25.1354,7.0,5.0,1.0,1.0,7.0,4.0,1.3176,,,9.0,13.0,,,,,,,,,,,,,,,,0.048,1.0,1.0,,,2.0,
173807,Tom Davies,Midfielder,Everton,11,England,2015-16,5.0,,0.0,1.0,,,1.0,,8.0,2.0,2.0,,1.0,11.0,1.0,49.0,,,,1.0,,1.0,1.0,,97.0,1.0,5.0,,1.0,5.0,36.0,,,,,1.0,,4.0,19.0,2.0,,10.0,1.0,,12.0,5.0,2.0,,,1.0,22.0,,1.0,,9.0,,0.0,49.0,,,17.0,1.0,2.0,,9.0,2.0,5.0,2.0,9.0,69.0,,,,16.0,1.0,,0.0,3.0,4.0,,0.03,,,,1.0,,,,,0.2684,,,,,,1.0,0.0348,,,,,,,,,,,,,,,,,,,,,,,,,,
