playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,aerialDuels,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,overruns,throughBalls,goals,offsides,awayGoals,cleanSheets,successfulCrossesAndCorners,unsuccessfulLayoffs,throwInsToOppositionPlayer,successfulLaunches,shotsBlockedInBox,homeGoals,rightFootGoals,lastPlayerTackle,redCards2ndYellow,headedGoals,iboxBlocked,hitWoodwork,handballsConceded,shotsOnTargetOutsideBox,ownGoalScored,oboxTarget,goalKicks,penaltiesConceded,gkSuccessfulDistribution,clearancesOffTheLine,goalAssists,foulWonPenalty,cornersTakenInclShortCorners,penaltiesTaken,penaltyGoals,successfulCornersIntoBox,unsuccessfulCornersIntoBox,leftFootGoals,freekickTotal,attemptsFromSetPieces,secondGoalAssists,expectedGoalsFreekick,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,crossesNotClaimed
102549,Adam Davies,Goalkeeper,Sheffield Utd,49,Wales,2023-24,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538210,Andre Brooks,Midfielder,Sheffield Utd,49,England,2023-24,0.0,0.0,1.0,67.0,0.2636,3.0,2.0,0.1419,22.0,6.0,38.0,20.0,2.0,12.0,56.0,8.0,247.0,3.0,8.0,25.0,2.0,942.0,2.0,14.0,55.0,2.0,24.0,44.0,188.0,17.0,2.0,22.4469,3.0,14.0,29.0,53.0,72.0,9.0,0.0,122.0,12.0,66.0,45.0,20.0,9.0,11.0,112.0,27.0,8.0,30.0,97.0,11.0,243.0,4.0,2.0,116.0,13.0,13.0,1.0,50.0,11.0,14.0,3.0,59.0,438.0,5.0,12.0,3.0,12.0,79.0,8.0,0.4026,18.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233821,Anel Ahmedhodzic,Defender,Sheffield Utd,49,Bosnia & Herzegovina,2023-24,0.0,1.0,9.0,108.0,0.5844,4.0,5.0,2.2516,64.0,15.0,132.0,31.0,,29.0,234.0,5.0,961.0,1.0,2.0,88.0,3.0,2649.0,3.0,36.0,140.0,8.0,37.0,88.0,679.0,35.0,4.0,71.4447,7.0,134.0,89.0,72.0,136.0,13.0,0.0,248.0,17.0,423.0,105.0,31.0,28.0,9.0,207.0,81.0,5.0,20.0,160.0,52.0,950.0,10.0,6.0,280.0,36.0,11.0,26.0,319.0,34.0,34.0,48.0,83.0,1388.0,23.0,1.0,1.0,69.0,521.0,22.0,3.1489,102.0,89.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,21.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504198,Anis Ben Slimane,Midfielder,Sheffield Utd,49,Tunisia,2023-24,0.0,0.0,2.0,56.0,0.1352,2.0,3.0,0.3658,11.0,6.0,42.0,15.0,5.0,4.0,44.0,,136.0,,11.0,25.0,1.0,412.0,1.0,18.0,26.0,3.0,13.0,19.0,90.0,15.0,,10.6582,3.0,7.0,14.0,38.0,32.0,6.0,0.0,82.0,6.0,48.0,35.0,15.0,5.0,13.0,51.0,11.0,,25.0,57.0,7.0,129.0,3.0,2.0,81.0,6.0,2.0,1.0,24.0,7.0,5.0,2.0,32.0,239.0,,4.0,,2.0,41.0,7.0,0.7973,2.0,14.0,,1.0,1.0,,2.0,,,,,,1.0,2.0,,,,,,2.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487836,Antwoine Hackford,Forward,Sheffield Utd,49,England,2023-24,0.0,0.0,0.0,2.0,0.0002,,,,,,,2.0,,,,,2.0,,2.0,1.0,,11.0,,1.0,,,,,2.0,,,0.3998,,,1.0,1.0,,,0.0,2.0,,,,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,2.0,,,,,,,,2.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410,Auston Trusty,Defender,Sheffield Utd,49,United States,2023-24,0.0,0.0,4.0,104.0,0.7821,1.0,2.0,0.314,47.0,7.0,116.0,32.0,,28.0,177.0,3.0,843.0,1.0,4.0,114.0,2.0,2573.0,2.0,51.0,127.0,10.0,30.0,64.0,630.0,29.0,4.0,60.6493,8.0,145.0,81.0,53.0,235.0,13.0,0.0,231.0,19.0,328.0,89.0,32.0,17.0,5.0,182.0,71.0,3.0,9.0,117.0,63.0,835.0,5.0,4.0,245.0,30.0,6.0,22.0,177.0,23.0,35.0,36.0,103.0,1299.0,32.0,4.0,1.0,40.0,486.0,13.0,0.3845,61.0,72.0,2.0,1.0,,,3.0,,1.0,2.0,,36.0,11.0,,,,3.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
204814,Ben Brereton,Forward,Sheffield Utd,49,Chile,2023-24,0.0,0.0,3.0,73.0,1.0675,9.0,19.0,4.5161,9.0,26.0,52.0,14.0,10.0,14.0,58.0,7.0,254.0,1.0,,30.0,12.0,1110.0,12.0,23.0,45.0,4.0,14.0,38.0,191.0,60.0,2.0,28.7006,7.0,11.0,37.0,50.0,60.0,19.0,0.0,118.0,6.0,65.0,39.0,14.0,5.0,17.0,134.0,33.0,7.0,33.0,88.0,7.0,238.0,7.0,10.0,125.0,4.0,10.0,3.0,42.0,11.0,3.0,5.0,87.0,440.0,4.0,6.0,1.0,4.0,64.0,8.0,6.0682,6.0,11.0,2.0,4.0,,6.0,11.0,2.0,,2.0,4.0,,,8.0,4.0,5.0,,,1.0,8.0,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
167878,Ben Osborn,Midfielder,Sheffield Utd,49,England,2023-24,0.0,0.0,3.0,55.0,0.9141,3.0,,,22.0,1.0,72.0,24.0,4.0,14.0,113.0,25.0,505.0,2.0,10.0,28.0,,1363.0,,22.0,44.0,3.0,31.0,38.0,369.0,9.0,4.0,31.1678,11.0,26.0,40.0,33.0,119.0,9.0,0.0,99.0,16.0,201.0,80.0,24.0,13.0,7.0,214.0,37.0,37.0,17.0,71.0,6.0,492.0,1.0,9.0,193.0,9.0,7.0,2.0,49.0,8.0,8.0,23.0,136.0,761.0,45.0,4.0,2.0,24.0,188.0,6.0,0.2278,41.0,33.0,8.0,2.0,1.0,,1.0,,,10.0,,5.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,2.0,,12.0,,,1.0,9.0,,,,,,,,,,,,,,,,,
591539,Billy Blacker,Midfielder,Sheffield Utd,49,England,2023-24,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523957,Bénie Traoré,Forward,Sheffield Utd,49,Cote d’Ivoire,2023-24,0.0,0.0,0.0,54.0,0.4559,,1.0,0.6786,4.0,1.0,13.0,8.0,,3.0,13.0,2.0,67.0,,5.0,20.0,1.0,386.0,1.0,18.0,15.0,2.0,7.0,13.0,53.0,8.0,,14.3348,4.0,1.0,13.0,36.0,24.0,4.0,0.0,69.0,3.0,14.0,22.0,8.0,2.0,15.0,31.0,11.0,2.0,22.0,49.0,2.0,62.0,,,50.0,2.0,5.0,1.0,12.0,10.0,1.0,1.0,17.0,130.0,,2.0,,,24.0,5.0,0.2676,,4.0,1.0,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
