playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,goalAssists,goals,oboxBlocked,unsuccessfulLayoffs,goalsConcededOutsideBox,rightFootGoals,leftFootGoals,headedGoals,hitWoodwork,shotsBlockedOutsideBox,handballsConceded,shotsOnTargetOutsideBox,oboxTarget,penaltiesConceded,throwInsToOppositionPlayer,throughBalls,clearancesOffTheLine,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,penaltyGoalsConceded,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,redCards2ndYellow,successfulCornersIntoBox,expectedGoalsFreekick,penaltiesTaken,freekickTotal,attemptsFromSetPieces,penaltyGoals
167878,Ben Osborn,Midfielder,Sheffield Utd,49,England,2019-20,35.0,3.0,0.6039,0.0,1.0,1.0,0.5133,15.0,2.0,44.0,13.0,4.0,6.0,67.0,11.0,231.0,1.0,7.0,3.0,15.0,2.0,3.0,1.0,591.0,1.0,9.0,31.0,18.0,25.0,156.0,16.0,5.929,7.0,1.0,6.0,4.0,1.0,26.0,58.0,6.0,0.0,66.0,5.0,86.0,43.0,13.0,5.0,4.0,122.0,4.0,13.0,4.0,1.0,51.0,6.0,0.0,228.0,1.0,3.0,93.0,10.0,4.0,1.0,51.0,9.0,6.0,2.0,8.0,36.0,334.0,9.0,2.0,16.0,45.0,5.0,0.2546,0.0,23.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18867,Billy Sharp,Forward,Sheffield Utd,49,England,2019-20,100.0,1.0,1.1241,1.0,3.0,7.0,4.5189,6.0,13.0,53.0,25.0,7.0,10.0,55.0,10.0,212.0,11.0,15.0,,59.0,,1.0,4.0,1047.0,4.0,40.0,73.0,12.0,54.0,155.0,61.0,13.696,12.0,1.0,2.0,10.0,2.0,60.0,53.0,32.0,1.0,173.0,2.0,49.0,45.0,25.0,1.0,6.0,125.0,9.0,10.0,37.0,2.0,114.0,19.0,1.0,199.0,6.0,11.0,139.0,5.0,16.0,,57.0,20.0,1.0,,2.0,53.0,391.0,,10.0,2.0,33.0,7.0,3.8242,1.0,2.0,10.0,,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171975,Callum Robinson,Forward,Sheffield Utd,49,Ireland,2019-20,58.0,3.0,0.5629,0.0,3.0,4.0,1.3724,6.0,9.0,16.0,16.0,6.0,9.0,22.0,12.0,138.0,1.0,7.0,,23.0,,3.0,2.0,676.0,2.0,19.0,19.0,6.0,15.0,112.0,24.0,8.794,3.0,,3.0,6.0,3.0,39.0,43.0,4.0,0.0,77.0,3.0,21.0,28.0,16.0,3.0,8.0,72.0,6.0,12.0,25.0,3.0,54.0,4.0,0.0,127.0,5.0,2.0,75.0,3.0,5.0,,25.0,11.0,7.0,,4.0,49.0,248.0,1.0,7.0,2.0,47.0,3.0,1.564,1.0,6.0,4.0,,1.0,1.0,,,,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40386,Chris Basham,Defender,Sheffield Utd,49,England,2019-20,140.0,6.0,1.2637,0.0,,,,85.0,6.0,207.0,38.0,1.0,38.0,333.0,45.0,1316.0,5.0,,,171.0,12.0,6.0,,3255.0,,62.0,247.0,48.0,138.0,913.0,44.0,42.8938,11.0,25.0,167.0,37.0,,78.0,191.0,31.0,0.0,387.0,23.0,572.0,188.0,38.0,37.0,13.0,465.0,35.0,45.0,21.0,,216.0,109.0,0.0,1298.0,6.0,8.0,512.0,48.0,24.0,15.0,416.0,26.0,77.0,,70.0,137.0,2112.0,102.0,13.0,78.0,524.0,17.0,0.3086,4.0,126.0,110.0,,1.0,,,,2.0,,,,,,2.0,,,1.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
27436,David McGoldrick,Forward,Sheffield Utd,49,Ireland,2019-20,210.0,3.0,1.2848,0.0,8.0,20.0,5.1418,41.0,38.0,135.0,28.0,19.0,22.0,153.0,5.0,610.0,12.0,6.0,,210.0,2.0,3.0,11.0,1822.0,11.0,125.0,175.0,20.0,90.0,439.0,66.0,21.726,15.0,,23.0,18.0,5.0,85.0,167.0,18.0,1.0,385.0,12.0,172.0,77.0,28.0,15.0,17.0,311.0,18.0,5.0,44.0,5.0,175.0,85.0,0.0,600.0,18.0,7.0,282.0,26.0,31.0,2.0,116.0,30.0,3.0,,18.0,155.0,973.0,1.0,16.0,2.0,149.0,13.0,7.9897,2.0,18.0,22.0,1.0,2.0,2.0,3.0,4.0,,1.0,1.0,,,3.0,3.0,7.0,7.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
172649,Dean Henderson,Goalkeeper,Sheffield Utd,49,England,2019-20,,,0.1204,0.0,1.0,,,,,1.0,36.0,,36.0,591.0,,934.0,,,,17.0,13.0,,,3240.0,,,18.0,,1.0,78.0,1.0,41.348,1.0,111.0,29.0,33.0,1.0,,26.0,2.0,0.0,18.0,,870.0,326.0,36.0,,,236.0,31.0,,,1.0,1.0,17.0,0.0,433.0,,3.0,599.0,,,,38.0,,1.0,,265.0,,1204.0,,,305.0,107.0,,0.0645,2.0,590.0,46.0,,,,,,2.0,,,,,,,,,,,,,1.0,16.0,35.0,7.0,3.0,1.0,16.0,1.0,97.0,4.0,4.0,199.0,168.0,27.0,60.0,,,,,,,,
63426,Enda Stevens,Defender,Sheffield Utd,49,Ireland,2019-20,186.0,20.0,4.2063,0.0,7.0,4.0,1.2218,81.0,15.0,251.0,38.0,12.0,38.0,369.0,103.0,1469.0,2.0,,,63.0,12.0,20.0,2.0,3346.0,2.0,32.0,192.0,85.0,161.0,1030.0,78.0,44.1268,30.0,8.0,59.0,39.0,6.0,154.0,497.0,19.0,0.0,378.0,19.0,571.0,226.0,38.0,35.0,23.0,688.0,37.0,103.0,66.0,6.0,315.0,31.0,0.0,1458.0,11.0,44.0,648.0,46.0,61.0,8.0,90.0,39.0,35.0,,70.0,311.0,2432.0,263.0,2.0,55.0,432.0,21.0,1.3464,7.0,118.0,102.0,2.0,4.0,2.0,1.0,1.0,2.0,,1.0,1.0,,1.0,4.0,,,,41.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
82691,George Baldock,Defender,Sheffield Utd,49,Greece,2019-20,172.0,37.0,2.3354,0.0,3.0,5.0,1.027,62.0,10.0,177.0,38.0,3.0,38.0,269.0,91.0,1118.0,11.0,,,96.0,13.0,37.0,2.0,3420.0,2.0,57.0,186.0,93.0,147.0,827.0,63.0,45.8698,20.0,8.0,69.0,39.0,2.0,115.0,70.0,44.0,1.0,358.0,23.0,424.0,167.0,38.0,19.0,28.0,608.0,37.0,91.0,50.0,2.0,262.0,39.0,0.0,1113.0,5.0,26.0,480.0,43.0,42.0,3.0,332.0,47.0,34.0,,22.0,292.0,2017.0,257.0,,60.0,278.0,18.0,0.6554,7.0,92.0,69.0,,3.0,2.0,1.0,,2.0,2.0,,,,1.0,2.0,1.0,1.0,,14.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
146610,Jack O'Connell,Defender,Sheffield Utd,49,England,2019-20,112.0,11.0,2.4498,0.0,3.0,3.0,0.3383,23.0,11.0,204.0,33.0,,32.0,412.0,40.0,1557.0,2.0,1.0,,201.0,12.0,11.0,3.0,2915.0,3.0,66.0,182.0,45.0,47.0,1020.0,51.0,36.5501,15.0,27.0,144.0,28.0,3.0,46.0,463.0,17.0,0.0,294.0,21.0,762.0,184.0,33.0,9.0,7.0,521.0,27.0,40.0,17.0,3.0,93.0,135.0,0.0,1527.0,8.0,14.0,508.0,14.0,9.0,17.0,212.0,22.0,42.0,,125.0,120.0,2080.0,58.0,,89.0,635.0,7.0,1.0431,4.0,208.0,98.0,,1.0,,,,1.0,,,,,,,,,,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
83427,Jack Robinson,Defender,Sheffield Utd,49,England,2019-20,18.0,1.0,0.1359,0.0,,,,10.0,,26.0,6.0,,6.0,53.0,5.0,249.0,1.0,,,23.0,1.0,1.0,,505.0,,9.0,30.0,12.0,16.0,182.0,1.0,9.3197,2.0,3.0,22.0,11.0,,9.0,77.0,4.0,0.0,48.0,7.0,107.0,30.0,6.0,5.0,,83.0,10.0,5.0,1.0,,25.0,14.0,0.0,241.0,,2.0,77.0,5.0,2.0,5.0,43.0,4.0,8.0,,14.0,22.0,354.0,6.0,1.0,14.0,114.0,1.0,,0.0,27.0,20.0,,,,,,1.0,,,,,,1.0,,,,13.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
