playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,totalTouchesInOppositionBox,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,substituteOn,successfulCrossesAndCorners,aerialDuelsLost,throwInsToOppositionPlayer,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,tacklesWon,blocks,totalFoulsConceded,clearancesOffTheLine,throwInsToOwnPlayer,substituteOff,offsides,penaltiesConceded,ownGoalScored,shotsOnTargetIncGoals,goals,awayGoals,unsuccessfulLayoffs,homeGoals,leftFootGoals,headedGoals,hitWoodwork,rightFootGoals,handballsConceded,foulWonPenalty,redCards2ndYellow,cornersTakenInclShortCorners,attemptsFromSetPieces,successfulCornersIntoBox,unsuccessfulCornersIntoBox,setPiecesGoals,penaltiesTaken,penaltyGoals
1344,Jussi Jääskeläinen,Goalkeeper,Wigan Athletic,Finland,2009-10,3.0,2.0,0.0,45.0,49.0,10.0,38.0,38.0,717.0,1300.0,405.0,31.0,5.0,5.0,5.0,3420.0,11.0,8.0,6.0,37.0,2.0,1.0,19.0,3.0,2.0,257.0,32.0,67.0,3.0,141.0,3.0,0.0,14.0,1.0,2.0,447.0,38.0,5.0,3.0,509.0,59.0,1.0,9.0,5.0,0.0,276.0,505.0,1.0,734.0,2.0,220.0,35.0,1.0,546.0,1643.0,351.0,74.0,90.0,3.0,707.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28491,Ali Al Habsi,Goalkeeper,West Bromwich Albion U23,Oman,2009-10,,,0.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28183,Grétar Steinsson,Defender,Bolton Wanderers,Iceland,2009-10,79.0,,1.0,,,178.0,27.0,25.0,262.0,659.0,,,61.0,4.0,,2217.0,130.0,3.0,90.0,355.0,,13.0,,2.0,13.0,28.0,138.0,39.0,58.0,,15.0,0.0,209.0,,,88.0,27.0,,,244.0,36.0,22.0,148.0,40.0,1.0,,644.0,12.0,532.0,8.0,,,52.0,42.0,1455.0,69.0,165.0,,4.0,84.0,68.0,12.0,7.0,67.0,9.0,5.0,2.0,4.0,62.0,2.0,12.0,21.0,136.0,23.0,2.0,9.0,62.0,9.0,44.0,9.0,23.0,1.0,200.0,1.0,,,,,,,,,,,,,,,,,,,,,,
3754,Jlloyd Samuel,Defender,Bolton Wanderers,Trinidad & Tobago,2009-10,48.0,,1.0,,,57.0,13.0,12.0,108.0,325.0,,,35.0,,,1028.0,64.0,5.0,37.0,178.0,,4.0,,1.0,6.0,11.0,66.0,23.0,40.0,,11.0,0.0,112.0,,,55.0,13.0,,,137.0,18.0,19.0,77.0,27.0,1.0,,313.0,5.0,237.0,5.0,1.0,,17.0,39.0,657.0,38.0,85.0,,4.0,51.0,31.0,5.0,1.0,21.0,,,,2.0,20.0,1.0,5.0,8.0,59.0,7.0,2.0,12.0,20.0,,14.0,9.0,13.0,,67.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2004,Paul Robinson,Defender,Birmingham City,England,2009-10,85.0,,0.0,,,173.0,25.0,24.0,257.0,869.0,,,48.0,4.0,,2192.0,139.0,3.0,107.0,529.0,,2.0,,2.0,8.0,35.0,100.0,42.0,69.0,,31.0,0.0,224.0,,,77.0,25.0,,,369.0,39.0,11.0,176.0,32.0,0.0,,805.0,6.0,426.0,,,,56.0,83.0,1537.0,55.0,255.0,,7.0,84.0,55.0,9.0,,76.0,,1.0,2.0,4.0,24.0,1.0,12.0,16.0,74.0,18.0,,1.0,29.0,,58.0,9.0,31.0,,215.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,
19419,Gary Cahill,Defender,Bournemouth,England,2009-10,114.0,,0.0,,,124.0,29.0,29.0,196.0,621.0,,,192.0,1.0,,2610.0,229.0,7.0,102.0,361.0,,82.0,,1.0,3.0,24.0,340.0,55.0,49.0,,31.0,2.0,343.0,,,98.0,29.0,,,160.0,48.0,12.0,151.0,127.0,0.0,,608.0,7.0,365.0,8.0,,,50.0,64.0,1258.0,42.0,265.0,,3.0,72.0,65.0,,7.0,63.0,32.0,,1.0,3.0,,,,65.0,,15.0,3.0,2.0,,18.0,48.0,30.0,28.0,1.0,2.0,,,,,14.0,5.0,2.0,1.0,3.0,2.0,3.0,2.0,,,,,,,,,,,
1587,Zat Knight,Defender,Reading,England,2009-10,89.0,,0.0,,,151.0,35.0,35.0,271.0,722.0,,,123.0,5.0,,3150.0,187.0,6.0,101.0,378.0,,37.0,,3.0,8.0,36.0,435.0,62.0,52.0,,23.0,2.0,276.0,,,114.0,35.0,,,145.0,56.0,6.0,153.0,86.0,0.0,,708.0,3.0,470.0,12.0,,,78.0,73.0,1440.0,77.0,307.0,,1.0,120.0,60.0,1.0,3.0,66.0,18.0,1.0,,4.0,4.0,,1.0,37.0,,17.0,4.0,2.0,5.0,15.0,49.0,23.0,22.0,,1.0,,,,1.0,3.0,1.0,0.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,
7712,Sam Ricketts,Defender,Coventry City,Wales,2009-10,91.0,,1.0,,,136.0,27.0,25.0,210.0,561.0,,,67.0,4.0,,2167.0,112.0,5.0,78.0,304.0,,19.0,,2.0,15.0,21.0,159.0,43.0,58.0,,20.0,0.0,203.0,,,80.0,27.0,,,203.0,38.0,27.0,136.0,34.0,0.0,,548.0,10.0,474.0,15.0,,,36.0,47.0,1212.0,54.0,165.0,,1.0,74.0,53.0,17.0,1.0,43.0,4.0,1.0,1.0,4.0,46.0,2.0,17.0,33.0,114.0,9.0,2.0,15.0,47.0,1.0,34.0,16.0,20.0,,99.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,
5539,Danny Shittu,Defender,Millwall,Nigeria,2009-10,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40386,Chris Basham,Defender,Sheffield United,England,2009-10,6.0,,0.0,,,16.0,8.0,2.0,25.0,78.0,,,3.0,,,236.0,13.0,,11.0,44.0,,1.0,,1.0,1.0,3.0,8.0,3.0,5.0,,2.0,0.0,19.0,,,6.0,8.0,,,35.0,3.0,1.0,16.0,2.0,0.0,,76.0,2.0,31.0,1.0,,,5.0,9.0,120.0,3.0,19.0,,0.0,9.0,9.0,1.0,,8.0,4.0,,1.0,1.0,2.0,6.0,1.0,1.0,,3.0,,,2.0,2.0,5.0,2.0,1.0,,3.0,1.0,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,
1629,Andy O'Brien,Defender,Bolton Wanderers,Ireland,2009-10,22.0,,0.0,,,36.0,6.0,6.0,58.0,127.0,,,22.0,1.0,,514.0,27.0,3.0,13.0,60.0,,3.0,,,,5.0,58.0,7.0,14.0,,4.0,0.0,49.0,,,15.0,6.0,,,24.0,4.0,,27.0,14.0,0.0,,124.0,1.0,79.0,,,,13.0,9.0,226.0,15.0,45.0,,0.0,22.0,19.0,,1.0,9.0,,,,,,,,8.0,,2.0,,,,,7.0,4.0,13.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
9765,Ivan Klasnic,Forward,Bolton Wanderers,Croatia,2009-10,91.0,,0.0,,,97.0,27.0,12.0,104.0,376.0,,,37.0,,,1211.0,44.0,4.0,37.0,258.0,,71.0,,1.0,18.0,1.0,14.0,22.0,61.0,,14.0,6.0,135.0,,,35.0,27.0,,,210.0,18.0,32.0,98.0,7.0,0.0,,375.0,8.0,155.0,12.0,,,17.0,14.0,606.0,4.0,63.0,,5.0,7.0,18.0,1.0,7.0,11.0,55.0,9.0,1.0,57.0,8.0,15.0,1.0,30.0,1.0,4.0,,4.0,8.0,26.0,7.0,1.0,20.0,,1.0,10.0,14.0,,,29.0,8.0,1.0,12.0,7.0,7.0,1.0,1.0,,3.0,,,1.0,1.0,,,,,
1999,Gavin McCann,Midfielder,Bolton Wanderers,England,2009-10,30.0,,0.0,,,49.0,11.0,5.0,69.0,212.0,,,11.0,,,531.0,32.0,2.0,24.0,125.0,,8.0,,,6.0,,21.0,11.0,27.0,,4.0,0.0,62.0,,,23.0,11.0,,,94.0,9.0,10.0,51.0,8.0,0.0,,202.0,3.0,114.0,4.0,,,16.0,18.0,343.0,7.0,55.0,,4.0,20.0,9.0,3.0,2.0,16.0,2.0,4.0,,7.0,11.0,6.0,6.0,3.0,1.0,8.0,,2.0,19.0,1.0,8.0,4.0,11.0,2.0,3.0,2.0,,,,1.0,,,,,,,,,,,,10.0,,3.0,6.0,,,
27696,Fabrice Muamba,Midfielder,Bolton Wanderers,England,2009-10,163.0,,0.0,,,202.0,36.0,35.0,236.0,810.0,,,49.0,5.0,,2946.0,196.0,7.0,178.0,526.0,,16.0,,2.0,14.0,12.0,54.0,55.0,132.0,,18.0,0.0,359.0,,,153.0,36.0,,,334.0,48.0,41.0,310.0,18.0,0.0,,809.0,7.0,314.0,8.0,,,80.0,48.0,1273.0,29.0,241.0,,11.0,34.0,57.0,1.0,15.0,152.0,26.0,8.0,,11.0,3.0,1.0,1.0,31.0,,50.0,,9.0,3.0,20.0,102.0,4.0,66.0,2.0,3.0,12.0,,,,6.0,1.0,0.0,,1.0,,,,1.0,1.0,,,,,,,,,
3289,Matthew Taylor,Midfielder,Swindon Town,England,2009-10,151.0,,0.0,,,236.0,37.0,29.0,305.0,813.0,,,55.0,,,2582.0,96.0,7.0,77.0,457.0,,111.0,,1.0,50.0,9.0,42.0,51.0,115.0,,32.0,2.0,247.0,,,126.0,37.0,,,427.0,44.0,65.0,192.0,19.0,0.0,,790.0,37.0,577.0,12.0,,,48.0,51.0,1531.0,33.0,138.0,,2.0,69.0,70.0,23.0,32.0,33.0,77.0,7.0,1.0,29.0,84.0,8.0,57.0,36.0,3.0,11.0,,14.0,171.0,44.0,22.0,8.0,24.0,1.0,16.0,8.0,2.0,,,33.0,8.0,6.0,3.0,2.0,6.0,1.0,2.0,1.0,2.0,,,74.0,29.0,16.0,54.0,2.0,3.0,3.0
1307,Ricardo Gardner,Midfielder,Bolton Wanderers,Jamaica,2009-10,84.0,,0.0,,,79.0,21.0,11.0,87.0,453.0,,,28.0,,,1105.0,80.0,2.0,64.0,346.0,,24.0,,,13.0,1.0,15.0,26.0,72.0,,16.0,0.0,164.0,,,62.0,21.0,,,234.0,24.0,44.0,136.0,16.0,0.0,,450.0,6.0,157.0,9.0,,,30.0,20.0,692.0,,138.0,,1.0,8.0,22.0,2.0,5.0,39.0,10.0,4.0,1.0,36.0,17.0,10.0,6.0,12.0,,11.0,,18.0,20.0,8.0,28.0,4.0,16.0,1.0,5.0,5.0,4.0,,,2.0,1.0,0.0,2.0,1.0,1.0,,,,1.0,,,5.0,1.0,3.0,2.0,,,
