playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,goalAssists,unsuccessfulCrossesOpenPlay,goals,substituteOn,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,ownGoalScored,keyPassesAttemptAssists,shotsBlockedInBox,tacklesLost,leftFootGoals,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,handballsConceded,expectedGoals,iboxTarget,shotsOnTargetInBox,penaltiesConceded,unsuccessfulDribbles,successfulLayoffs,shotsOnTargetOutsideBox,oboxTarget,offsides,expectedGoalsFreekick,oboxBlocked,freekickTotal,attemptsFromSetPieces,shotsBlockedOutsideBox,successfulCrossesOpenPlay,cornersTakenInclShortCorners,successfulCrossesAndCorners,successfulCornersIntoBox,rightFootGoals,redCards2ndYellow,unsuccessfulCornersIntoBox,clearancesOffTheLine,hitWoodwork,secondGoalAssists,foulWonPenalty,unsuccessfulLayoffs,penaltiesTaken,headedGoals,penaltyGoals,setPiecesGoals,otherGoals
43670,Juan Mata,Midfielder,Manchester United,Spain,2018-19,56.0,2.7825,0.0,,,79.0,22.0,16.0,98.0,700.0,,8.0,1.0,,1293.0,30.0,,17.0,28.0,554.0,,3.0,18.7922,1.0,5.0,15.0,50.0,137.0,,9.0,86.0,7.0,151.0,71.0,22.0,,,433.0,15.0,78.0,2.0,0.0,,677.0,195.0,,,252.0,10.0,48.0,906.0,5.0,182.0,,3.0,19.0,17.0,7.0,6.0,1.4522,9.0,12.0,6.0,2.0,23.0,3.0,6.0,6.0,50.0,1.0,,28.0,3.0,5.0,2.0,54.0,3.0,6.0,7.0,4.0,10.0,1.0,6.0,160.0,5.0,11.0,5.0,1.0,1.5503,2.0,2.0,,7.0,24.0,1.0,1.0,8.0,0.2488,4.0,3.0,3.0,4.0,4.0,35.0,13.0,7.0,1.0,,27.0,,,1.0,2.0,2.0,,,,1.0,
109322,Jesse Lingard,Midfielder,Seoul,England,2018-19,111.0,2.4817,0.0,,,101.0,27.0,19.0,109.0,761.0,,32.0,,,1669.0,72.0,2.0,26.0,67.0,643.0,,3.0,23.4717,,5.0,26.0,84.0,187.0,,25.0,183.0,16.0,147.0,66.0,27.0,,,480.0,24.0,151.0,5.0,0.0,,736.0,212.0,,,251.0,27.0,9.0,1040.0,5.0,174.0,,3.0,8.0,23.0,8.0,14.0,4.2488,29.0,24.0,3.0,2.0,14.0,4.0,8.0,27.0,52.0,1.0,,15.0,4.0,11.0,,16.0,4.0,10.0,7.0,18.0,13.0,2.0,10.0,176.0,10.0,13.0,17.0,,4.6945,5.0,5.0,,16.0,33.0,5.0,5.0,7.0,,4.0,,,4.0,2.0,2.0,2.0,,4.0,,2.0,,,1.0,2.0,2.0,1.0,,1.0,,
156689,Andreas Pereira,Midfielder,Fulham,Brazil,2018-19,55.0,0.5205,0.0,,,49.0,15.0,6.0,62.0,353.0,,16.0,,,594.0,23.0,2.0,14.0,20.0,279.0,,2.0,11.3977,1.0,7.0,13.0,42.0,82.0,,5.0,78.0,7.0,102.0,46.0,15.0,,,163.0,11.0,62.0,3.0,0.0,,344.0,100.0,,,125.0,12.0,12.0,463.0,6.0,131.0,,5.0,13.0,15.0,5.0,2.0,0.433,8.0,3.0,1.0,1.0,5.0,1.0,9.0,13.0,2.0,,,8.0,1.0,2.0,,9.0,1.0,1.0,5.0,6.0,7.0,2.0,11.0,44.0,3.0,5.0,11.0,1.0,0.2667,,,,7.0,4.0,1.0,1.0,1.0,0.0545,4.0,1.0,1.0,4.0,2.0,6.0,3.0,1.0,1.0,,4.0,,,,,,,,,,
101582,Fred,Midfielder,Fenerbahçe,Brazil,2018-19,78.0,0.6779,0.0,,,83.0,17.0,13.0,105.0,769.0,,16.0,,,1042.0,60.0,3.0,42.0,57.0,604.0,,3.0,16.2694,2.0,8.0,19.0,65.0,200.0,,18.0,138.0,24.0,212.0,105.0,17.0,,,358.0,16.0,122.0,3.0,0.0,,747.0,165.0,,,259.0,25.0,60.0,988.0,4.0,311.0,,2.0,22.0,26.0,3.0,2.0,0.7013,29.0,14.0,3.0,1.0,5.0,1.0,4.0,13.0,12.0,,,11.0,,12.0,,8.0,,12.0,5.0,17.0,10.0,2.0,16.0,98.0,4.0,8.0,19.0,2.0,0.8459,,,1.0,6.0,11.0,1.0,1.0,1.0,0.0568,3.0,1.0,1.0,3.0,2.0,4.0,5.0,1.0,1.0,,2.0,,2.0,,,,,,,,
59846,Ander Herrera,Midfielder,Boca Juniors,Spain,2018-19,89.0,1.4473,0.0,,,94.0,22.0,16.0,120.0,980.0,,19.0,3.0,,1404.0,91.0,1.0,51.0,86.0,827.0,,2.0,20.6133,7.0,21.0,18.0,75.0,221.0,,20.0,180.0,32.0,313.0,114.0,22.0,,,457.0,17.0,161.0,5.0,0.0,,967.0,156.0,,,261.0,21.0,33.0,1258.0,14.0,404.0,,4.0,26.0,37.0,4.0,8.0,1.4108,54.0,17.0,3.0,3.0,3.0,2.0,6.0,14.0,20.0,,,12.0,3.0,26.0,,5.0,3.0,9.0,1.0,28.0,12.0,6.0,37.0,185.0,1.0,7.0,17.0,,1.2984,5.0,5.0,1.0,5.0,9.0,1.0,1.0,,,1.0,,,1.0,1.0,2.0,1.0,,2.0,,1.0,,,,,,,,,,
209041,Angel Gomes,Midfielder,Wolverhampton Wanderers,England,2018-19,1.0,0.0223,0.0,,,1.0,2.0,,1.0,21.0,,,,,25.0,1.0,,,1.0,19.0,,,0.6046,,,1.0,1.0,7.0,,,2.0,,4.0,2.0,2.0,,,13.0,1.0,2.0,,0.0,,21.0,3.0,,,5.0,,1.0,27.0,,7.0,,0.0,,,,1.0,0.0466,1.0,2.0,,,1.0,,2.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,,5.0,,,,,0.0837,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62398,Nemanja Matic,Midfielder,Lyon,Serbia,2018-19,128.0,0.9072,1.0,,,185.0,28.0,28.0,240.0,1836.0,,88.0,6.0,,2440.0,142.0,5.0,43.0,87.0,1487.0,,4.0,36.3624,5.0,52.0,37.0,95.0,488.0,,20.0,270.0,21.0,530.0,207.0,28.0,,,768.0,32.0,182.0,55.0,0.0,,1780.0,322.0,,,651.0,27.0,109.0,2202.0,20.0,830.0,,6.0,55.0,85.0,5.0,3.0,1.2107,50.0,7.0,3.0,,7.0,1.0,,33.0,30.0,1.0,,13.0,3.0,20.0,,7.0,3.0,4.0,3.0,30.0,18.0,18.0,31.0,167.0,4.0,4.0,12.0,,1.2876,1.0,1.0,,1.0,8.0,1.0,1.0,1.0,,2.0,,,2.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,
232928,James Garner,Midfielder,Everton,England,2018-19,,,0.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,0.0,,1.0,1.0,,,,,,1.0,,,,0.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195851,Scott McTominay,Midfielder,Napoli,Scotland,2018-19,53.0,0.0976,0.0,,,55.0,16.0,9.0,75.0,449.0,,60.0,1.0,,862.0,61.0,4.0,9.0,27.0,357.0,,1.0,13.6307,3.0,16.0,18.0,27.0,111.0,,16.0,114.0,5.0,141.0,52.0,16.0,,,187.0,14.0,54.0,34.0,0.0,,443.0,105.0,,,152.0,11.0,17.0,582.0,8.0,187.0,,1.0,20.0,19.0,4.0,6.0,1.3058,10.0,11.0,1.0,,2.0,2.0,7.0,26.0,18.0,,,1.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,9.0,1.0,4.0,15.0,45.0,2.0,1.0,2.0,,1.4889,3.0,3.0,,3.0,3.0,1.0,1.0,1.0,,3.0,,,3.0,,,,,1.0,,,,,,,,,,,,
222677,Tahith Chong,Midfielder,Luton Town,Netherlands,2018-19,1.0,0.0268,0.0,,,3.0,2.0,,3.0,15.0,,,,,37.0,3.0,,2.0,3.0,12.0,,,0.4177,,1.0,1.0,1.0,2.0,,2.0,4.0,1.0,5.0,,2.0,,,12.0,1.0,4.0,,0.0,,15.0,5.0,,,5.0,,,26.0,,,,0.0,,1.0,1.0,1.0,0.6393,,1.0,,,,,2.0,,4.0,,,,1.0,,,,1.0,,,,1.0,,,3.0,,,,,0.3542,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37265,Alexis Sánchez,Forward,Internazionale,Chile,2018-19,79.0,2.7008,0.0,,,86.0,20.0,9.0,97.0,382.0,,29.0,,,877.0,56.0,2.0,18.0,49.0,262.0,,,13.9124,1.0,1.0,10.0,57.0,158.0,,18.0,135.0,7.0,88.0,39.0,20.0,,,209.0,8.0,106.0,7.0,0.0,,377.0,180.0,,,52.0,14.0,23.0,580.0,3.0,81.0,,3.0,11.0,12.0,5.0,9.0,2.04,17.0,12.0,6.0,3.0,14.0,1.0,11.0,22.0,55.0,1.0,,18.0,2.0,7.0,,19.0,2.0,3.0,11.0,10.0,14.0,,9.0,84.0,,8.0,8.0,3.0,1.5025,6.0,6.0,,13.0,12.0,2.0,2.0,8.0,0.0603,3.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,,,4.0,,,,,3.0,,1.0,,,
148225,Anthony Martial,Forward,AEK Athens,France,2018-19,107.0,3.2408,0.0,,,140.0,27.0,18.0,146.0,707.0,,36.0,1.0,,1624.0,87.0,3.0,38.0,69.0,557.0,,3.0,23.8809,1.0,8.0,25.0,89.0,316.0,,28.0,194.0,12.0,139.0,67.0,27.0,,,430.0,22.0,158.0,18.0,0.0,,702.0,301.0,,,84.0,14.0,4.0,1047.0,,134.0,,2.0,6.0,21.0,9.0,23.0,9.9785,9.0,30.0,7.0,2.0,30.0,10.0,9.0,18.0,131.0,,,34.0,6.0,2.0,2.0,31.0,6.0,7.0,14.0,7.0,32.0,,3.0,168.0,9.0,11.0,6.0,1.0,6.7884,8.0,8.0,,33.0,32.0,5.0,5.0,6.0,,3.0,,,3.0,3.0,1.0,3.0,,8.0,,1.0,,,,2.0,1.0,1.0,,1.0,,
66749,Romelu Lukaku,Forward,Napoli,Belgium,2018-19,175.0,2.9107,0.0,,,171.0,32.0,22.0,180.0,534.0,,178.0,4.0,,2130.0,124.0,8.0,29.0,31.0,342.0,,4.0,34.2842,,19.0,38.0,90.0,104.0,,3.0,299.0,11.0,115.0,31.0,32.0,,,264.0,30.0,121.0,93.0,0.0,,503.0,339.0,,,170.0,18.0,12.0,855.0,2.0,95.0,,4.0,9.0,19.0,9.0,32.0,11.9054,8.0,46.0,5.0,,41.0,12.0,10.0,85.0,122.0,,,21.0,7.0,4.0,4.0,41.0,7.0,14.0,21.0,4.0,21.0,1.0,2.0,145.0,,4.0,9.0,,10.7033,20.0,20.0,,19.0,37.0,,,23.0,,2.0,,,2.0,5.0,,5.0,,5.0,,,1.0,2.0,2.0,1.0,17.0,,2.0,,,1.0
176297,Marcus Rashford,Forward,Manchester United,England,2018-19,181.0,3.528,1.0,,,134.0,33.0,26.0,146.0,666.0,,73.0,2.0,,2342.0,146.0,7.0,49.0,117.0,502.0,,4.0,29.5302,2.0,24.0,35.0,137.0,179.0,,52.0,327.0,27.0,134.0,61.0,33.0,,,401.0,28.0,254.0,29.0,1.0,,641.0,379.0,,,143.0,26.0,18.0,1227.0,4.0,128.0,,3.0,12.0,24.0,15.0,40.0,10.8764,24.0,69.0,3.0,6.0,26.0,10.0,7.0,44.0,159.0,1.0,,32.0,8.0,12.0,1.0,46.0,8.0,29.0,22.0,12.0,42.0,,3.0,210.0,4.0,15.0,10.0,2.0,10.654,14.0,14.0,1.0,45.0,39.0,16.0,16.0,15.0,0.5986,7.0,12.0,12.0,7.0,4.0,23.0,9.0,5.0,9.0,,18.0,,,,2.0,5.0,,,,1.0,
220688,Mason Greenwood,Forward,Marseille,England,2018-19,9.0,0.107,0.0,,,7.0,3.0,1.0,9.0,60.0,,2.0,,,115.0,7.0,,3.0,7.0,51.0,,1.0,2.4438,,1.0,2.0,7.0,13.0,,1.0,16.0,2.0,10.0,5.0,3.0,,,44.0,2.0,14.0,,0.0,,58.0,19.0,,,22.0,,,91.0,1.0,7.0,,0.0,2.0,1.0,,4.0,1.218,3.0,7.0,1.0,,1.0,,2.0,2.0,16.0,,,3.0,,,,1.0,,3.0,3.0,3.0,3.0,,,15.0,,,,,0.6585,3.0,3.0,,3.0,2.0,1.0,1.0,2.0,,,,,,,2.0,,,,,,,1.0,,,1.0,,,,,
