playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,penaltiesTaken,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,penaltyGoals,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throwInsToOppositionPlayer,successfulLaunches,totalClearances,setPiecesGoals,clearancesOffTheLine,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,penaltiesConceded
37265,Alexis Sánchez,Forward,Man Utd,1,Chile,2017-18,236.0,9.0,6.3957,0.0,1.1081,30.0,35.0,9.7012,41.0,58.0,29.0,336.0,31.0,6.0,63.0,1.0,29.0,379.0,32.0,1454.0,9.0,26.0,13.0,2.0,54.0,64.0,5.0,10.0,18.0,9.0,2553.0,9.0,6.0,43.0,220.0,4.0,68.0,199.0,1002.0,8.0,177.0,21.002,71.0,32.0,10.0,193.0,572.0,75.0,456.0,11.0,440.0,109.0,31.0,2.0,10.0,7.0,15.0,1.0,36.0,900.0,28.0,1.0,79.0,14.0,10.0,392.0,21.0,0.0,1419.0,23.0,26.0,691.0,26.0,84.0,2.0,14.0,232.0,31.0,23.0,36.0,1.0,73.0,210.0,2164.0,1.0,11.0,4.0,13.0,3.0,193.0,13.0,3.0,8.1195,5.0,43.0,33.0,,,,,,,,,,,,,,,,,,,,
59846,Ander Herrera,Midfielder,Man Utd,1,Spain,2017-18,105.0,1.0,1.56,0.0,,6.0,1.0,0.1155,56.0,6.0,4.0,85.0,26.0,2.0,31.0,,13.0,129.0,14.0,1042.0,,2.0,6.0,13.0,1.0,19.0,4.0,,1.0,1.0,1260.0,1.0,,10.0,103.0,1.0,33.0,94.0,875.0,,15.0,18.1092,9.0,14.0,,95.0,261.0,28.0,208.0,27.0,304.0,104.0,26.0,,,,27.0,,4.0,487.0,13.0,,14.0,,,189.0,9.0,0.0,1015.0,5.0,4.0,182.0,29.0,10.0,6.0,,330.0,28.0,34.0,,,38.0,147.0,1318.0,3.0,6.0,,6.0,17.0,427.0,27.0,,0.3693,5.0,44.0,33.0,1.0,7.0,20.0,,,,,,,,,,,,,,,,,
148225,Anthony Martial,Forward,Man Utd,1,France,2017-18,145.0,5.0,4.5667,0.0,,18.0,16.0,6.594,15.0,31.0,4.0,125.0,30.0,5.0,58.0,,18.0,132.0,38.0,731.0,9.0,8.0,8.0,12.0,6.0,39.0,1.0,2.0,6.0,5.0,1581.0,5.0,,25.0,99.0,,39.0,85.0,586.0,1.0,132.0,21.124,28.0,13.0,10.0,120.0,297.0,27.0,244.0,4.0,144.0,79.0,30.0,1.0,2.0,7.0,2.0,1.0,40.0,451.0,13.0,1.0,42.0,,10.0,205.0,14.0,0.0,724.0,15.0,22.0,338.0,13.0,43.0,1.0,,109.0,17.0,3.0,4.0,1.0,13.0,181.0,1128.0,8.0,13.0,,8.0,1.0,154.0,9.0,,6.4148,1.0,7.0,16.0,,,6.0,,,,,,,,,,,,,,,,,
20695,Antonio Valencia,Defender,Man Utd,1,Ecuador,2017-18,119.0,14.0,2.4722,0.0,,9.0,3.0,1.1596,57.0,7.0,3.0,141.0,31.0,1.0,3.0,,31.0,235.0,65.0,1602.0,3.0,4.0,5.0,,,47.0,14.0,,14.0,,2742.0,,,25.0,128.0,2.0,80.0,106.0,1292.0,,56.0,33.1296,22.0,22.0,4.0,94.0,66.0,20.0,247.0,41.0,486.0,188.0,31.0,,,2.0,25.0,1.0,19.0,786.0,20.0,,65.0,,4.0,200.0,22.0,0.0,1579.0,4.0,13.0,405.0,32.0,29.0,6.0,,772.0,38.0,48.0,,,75.0,278.0,2364.0,243.0,3.0,,5.0,67.0,595.0,24.0,1.0,0.5181,7.0,94.0,68.0,33.0,26.0,60.0,,,,,,,,,,,,,,,,,
18892,Ashley Young,Defender,Man Utd,1,England,2017-18,120.0,25.0,4.1987,0.0,0.2083,10.0,4.0,1.1743,53.0,8.0,2.0,141.0,30.0,4.0,6.0,,28.0,263.0,68.0,1285.0,2.0,1.0,6.0,2.0,24.0,40.0,7.0,,34.0,2.0,2445.0,2.0,,21.0,136.0,3.0,61.0,117.0,927.0,7.0,25.0,33.1554,22.0,26.0,4.0,99.0,458.0,35.0,256.0,19.0,533.0,168.0,30.0,,,2.0,21.0,,23.0,609.0,23.0,,87.0,3.0,4.0,216.0,19.0,0.0,1255.0,4.0,15.0,466.0,32.0,29.0,5.0,3.0,103.0,29.0,57.0,15.0,,95.0,191.0,2083.0,229.0,7.0,1.0,6.0,75.0,447.0,21.0,,0.7759,7.0,122.0,65.0,36.0,17.0,72.0,1.0,1.0,,,,,,,,,,,,,,,
55909,Chris Smalling,Defender,Man Utd,1,England,2017-18,84.0,,0.259,0.0,,3.0,6.0,1.4869,40.0,10.0,,83.0,29.0,,1.0,,28.0,141.0,,1137.0,4.0,2.0,,1.0,,160.0,11.0,,,2.0,2535.0,2.0,,52.0,165.0,2.0,14.0,57.0,952.0,,23.0,32.73,2.0,24.0,3.0,32.0,365.0,14.0,249.0,4.0,306.0,139.0,29.0,,,1.0,15.0,1.0,,208.0,22.0,2.0,,,3.0,89.0,108.0,0.0,1122.0,4.0,,150.0,25.0,3.0,28.0,,391.0,24.0,63.0,,,44.0,75.0,1514.0,2.0,,,,40.0,788.0,7.0,1.0,1.7115,4.0,58.0,55.0,,12.0,159.0,,,,,,,,,,,,,,,,,
58877,Daley Blind,Defender,Man Utd,1,Netherlands,2017-18,19.0,4.0,0.6438,0.0,,1.0,,,6.0,2.0,,22.0,7.0,,,,4.0,33.0,9.0,224.0,,,1.0,3.0,15.0,14.0,3.0,,9.0,,361.0,,,6.0,19.0,,6.0,11.0,180.0,5.0,2.0,2.1909,4.0,,,13.0,93.0,4.0,38.0,3.0,89.0,23.0,7.0,,,,2.0,,1.0,133.0,,,17.0,,,24.0,8.0,0.0,221.0,2.0,3.0,62.0,4.0,1.0,,,18.0,4.0,7.0,8.0,,11.0,24.0,325.0,20.0,1.0,,1.0,6.0,67.0,4.0,,0.0901,0.0,11.0,4.0,4.0,,12.0,,,,,,,,,,,,,,,,,
51940,David de Gea,Goalkeeper,Man Utd,1,Spain,2017-18,2.0,,0.0423,0.0,,,,,,,,,37.0,,,,37.0,400.0,,942.0,,,,,,3.0,18.0,,,,3330.0,,,1.0,6.0,3.0,1.0,4.0,282.0,,,39.705,1.0,28.0,,1.0,83.0,4.0,8.0,1.0,759.0,292.0,37.0,,,,,,,188.0,25.0,,,,,5.0,2.0,0.0,469.0,,,406.0,,1.0,,,100.0,,,,,260.0,,1249.0,,,,,209.0,354.0,,,,0.0,400.0,62.0,,100.0,15.0,,,12.0,46.0,10.0,1.0,6.0,115.0,3.0,4.0,2.0,300.0,137.0,23.0,68.0,,
197365,Eric Bailly,Defender,Man Utd,1,Cote d’Ivoire,2017-18,30.0,,0.2463,0.0,,1.0,1.0,0.97,17.0,2.0,1.0,30.0,13.0,,,,11.0,59.0,,426.0,1.0,,,2.0,,25.0,7.0,,,,1000.0,,,8.0,47.0,,9.0,30.0,349.0,,7.0,10.9191,2.0,6.0,1.0,22.0,113.0,9.0,77.0,5.0,144.0,58.0,13.0,,,1.0,7.0,,,105.0,6.0,,,,1.0,52.0,17.0,0.0,411.0,1.0,1.0,66.0,10.0,4.0,6.0,,146.0,10.0,25.0,,,18.0,23.0,575.0,1.0,,,,21.0,262.0,7.0,,1.1035,2.0,29.0,25.0,,2.0,56.0,,,,,,,,,,,,,,,,1.0,
109322,Jesse Lingard,Midfielder,Man Utd,1,England,2017-18,124.0,2.0,2.6065,0.0,,15.0,23.0,7.9776,30.0,41.0,8.0,109.0,33.0,5.0,98.0,,20.0,114.0,25.0,932.0,8.0,4.0,4.0,13.0,24.0,31.0,1.0,9.0,8.0,6.0,1823.0,6.0,4.0,26.0,99.0,2.0,36.0,94.0,799.0,5.0,83.0,23.2695,21.0,18.0,11.0,98.0,210.0,36.0,223.0,15.0,188.0,84.0,33.0,,9.0,7.0,9.0,,24.0,577.0,16.0,1.0,38.0,,11.0,192.0,5.0,0.0,901.0,18.0,21.0,260.0,21.0,28.0,3.0,,281.0,34.0,9.0,12.0,,19.0,253.0,1307.0,15.0,17.0,3.0,4.0,2.0,249.0,22.0,,7.2577,2.0,5.0,22.0,1.0,6.0,10.0,,,,,,,,,,,,,,,,,
