playerId,playerName,position,team,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,savesFromPenalty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,substituteOn,iboxTarget,shotsOnTargetInBox,penaltiesConceded,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,foulAttemptedTackle,handballsConceded,expectedGoals,clearancesOffTheLine,successfulCrossesOpenPlay,goals,awayGoals,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,homeGoals,oboxTarget,leftFootGoals,shotsBlockedOutsideBox,goalAssists,offsides,headedGoals,expectedGoalsFreekick,throughBalls,cornersTakenInclShortCorners,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,foulWonPenalty,unsuccessfulLayoffs,rightFootGoals,ownGoalScored,redCards2ndYellow,penaltiesTaken,penaltyGoals,setPiecesGoals
201084,Timothy Fosu-Mensah,Defender,Bayer 04 Leverkusen,Netherlands,2016-17,0.0,0.0,0.0,10.0,0.0084,,,4.0,4.0,1.0,8.0,41.0,,,4.0,1.0,,96.0,3.0,6.0,,5.0,33.0,,,0.3544,,4.0,,7.0,1.0,,,0.0,16.0,,11.0,6.0,4.0,,,18.0,,12.0,1.0,,41.0,,11.0,,,27.0,,60.0,2.0,15.0,,4.0,4.0,,,1.0,,,5.0,,,,3.0,,,,3.0,,1.0,,,3.0,2.0,2.0,,2.0,,,3.0,,,3.0,2.0,2.0,,,,3.0,,0.0303,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
20695,Antonio Valencia,Defender,Manchester United,Ecuador,2016-17,0.0,0.0,5.0,100.0,3.7114,,,109.0,28.0,27.0,195.0,1370.0,,,47.0,12.0,,2483.0,25.0,143.0,4.0,121.0,1126.0,,3.0,25.7115,22.0,58.0,20.0,75.0,63.0,,17.0,0.0,243.0,,401.0,180.0,28.0,,,768.0,16.0,196.0,22.0,,1350.0,21.0,406.0,,,644.0,49.0,2157.0,61.0,448.0,,86.0,48.0,,,4.0,4.0,2.6149,67.0,5.0,6.0,101.0,1.0,3.0,3.0,,64.0,53.0,36.0,28.0,2.0,40.0,25.0,23.0,101.0,37.0,2.0,1.0,42.0,37.0,7.0,33.0,42.0,262.0,225.0,1.0,,20.0,3.0,2.0105,,41.0,1.0,1.0,2.0,,41.0,0.0,,,2.0,3.0,7.0,,,,3.0,,,,,1.0,,1.0,1.0,,,,,
171277,Demetri Mitchell,Midfielder,Leyton Orient,Jamaica,2016-17,0.0,0.0,0.0,3.0,0.1696,,,4.0,1.0,1.0,7.0,50.0,,,,1.0,,90.0,,9.0,,9.0,42.0,,,0.3544,,2.0,,3.0,23.0,,2.0,0.0,12.0,,16.0,2.0,1.0,,,26.0,,12.0,,,48.0,,15.0,,,1.0,1.0,81.0,1.0,18.0,,3.0,1.0,,,,,,5.0,,,1.0,,,,,3.0,,1.0,2.0,,,1.0,1.0,1.0,2.0,,,4.0,2.0,,,3.0,10.0,6.0,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
40002,Matteo Darmian,Defender,Internazionale,Italy,2016-17,0.0,0.0,3.0,71.0,0.241,,,74.0,18.0,15.0,110.0,595.0,,,39.0,8.0,,1333.0,14.0,86.0,2.0,61.0,465.0,,2.0,12.9615,7.0,71.0,8.0,57.0,179.0,,16.0,0.0,157.0,,233.0,71.0,18.0,,,257.0,6.0,118.0,25.0,,586.0,3.0,172.0,,,83.0,20.0,993.0,28.0,232.0,,36.0,26.0,,,,,,42.0,2.0,1.0,15.0,3.0,,,,33.0,6.0,26.0,2.0,,12.0,15.0,5.0,15.0,13.0,,2.0,27.0,3.0,2.0,19.0,40.0,100.0,131.0,3.0,,12.0,,0.0681,,4.0,,,,,4.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
180804,Axel Tuanzebe,Defender,Burnley,DR Congo,2016-17,0.0,0.0,0.0,17.0,0.0548,,,7.0,4.0,4.0,12.0,143.0,,,7.0,1.0,,305.0,5.0,16.0,1.0,14.0,129.0,,,5.1175,,8.0,4.0,12.0,32.0,,4.0,0.0,33.0,,42.0,13.0,4.0,,,56.0,3.0,26.0,2.0,,141.0,1.0,16.0,,,45.0,2.0,188.0,3.0,75.0,,5.0,5.0,,,1.0,,,9.0,1.0,12.0,,,,,,7.0,1.0,,1.0,,5.0,4.0,1.0,,2.0,,1.0,5.0,1.0,,6.0,7.0,24.0,,2.0,,4.0,,0.0939,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
74208,Paul Pogba,Midfielder,Monaco,France,2016-17,0.0,0.0,7.0,231.0,6.7478,,,249.0,30.0,29.0,325.0,2177.0,,,137.0,12.0,,2608.0,54.0,276.0,3.0,193.0,1690.0,,4.0,26.6836,4.0,42.0,21.0,177.0,708.0,,71.0,1.0,507.0,,686.0,221.0,30.0,,,1244.0,18.0,370.0,83.0,,2131.0,21.0,546.0,,,503.0,162.0,2839.0,10.0,615.0,,76.0,60.0,,,16.0,32.0,7.4528,53.0,76.0,99.0,31.0,1.0,10.0,10.0,1.0,56.0,111.0,,53.0,4.0,32.0,13.0,36.0,32.0,90.0,4.0,44.0,40.0,72.0,4.0,62.0,31.0,280.0,8.0,3.0,6.0,28.0,1.0,6.0363,,7.0,5.0,2.0,12.0,17.0,7.0,3.0,17.0,1.0,12.0,4.0,3.0,2.0,0.3148,28.0,1.0,,5.0,5.0,,2.0,,3.0,2.0,,,,,
43670,Juan Mata,Midfielder,Manchester United,Spain,2016-17,0.0,0.0,3.0,58.0,4.3086,,,82.0,25.0,19.0,102.0,990.0,,,10.0,,,1628.0,6.0,55.0,2.0,51.0,844.0,,2.0,17.427,,8.0,16.0,52.0,196.0,,16.0,3.0,113.0,,175.0,94.0,25.0,,,636.0,14.0,103.0,4.0,,963.0,15.0,216.0,,,358.0,44.0,1281.0,6.0,278.0,,20.0,16.0,,,8.0,21.0,5.8538,21.0,32.0,70.0,28.0,6.0,11.0,11.0,,30.0,78.0,,42.0,5.0,12.0,5.0,4.0,67.0,19.0,5.0,11.0,16.0,14.0,,10.0,12.0,261.0,13.0,18.0,1.0,8.0,,5.1457,,15.0,6.0,3.0,3.0,4.0,26.0,3.0,4.0,5.0,3.0,3.0,9.0,,0.2499,6.0,49.0,7.0,3.0,3.0,35.0,,,3.0,1.0,1.0,,,,
109322,Jesse Lingard,Midfielder,Seoul,England,2016-17,0.0,0.0,3.0,94.0,2.2984,,,79.0,25.0,18.0,89.0,727.0,,,20.0,1.0,,1366.0,15.0,62.0,3.0,57.0,621.0,,,12.5678,1.0,8.0,12.0,79.0,145.0,,19.0,1.0,156.0,,146.0,56.0,25.0,,,485.0,9.0,136.0,5.0,,720.0,20.0,184.0,,,243.0,17.0,997.0,3.0,160.0,,10.0,17.0,,,12.0,13.0,4.0034,17.0,25.0,66.0,17.0,7.0,7.0,7.0,,29.0,46.0,1.0,27.0,4.0,14.0,4.0,22.0,18.0,43.0,4.0,12.0,13.0,21.0,1.0,26.0,14.0,193.0,13.0,15.0,2.0,15.0,1.0,3.8534,,7.0,1.0,1.0,8.0,5.0,7.0,0.0,5.0,,8.0,2.0,4.0,,,11.0,1.0,,,,1.0,,,6.0,1.0,,,,,
154976,Adnan Januzaj,Midfielder,Sevilla,Belgium,2016-17,0.0,1.0,3.0,168.0,3.238,,,87.0,25.0,18.0,104.0,355.0,,,52.0,1.0,,1629.0,39.0,125.0,4.0,112.0,237.0,,2.0,32.0252,,19.0,38.0,129.0,50.0,,38.0,0.0,293.0,,117.0,72.0,25.0,,,214.0,34.0,241.0,13.0,,343.0,14.0,333.0,,,114.0,14.0,796.0,4.0,52.0,,17.0,14.0,,,11.0,7.0,0.8805,17.0,15.0,16.0,17.0,7.0,5.0,5.0,,23.0,43.0,,31.0,6.0,5.0,2.0,34.0,51.0,92.0,6.0,8.0,15.0,57.0,1.0,26.0,9.0,74.0,6.0,8.0,,14.0,1.0,1.3332,,4.0,,,5.0,2.0,15.0,,2.0,,5.0,3.0,3.0,,,4.0,41.0,7.0,,,29.0,,,3.0,,,1.0,,,
2404,Michael Carrick,Midfielder,Manchester United,England,2016-17,0.0,0.0,2.0,38.0,1.0772,,,100.0,23.0,18.0,139.0,1263.0,,,18.0,5.0,,1599.0,8.0,61.0,3.0,51.0,1045.0,,3.0,17.4614,1.0,37.0,14.0,30.0,263.0,,19.0,0.0,99.0,,448.0,107.0,23.0,,,615.0,11.0,81.0,10.0,,1219.0,1.0,162.0,,,451.0,79.0,1459.0,10.0,509.0,,39.0,27.0,,,3.0,,,26.0,5.0,13.0,4.0,5.0,,,,24.0,7.0,,12.0,,14.0,9.0,,4.0,5.0,,5.0,17.0,7.0,7.0,5.0,41.0,101.0,3.0,4.0,,2.0,,0.335,,,,,3.0,,,,,,3.0,,,,,4.0,,,,,,,,,,,,,,
