playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,goals,awayGoals,cleanSheets,successfulLaunches,homeGoals,rightFootGoals,leftFootGoals,clearancesOffTheLine,unsuccessfulLaunches,lastPlayerTackle,handballsConceded,successfulCornersIntoBox,hitWoodwork,secondGoalAssists,redCards2ndYellow,headedGoals,foulWonPenalty,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,penaltiesConceded,ownGoalScored,drops
154976,Adnan Januzaj,Midfielder,Man Utd,1,Belgium,2014-15,80.0,7.0,0.7782,0.0,7.0,5.0,12.0,1.2003,11.0,18.0,1.0,50.0,18.0,7.0,7.0,58.0,33.0,320.0,1.0,3.0,11.0,5.0,23.0,1.0,7.0,4.0,850.0,4.0,1.0,14.0,64.0,2.0,20.0,55.0,251.0,43.0,1.0,1.0,12.301,15.0,8.0,10.0,4.0,66.0,68.0,23.0,0.0,144.0,7.0,73.0,43.0,18.0,1.0,2.0,32.0,205.0,8.0,34.0,50.0,4.0,121.0,9.0,0.0,312.0,13.0,15.0,181.0,9.0,21.0,1.0,92.0,13.0,8.0,1.0,11.0,87.0,567.0,6.0,3.0,3.0,64.0,5.0,1.3408,0.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59846,Ander Herrera,Midfielder,Man Utd,1,Spain,2014-15,101.0,9.0,2.5722,0.0,13.0,7.0,3.0,2.0107,73.0,24.0,14.0,131.0,26.0,67.0,19.0,168.0,8.0,1554.0,2.0,9.0,7.0,,24.0,,9.0,1.0,1868.0,1.0,,12.0,150.0,4.0,47.0,138.0,1308.0,40.0,,2.0,20.0037,22.0,22.0,23.0,4.0,89.0,542.0,39.0,0.0,251.0,25.0,336.0,132.0,26.0,,28.0,8.0,876.0,19.0,8.0,33.0,4.0,227.0,12.0,0.0,1537.0,17.0,10.0,233.0,45.0,26.0,8.0,407.0,30.0,51.0,,78.0,269.0,1929.0,5.0,5.0,9.0,519.0,22.0,2.0433,6.0,37.0,34.0,4.0,6.0,2.0,5.0,3.0,4.0,4.0,2.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39725,Anders Lindegaard,Goalkeeper,Man Utd,1,Denmark,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156689,Andreas Pereira,Midfielder,Man Utd,1,Brazil,2014-15,4.0,,,0.0,,,,,1.0,,,2.0,1.0,,,3.0,,6.0,,,1.0,,,,,,13.0,,,,2.0,,,2.0,3.0,,,,0.2529,,,,,4.0,,,0.0,6.0,,1.0,2.0,1.0,,,1.0,,,,2.0,,6.0,,0.0,6.0,,,5.0,1.0,1.0,,5.0,1.0,1.0,,,,13.0,,,,3.0,1.0,,0.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20695,Antonio Valencia,Defender,Man Utd,1,Ecuador,2014-15,126.0,23.0,2.1607,0.0,2.0,3.0,6.0,0.2914,95.0,4.0,,126.0,32.0,5.0,29.0,176.0,97.0,1675.0,3.0,1.0,3.0,,57.0,1.0,23.0,2.0,2583.0,2.0,,31.0,185.0,3.0,64.0,159.0,1419.0,56.0,21.0,,28.192,24.0,51.0,21.0,1.0,95.0,97.0,23.0,0.0,311.0,35.0,500.0,181.0,32.0,1.0,26.0,30.0,937.0,18.0,97.0,41.0,1.0,254.0,26.0,0.0,1661.0,1.0,19.0,368.0,69.0,42.0,7.0,726.0,38.0,57.0,,80.0,352.0,2483.0,244.0,6.0,1.0,585.0,26.0,0.2074,4.0,50.0,45.0,2.0,,,8.0,8.0,,,,,34.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18892,Ashley Young,Defender,Man Utd,1,England,2014-15,99.0,29.0,3.9643,0.0,14.0,7.0,8.0,3.8778,45.0,15.0,3.0,122.0,26.0,13.0,23.0,166.0,106.0,868.0,2.0,5.0,3.0,33.0,37.0,3.0,44.0,2.0,2068.0,2.0,1.0,19.0,127.0,3.0,48.0,109.0,645.0,62.0,8.0,1.0,22.5652,29.0,27.0,18.0,9.0,80.0,328.0,27.0,1.0,226.0,18.0,229.0,100.0,26.0,3.0,14.0,35.0,442.0,15.0,125.0,51.0,9.0,189.0,18.0,0.0,845.0,8.0,33.0,389.0,31.0,38.0,3.0,59.0,24.0,40.0,13.0,57.0,252.0,1483.0,101.0,6.0,5.0,304.0,10.0,2.9337,5.0,44.0,27.0,5.0,2.0,1.0,7.0,4.0,1.0,2.0,,1.0,19.0,,2.0,13.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51922,Ben Amos,Goalkeeper,Man Utd,1,England,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43020,Chicharito,Forward,Man Utd,1,Mexico,2014-15,6.0,,0.0212,0.0,,,,,,,,1.0,1.0,,1.0,1.0,,10.0,,,,,3.0,,,,45.0,,,3.0,2.0,1.0,,2.0,9.0,1.0,,,0.8408,1.0,,1.0,,3.0,3.0,1.0,0.0,8.0,,1.0,1.0,1.0,,,,9.0,,,1.0,,5.0,,0.0,9.0,,,2.0,,1.0,,4.0,2.0,1.0,,,2.0,14.0,,1.0,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55909,Chris Smalling,Defender,Man Utd,1,England,2014-15,75.0,1.0,0.9304,1.0,5.0,6.0,1.0,1.5737,36.0,12.0,1.0,66.0,25.0,2.0,21.0,137.0,3.0,1200.0,,,4.0,,105.0,,1.0,2.0,1879.0,2.0,,35.0,132.0,4.0,21.0,62.0,952.0,30.0,,2.0,23.7201,5.0,156.0,23.0,5.0,40.0,298.0,11.0,2.0,207.0,12.0,327.0,131.0,25.0,,13.0,3.0,381.0,19.0,3.0,11.0,5.0,102.0,70.0,0.0,1173.0,6.0,5.0,157.0,23.0,16.0,16.0,474.0,24.0,58.0,,111.0,101.0,1568.0,3.0,3.0,,683.0,10.0,1.7784,1.0,71.0,39.0,,4.0,0.0,5.0,11.0,4.0,1.0,,,39.0,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
58877,Daley Blind,Defender,Man Utd,1,Netherlands,2014-15,109.0,1.0,1.9293,0.0,11.0,9.0,,1.9056,58.0,17.0,4.0,144.0,25.0,8.0,25.0,194.0,20.0,1583.0,1.0,8.0,,,70.0,6.0,1.0,1.0,2171.0,1.0,1.0,38.0,107.0,2.0,42.0,75.0,1287.0,21.0,12.0,2.0,26.1842,15.0,62.0,27.0,3.0,71.0,573.0,11.0,0.0,216.0,27.0,451.0,126.0,25.0,6.0,15.0,6.0,777.0,25.0,20.0,19.0,3.0,146.0,32.0,0.0,1547.0,8.0,6.0,261.0,43.0,7.0,2.0,385.0,25.0,81.0,,102.0,174.0,2016.0,69.0,3.0,8.0,613.0,19.0,1.0255,4.0,50.0,41.0,2.0,2.0,2.0,7.0,5.0,0.0,,2.0,,21.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
51940,David de Gea,Goalkeeper,Man Utd,1,Spain,2014-15,1.0,,0.0524,0.0,,,,,,,,4.0,37.0,,37.0,370.0,,1034.0,,,,,3.0,,,,3314.0,,,,4.0,5.0,,1.0,345.0,,,3.0,41.2084,,20.0,36.0,,1.0,145.0,,0.0,5.0,,716.0,269.0,37.0,,,,171.0,31.0,,,,2.0,3.0,0.0,650.0,,,373.0,,,,173.0,,2.0,,319.0,,1335.0,,1.0,,493.0,,,0.0,366.0,77.0,,,,10.0,133.0,,,,,223.0,,,,,,,,,1.0,30.0,32.0,253.0,11.0,4.0,1.0,7.0,93.0,4.0,1.0,295.0,106.0,26.0,60.0,,,,,,,,,
112139,James Wilson,Forward,Man Utd,1,England,2014-15,35.0,,0.0938,0.0,,4.0,2.0,1.6494,3.0,8.0,,22.0,13.0,11.0,2.0,23.0,1.0,98.0,,,11.0,,19.0,1.0,,2.0,348.0,2.0,1.0,11.0,20.0,2.0,5.0,12.0,74.0,19.0,,1.0,6.2925,1.0,5.0,3.0,,24.0,11.0,4.0,0.0,55.0,2.0,15.0,15.0,13.0,1.0,,7.0,51.0,1.0,1.0,17.0,,36.0,8.0,0.0,95.0,4.0,2.0,52.0,3.0,6.0,1.0,25.0,4.0,4.0,,1.0,47.0,167.0,,2.0,,24.0,3.0,1.1021,3.0,1.0,3.0,,1.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109322,Jesse Lingard,Midfielder,Man Utd,1,England,2014-15,1.0,,0.0052,0.0,,,,,1.0,,,4.0,1.0,1.0,1.0,4.0,3.0,13.0,,,,,,,,,24.0,,,,2.0,,3.0,2.0,9.0,,,,0.3196,,,,,1.0,,1.0,0.0,3.0,1.0,3.0,1.0,1.0,,,,8.0,,3.0,,,3.0,,0.0,13.0,,,8.0,1.0,,,5.0,1.0,1.0,,,5.0,29.0,7.0,1.0,,1.0,1.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37642,Jonny Evans,Defender,Man Utd,1,Northern Ireland,2014-15,31.0,,0.2363,0.0,1.0,,,,32.0,,1.0,53.0,14.0,,12.0,126.0,4.0,838.0,,1.0,2.0,,36.0,,,,1091.0,,,12.0,70.0,1.0,12.0,46.0,645.0,2.0,1.0,1.0,13.5327,1.0,70.0,7.0,,19.0,271.0,9.0,0.0,101.0,3.0,320.0,70.0,14.0,,10.0,3.0,266.0,6.0,4.0,6.0,,65.0,24.0,0.0,821.0,,,140.0,22.0,6.0,5.0,183.0,7.0,25.0,,67.0,64.0,1012.0,1.0,3.0,1.0,446.0,3.0,0.0386,1.0,73.0,42.0,,,,5.0,11.0,,,,1.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43670,Juan Mata,Midfielder,Man Utd,1,Spain,2014-15,131.0,10.0,4.5033,0.0,8.0,12.0,4.0,6.6349,29.0,25.0,12.0,125.0,33.0,115.0,27.0,153.0,36.0,1451.0,6.0,4.0,6.0,49.0,9.0,2.0,24.0,1.0,2307.0,1.0,1.0,7.0,87.0,4.0,35.0,85.0,1191.0,69.0,,2.0,26.694,47.0,5.0,25.0,4.0,124.0,326.0,36.0,4.0,218.0,13.0,256.0,136.0,33.0,2.0,5.0,16.0,886.0,21.0,83.0,56.0,4.0,209.0,2.0,0.0,1425.0,13.0,6.0,327.0,24.0,21.0,1.0,522.0,27.0,23.0,30.0,107.0,347.0,1832.0,9.0,12.0,4.0,436.0,18.0,6.591,2.0,28.0,20.0,4.0,9.0,4.0,3.0,1.0,5.0,1.0,7.0,,5.0,,2.0,12.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,6.0,6.0,0.4193,1.0,1.0,,,
