playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,punches,successfulLaunches,catches,savesMade,drops,savesMadeFromOutsideBox,crossesNotClaimed,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,throughBalls,offsides,unsuccessfulLayoffs,shotsOffTargetIncWoodwork,substituteOff,foulWonPenalty,rightFootGoals,secondGoalAssists,cornersTakenInclShortCorners,successfulCornersIntoBox,attemptsFromSetPieces,unsuccessfulCornersIntoBox,penaltiesTaken,headedGoals,lastPlayerTackle,clearancesOffTheLine,ownGoalScored,setPiecesGoals,penaltyGoals
154976,Adnan Januzaj,Midfielder,Man Utd,1,Belgium,2012-13,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50004,Alexander Büttner,Defender,Man Utd,1,Netherlands,2012-13,0.0,0.0,1.0,26.0,1.0,2.0,4.0,1.0,11.0,4.0,26.0,5.0,1.0,1.0,4.0,30.0,17.0,170.0,2.0,1.0,1.0,12.0,3.0,1.0,382.0,6.0,30.0,1.0,24.0,135.0,14.0,5.0,1.0,16.0,6.0,20.0,77.0,6.0,0.0,56.0,1.0,57.0,18.0,5.0,4.0,2.0,1.0,74.0,5.0,17.0,9.0,44.0,6.0,166.0,3.0,72.0,7.0,7.0,1.0,9.0,8.0,7.0,5.0,27.0,294.0,23.0,1.0,12.0,67.0,1.0,4.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39725,Anders Lindegaard,Goalkeeper,Man Utd,1,Denmark,2012-13,0.0,0.0,0.0,,,,,,,,4.0,10.0,,,10.0,61.0,,218.0,,,,,2.0,,900.0,,,1.0,,113.0,,,1.0,8.0,17.0,,30.0,,0.0,,,151.0,74.0,10.0,,,,24.0,16.0,,,,,116.0,,64.0,,,,37.0,,,44.0,,318.0,,,31.0,133.0,,57.0,12.0,5.0,12.0,11.0,21.0,3.0,11.0,2.0,87.0,112.0,3.0,28.0,4.0,10.0,,,,,,,,,,,,,,,,,,,
27258,Anderson,Midfielder,Man Utd,1,Brazil,2012-13,0.0,0.0,1.0,39.0,1.0,,5.0,1.0,18.0,10.0,71.0,17.0,1.0,43.0,9.0,87.0,4.0,642.0,1.0,1.0,8.0,14.0,,1.0,824.0,5.0,46.0,1.0,37.0,489.0,12.0,,12.0,8.0,12.0,34.0,182.0,7.0,0.0,85.0,0.0,145.0,55.0,17.0,5.0,1.0,6.0,354.0,11.0,4.0,20.0,71.0,9.0,632.0,1.0,126.0,13.0,12.0,3.0,214.0,8.0,6.0,66.0,101.0,758.0,1.0,,,202.0,,16.0,16.0,,1.0,,,,,,,,,,,,7.0,1.0,2.0,5.0,8.0,,,,,,,,,,,,,,
20695,Antonio Valencia,Defender,Man Utd,1,Ecuador,2012-13,0.0,0.0,6.0,198.0,39.0,10.0,2.0,13.0,57.0,7.0,156.0,30.0,5.0,39.0,24.0,170.0,124.0,1077.0,1.0,1.0,6.0,89.0,6.0,39.0,2210.0,59.0,150.0,3.0,120.0,884.0,69.0,6.0,37.0,20.0,30.0,139.0,70.0,21.0,0.0,348.0,0.0,314.0,155.0,30.0,12.0,,45.0,681.0,27.0,124.0,92.0,259.0,30.0,1074.0,33.0,440.0,45.0,42.0,2.0,466.0,37.0,24.0,23.0,227.0,1664.0,48.0,,17.0,265.0,2.0,14.0,27.0,,,,,,,,,,,,,,5.0,10.0,1.0,5.0,7.0,1.0,1.0,1.0,,,,,,,,,,,
18892,Ashley Young,Defender,Man Utd,1,England,2012-13,0.0,0.0,1.0,59.0,12.0,6.0,10.0,6.0,23.0,21.0,105.0,19.0,3.0,42.0,17.0,111.0,56.0,671.0,,,2.0,24.0,2.0,23.0,1372.0,13.0,84.0,2.0,73.0,533.0,58.0,,32.0,12.0,17.0,46.0,222.0,40.0,0.0,143.0,,170.0,81.0,19.0,4.0,,10.0,371.0,15.0,73.0,27.0,119.0,11.0,654.0,16.0,241.0,19.0,10.0,1.0,107.0,14.0,16.0,27.0,172.0,990.0,8.0,1.0,9.0,212.0,2.0,6.0,27.0,,2.0,,,,,,,,,,,,3.0,3.0,4.0,11.0,8.0,,,1.0,27.0,10.0,2.0,13.0,,,,,,,
51922,Ben Amos,Goalkeeper,Man Utd,1,England,2012-13,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43020,Chicharito,Forward,Man Utd,1,Mexico,2012-13,0.0,0.0,1.0,54.0,3.0,6.0,23.0,1.0,7.0,38.0,44.0,22.0,3.0,30.0,9.0,48.0,10.0,268.0,10.0,6.0,13.0,16.0,3.0,3.0,948.0,11.0,37.0,1.0,32.0,211.0,62.0,,11.0,3.0,11.0,43.0,78.0,20.0,8.0,91.0,4.0,40.0,33.0,22.0,3.0,2.0,7.0,178.0,10.0,10.0,28.0,75.0,5.0,266.0,8.0,107.0,4.0,5.0,,78.0,13.0,6.0,9.0,72.0,420.0,1.0,1.0,1.0,45.0,,4.0,6.0,,,,,,,,,,,,,,1.0,19.0,3.0,15.0,5.0,,7.0,,,,,,1.0,1.0,,,,,
55909,Chris Smalling,Defender,Man Utd,1,England,2012-13,0.0,0.0,1.0,33.0,4.0,3.0,1.0,,15.0,5.0,53.0,15.0,,,10.0,69.0,10.0,453.0,,,5.0,47.0,5.0,4.0,1013.0,17.0,54.0,,24.0,357.0,13.0,6.0,2.0,82.0,10.0,16.0,62.0,8.0,0.0,87.0,,150.0,40.0,15.0,3.0,,2.0,144.0,10.0,10.0,8.0,40.0,30.0,448.0,3.0,98.0,12.0,1.0,10.0,204.0,6.0,16.0,27.0,37.0,683.0,41.0,,12.0,244.0,,16.0,13.0,,3.0,,,,,,,,,,,,,1.0,,4.0,1.0,,,,,,,,,,1.0,,,,
50175,Danny Welbeck,Forward,Man Utd,1,England,2012-13,0.0,0.0,1.0,91.0,3.0,15.0,9.0,4.0,36.0,24.0,62.0,27.0,4.0,38.0,13.0,67.0,6.0,508.0,1.0,0.0,14.0,42.0,4.0,3.0,1288.0,21.0,93.0,1.0,72.0,430.0,78.0,,18.0,12.0,12.0,70.0,164.0,15.0,2.0,184.0,1.0,79.0,59.0,27.0,10.0,,17.0,331.0,11.0,6.0,55.0,142.0,21.0,507.0,11.0,162.0,26.0,21.0,2.0,128.0,14.0,17.0,11.0,137.0,773.0,5.0,1.0,2.0,113.0,2.0,5.0,5.0,,,,,,,,,,,,,,2.0,2.0,2.0,15.0,6.0,1.0,,,,,,,,1.0,,,,,
