season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827866,1,43,Manchester_City,Away,13630,27789,Fernandinho,fernandinho,M,False,,,2.0,17.0,27.0,44.0,2.0,,9.0,,,,,,,2.0,5.0,2.0,,,1.0,,,,,,1.0,90.0,,,,,,,11.0,,6.6,,,,,1.0,1.0,,,4.0,,22.0,30.0,52.0,0,,60.0,,1.0,1.0,
2018-19,7827866,1,43,Manchester_City,Away,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,False,,,,21.0,21.0,42.0,1.0,1.0,6.0,,,1.0,,,,3.0,4.0,3.0,,,,,,,,2.0,,90.0,,,,,,,15.0,,6.6,,,1.0,,,,2.0,,2.0,,28.0,24.0,50.0,2,,67.0,1.0,2.0,,
2018-19,7827866,1,43,Manchester_City,Away,70996,61366,Kevin De Bruyne,kevin-de-bruyne,M,True,,,2.0,11.0,13.0,24.0,,,2.0,,,,,,,,2.0,2.0,,,2.0,,,,,,1.0,30.0,1.0,,,,,,3.0,,6.9,,,,,,1.0,1.0,,2.0,,14.0,13.0,26.0,1,,30.0,,1.0,1.0,
2018-19,7827866,1,43,Manchester_City,Away,158213,103025,Riyad Mahrez,riyad-mahrez,M,False,1.0,,2.0,19.0,14.0,32.0,,,4.0,,,,1.0,,,2.0,5.0,3.0,,,3.0,,,,,,1.0,60.0,1.0,,,,,,13.0,,7.2,,,1.0,,,1.0,6.0,,2.0,1.0,28.0,15.0,37.0,2,1.0,57.0,1.0,1.0,1.0,
2018-19,7827866,1,43,Manchester_City,Away,293519,182156,Leroy Sané,leroy-sane,M,True,,,,5.0,,5.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,3.0,,,,,,,2.0,,6.8,,,1.0,,,,,,,,6.0,1.0,7.0,1,,10.0,,1.0,,
2018-19,7827866,1,43,Manchester_City,Away,331209,165809,Bernardo Silva,bernardo-silva,M,False,,,2.0,17.0,8.0,25.0,2.0,,2.0,,,,2.0,,,1.0,6.0,1.0,,,1.0,,1.0,,,,,90.0,1.0,,,,,,13.0,,6.8,,,,,1.0,1.0,,,4.0,,26.0,10.0,36.0,1,,44.0,1.0,,1.0,
2018-19,7827866,1,43,Manchester_City,Away,859765,209244,Phil Foden,phil-foden,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827902,2,43,Manchester_City,Home,11781,20664,David Silva,david-silva,M,False,1.0,,2.0,39.0,10.0,48.0,,,2.0,2.0,,1.0,,,,,2.0,4.0,,,2.0,,1.0,,,1.0,6.0,64.0,1.0,,,,,,7.0,,8.4,,,,,,4.0,1.0,,2.0,,44.0,10.0,53.0,2,,64.0,2.0,,4.0,
2018-19,7827902,2,43,Manchester_City,Home,13630,27789,Fernandinho,fernandinho,M,False,,,1.0,42.0,19.0,61.0,5.0,1.0,3.0,,,1.0,,,,1.0,7.0,2.0,,,1.0,,,,,1.0,,90.0,,,,,,,4.0,,6.7,,,,,5.0,,,,1.0,,45.0,19.0,64.0,1,1.0,75.0,,,,
2018-19,7827902,2,43,Manchester_City,Home,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,False,1.0,,2.0,54.0,20.0,73.0,,,2.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,,,,,,1.0,82.0,,1.0,,,,,7.0,,7.2,,,,,,,2.0,,2.0,,59.0,21.0,78.0,1,1.0,87.0,1.0,,,1.0
