season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025050,1,43,Manchester_City,Away,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025050,1,43,Manchester_City,Away,331209,165809,Bernardo Silva,bernardo-silva,M,False,5.0,,1.0,14.0,19.0,33.0,,,,4.0,2.0,,,1.0,,,2.0,5.0,4.0,,,0.442674,,,1.0,0.0,,,,,,4.0,,0.52,4.85,1.45,0.07,1.85,66.0,,,,,,,,9.0,,,7.3,,,,,,1.0,1.0,9.0,,2.0,,15.0,19.0,34.0,,,0,4.0,54.0,1.0,,,2.0
2025-26,14025050,1,43,Manchester_City,Away,893549,433036,Tijjani Reijnders,tijjani-reijnders,M,False,1.0,,2.0,34.0,18.0,52.0,1.0,,,1.0,,,,,,,4.0,10.0,4.0,,1.0,0.141477,0.2019,0.7548,3.0,1.0,1.0,,,,,2.0,,0.67,5.53,2.23,0.26,2.94,90.0,1.0,,,,,,,16.0,,,7.8,,,2.0,,,1.0,3.0,3.0,,3.0,,39.0,18.0,57.0,,,3,1.0,82.0,3.0,2.0,1.0,
2025-26,14025050,1,43,Manchester_City,Away,934386,248875,Jérémy Doku,jeremy-doku,M,False,,,,14.0,4.0,18.0,,,,1.0,,,,1.0,,,1.0,5.0,2.0,,,0.0179834,,,1.0,0.0,,,,,,,,0.38,3.26,1.03,0.11,2.43,66.0,,,,,,,,11.0,,,6.3,,,,,,,3.0,3.0,,,,15.0,4.0,19.0,,,0,,32.0,3.0,1.0,1.0,
2025-26,14025050,1,43,Manchester_City,Away,954056,465694,Nico González,nico-gonzalez,M,False,,,1.0,50.0,22.0,72.0,2.0,1.0,,4.0,,,2.0,,,,,3.0,11.0,,,0.0463957,0.0514,,1.0,0.0,,,,,1.0,,,0.73,6.05,2.88,0.14,2.59,90.0,,1.0,,,,,,7.0,,,7.7,,,,,,2.0,4.0,,,2.0,,55.0,23.0,78.0,,,2,3.0,98.0,1.0,3.0,4.0,3.0
2025-26,14025050,1,43,Manchester_City,Away,979128,466052,Rayan Cherki,cherki-rayan,M,True,,,,13.0,5.0,18.0,,,,,,,,1.0,,,1.0,2.0,,,,0.0317352,0.0563,0.4493,,0.0,1.0,,,,1.0,,,0.23,1.28,0.63,0.17,0.77,17.0,1.0,,,,,,,3.0,,,7.7,,,,,,,,,,,,15.0,5.0,20.0,,,1,,23.0,,,,
2025-26,14025050,1,43,Manchester_City,Away,1065216,477555,Oscar Bobb,oscar-bobb,M,False,,,1.0,20.0,10.0,30.0,,,,4.0,,,,,,,1.0,3.0,4.0,,,0.0668085,,,,1.0,,,,,,2.0,,0.81,5.23,1.77,0.27,3.26,90.0,,,,,,,,7.0,,,7.3,,,,,,,5.0,1.0,,1.0,,22.0,10.0,32.0,,,0,,46.0,1.0,1.0,3.0,
2025-26,14025083,2,43,Manchester_City,Home,331209,165809,Bernardo Silva,bernardo-silva,M,True,,,,8.0,9.0,17.0,1.0,,,1.0,,,,4.0,,,2.0,7.0,,,,0.0158259,,,,0.0,,,,,1.0,,,,,,,,36.0,,,,,,,,8.0,,,6.1,,,,,,1.0,,1.0,,,,10.0,9.0,19.0,,,0,,29.0,3.0,,,
2025-26,14025083,2,43,Manchester_City,Home,827606,220566,Rodri,rodri,M,True,,,3.0,8.0,7.0,15.0,,1.0,,4.0,,,,,,,,1.0,4.0,,1.0,0.0220477,0.047,0.0181,1.0,0.0,,,,,,1.0,,,,,,,15.0,1.0,,,,,,,2.0,,,6.9,,,,,,,1.0,,,3.0,,8.0,9.0,17.0,,,1,1.0,21.0,,1.0,1.0,
2025-26,14025083,2,43,Manchester_City,Home,859765,209244,Phil Foden,phil-foden,M,True,1.0,,1.0,3.0,5.0,8.0,,,,3.0,,,1.0,,,,,,1.0,,,0.0232277,0.1814,0.0295,,0.0,,,,,,1.0,,,,,,,15.0,1.0,,,,,,,7.0,,,6.6,,,,,,,,5.0,,1.0,,5.0,6.0,11.0,,,2,,20.0,,1.0,,
