season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,98449,94147.0,Conor Coady,conor-coady,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,139310,90585.0,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,190405,151589.0,Leander Dendoncker,leander-dendoncker,M,False,1.0,,1.0,16.0,29.0,44.0,1.0,2.0,9.0,,1.0,,1.0,,,,2.0,5.0,,,0.0390937,0.6507,0.5928,,,,,,,5.0,1.0,,90.0,2.0,,,,,,,4.0,,7.4,,,1.0,2.0,1.0,1.0,,1.0,,17.0,31.0,47.0,3,2.0,64.0,1.0,,1.0,2.0
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,235648,114128.0,Jonny Otto,jonny-otto,D,False,,,2.0,18.0,25.0,43.0,,,7.0,,,,2.0,,,1.0,6.0,8.0,,,0.0208839,0.028,0.0,1.0,,,,,,3.0,,,90.0,,,,,,,,15.0,,6.6,,,1.0,,4.0,2.0,,3.0,,23.0,29.0,50.0,1,3.0,85.0,2.0,3.0,2.0,2.0
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,252669,149065.0,José Sá,jose-sa,G,False,,,2.0,,22.0,22.0,1.0,,10.0,,,,,,,,1.0,,,,6.812e-05,0.0,0.0,,,,-1.2677,2.0,,,,,90.0,,,,,,,,10.0,,6.5,2.0,3.0,,,,,,11.0,,5.0,26.0,31.0,0,,44.0,1.0,,,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,280955,171317.0,Rúben Neves,ruben-neves,M,False,,,12.0,30.0,25.0,55.0,,1.0,9.0,,,,1.0,,,,2.0,7.0,,,0.0390281,0.0155,0.0,,,,,,,1.0,2.0,,90.0,,2.0,,,,,,8.0,,7.8,,,1.0,5.0,3.0,,,15.0,,35.0,26.0,61.0,1,4.0,80.0,1.0,,2.0,3.0
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,308764,200600.0,Daniel Podence,daniel-podence,M,False,1.0,,,21.0,9.0,29.0,,,7.0,,,1.0,1.0,,,1.0,4.0,2.0,,,0.0925967,0.2002,0.4444,2.0,,1.0,,,,,3.0,,90.0,1.0,,,,,,,21.0,,7.4,,,1.0,,,1.0,,,,34.0,11.0,44.0,3,1.0,57.0,4.0,1.0,,1.0
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,786186,184754.0,Hwang Hee-chan,hwang-hee-chan,F,False,1.0,,,9.0,3.0,11.0,3.0,,3.0,1.0,,,,,,1.0,6.0,4.0,,,0.241379,0.0258,0.1458,,1.0,,,,,,2.0,,85.0,1.0,,,,,,,12.0,,7.2,,,,1.0,5.0,1.0,,,,12.0,5.0,16.0,1,,31.0,2.0,1.0,3.0,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,862812,216208.0,Matija Šarkić,matija-sarkic,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,865912,222531.0,Morgan Gibbs-White,morgan-gibbs-white,M,False,2.0,,2.0,29.0,10.0,37.0,2.0,1.0,4.0,,,,1.0,,,,9.0,5.0,,,0.162343,0.2225,0.0991,3.0,,,,,,1.0,1.0,,90.0,1.0,,,,,,,16.0,,6.9,,,1.0,1.0,5.0,5.0,,3.0,,36.0,15.0,46.0,2,2.0,65.0,1.0,,2.0,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,879349,247632.0,Pedro Neto,pedro-neto,M,False,3.0,,2.0,19.0,11.0,27.0,,,5.0,,,2.0,1.0,,,,7.0,8.0,,,0.182531,0.1356,0.0257,1.0,,,,,,2.0,2.0,,90.0,1.0,,,,,,,17.0,,7.1,,,,,10.0,8.0,,3.0,1.0,26.0,14.0,32.0,3,1.0,64.0,2.0,2.0,5.0,1.0
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,894474,214048.0,Max Kilman,max-kilman,D,False,,,4.0,16.0,59.0,75.0,1.0,2.0,9.0,,,,,,,,1.0,8.0,,,0.0102415,0.0711,0.0,,,,,,,,,,90.0,,1.0,,,,,,8.0,,7.2,,,1.0,6.0,4.0,,,9.0,,20.0,63.0,83.0,1,,103.0,,2.0,4.0,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,931278,448514.0,Rayan Aït-Nouri,rayan-ait-nouri,D,False,1.0,,1.0,26.0,27.0,52.0,,,6.0,,,,,,,3.0,5.0,10.0,,,0.271977,0.4861,0.0,2.0,,,,,,,3.0,,90.0,,,1.0,,,,,19.0,,6.6,,,,,6.0,2.0,,4.0,,33.0,30.0,61.0,0,3.0,96.0,3.0,2.0,5.0,2.0
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,958916,432830.0,Nathan Collins,nathan-collins,D,False,,,6.0,16.0,52.0,68.0,1.0,1.0,5.0,,,,,,,,1.0,3.0,,,0.00885007,0.0,0.0,,,,,,,2.0,,,90.0,,,,,,,,8.0,,6.8,,,,1.0,1.0,,,10.0,,22.0,53.0,75.0,0,,82.0,1.0,1.0,1.0,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,988882,240299.0,Joe Hodge,hodge-joe,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,988966,245923.0,Luke Cundle,luke-cundle,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,989122,,Connor Ronan,connor-ronan,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,1013928,490721.0,Hugo Bueno,hugo-bueno,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,1014835,501837.0,Yerson Mosquera,yerson-mosquera,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,39,Wolverhampton_Wanderers,Away,1177311,461026.0,Chem Campbell,chem-campbell,M,True,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,0.0,0.0,0.0,,,,,,,,,,10.0,,,,,,,,1.0,,6.4,,,,,,,,,,,,,0,,2.0,,1.0,,
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,139310,90585.0,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,190405,151589.0,Leander Dendoncker,leander-dendoncker,M,False,,,5.0,9.0,25.0,34.0,4.0,,4.0,,,,,,,2.0,7.0,1.0,,,0.00447873,0.0,0.0,,,,,,,4.0,,,90.0,,,,,,,,11.0,,6.9,,,,2.0,1.0,,,6.0,,12.0,28.0,40.0,0,1.0,57.0,1.0,,,
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,235648,114128.0,Jonny Otto,jonny-otto,D,False,1.0,,1.0,9.0,25.0,33.0,,3.0,2.0,,,1.0,,,,,4.0,9.0,,,0.00728726,0.0353,0.0,1.0,,,,,,,,,78.0,,,,,,,,15.0,,7.1,,,,3.0,4.0,3.0,,3.0,,17.0,29.0,43.0,1,4.0,70.0,,1.0,1.0,3.0
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,252669,149065.0,José Sá,jose-sa,G,False,,,1.0,1.0,23.0,24.0,,,8.0,,,,,,1.0,,,,,,0.00076575,0.0,0.0,,,,1.3936,2.0,,,,,90.0,,,,,1.0,1.0,,7.0,,7.9,3.0,3.0,,,,,,8.0,,7.0,24.0,31.0,0,,40.0,,,,
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,252821,200402.0,Nélson Semedo,nelson-semedo,D,True,,,1.0,,2.0,2.0,,,3.0,,,,,,,,,1.0,,,0.00028717,0.0,0.0,,,,,,,,,,12.0,,,,,,,,5.0,,6.6,,,,,,1.0,,3.0,,4.0,3.0,6.0,0,,12.0,,1.0,,
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,280955,171317.0,Rúben Neves,ruben-neves,M,False,,,5.0,12.0,24.0,36.0,,2.0,9.0,,,,3.0,,,,4.0,6.0,,,0.0130015,0.0494,0.0,1.0,,,,,,2.0,,,90.0,,1.0,,,,,,20.0,,7.1,,,2.0,1.0,,,,12.0,,23.0,31.0,54.0,2,4.0,72.0,2.0,,,3.0
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,280979,181284.0,Gonçalo Guedes,goncalo-guedes,M,True,,,,6.0,,6.0,1.0,,,,,,,,,,2.0,2.0,,,0.00398652,0.0,0.0,1.0,,,,,,,,,32.0,,,,,,,,3.0,,6.6,,,,,,,,,,8.0,,8.0,0,,12.0,1.0,2.0,,
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,286165,159533.0,Adama Traoré,adama-traore,F,True,,,,3.0,1.0,4.0,,,,,,,,,,,1.0,,,,0.00213366,0.0,0.0,,,,,,,,,,11.0,,,,,,,,1.0,,6.4,,,,,1.0,,,,,3.0,1.0,4.0,0,,6.0,,,,
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,308764,200600.0,Daniel Podence,daniel-podence,M,False,1.0,,2.0,10.0,6.0,15.0,,,1.0,,1.0,,1.0,,,1.0,4.0,1.0,,,0.0155876,0.1826,0.0,1.0,,,,,,,1.0,,90.0,,,,,,,,21.0,,5.9,,,1.0,,1.0,1.0,,6.0,,23.0,8.0,30.0,1,,44.0,3.0,1.0,,
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,786186,184754.0,Hwang Hee-chan,hwang-hee-chan,F,False,,,,4.0,5.0,9.0,1.0,,2.0,,,,,,,2.0,5.0,4.0,,,0.0112364,0.1203,0.1153,1.0,,,,,,,,,58.0,1.0,,,,,,,7.0,,6.8,,,1.0,,1.0,,,,,6.0,5.0,11.0,2,2.0,25.0,2.0,2.0,,1.0
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,862812,216208.0,Matija Šarkić,matija-sarkic,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,865912,222531.0,Morgan Gibbs-White,morgan-gibbs-white,M,False,,,,20.0,15.0,35.0,3.0,2.0,10.0,,1.0,,,,,1.0,6.0,5.0,,,0.0175456,0.5023,0.0,,,,,,,,,,90.0,,,,,,,,14.0,,6.3,,,1.0,1.0,2.0,3.0,,,,25.0,18.0,40.0,1,1.0,61.0,2.0,3.0,,1.0
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,879349,247632.0,Pedro Neto,pedro-neto,M,False,,,,12.0,4.0,16.0,,,5.0,1.0,,,,,,2.0,4.0,5.0,,,0.202328,0.0,0.0,,,,,,,,1.0,,79.0,,,,,,,,17.0,,6.8,,,,,4.0,9.0,,,1.0,22.0,4.0,17.0,0,1.0,44.0,3.0,2.0,2.0,1.0
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,894474,214048.0,Max Kilman,max-kilman,D,False,,,5.0,18.0,59.0,77.0,2.0,5.0,11.0,,,,,,,,2.0,5.0,,,0.00534469,0.0,0.0,,,,,,,,,,90.0,,,,,,,,13.0,,7.1,,,,4.0,,,,14.0,,28.0,62.0,90.0,0,,95.0,,,,
2022-23,10385527,2,39,Wolverhampton_Wanderers,Home,931278,448514.0,Rayan Aït-Nouri,rayan-ait-nouri,D,False,2.0,,2.0,18.0,8.0,24.0,1.0,2.0,3.0,1.0,,,,,,,4.0,6.0,,,0.257392,0.0,0.0,2.0,,,,,,,1.0,,90.0,,,,1.0,,,,17.0,,7.1,,,,2.0,1.0,2.0,,5.0,,26.0,15.0,39.0,0,4.0,61.0,,,,1.0
