season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025036,33,39,Wolverhampton_Wanderers,Away,1031283,497949,David Møller Wolfe,david-moller-wolfe,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025036,33,39,Wolverhampton_Wanderers,Away,1035996,509291,André,andre,M,False,,,2.0,11.0,19.0,30.0,,,7.0,6.0,,,,2.0,,,,4.0,6.0,,,0.0179564,,,2.0,0.0,,,,,,,,,,,,,90.0,,1.0,,,,,,3.0,0.0,,7.0,,,,,50.229950396469,3.0,1.0,,,2.0,,12.0,19.0,31.0,5.5627988746622,,0,4.0,50.0,2.0,1.0,1.0,3.0
2025-26,14025036,33,39,Wolverhampton_Wanderers,Away,1096210,523705,Jackson Tchatchoua,jackson-tchatchoua,M,False,,,,6.0,6.0,12.0,,,5.0,,,,,1.0,,,,1.0,1.0,,,0.0038025,,,,0.0,,,,,,,,,,,,,45.0,,,,,,,,5.0,1.0,,6.3,,,,,61.590309313369,1.0,,1.0,,,,6.0,8.0,14.0,26.877230194725,22.5197450252,0,,20.0,1.0,1.0,,
2025-26,14025036,33,39,Wolverhampton_Wanderers,Away,1154124,491460,Alfie Brooks,alfie-brooks,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025036,33,39,Wolverhampton_Wanderers,Away,1445189,596054,Tom Edozie,tom-edozie,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025036,33,39,Wolverhampton_Wanderers,Away,1597270,641221,Pedro Lima,lima-pedro,D,True,,,,1.0,4.0,5.0,,,5.0,3.0,,,1.0,,,,1.0,3.0,,,,0.00040118,0.0194,,2.0,0.0,,,,,1.0,,,,,,,,45.0,,,,,,,,11.0,0.0,,5.7,,,,,72.373793891938,,,,,4.0,,7.0,6.0,13.0,-22.286973768168,,1,,25.0,,,,
2025-26,14025036,33,39,Wolverhampton_Wanderers,Away,1881904,601956,Saheed Olagunju,saheed-olagunju,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025036,33,39,Wolverhampton_Wanderers,Away,1899647,647671,Mateus Mané,mateus-mane,F,True,1.0,,,2.0,2.0,4.0,3.0,1.0,9.0,3.0,,,,,,,2.0,7.0,6.0,,,0.0282263,0.1253,,2.0,0.0,,,,,,1.0,,,,,,,52.0,,,,,,,,16.0,1.0,,6.7,,,1.0,,74.418322512193,1.0,2.0,3.0,,1.0,,5.0,3.0,8.0,20.788099380289,17.524450233888,1,4.0,30.0,7.0,,1.0,2.0
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,101367,79602,Daniel Bentley,daniel-bentley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,143047,87835,Matt Doherty,matt-doherty,D,False,,,3.0,5.0,19.0,24.0,1.0,3.0,7.0,1.0,,,,,,,,1.0,7.0,,,0.00213965,,,,0.0,,,,,,,,,,,,,85.0,,,,,,,,7.0,0.0,,6.9,,,,,49.005170682543,6.0,,,,5.0,,9.0,21.0,30.0,16.998079547777,,0,3.0,41.0,1.0,1.0,,1.0
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,252669,149065,José Sá,jose-sa,G,False,,1.0,9.0,7.0,12.0,19.0,,1.0,5.0,10.0,,,,,,,,,1.0,,,0.00339933,,,,0.0,,0.0963,1.0,,,,,,,,,,90.0,,,,,,,,15.0,0.0,1.0,6.9,1.0,1.0,,,48.457919291742,2.0,,,1.0,24.0,,20.0,14.0,34.0,22.441439531046,,0,,44.0,,,,
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,361352,155511,Adam Armstrong,adam-armstrong,F,False,,,,4.0,1.0,5.0,1.0,,5.0,,,1.0,1.0,,,,1.0,2.0,5.0,,,0.00272815,0.27,0.1279,,0.0,,,,,,,,,,,,,90.0,1.0,,,,,,,8.0,0.0,,7.0,,,1.0,,33.275219925497,,2.0,1.0,,,1.0,7.0,1.0,8.0,-7.8340713528811,,3,2.0,22.0,3.0,1.0,2.0,
