season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,1131,19236,John Ruddy,john-ruddy,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,6562,19624,João Moutinho,joao-moutinho,M,False,1.0,,5.0,35.0,24.0,58.0,,1.0,6.0,,,,,,,,,4.0,,,,,,,,,,,85.0,,,,,,,8.0,,6.9,,,1.0,1.0,1.0,4.0,,7.0,,43.0,24.0,63.0,1,1.0,74.0,,1.0,1.0,
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,17737,38533,Rui Patrício,rui-patricio,G,False,,,2.0,2.0,7.0,9.0,,,7.0,,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,6.0,,6.4,2.0,3.0,,,,,,8.0,,8.0,7.0,15.0,0,,21.0,,,,
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,22100,41727,Ryan Bennett,ryan-bennett,D,False,,,2.0,16.0,36.0,52.0,6.0,5.0,7.0,1.0,,,,,,,7.0,8.0,,,2.0,,,,,1.0,2.0,,90.0,,,,,,,16.0,,7.0,,,,7.0,1.0,,,6.0,,21.0,47.0,68.0,0,2.0,80.0,,,1.0,1.0
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,98449,94147,Conor Coady,conor-coady,D,False,,,9.0,17.0,41.0,58.0,1.0,2.0,4.0,,,,,,,,1.0,3.0,,,,,,,,,,,90.0,,,,,,,5.0,,6.7,,,,2.0,,,,11.0,,19.0,44.0,63.0,0,1.0,67.0,,,,
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,138891,165808,Hélder Costa,helder-costa,F,False,,,,6.0,6.0,12.0,2.0,,3.0,,,,,,,1.0,5.0,4.0,,,1.0,,,,,,,,71.0,1.0,,,,,,9.0,,6.8,,,1.0,,2.0,3.0,,,,12.0,6.0,15.0,2,2.0,32.0,1.0,1.0,1.0,1.0
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,139310,90585,Willy Boly,willy-boly,D,False,,,1.0,24.0,33.0,57.0,1.0,4.0,9.0,,,,,,,2.0,3.0,9.0,,1.0,,,,,,1.0,,,90.0,,,,,,,15.0,,6.6,,,,5.0,,,,8.0,,30.0,38.0,68.0,0,5.0,87.0,1.0,,,4.0
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,143047,87835,Matt Doherty,matt-doherty,D,False,2.0,,,26.0,6.0,30.0,2.0,8.0,5.0,,,,,,,1.0,6.0,9.0,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,21.0,,6.7,,,,5.0,2.0,5.0,,1.0,,36.0,10.0,41.0,0,1.0,75.0,3.0,,,
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,156027,141569,Léo Bonatini,leo-bonatini,F,True,,,,5.0,2.0,7.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,19.0,,,,,,,5.0,,6.6,,,,,1.0,1.0,,,,6.0,3.0,8.0,0,,13.0,2.0,,1.0,
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,187729,107613,Romain Saïss,romain-saiss,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
