matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attLgRight,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694909,1.0,2013-08-17 15:00:00,35,West Brom,Home,112.0,8.0,1.0,4.0,3.0,1.0,1.0,157.0,1.0,,5.0,11.0,8.0,33.0,265.0,,,23.0,13.0,18.0,4.0,1.0,,,1.0,,,1.0,,,,,,,,8.0,,,,,,7.0,4.0,4.0,,,,58.0,47.0,,1.0,,3.0,12.0,5.0,6.0,1.0,4.0,9.0,5.0,,7.0,1.0,41.0,59.0,3.0,38.0,26.0,,,,,,,68.0,15.0,24.0,,,7.0,4.0,1.0,156.0,,,,,,,5.0,,,,2.0,,,,1.0,26.0,,5.0,5.0,,5.0,74.0,81.0,40.0,8.0,,3.0,2.0,1.0,338.0,,,2.0,,,54.0,54.0,24.0,1.0,1.0,1.0,,,148.0,148.0,2.0,17.0,19.0,46.7,,,,12.0,0.0,,,,75.0,,2.0,2.0,,,5.0,1.0,,2.0,71.0,247.0,9.0,5.0,131.0,25.0,38.0,9.0,4.0,22.0,18.0,,126.0,6.0,254.0,2.0,,37.0,8.0,68.0,1.0,363.0,,0.0,11.0,16.0,,27.0,4.0,568.0,,12.0,5.0,4.0,16.0,0.0
694913,2.0,2013-08-24 15:00:00,35,West Brom,Away,110.0,6.0,,,,5.0,,99.0,4.0,1.0,6.0,8.0,10.0,15.0,209.0,,,10.0,19.0,19.0,6.0,1.0,,,,,,,,,,,,,,6.0,,,,,1.0,5.0,13.0,9.0,,,,39.0,50.0,,,,4.0,6.0,,15.0,,1.0,,2.0,,15.0,7.0,65.0,56.0,4.0,45.0,29.0,,,,,,,55.0,17.0,14.0,,,2.0,3.0,,144.0,,,,,,,7.0,,,,3.0,,,,2.0,29.0,,14.0,14.0,1.0,6.0,55.0,77.0,31.0,11.0,,5.0,2.0,2.0,277.0,,,8.0,5.0,,36.0,33.0,18.0,,,,,,135.0,135.0,1.0,24.0,18.0,37.7,,,1.0,6.0,0.0,,,,60.0,6.0,2.0,8.0,,,5.0,,,3.0,38.0,198.0,3.0,7.0,124.0,21.0,45.0,7.0,1.0,6.0,5.0,,84.0,8.0,180.0,3.0,1.0,43.0,11.0,54.0,1.0,298.0,,0.0,7.0,23.0,,14.0,1.0,500.0,,7.0,2.0,1.0,19.0,0.0
694928,3.0,2013-09-01 13:30:00,35,West Brom,Home,158.0,11.0,1.0,5.0,4.0,,3.0,235.0,2.0,,5.0,6.0,19.0,26.0,388.0,,,6.0,13.0,15.0,4.0,3.0,,,,,,,,,,,,,,7.0,,,,,3.0,3.0,6.0,6.0,,,,74.0,63.0,1.0,1.0,,1.0,14.0,3.0,9.0,,2.0,9.0,3.0,,8.0,,50.0,57.0,1.0,29.0,23.0,,,,,,,56.0,10.0,14.0,,,6.0,6.0,,147.0,,,,,,,8.0,,,,1.0,,,,,23.0,,16.0,16.0,2.0,6.0,120.0,77.0,54.0,5.0,,5.0,2.0,1.0,442.0,,,4.0,1.0,,79.0,29.0,17.0,,,,,,122.0,122.0,7.0,23.0,26.0,42.0,,,1.0,14.0,0.0,,,,116.0,1.0,1.0,2.0,,,6.0,,,3.0,108.0,375.0,5.0,7.0,168.0,21.0,29.0,26.0,2.0,20.0,18.0,,151.0,3.0,309.0,2.0,,15.0,21.0,39.0,3.0,457.0,1.0,0.0,10.0,14.0,,8.0,4.0,641.0,,7.0,16.0,2.0,11.0,0.0
694933,4.0,2013-09-14 15:00:00,35,West Brom,Away,152.0,9.0,2.0,11.0,9.0,2.0,,177.0,7.0,1.0,4.0,6.0,16.0,27.0,318.0,,1.0,18.0,14.0,18.0,10.0,,,,1.0,,,1.0,,,1.0,,,,,10.0,,,,,,6.0,5.0,7.0,,,,59.0,48.0,3.0,2.0,1.0,4.0,15.0,2.0,7.0,1.0,5.0,12.0,9.0,1.0,10.0,1.0,45.0,45.0,4.0,38.0,23.0,,,,,,,58.0,12.0,9.0,,,,,1.0,140.0,1.0,1.0,1.0,,1.0,,12.0,,,,1.0,,,,,23.0,,9.0,9.0,,4.0,95.0,68.0,43.0,4.0,,5.0,6.0,4.0,372.0,,,2.0,2.0,,62.0,51.0,23.0,,,,,,122.0,122.0,,19.0,23.0,43.4,,,,15.0,0.0,,,,93.0,1.0,,1.0,,,6.0,1.0,,3.0,64.0,308.0,5.0,11.0,165.0,20.0,38.0,8.0,5.0,26.0,21.0,,105.0,5.0,248.0,1.0,1.0,23.0,16.0,49.0,4.0,387.0,,0.0,12.0,15.0,1.0,20.0,1.0,584.0,,11.0,4.0,5.0,10.0,0.0
694948,5.0,2013-09-21 15:00:00,35,West Brom,Home,202.0,12.0,1.0,5.0,4.0,2.0,,214.0,2.0,,8.0,5.0,19.0,31.0,411.0,,,30.0,15.0,11.0,6.0,2.0,,,1.0,,,1.0,,,,,,,,9.0,,,,,1.0,3.0,3.0,4.0,,,,66.0,61.0,2.0,2.0,2.0,5.0,12.0,3.0,3.0,,5.0,14.0,4.0,1.0,18.0,,49.0,41.0,5.0,41.0,30.0,,,,,,,55.0,9.0,10.0,,2.0,3.0,1.0,1.0,150.0,1.0,,1.0,1.0,,,4.0,,,3.0,4.0,,,,,30.0,1.0,10.0,10.0,1.0,8.0,122.0,84.0,47.0,6.0,2.0,5.0,4.0,4.0,465.0,,,5.0,2.0,,63.0,84.0,14.0,,,,,,129.0,129.0,6.0,19.0,23.0,54.1,,,,12.0,0.0,,,,141.0,,,,,,6.0,,,3.0,89.0,402.0,3.0,9.0,214.0,24.0,41.0,13.0,5.0,24.0,19.0,,125.0,7.0,289.0,4.0,,22.0,19.0,53.0,4.0,479.0,1.0,0.0,13.0,14.0,2.0,31.0,0.0,702.0,,8.0,8.0,5.0,10.0,0.0
694955,6.0,2013-09-28 15:00:00,35,West Brom,Away,100.0,14.0,3.0,7.0,4.0,4.0,2.0,190.0,2.0,1.0,4.0,14.0,14.0,37.0,283.0,,,14.0,14.0,22.0,6.0,1.0,,,,,1.0,1.0,,,,,,,1.0,9.0,,1.0,,,,1.0,8.0,6.0,,,,59.0,55.0,3.0,2.0,1.0,4.0,17.0,,16.0,,8.0,7.0,1.0,,14.0,2.0,63.0,58.0,4.0,35.0,20.0,,,,,,,40.0,14.0,10.0,1.0,,3.0,2.0,1.0,137.0,2.0,,1.0,2.0,,,6.0,,,2.0,1.0,,,,,20.0,1.0,6.0,6.0,,4.0,82.0,78.0,48.0,5.0,1.0,6.0,3.0,4.0,348.0,,,5.0,3.0,,51.0,69.0,16.0,,,,,,141.0,141.0,1.0,20.0,23.0,40.9,1.0,,2.0,17.0,0.0,,,,90.0,2.0,3.0,5.0,,,8.0,,,3.0,78.0,267.0,10.0,9.0,122.0,25.0,35.0,19.0,7.0,17.0,10.0,,114.0,16.0,263.0,1.0,1.0,39.0,16.0,62.0,1.0,368.0,1.0,0.0,12.0,13.0,,21.0,2.0,568.0,,10.0,12.0,8.0,8.0,0.0
694970,7.0,2013-10-06 16:00:00,35,West Brom,Home,163.0,17.0,,4.0,4.0,1.0,,182.0,2.0,,9.0,8.0,14.0,28.0,341.0,,1.0,11.0,17.0,14.0,10.0,,1.0,,,,,,,1.0,,,,,1.0,9.0,,,,,2.0,2.0,4.0,10.0,5.0,7.0,,63.0,65.0,2.0,2.0,,4.0,7.0,2.0,8.0,,6.0,17.0,3.0,,15.0,2.0,51.0,55.0,4.0,23.0,10.0,,,,,,,72.0,6.0,11.0,,,3.0,2.0,,162.0,1.0,,1.0,,1.0,,9.0,,,,2.0,,,,,10.0,,18.0,18.0,4.0,9.0,76.0,74.0,42.0,2.0,1.0,5.0,6.0,4.0,397.0,,,2.0,2.0,,65.0,63.0,29.0,,,,,,138.0,138.0,3.0,26.0,24.0,44.1,,2.0,1.0,15.0,0.0,,,,118.0,1.0,3.0,4.0,,,6.0,,,3.0,89.0,329.0,7.0,12.0,170.0,27.0,23.0,22.0,6.0,28.0,22.0,,141.0,9.0,277.0,2.0,,24.0,16.0,52.0,4.0,419.0,,0.0,12.0,15.0,2.0,13.0,1.0,622.0,20.0,6.0,15.0,6.0,14.0,0.0
694977,8.0,2013-10-19 15:00:00,35,West Brom,Away,160.0,6.0,2.0,6.0,4.0,3.0,1.0,165.0,8.0,1.0,8.0,6.0,14.0,11.0,319.0,,,21.0,21.0,19.0,9.0,1.0,,,,,,,,,,,,,2.0,9.0,,,,,1.0,,5.0,4.0,,,,53.0,60.0,3.0,3.0,,3.0,19.0,2.0,6.0,1.0,6.0,13.0,3.0,,15.0,1.0,56.0,54.0,3.0,30.0,15.0,,,,,,,52.0,10.0,12.0,,,1.0,1.0,,137.0,,,,,,,13.0,,,,2.0,,,,,15.0,,22.0,22.0,3.0,8.0,101.0,67.0,40.0,6.0,,5.0,5.0,5.0,384.0,,,,5.0,,54.0,58.0,13.0,,,,,,152.0,152.0,2.0,19.0,28.0,50.3,,,,19.0,0.0,,,,108.0,1.0,2.0,3.0,1.0,,5.0,,,3.0,63.0,307.0,9.0,10.0,180.0,20.0,30.0,16.0,5.0,22.0,17.0,1.0,101.0,12.0,241.0,2.0,1.0,18.0,15.0,30.0,2.0,399.0,1.0,0.0,12.0,14.0,3.0,27.0,0.0,639.0,,17.0,10.0,6.0,14.0,0.0
694984,9.0,2013-10-26 15:00:00,35,West Brom,Away,161.0,18.0,4.0,5.0,1.0,,,184.0,9.0,,3.0,6.0,11.0,44.0,340.0,,1.0,14.0,12.0,18.0,8.0,2.0,2.0,,,,,,,,,,,,,9.0,1.0,,,,3.0,2.0,8.0,10.0,11.0,4.0,,58.0,44.0,1.0,1.0,1.0,2.0,7.0,5.0,15.0,,9.0,12.0,,,15.0,1.0,57.0,56.0,2.0,18.0,6.0,,,0.817556,2.08356,1.1062,2.7053,59.0,11.0,11.0,,,3.0,,,169.0,,,,,,,13.0,,,,,,,,,6.0,,19.0,19.0,4.0,3.0,98.0,82.0,52.0,3.0,1.0,6.0,4.0,3.0,396.0,,,1.0,1.0,,71.0,37.0,32.0,,,,,1.0,137.0,137.0,2.0,32.0,5.0,45.2,,,,19.0,0.0,,,,104.0,2.0,1.0,3.0,,,7.0,1.0,1.0,3.0,88.0,312.0,7.0,10.0,184.0,32.0,18.0,16.0,8.0,20.0,12.0,,131.0,10.0,265.0,,,16.0,12.0,59.0,,429.0,,0.0,15.0,18.0,1.0,17.0,2.0,605.0,26.0,8.0,10.0,9.0,11.0,0.0
694998,10.0,2013-11-02 15:00:00,35,West Brom,Home,141.0,13.0,3.0,4.0,1.0,5.0,,174.0,6.0,2.0,8.0,12.0,6.0,31.0,311.0,1.0,,14.0,26.0,25.0,6.0,,,,,,,,,,,,,,,6.0,,,,,1.0,2.0,8.0,4.0,,,,63.0,63.0,1.0,,1.0,,16.0,2.0,9.0,,10.0,15.0,4.0,1.0,15.0,2.0,69.0,58.0,,24.0,8.0,,,,,,,81.0,11.0,8.0,1.0,,1.0,1.0,,168.0,2.0,1.0,2.0,1.0,1.0,,9.0,,,1.0,2.0,,,,,8.0,,17.0,17.0,,8.0,92.0,90.0,49.0,3.0,,3.0,5.0,4.0,405.0,,,3.0,,,61.0,57.0,21.0,,,,,,177.0,177.0,6.0,21.0,26.0,49.8,,,2.0,16.0,0.0,,,,92.0,4.0,,4.0,,,3.0,,,3.0,91.0,304.0,9.0,8.0,164.0,24.0,24.0,16.0,10.0,30.0,20.0,,145.0,16.0,281.0,2.0,2.0,38.0,8.0,63.0,2.0,415.0,2.0,0.0,9.0,17.0,,18.0,0.0,628.0,,15.0,8.0,10.0,14.0,0.0
