matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360477,1.0,2011-08-14 16:00:00,35,West Brom,Home,103.0,21.0,2.0,3.0,1.0,3.0,,175.0,4.0,,,12.0,25.0,21.0,275.0,,,13.0,8.0,12.0,11.0,,,,,,,1.0,,,14.0,,,,,,,1.0,7.0,5.0,,56.0,53.0,,,,7.0,,6.0,11.0,,6.0,4.0,4.0,,10.0,,50.0,40.0,7.0,16.0,6.0,,,62.0,19.0,10.0,1.0,,4.0,3.0,,124.0,1.0,,1.0,1.0,,,9.0,,,1.0,,,,,1.0,9.0,,14.0,9.0,2.0,,76.0,73.0,43.0,5.0,,5.0,7.0,3.0,,,4.0,4.0,1.0,49.0,52.0,15.0,,,,,,135.0,122.0,1.0,31.0,20.0,40.8,,3.0,,0.0,,,,90.0,,,,,,,7.0,,2.0,82.0,12.0,117.0,37.0,29.0,8.0,6.0,17.0,11.0,,125.0,8.0,246.0,,,28.0,27.0,38.0,1.0,346.0,,0.0,16.0,14.0,,17.0,3.0,522.0,9.0,4.0,6.0,10.0,0.0
360482,2.0,2011-08-20 17:30:00,35,West Brom,Away,112.0,17.0,1.0,4.0,3.0,3.0,,114.0,6.0,1.0,8.0,10.0,11.0,27.0,222.0,,2.0,13.0,13.0,12.0,5.0,,1.0,,,,,,,1.0,6.0,,,,,,,,16.0,8.0,,47.0,63.0,1.0,1.0,1.0,7.0,,,16.0,,4.0,3.0,6.0,,17.0,4.0,65.0,51.0,7.0,12.0,4.0,,,57.0,9.0,14.0,1.0,,1.0,1.0,,118.0,,,,,,,12.0,,,1.0,3.0,,,,,13.0,,21.0,19.0,4.0,8.0,66.0,79.0,41.0,7.0,,2.0,3.0,4.0,,,7.0,,,62.0,29.0,20.0,,,,,,155.0,142.0,,29.0,20.0,34.3,,,,0.0,,,,69.0,5.0,1.0,,,1.0,1.0,2.0,,2.0,55.0,5.0,128.0,39.0,25.0,14.0,4.0,14.0,10.0,1.0,101.0,10.0,186.0,3.0,2.0,26.0,15.0,57.0,6.0,300.0,,0.0,6.0,21.0,5.0,15.0,4.0,506.0,13.0,4.0,4.0,18.0,0.0
360497,3.0,2011-08-28 15:00:00,35,West Brom,Home,181.0,24.0,2.0,5.0,3.0,4.0,,146.0,5.0,1.0,5.0,7.0,14.0,32.0,322.0,,,24.0,18.0,11.0,8.0,2.0,,,1.0,,1.0,,,,11.0,,,,,,,1.0,2.0,3.0,,55.0,72.0,1.0,1.0,,3.0,,3.0,4.0,,5.0,15.0,2.0,,9.0,,49.0,53.0,3.0,8.0,6.0,,,69.0,10.0,11.0,,,3.0,2.0,1.0,152.0,,,,,,,11.0,,,,,,,,1.0,12.0,,14.0,8.0,,6.0,107.0,90.0,45.0,1.0,,6.0,4.0,4.0,,,,2.0,,65.0,45.0,13.0,,,,,,178.0,169.0,,35.0,26.0,58.9,,1.0,,0.0,,,,109.0,,,,,3.0,,9.0,,3.0,65.0,10.0,209.0,48.0,17.0,18.0,4.0,23.0,19.0,,115.0,12.0,237.0,1.0,2.0,30.0,15.0,68.0,4.0,423.0,,0.0,16.0,22.0,1.0,28.0,0.0,624.0,15.0,9.0,5.0,16.0,0.0
360504,4.0,2011-09-11 13:30:00,35,West Brom,Away,131.0,20.0,3.0,6.0,3.0,3.0,,151.0,6.0,1.0,3.0,8.0,16.0,22.0,276.0,,1.0,14.0,10.0,12.0,9.0,2.0,1.0,,,,,,,,11.0,,,1.0,,1.0,,,8.0,10.0,,44.0,71.0,2.0,3.0,1.0,3.0,,3.0,8.0,,3.0,7.0,1.0,,13.0,2.0,54.0,43.0,3.0,21.0,7.0,,,79.0,11.0,11.0,1.0,,4.0,2.0,,172.0,,,,,,,15.0,,,1.0,2.0,,,,1.0,18.0,1.0,15.0,11.0,,3.0,94.0,96.0,45.0,1.0,,4.0,7.0,6.0,,,3.0,2.0,,45.0,65.0,21.0,,,,,1.0,199.0,183.0,1.0,27.0,28.0,48.2,1.0,,,0.0,,,,83.0,1.0,2.0,,,1.0,1.0,6.0,1.0,3.0,79.0,11.0,169.0,41.0,37.0,22.0,3.0,13.0,10.0,1.0,132.0,17.0,237.0,2.0,1.0,31.0,18.0,50.0,3.0,393.0,,0.0,15.0,11.0,3.0,18.0,2.0,607.0,15.0,9.0,3.0,7.0,0.0
360516,5.0,2011-09-17 15:00:00,35,West Brom,Away,179.0,19.0,3.0,4.0,1.0,2.0,,232.0,2.0,,4.0,5.0,17.0,19.0,407.0,,,16.0,8.0,8.0,9.0,3.0,,,,1.0,1.0,,1.0,,11.0,,,,,,,,7.0,3.0,,65.0,58.0,,1.0,,2.0,,5.0,6.0,,8.0,12.0,3.0,,12.0,,45.0,37.0,2.0,8.0,4.0,,1.0,74.0,9.0,4.0,,,2.0,,1.0,158.0,,,,,,,4.0,,,,,,,,,8.0,,18.0,13.0,,4.0,118.0,72.0,50.0,2.0,,4.0,8.0,5.0,,,3.0,1.0,,62.0,45.0,20.0,1.0,1.0,1.0,,,139.0,132.0,2.0,22.0,29.0,46.3,,,,0.0,,,,135.0,1.0,,,,1.0,,5.0,1.0,3.0,118.0,12.0,190.0,26.0,15.0,15.0,8.0,23.0,15.0,,159.0,8.0,309.0,,,13.0,17.0,30.0,2.0,476.0,,0.0,15.0,20.0,,18.0,2.0,654.0,15.0,5.0,8.0,14.0,0.0
360527,6.0,2011-09-24 15:00:00,35,West Brom,Home,166.0,22.0,,4.0,4.0,1.0,1.0,155.0,4.0,,6.0,4.0,17.0,23.0,317.0,,1.0,11.0,10.0,8.0,6.0,,,,,,,,,,9.0,,,,,1.0,,,8.0,10.0,,42.0,67.0,1.0,1.0,,1.0,,3.0,6.0,,1.0,9.0,9.0,,14.0,3.0,46.0,60.0,1.0,7.0,5.0,,,70.0,6.0,15.0,,,3.0,4.0,,148.0,,,,,,,11.0,,,,2.0,,,,,8.0,1.0,16.0,10.0,,6.0,100.0,87.0,51.0,1.0,,2.0,4.0,3.0,,,4.0,1.0,,48.0,38.0,25.0,,,,,,150.0,144.0,1.0,32.0,26.0,43.1,1.0,,,0.0,,,,98.0,2.0,3.0,,,2.0,,3.0,,2.0,72.0,6.0,182.0,35.0,13.0,18.0,1.0,23.0,22.0,,110.0,7.0,229.0,2.0,,18.0,19.0,41.0,6.0,388.0,,0.0,9.0,29.0,3.0,15.0,0.0,582.0,12.0,8.0,1.0,20.0,0.0
360535,7.0,2011-10-01 15:00:00,35,West Brom,Away,151.0,24.0,3.0,3.0,1.0,2.0,,166.0,5.0,,6.0,7.0,26.0,24.0,314.0,,,17.0,21.0,16.0,3.0,2.0,,,,,,,,,4.0,,,,,,,1.0,8.0,6.0,,56.0,65.0,,,1.0,1.0,,3.0,5.0,,4.0,9.0,8.0,,14.0,1.0,61.0,47.0,1.0,16.0,6.0,,,67.0,16.0,9.0,1.0,,2.0,2.0,,166.0,1.0,1.0,1.0,,1.0,,9.0,,,1.0,2.0,,,,2.0,13.0,,14.0,10.0,2.0,7.0,90.0,82.0,44.0,7.0,1.0,3.0,3.0,3.0,,,1.0,1.0,,44.0,57.0,25.0,,,,,,174.0,161.0,2.0,26.0,27.0,48.1,,,,0.0,,,,90.0,4.0,1.0,,,,,3.0,,2.0,88.0,6.0,173.0,39.0,29.0,11.0,4.0,22.0,19.0,,128.0,8.0,251.0,2.0,,26.0,29.0,47.0,3.0,402.0,1.0,0.0,9.0,18.0,1.0,21.0,0.0,607.0,20.0,4.0,4.0,10.0,0.0
360547,8.0,2011-10-16 12:00:00,35,West Brom,Home,98.0,12.0,,1.0,1.0,4.0,,128.0,4.0,,4.0,14.0,14.0,26.0,225.0,1.0,,7.0,13.0,14.0,13.0,,1.0,,,,,,,,18.0,,,,,,,,16.0,3.0,,59.0,59.0,1.0,,1.0,5.0,,5.0,1.0,1.0,2.0,4.0,,,8.0,5.0,42.0,43.0,5.0,14.0,9.0,,,67.0,14.0,12.0,1.0,,2.0,,,149.0,2.0,,2.0,2.0,,,10.0,,,2.0,2.0,,,,,18.0,,12.0,10.0,1.0,4.0,45.0,88.0,38.0,11.0,1.0,5.0,10.0,7.0,,,7.0,1.0,,44.0,33.0,16.0,,,,,,152.0,139.0,,33.0,18.0,42.0,,,,0.0,,,,58.0,7.0,1.0,,,,1.0,6.0,,3.0,65.0,15.0,124.0,31.0,27.0,12.0,1.0,5.0,4.0,1.0,100.0,9.0,192.0,2.0,,36.0,15.0,53.0,9.0,311.0,1.0,0.0,18.0,11.0,,15.0,0.0,492.0,11.0,6.0,3.0,8.0,0.0
360550,9.0,2011-10-22 15:00:00,35,West Brom,Away,159.0,18.0,4.0,9.0,5.0,6.0,1.0,220.0,3.0,1.0,5.0,7.0,27.0,23.0,370.0,,,24.0,7.0,18.0,5.0,2.0,,,1.0,,1.0,,,,6.0,,1.0,,,,,,4.0,4.0,,63.0,59.0,3.0,3.0,1.0,4.0,,5.0,7.0,,8.0,13.0,5.0,1.0,14.0,,50.0,50.0,4.0,8.0,3.0,1.0,,66.0,11.0,11.0,,,5.0,3.0,1.0,171.0,2.0,2.0,2.0,,2.0,,9.0,,,,,,,,2.0,6.0,,7.0,4.0,,5.0,99.0,89.0,54.0,3.0,1.0,1.0,8.0,4.0,,,2.0,3.0,,70.0,81.0,18.0,1.0,1.0,1.0,,1.0,172.0,165.0,2.0,19.0,32.0,61.5,,,,0.0,,,,125.0,,,,,,,4.0,1.0,2.0,108.0,9.0,179.0,34.0,15.0,17.0,6.0,27.0,21.0,,152.0,8.0,306.0,,1.0,22.0,30.0,40.0,5.0,458.0,,0.0,13.0,17.0,1.0,27.0,3.0,653.0,15.0,4.0,8.0,15.0,0.0
360567,10.0,2011-10-29 17:30:00,35,West Brom,Home,91.0,27.0,1.0,3.0,2.0,,,186.0,5.0,1.0,6.0,9.0,16.0,29.0,274.0,,,11.0,16.0,13.0,8.0,1.0,,,,,1.0,,,,8.0,,,,,,,1.0,15.0,3.0,,43.0,55.0,,,,2.0,,7.0,3.0,,3.0,8.0,7.0,,12.0,1.0,49.0,37.0,2.0,19.0,8.0,,,81.0,12.0,9.0,,,3.0,1.0,1.0,162.0,,,,,,,13.0,,,,1.0,,,,1.0,11.0,,23.0,17.0,3.0,7.0,83.0,93.0,45.0,10.0,,4.0,5.0,1.0,,,2.0,1.0,,66.0,46.0,27.0,1.0,1.0,1.0,,,157.0,153.0,1.0,20.0,23.0,42.3,,3.0,,0.0,,,,81.0,2.0,,,,,,4.0,,3.0,112.0,9.0,108.0,43.0,23.0,9.0,3.0,19.0,16.0,,168.0,10.0,280.0,1.0,1.0,25.0,16.0,53.0,3.0,369.0,,0.0,12.0,13.0,,14.0,1.0,549.0,7.0,2.0,3.0,7.0,0.0
