matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855176,1,2016-08-13 15:00:00,35,West Brom,Away,61.0,15.0,3.0,9.0,6.0,2.0,3.0,91.0,3.0,,2.0,10.0,7.0,32.0,143.0,,,28.0,21.0,21.0,5.0,5.0,5.0,,,,,,,,,,,5.0,,,,,3.0,8.0,7.0,7.0,8.0,5.0,33.0,62.0,,,,3.0,20.0,2.0,8.0,,,6.0,8.0,6.0,,21.0,2.0,69.0,55.0,3.0,17.0,12.0,,,61.0,15.0,12.0,1.0,1.0,3.0,,134.0,1.0,1.0,1.0,,1.0,,8.0,,1.0,1.0,15.0,,19.0,19.0,2.0,2.0,40.0,86.0,30.0,3.0,,7.0,4.0,3.0,217.0,3.0,2.0,,26.0,60.0,26.0,,,,,167.0,167.0,2.0,19.0,26.0,37.7,,,,,20.0,0.0,38.0,1.0,3.0,4.0,1.0,,8.0,,2.0,46.0,132.0,13.0,11.0,85.0,27.0,23.0,12.0,4.0,21.0,17.0,,92.0,9.0,181.0,1.0,,41.0,7.0,87.0,2.0,245.0,1.0,0.0,13.0,18.0,,34.0,2.0,476.0,21.0,15.0,5.0,6.0,9.0,0.0
855190,2,2016-08-20 15:00:00,35,West Brom,Home,91.0,11.0,3.0,8.0,5.0,2.0,1.0,91.0,1.0,1.0,4.0,7.0,,23.0,174.0,,,10.0,13.0,14.0,5.0,2.0,4.0,,,1.0,,,1.0,,,,1.0,4.0,,,,,2.0,12.0,10.0,3.0,8.0,3.0,37.0,62.0,3.0,2.0,1.0,,17.0,2.0,16.0,,,7.0,6.0,5.0,1.0,12.0,3.0,60.0,59.0,,16.0,12.0,,,58.0,16.0,9.0,,3.0,2.0,1.0,142.0,1.0,1.0,1.0,,1.0,,7.0,,,1.0,12.0,,17.0,17.0,1.0,4.0,60.0,58.0,22.0,4.0,,2.0,6.0,4.0,261.0,1.0,3.0,,35.0,38.0,26.0,,,,,156.0,156.0,2.0,34.0,18.0,33.6,,3.0,,,17.0,0.0,44.0,5.0,,5.0,,,5.0,,3.0,51.0,167.0,6.0,8.0,123.0,37.0,17.0,18.0,5.0,18.0,13.0,,103.0,8.0,178.0,,1.0,20.0,,66.0,,283.0,,0.0,11.0,23.0,,13.0,3.0,466.0,22.0,15.0,14.0,7.0,15.0,0.0
855201,3,2016-08-28 13:30:00,35,West Brom,Home,115.0,12.0,3.0,7.0,4.0,1.0,,151.0,2.0,,2.0,12.0,9.0,28.0,259.0,,,15.0,31.0,21.0,6.0,3.0,4.0,,,,,,,,,1.0,,9.0,,,,,,5.0,5.0,2.0,8.0,5.0,50.0,66.0,,,,4.0,16.0,5.0,4.0,,,5.0,9.0,5.0,,15.0,,66.0,59.0,4.0,6.0,5.0,,,65.0,12.0,10.0,,3.0,3.0,,143.0,,,,,,,6.0,,,1.0,10.0,,11.0,11.0,1.0,2.0,79.0,77.0,42.0,4.0,,6.0,3.0,2.0,331.0,1.0,1.0,,64.0,40.0,37.0,,,,,151.0,151.0,2.0,29.0,30.0,41.0,,,,,16.0,0.0,78.0,2.0,,2.0,,,6.0,,3.0,67.0,249.0,6.0,9.0,135.0,30.0,11.0,19.0,5.0,22.0,17.0,,113.0,9.0,237.0,,,31.0,10.0,65.0,1.0,350.0,,0.0,13.0,16.0,,20.0,1.0,527.0,22.0,16.0,12.0,5.0,13.0,0.0
855202,4,2016-09-10 15:00:00,35,West Brom,Away,85.0,14.0,3.0,6.0,3.0,3.0,,107.0,4.0,1.0,3.0,5.0,2.0,31.0,186.0,,1.0,17.0,17.0,16.0,6.0,1.0,3.0,,,,,,,,,,,9.0,,,,,,3.0,8.0,4.0,6.0,6.0,41.0,66.0,1.0,2.0,,2.0,21.0,4.0,15.0,,,5.0,7.0,4.0,,12.0,3.0,58.0,45.0,2.0,22.0,11.0,,,64.0,11.0,8.0,,1.0,1.0,,116.0,,,,,,,10.0,,1.0,,12.0,1.0,16.0,16.0,6.0,3.0,54.0,71.0,32.0,10.0,,2.0,5.0,2.0,243.0,2.0,5.0,,37.0,42.0,26.0,,,,,140.0,140.0,4.0,28.0,22.0,36.5,,,,,21.0,0.0,61.0,2.0,2.0,4.0,,,6.0,,3.0,58.0,175.0,12.0,7.0,102.0,30.0,25.0,8.0,5.0,17.0,12.0,,110.0,10.0,187.0,1.0,1.0,18.0,2.0,73.0,1.0,272.0,1.0,0.0,12.0,16.0,1.0,22.0,3.0,463.0,19.0,17.0,5.0,5.0,12.0,0.0
855221,5,2016-09-17 15:00:00,35,West Brom,Home,93.0,11.0,1.0,4.0,3.0,3.0,,94.0,2.0,1.0,2.0,8.0,1.0,26.0,183.0,1.0,,9.0,12.0,8.0,3.0,1.0,2.0,1.0,,,,,,,,,,5.0,1.0,,,,,8.0,15.0,8.0,6.0,2.0,38.0,66.0,2.0,,3.0,4.0,13.0,,16.0,,,2.0,5.0,3.0,,10.0,1.0,64.0,34.0,4.0,17.0,12.0,,,43.0,14.0,4.0,1.0,3.0,1.0,,115.0,3.0,,1.0,2.0,1.0,1.0,11.0,2.0,5.0,,12.0,,13.0,13.0,1.0,3.0,52.0,72.0,31.0,6.0,3.0,2.0,5.0,6.0,231.0,9.0,1.0,,24.0,43.0,14.0,1.0,1.0,1.0,1.0,125.0,125.0,3.0,37.0,12.0,29.6,,,,,13.0,0.0,55.0,3.0,,3.0,,1.0,2.0,,3.0,51.0,172.0,6.0,7.0,113.0,17.0,17.0,18.0,2.0,11.0,9.0,2.0,77.0,6.0,158.0,5.0,1.0,31.0,1.0,71.0,1.0,260.0,1.0,0.0,8.0,17.0,,15.0,2.0,426.0,16.0,10.0,6.0,2.0,13.0,0.0
855228,6,2016-09-24 15:00:00,35,West Brom,Away,101.0,8.0,1.0,2.0,1.0,2.0,,121.0,2.0,1.0,1.0,11.0,4.0,22.0,220.0,1.0,,22.0,26.0,15.0,5.0,1.0,2.0,,,,,,,,,,,6.0,,,,,1.0,8.0,9.0,3.0,4.0,5.0,52.0,53.0,,,,,13.0,3.0,6.0,1.0,,6.0,5.0,6.0,,10.0,,64.0,46.0,,15.0,11.0,,,65.0,13.0,8.0,1.0,1.0,,,147.0,1.0,1.0,1.0,,1.0,,10.0,,1.0,,12.0,,11.0,11.0,3.0,1.0,50.0,73.0,26.0,6.0,,1.0,6.0,3.0,294.0,7.0,,,49.0,33.0,25.0,,,,,162.0,162.0,2.0,25.0,20.0,43.8,,,1.0,,13.0,0.0,70.0,1.0,,,,,3.0,,3.0,52.0,214.0,10.0,7.0,122.0,31.0,21.0,18.0,5.0,16.0,11.0,,102.0,9.0,213.0,1.0,1.0,31.0,4.0,74.0,1.0,319.0,2.0,0.0,9.0,14.0,,32.0,4.0,509.0,16.0,19.0,9.0,6.0,10.0,0.0
855237,7,2016-10-01 15:00:00,35,West Brom,Away,92.0,13.0,,3.0,3.0,2.0,,143.0,2.0,,4.0,13.0,,34.0,232.0,1.0,,17.0,19.0,18.0,9.0,,2.0,,,,,,,,1.0,,,15.0,,,,,,8.0,6.0,1.0,9.0,8.0,47.0,58.0,,,,5.0,13.0,3.0,7.0,,,5.0,9.0,14.0,,14.0,,55.0,43.0,5.0,26.0,18.0,,,64.0,13.0,7.0,1.0,,,,145.0,1.0,,,1.0,,,9.0,1.0,4.0,1.0,19.0,,10.0,10.0,1.0,4.0,62.0,75.0,40.0,6.0,,4.0,6.0,7.0,301.0,1.0,1.0,,38.0,66.0,31.0,,,,,156.0,156.0,1.0,27.0,21.0,44.0,,2.0,,,13.0,0.0,71.0,1.0,,2.0,,,7.0,,3.0,72.0,224.0,7.0,10.0,108.0,19.0,30.0,4.0,4.0,27.0,23.0,,120.0,16.0,244.0,4.0,,30.0,1.0,67.0,1.0,325.0,1.0,0.0,17.0,17.0,,23.0,3.0,523.0,29.0,14.0,1.0,5.0,13.0,0.0
855251,8,2016-10-15 15:00:00,35,West Brom,Home,55.0,6.0,2.0,4.0,2.0,2.0,,89.0,3.0,,2.0,11.0,5.0,22.0,140.0,,,12.0,14.0,9.0,3.0,1.0,3.0,,,,,,,,,,,5.0,,,,,,7.0,10.0,10.0,7.0,1.0,24.0,44.0,,1.0,1.0,4.0,19.0,1.0,13.0,,,5.0,6.0,9.0,,8.0,5.0,52.0,43.0,4.0,20.0,14.0,,,46.0,14.0,9.0,,,1.0,,102.0,,,,,,,12.0,,2.0,,15.0,1.0,11.0,11.0,1.0,2.0,47.0,60.0,20.0,8.0,1.0,2.0,2.0,4.0,202.0,9.0,3.0,,41.0,40.0,26.0,,,,,132.0,132.0,2.0,24.0,10.0,28.5,,2.0,,,19.0,0.0,55.0,3.0,4.0,7.0,,,3.0,,2.0,54.0,128.0,10.0,4.0,71.0,19.0,24.0,12.0,5.0,21.0,16.0,,95.0,10.0,178.0,2.0,,40.0,5.0,69.0,1.0,228.0,,0.0,8.0,16.0,,17.0,2.0,410.0,16.0,7.0,9.0,5.0,12.0,0.0
855258,9,2016-10-22 17:30:00,35,West Brom,Away,85.0,13.0,,3.0,3.0,4.0,2.0,122.0,3.0,2.0,,18.0,6.0,30.0,204.0,,,16.0,33.0,20.0,5.0,,2.0,,,,,,,,,,,4.0,,,,,1.0,4.0,14.0,7.0,4.0,3.0,57.0,55.0,1.0,,1.0,3.0,9.0,2.0,9.0,,,2.0,4.0,6.0,1.0,7.0,3.0,70.0,52.0,3.0,22.0,13.0,1.0,,65.0,13.0,9.0,,2.0,2.0,,144.0,1.0,,,1.0,,,14.0,,,1.0,14.0,,14.0,14.0,3.0,,59.0,80.0,40.0,3.0,,3.0,3.0,1.0,289.0,6.0,,,40.0,40.0,22.0,,,,,157.0,157.0,2.0,18.0,27.0,32.5,,,,,9.0,0.0,58.0,4.0,1.0,5.0,1.0,,4.0,,3.0,51.0,191.0,6.0,6.0,104.0,34.0,25.0,16.0,2.0,14.0,12.0,,108.0,21.0,228.0,,2.0,43.0,6.0,76.0,3.0,318.0,,0.0,7.0,18.0,1.0,18.0,3.0,493.0,14.0,11.0,7.0,2.0,12.0,0.0
855271,10,2016-10-29 15:00:00,35,West Brom,Home,122.0,10.0,,4.0,4.0,,1.0,102.0,5.0,1.0,2.0,12.0,,33.0,220.0,1.0,1.0,12.0,10.0,8.0,6.0,1.0,,,,,,1.0,1.0,,,,,7.0,,,,1.0,1.0,10.0,12.0,9.0,6.0,3.0,46.0,48.0,,,,,13.0,1.0,12.0,1.0,,1.0,8.0,5.0,,5.0,2.0,48.0,38.0,,17.0,9.0,1.0,,40.0,17.0,9.0,,3.0,2.0,1.0,112.0,,,,,,,7.0,,,1.0,9.0,1.0,9.0,9.0,2.0,2.0,55.0,62.0,35.0,7.0,,6.0,1.0,1.0,257.0,8.0,5.0,,42.0,35.0,21.0,,,,,103.0,103.0,2.0,22.0,18.0,30.1,1.0,,,,13.0,0.0,68.0,3.0,1.0,3.0,,,7.0,1.0,3.0,48.0,205.0,6.0,7.0,141.0,17.0,17.0,14.0,1.0,16.0,15.0,,71.0,3.0,156.0,,1.0,34.0,,65.0,3.0,281.0,1.0,0.0,9.0,12.0,1.0,12.0,4.0,431.0,19.0,12.0,9.0,1.0,8.0,0.0
