matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803165,1,2015-08-10 20:00:00,35,West Brom,Home,121.0,9.0,1.0,4.0,3.0,1.0,,150.0,2.0,1.0,2.0,15.0,4.0,22.0,267.0,,,13.0,12.0,6.0,5.0,1.0,,,2.0,,2.0,,,,,,6.0,,,,,,,9.0,11.0,9.0,,,47.0,56.0,,,,3.0,11.0,1.0,7.0,,,6.0,9.0,4.0,,8.0,4.0,40.0,39.0,3.0,15.0,8.0,,,47.0,12.0,9.0,,,6.0,3.0,2.0,114.0,,,,,,2.0,,2.0,,9.0,,16.0,16.0,2.0,2.0,87.0,60.0,42.0,6.0,,3.0,3.0,2.0,318.0,10.0,,,29.0,43.0,26.0,,,,,110.0,104.0,1.0,31.0,18.0,30.9,,,11.0,0.0,80.0,3.0,1.0,4.0,,,6.0,1.0,3.0,71.0,258.0,10.0,6.0,136.0,15.0,21.0,9.0,6.0,22.0,16.0,,98.0,7.0,214.0,2.0,1.0,32.0,4.0,45.0,2.0,328.0,,0.0,9.0,17.0,,16.0,4.0,502.0,,10.0,7.0,6.0,11.0,0.0
803181,2,2015-08-15 15:00:00,35,West Brom,Away,78.0,9.0,1.0,4.0,3.0,5.0,,120.0,7.0,,2.0,16.0,8.0,33.0,194.0,,1.0,9.0,18.0,26.0,4.0,1.0,1.0,,1.0,,1.0,,,,,,2.0,,,,,,,6.0,7.0,9.0,,,35.0,46.0,1.0,1.0,,6.0,19.0,1.0,9.0,,,4.0,11.0,2.0,,12.0,1.0,52.0,64.0,6.0,31.0,16.0,,,54.0,10.0,11.0,,1.0,2.0,,1.0,130.0,,,,,,16.0,,1.0,,17.0,,20.0,20.0,1.0,2.0,57.0,79.0,41.0,2.0,,4.0,1.0,,254.0,2.0,3.0,,33.0,65.0,22.0,,,,,144.0,136.0,1.0,23.0,14.0,36.1,,1.0,19.0,0.0,63.0,1.0,4.0,5.0,1.0,1.0,5.0,,3.0,53.0,174.0,8.0,5.0,93.0,13.0,39.0,7.0,3.0,16.0,13.0,1.0,94.0,14.0,208.0,1.0,,44.0,8.0,74.0,,285.0,,0.0,6.0,24.0,1.0,13.0,2.0,479.0,,10.0,4.0,4.0,19.0,0.0
803184,3,2015-08-23 13:30:00,35,West Brom,Home,130.0,15.0,1.0,6.0,5.0,,1.0,160.0,6.0,1.0,5.0,7.0,13.0,19.0,284.0,1.0,,16.0,19.0,16.0,8.0,2.0,,,,,1.0,,,,,,8.0,,1.0,,,,1.0,3.0,10.0,5.0,,,49.0,60.0,,1.0,,1.0,15.0,3.0,7.0,,,8.0,12.0,5.0,,9.0,2.0,43.0,45.0,1.0,10.0,6.0,,,60.0,9.0,11.0,,,4.0,1.0,1.0,147.0,2.0,,2.0,2.0,,10.0,2.0,,1.0,7.0,,15.0,15.0,2.0,5.0,79.0,71.0,30.0,7.0,2.0,6.0,6.0,6.0,344.0,3.0,4.0,,56.0,34.0,33.0,,,,1.0,140.0,135.0,5.0,23.0,22.0,43.9,,,15.0,0.0,98.0,,2.0,2.0,1.0,,6.0,,3.0,93.0,264.0,9.0,12.0,148.0,37.0,15.0,6.0,6.0,23.0,18.0,,133.0,6.0,248.0,,1.0,27.0,15.0,61.0,2.0,373.0,2.0,0.0,15.0,13.0,2.0,20.0,2.0,543.0,,10.0,6.0,8.0,9.0,0.0
803200,4,2015-08-29 15:00:00,35,West Brom,Away,124.0,23.0,1.0,7.0,6.0,,,277.0,6.0,,4.0,4.0,15.0,32.0,394.0,,,21.0,12.0,9.0,7.0,2.0,,,,,,,,,,,13.0,,,,,,2.0,4.0,3.0,10.0,8.0,7.0,56.0,53.0,1.0,,1.0,3.0,17.0,4.0,14.0,1.0,,5.0,15.0,9.0,,12.0,,52.0,40.0,3.0,24.0,17.0,,1.0,66.0,9.0,4.0,1.0,,1.0,,,128.0,1.0,,1.0,1.0,,9.0,1.0,,,18.0,,18.0,18.0,1.0,4.0,131.0,69.0,49.0,6.0,,4.0,6.0,5.0,438.0,4.0,,,87.0,61.0,40.0,,,,,121.0,119.0,3.0,22.0,23.0,50.9,,1.0,17.0,0.0,140.0,2.0,3.0,4.0,,,6.0,,3.0,117.0,381.0,8.0,10.0,137.0,34.0,26.0,15.0,4.0,28.0,24.0,,146.0,4.0,346.0,,1.0,21.0,15.0,57.0,3.0,455.0,,0.0,15.0,19.0,,25.0,4.0,660.0,22.0,12.0,9.0,5.0,15.0,0.0
803208,5,2015-09-12 15:00:00,35,West Brom,Home,95.0,14.0,1.0,3.0,2.0,2.0,,132.0,2.0,,3.0,9.0,6.0,28.0,224.0,,,13.0,20.0,21.0,6.0,1.0,,,,,,,,,,,6.0,,,,,,,3.0,10.0,5.0,,,42.0,67.0,,,,3.0,17.0,3.0,6.0,,1.0,4.0,11.0,1.0,,8.0,,42.0,52.0,3.0,20.0,12.0,,1.0,74.0,5.0,5.0,,,2.0,1.0,,162.0,,,,,,11.0,,4.0,,18.0,,9.0,9.0,1.0,3.0,68.0,90.0,41.0,5.0,,4.0,3.0,1.0,307.0,5.0,2.0,,35.0,52.0,23.0,,,,,169.0,161.0,1.0,26.0,28.0,35.1,,1.0,17.0,0.0,61.0,3.0,1.0,4.0,,,4.0,,3.0,71.0,213.0,8.0,7.0,114.0,36.0,28.0,10.0,4.0,17.0,13.0,,127.0,14.0,236.0,4.0,,24.0,6.0,74.0,1.0,333.0,,0.0,8.0,20.0,,17.0,1.0,509.0,,19.0,6.0,4.0,17.0,0.0
803220,6,2015-09-19 15:00:00,35,West Brom,Away,93.0,13.0,1.0,3.0,3.0,2.0,,130.0,1.0,,1.0,10.0,5.0,26.0,220.0,,,21.0,35.0,24.0,8.0,1.0,,,,,,,,,,,9.0,,,,,,,5.0,3.0,10.0,,,26.0,56.0,,,,3.0,17.0,3.0,12.0,,,7.0,9.0,4.0,,26.0,,87.0,57.0,3.0,35.0,23.0,,,65.0,11.0,10.0,1.0,,3.0,3.0,,135.0,1.0,,,1.0,,9.0,1.0,,1.0,24.0,,29.0,29.0,4.0,1.0,71.0,72.0,29.0,2.0,,1.0,9.0,6.0,280.0,5.0,1.0,,47.0,70.0,25.0,,,,,157.0,154.0,4.0,26.0,19.0,40.2,,,17.0,0.0,71.0,,3.0,3.0,,,1.0,1.0,3.0,63.0,211.0,10.0,10.0,107.0,21.0,38.0,12.0,6.0,21.0,16.0,,110.0,10.0,217.0,1.0,,38.0,5.0,73.0,1.0,303.0,,0.0,10.0,15.0,,33.0,3.0,534.0,,9.0,8.0,7.0,10.0,0.0
803227,7,2015-09-28 20:00:00,35,West Brom,Home,135.0,21.0,3.0,5.0,2.0,3.0,,159.0,4.0,,1.0,7.0,9.0,31.0,289.0,,1.0,23.0,15.0,21.0,5.0,,,,,,,,,,,,7.0,,,,,,,7.0,7.0,5.0,,,60.0,57.0,2.0,,2.0,1.0,22.0,1.0,5.0,,1.0,6.0,11.0,7.0,1.0,12.0,1.0,45.0,58.0,1.0,21.0,10.0,,1.0,69.0,9.0,7.0,1.0,,,,,164.0,2.0,1.0,2.0,1.0,1.0,11.0,1.0,,,10.0,,19.0,19.0,2.0,1.0,88.0,72.0,33.0,4.0,,3.0,4.0,4.0,371.0,3.0,,,45.0,62.0,27.0,,,,,159.0,158.0,4.0,28.0,23.0,46.0,,1.0,22.0,0.0,85.0,,1.0,1.0,1.0,,4.0,,3.0,89.0,272.0,12.0,7.0,158.0,40.0,22.0,16.0,6.0,24.0,18.0,,150.0,9.0,263.0,,,26.0,12.0,74.0,3.0,397.0,,0.0,9.0,19.0,2.0,24.0,0.0,589.0,,10.0,11.0,6.0,11.0,0.0
803240,8,2015-10-03 12:45:00,35,West Brom,Away,106.0,7.0,,1.0,1.0,5.0,,85.0,2.0,,4.0,8.0,,22.0,190.0,,,14.0,14.0,16.0,3.0,1.0,,,,,,,,,,,5.0,,,,,,2.0,9.0,8.0,13.0,,,40.0,52.0,,,,6.0,15.0,2.0,17.0,,,3.0,1.0,7.0,,14.0,2.0,60.0,66.0,6.0,28.0,18.0,,1.0,64.0,13.0,13.0,,,1.0,,,141.0,,,,,,10.0,,1.0,,19.0,,10.0,10.0,1.0,4.0,55.0,81.0,34.0,8.0,,2.0,2.0,2.0,269.0,6.0,1.0,,23.0,60.0,19.0,1.0,1.0,1.0,,158.0,151.0,2.0,24.0,15.0,39.6,,1.0,15.0,0.0,66.0,2.0,4.0,6.0,,,3.0,,3.0,42.0,175.0,9.0,4.0,138.0,20.0,35.0,17.0,3.0,11.0,8.0,,96.0,11.0,175.0,1.0,,31.0,,75.0,1.0,302.0,,0.0,7.0,22.0,,18.0,3.0,496.0,,7.0,15.0,3.0,12.0,0.0
803250,9,2015-10-17 15:00:00,35,West Brom,Home,138.0,29.0,,4.0,4.0,2.0,,214.0,1.0,,3.0,13.0,10.0,40.0,348.0,,,22.0,22.0,29.0,6.0,,,,,,,,,,,,9.0,,,,,,,7.0,4.0,5.0,,,57.0,51.0,,1.0,1.0,2.0,8.0,2.0,7.0,,1.0,1.0,19.0,4.0,,14.0,1.0,62.0,59.0,2.0,12.0,8.0,,,79.0,12.0,13.0,1.0,,2.0,,,151.0,,,,,,5.0,1.0,1.0,2.0,11.0,,11.0,11.0,1.0,3.0,115.0,75.0,40.0,5.0,,5.0,1.0,2.0,426.0,5.0,1.0,,80.0,76.0,29.0,,,,,171.0,165.0,4.0,17.0,23.0,56.2,,,8.0,0.0,129.0,1.0,1.0,2.0,,,5.0,,2.0,107.0,332.0,6.0,6.0,155.0,55.0,18.0,18.0,1.0,24.0,23.0,,167.0,7.0,321.0,1.0,,27.0,13.0,81.0,2.0,452.0,,0.0,9.0,9.0,,23.0,2.0,636.0,,13.0,8.0,1.0,8.0,0.0
803261,10,2015-10-24 15:00:00,35,West Brom,Away,74.0,9.0,1.0,5.0,4.0,2.0,,127.0,1.0,1.0,1.0,12.0,3.0,21.0,196.0,,,10.0,24.0,25.0,3.0,1.0,,,,,,,,,,,6.0,,,,,,,6.0,8.0,8.0,,,44.0,52.0,3.0,2.0,1.0,6.0,11.0,,10.0,,,3.0,10.0,6.0,,8.0,2.0,48.0,50.0,6.0,37.0,23.0,,,71.0,6.0,11.0,1.0,,2.0,1.0,,149.0,1.0,,1.0,1.0,,14.0,1.0,3.0,,25.0,,23.0,23.0,2.0,1.0,69.0,99.0,31.0,13.0,,3.0,2.0,4.0,285.0,4.0,2.0,,71.0,47.0,24.0,,,,,169.0,162.0,1.0,28.0,15.0,39.4,,4.0,11.0,0.0,54.0,2.0,1.0,3.0,,,3.0,,2.0,46.0,189.0,9.0,5.0,93.0,16.0,44.0,5.0,3.0,20.0,17.0,,102.0,9.0,243.0,3.0,1.0,55.0,3.0,87.0,,316.0,,0.0,7.0,10.0,2.0,16.0,2.0,502.0,,11.0,5.0,3.0,9.0,0.0
