matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOboxOwnGoal,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2128292,1.0,2020-09-13 14:00:00,35,West Brom,Home,142.0,22.0,,,,3.0,,113.0,2.0,,3.0,8.0,3.0,37.0,255.0,,,14.0,9.0,16.0,4.0,,,,,,,,1.0,,,,,,5.0,,,,1.0,8.0,11.0,2.0,3.0,4.0,,61.0,59.0,,,,2.0,12.0,3.0,9.0,,,2.0,5.0,2.0,,8.0,,46.0,35.0,2.0,13.0,10.0,,,,,,,46.0,52.0,12.0,9.0,,,1.0,,1.0,134.0,,,,,,,6.0,,,,,,,,1.0,10.0,,10.0,10.0,,,3.0,73.0,67.0,35.0,5.0,,2.0,2.0,1.0,313.0,,,2.0,,,59.0,45.0,12.0,2.0,2.0,2.0,,,134.0,134.0,7.0,25.0,22.0,35.8,,,,,12.0,0.0,,,,68.0,3.0,1.0,4.0,1.0,,3.0,,,3.0,26.0,56.0,241.0,6.0,4.0,161.0,42.0,13.0,12.0,2.0,9.0,7.0,,95.0,4.0,184.0,,,17.0,4.0,68.0,4.0,336.0,,0.0,7.0,7.0,,22.0,1.0,487.0,8.0,15.0,,3.0,2.0,5.0,0.0
2128299,2.0,2020-09-19 12:30:00,35,West Brom,Away,147.0,16.0,,2.0,2.0,2.0,,108.0,3.0,,8.0,4.0,3.0,18.0,253.0,,,5.0,12.0,14.0,3.0,,,1.0,1.0,,,,1.0,,,,,,5.0,,,,,7.0,13.0,4.0,2.0,4.0,,61.0,56.0,,,,5.0,14.0,1.0,7.0,,,1.0,3.0,1.0,,14.0,1.0,50.0,45.0,5.0,20.0,14.0,,1.0,,,,,20.0,41.0,11.0,8.0,,,2.0,1.0,1.0,132.0,1.0,,,1.0,,1.0,8.0,,,1.0,,,,,1.0,14.0,1.0,12.0,12.0,4.0,,8.0,62.0,56.0,31.0,11.0,2.0,,4.0,4.0,299.0,,,5.0,,,53.0,38.0,12.0,,,,,,117.0,117.0,8.0,28.0,8.0,28.7,,3.0,,,14.0,0.0,,,,67.0,1.0,1.0,2.0,,1.0,1.0,,,3.0,11.0,45.0,240.0,5.0,4.0,167.0,27.0,20.0,12.0,1.0,6.0,5.0,2.0,77.0,4.0,161.0,1.0,,18.0,3.0,49.0,1.0,322.0,,1.0,6.0,18.0,,8.0,0.0,491.0,15.0,19.0,,5.0,1.0,6.0,0.0
2128314,3.0,2020-09-26 17:30:00,35,West Brom,Home,91.0,10.0,1.0,4.0,3.0,,1.0,81.0,4.0,,3.0,5.0,5.0,17.0,168.0,1.0,,10.0,17.0,12.0,5.0,,2.0,,,,,,,,,,,,7.0,,,,,5.0,10.0,12.0,5.0,4.0,,43.0,56.0,1.0,,1.0,2.0,19.0,2.0,5.0,,,3.0,6.0,1.0,1.0,7.0,3.0,41.0,45.0,2.0,39.0,18.0,,,,,,,14.0,39.0,8.0,15.0,2.0,,3.0,4.0,,112.0,2.0,,2.0,1.0,1.0,,7.0,,,2.0,1.0,,,,1.0,18.0,,13.0,13.0,1.0,,3.0,47.0,54.0,16.0,9.0,,4.0,3.0,3.0,224.0,,,6.0,2.0,,33.0,47.0,15.0,,,,,,131.0,131.0,3.0,31.0,14.0,24.1,,2.0,,1.0,19.0,0.0,,,,47.0,4.0,3.0,7.0,2.0,,4.0,,,3.0,6.0,46.0,154.0,11.0,7.0,109.0,24.0,39.0,15.0,3.0,14.0,11.0,,77.0,5.0,154.0,1.0,,25.0,5.0,56.0,1.0,249.0,1.0,0.0,9.0,9.0,1.0,16.0,1.0,456.0,11.0,19.0,,10.0,3.0,4.0,0.0
2128324,4.0,2020-10-04 12:00:00,35,West Brom,Away,128.0,20.0,,1.0,1.0,2.0,1.0,99.0,5.0,2.0,4.0,4.0,5.0,23.0,226.0,,,13.0,13.0,12.0,1.0,2.0,,,,,,,,,,,,,3.0,,,,2.0,5.0,8.0,5.0,3.0,2.0,,47.0,64.0,,,,1.0,22.0,2.0,6.0,,,1.0,2.0,2.0,,14.0,3.0,50.0,54.0,1.0,16.0,8.0,,,,,,,27.0,48.0,10.0,17.0,,,4.0,5.0,,148.0,,,,,,,9.0,,,,,,,,,8.0,,17.0,17.0,3.0,,4.0,71.0,72.0,38.0,5.0,,1.0,2.0,2.0,295.0,,,1.0,2.0,,55.0,47.0,17.0,,,,,,165.0,165.0,3.0,27.0,28.0,38.4,,,,1.0,22.0,0.0,,,,59.0,4.0,1.0,6.0,,,1.0,,,3.0,13.0,47.0,203.0,16.0,3.0,161.0,38.0,16.0,16.0,,9.0,9.0,,88.0,5.0,173.0,,2.0,26.0,5.0,59.0,1.0,325.0,,0.0,5.0,18.0,1.0,21.0,1.0,535.0,9.0,26.0,,9.0,1.0,11.0,0.0
2128335,5.0,2020-10-19 17:30:00,35,West Brom,Home,186.0,17.0,2.0,6.0,4.0,3.0,,179.0,2.0,1.0,13.0,3.0,7.0,31.0,359.0,,1.0,18.0,25.0,29.0,10.0,1.0,8.0,,,,,,,,,,,,5.0,,,,,6.0,6.0,3.0,8.0,5.0,,79.0,66.0,,,,2.0,19.0,2.0,9.0,,1.0,8.0,12.0,3.0,,8.0,1.0,62.0,60.0,2.0,24.0,18.0,,,,,,,29.0,68.0,15.0,16.0,,,3.0,3.0,,188.0,,,,,,,6.0,,,,,,,,,18.0,,6.0,6.0,2.0,,13.0,107.0,88.0,41.0,2.0,,4.0,7.0,6.0,448.0,,,1.0,2.0,,102.0,56.0,26.0,,,,,,172.0,172.0,3.0,25.0,22.0,56.8,,,,,19.0,0.0,,,,103.0,2.0,2.0,4.0,,,5.0,1.0,,3.0,16.0,80.0,340.0,6.0,11.0,224.0,40.0,24.0,7.0,3.0,21.0,18.0,,131.0,7.0,274.0,,1.0,29.0,8.0,79.0,2.0,477.0,,0.0,13.0,14.0,1.0,25.0,2.0,674.0,22.0,15.0,,2.0,8.0,8.0,0.0
2128338,6.0,2020-10-26 17:30:00,35,West Brom,Away,198.0,20.0,,3.0,3.0,,,203.0,5.0,,4.0,3.0,4.0,30.0,398.0,,1.0,20.0,22.0,17.0,5.0,,1.0,,,,,,,1.0,,,,,8.0,,,1.0,,4.0,4.0,2.0,3.0,6.0,,87.0,57.0,,,,2.0,10.0,1.0,7.0,,,2.0,12.0,4.0,,10.0,1.0,55.0,57.0,2.0,18.0,11.0,,,,,,,32.0,66.0,7.0,14.0,1.0,,1.0,1.0,,161.0,,,,,,,5.0,,,1.0,,,,,,11.0,1.0,12.0,12.0,1.0,,4.0,107.0,69.0,40.0,6.0,,4.0,1.0,3.0,452.0,,,1.0,1.0,1.0,100.0,56.0,26.0,,,,,,142.0,142.0,3.0,21.0,27.0,50.3,1.0,,1.0,1.0,10.0,0.0,,,,121.0,1.0,2.0,3.0,,,5.0,,,3.0,15.0,107.0,377.0,5.0,5.0,216.0,40.0,18.0,15.0,1.0,18.0,17.0,,147.0,1.0,278.0,,,13.0,4.0,60.0,1.0,476.0,1.0,0.0,9.0,22.0,1.0,25.0,0.0,680.0,18.0,22.0,,5.0,2.0,14.0,0.0
2128348,7.0,2020-11-02 17:30:00,35,West Brom,Away,220.0,21.0,,4.0,4.0,,,154.0,6.0,1.0,12.0,,1.0,20.0,370.0,,,15.0,15.0,16.0,7.0,,,,,,,,1.0,,1.0,,,,9.0,,,,,9.0,6.0,7.0,6.0,4.0,,61.0,59.0,,,,1.0,21.0,5.0,24.0,2.0,,2.0,9.0,3.0,,8.0,,64.0,65.0,1.0,20.0,11.0,,1.0,,,,,27.0,54.0,11.0,12.0,,1.0,3.0,,1.0,158.0,,,,,,,7.0,,,,,,,,1.0,11.0,1.0,5.0,5.0,1.0,,12.0,118.0,66.0,42.0,5.0,,3.0,4.0,1.0,445.0,,,6.0,,,77.0,41.0,20.0,,,,,,157.0,157.0,6.0,24.0,16.0,54.3,,,,1.0,21.0,0.0,,,,131.0,2.0,2.0,2.0,,,4.0,,,3.0,9.0,64.0,349.0,7.0,7.0,252.0,40.0,20.0,16.0,1.0,13.0,12.0,,106.0,1.0,229.0,,1.0,8.0,1.0,40.0,4.0,468.0,1.0,0.0,10.0,28.0,1.0,19.0,2.0,687.0,16.0,26.0,,9.0,2.0,15.0,0.0
2128364,8.0,2020-11-08 12:00:00,35,West Brom,Home,95.0,22.0,3.0,6.0,3.0,1.0,1.0,137.0,3.0,,2.0,2.0,3.0,22.0,226.0,1.0,,17.0,17.0,31.0,7.0,2.0,4.0,,,,,,,,,,,,7.0,,,1.0,1.0,8.0,13.0,6.0,7.0,5.0,,60.0,63.0,1.0,1.0,,4.0,16.0,3.0,7.0,,,9.0,15.0,4.0,,9.0,1.0,54.0,73.0,4.0,11.0,5.0,,,,,,,25.0,50.0,17.0,12.0,,,3.0,3.0,,158.0,,,,,,,7.0,,,,,,,,3.0,5.0,1.0,11.0,11.0,1.0,,2.0,56.0,75.0,28.0,6.0,,5.0,4.0,2.0,317.0,,,8.0,,,49.0,65.0,38.0,,,,,,177.0,177.0,8.0,23.0,25.0,41.2,1.0,,,,16.0,0.0,,,,66.0,3.0,1.0,4.0,,,7.0,1.0,,3.0,11.0,71.0,214.0,6.0,9.0,117.0,43.0,11.0,18.0,8.0,30.0,22.0,,120.0,5.0,253.0,,,26.0,3.0,64.0,1.0,340.0,1.0,0.0,12.0,19.0,,21.0,1.0,546.0,24.0,18.0,,11.0,9.0,14.0,0.0
2128371,9.0,2020-11-21 20:00:00,35,West Brom,Away,172.0,7.0,1.0,2.0,1.0,,,130.0,4.0,,4.0,4.0,2.0,24.0,300.0,,,11.0,25.0,7.0,5.0,1.0,2.0,,,,,,,,,,,,5.0,,1.0,,,11.0,11.0,6.0,6.0,1.0,,55.0,74.0,,1.0,,1.0,23.0,1.0,18.0,,1.0,2.0,2.0,5.0,,11.0,5.0,71.0,46.0,1.0,17.0,10.0,,,,,,,37.0,51.0,17.0,12.0,,,,,,138.0,,,,,,,6.0,,,,,,,,1.0,10.0,1.0,20.0,20.0,1.0,,6.0,102.0,65.0,29.0,8.0,,4.0,2.0,2.0,362.0,,,8.0,2.0,,62.0,39.0,5.0,1.0,1.0,1.0,,,140.0,140.0,,39.0,28.0,36.9,1.0,,,,23.0,0.0,,,,90.0,4.0,2.0,6.0,,,4.0,,,3.0,16.0,52.0,284.0,16.0,6.0,197.0,24.0,17.0,16.0,1.0,8.0,7.0,,82.0,4.0,196.0,,,19.0,3.0,58.0,1.0,385.0,,0.0,7.0,13.0,,19.0,1.0,585.0,9.0,23.0,,14.0,2.0,8.0,0.0
2128384,10.0,2020-11-28 20:00:00,35,West Brom,Home,145.0,11.0,5.0,6.0,1.0,2.0,,159.0,5.0,,3.0,10.0,5.0,28.0,298.0,,2.0,17.0,20.0,27.0,8.0,5.0,8.0,,,,,,1.0,,,,,,7.0,,,,1.0,3.0,18.0,3.0,9.0,8.0,,61.0,58.0,1.0,2.0,,,10.0,4.0,13.0,,,14.0,9.0,3.0,,12.0,3.0,55.0,49.0,,15.0,10.0,,,,,,,29.0,50.0,10.0,8.0,,,3.0,1.0,1.0,165.0,,,,,,,10.0,,,,1.0,,,,1.0,10.0,,8.0,8.0,1.0,,3.0,77.0,74.0,38.0,9.0,1.0,6.0,7.0,6.0,357.0,,,4.0,2.0,,45.0,74.0,27.0,,,,,,135.0,135.0,2.0,31.0,20.0,48.7,,,,2.0,10.0,0.0,,,,77.0,4.0,1.0,5.0,1.0,,7.0,,,3.0,12.0,73.0,282.0,4.0,13.0,165.0,22.0,15.0,7.0,12.0,25.0,13.0,,101.0,10.0,240.0,1.0,,25.0,5.0,62.0,2.0,380.0,1.0,0.0,17.0,12.0,2.0,21.0,2.0,554.0,18.0,12.0,,5.0,14.0,6.0,0.0
