playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCornersIntoBox,leftFootGoals,freekickTotal,attemptsFromSetPieces,handballsConceded,expectedGoalsFreekick,foulWonPenalty,punches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,secondGoalAssists,penaltiesConceded,headedGoals,clearancesOffTheLine,otherGoals,penaltiesTaken,penaltyGoals,ownGoalScored,penaltiesSaved,catches,savesMadeCaught,penaltiesFaced,savesFromPenalty,goalkeeperSmother,drops,crossesNotClaimed,lastPlayerTackle
38290,Danny Rose,Defender,Spurs,6,England,2013-14,111.0,15.0,1.2913,1.0,1.0,3.0,6.0,1.1296,57.0,14.0,1.0,139.0,22.0,2.0,3.0,22.0,191.0,71.0,908.0,1.0,1.0,1.0,,,,51.0,5.0,,15.0,2.0,1902.0,2.0,,23.0,150.0,7.0,42.0,122.0,671.0,30.0,67.0,,25.1117,14.0,11.0,68.0,23.0,1.0,88.0,352.0,43.0,1.0,261.0,15.0,0.0,427.0,128.0,22.0,,,11.0,19.0,401.0,16.0,71.0,45.0,1.0,210.0,28.0,1.0,881.0,11.0,14.0,398.0,46.0,23.0,8.0,30.0,30.0,44.0,,46.0,99.0,1593.0,174.0,4.0,,,49.0,331.0,12.0,0.9745,4.0,52.0,53.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
106603,Ezekiel Fryers,Defender,Spurs,6,England,2013-14,13.0,5.0,0.217,0.0,1.0,,,,11.0,1.0,,45.0,7.0,,,3.0,60.0,7.0,239.0,,,,,4.0,,11.0,2.0,,5.0,,399.0,,,6.0,21.0,1.0,12.0,16.0,163.0,3.0,13.0,,6.8977,2.0,5.0,10.0,6.0,1.0,7.0,85.0,5.0,0.0,34.0,4.0,,121.0,26.0,7.0,,,3.0,1.0,92.0,5.0,7.0,4.0,1.0,23.0,5.0,0.0,233.0,1.0,2.0,93.0,8.0,1.0,2.0,14.0,1.0,7.0,,16.0,19.0,351.0,27.0,,,,18.0,92.0,,0.0865,0.0,15.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39194,Jan Vertonghen,Defender,Spurs,6,Belgium,2013-14,78.0,5.0,0.6439,0.0,2.0,3.0,3.0,0.3895,32.0,11.0,1.0,110.0,23.0,,3.0,23.0,170.0,21.0,994.0,,2.0,,1.0,,,75.0,10.0,3.0,5.0,,2004.0,,1.0,18.0,123.0,2.0,41.0,66.0,750.0,16.0,15.0,2.0,28.3454,9.0,5.0,106.0,25.0,1.0,60.0,401.0,24.0,0.0,201.0,20.0,,377.0,150.0,23.0,3.0,,4.0,7.0,344.0,23.0,21.0,34.0,1.0,126.0,57.0,0.0,957.0,8.0,7.0,266.0,28.0,17.0,6.0,128.0,12.0,42.0,,74.0,88.0,1450.0,70.0,1.0,1.0,1.0,57.0,485.0,3.0,0.6464,4.0,60.0,49.0,,,3.0,3.0,,0.1609,,,,,,,,,,,,,,,,,,,,,,,,,,,
49539,Kyle Naughton,Defender,Spurs,6,England,2013-14,96.0,6.0,1.0999,0.0,2.0,1.0,2.0,0.185,59.0,7.0,,123.0,22.0,,1.0,19.0,172.0,45.0,1020.0,,,,2.0,3.0,7.0,51.0,6.0,1.0,9.0,,1744.0,,,26.0,106.0,6.0,26.0,81.0,813.0,8.0,67.0,1.0,27.6078,14.0,8.0,51.0,28.0,,70.0,171.0,13.0,0.0,202.0,11.0,,416.0,87.0,22.0,1.0,,12.0,5.0,545.0,22.0,50.0,30.0,,151.0,25.0,0.0,1004.0,6.0,7.0,335.0,47.0,9.0,4.0,307.0,23.0,32.0,4.0,35.0,126.0,1537.0,144.0,2.0,,2.0,40.0,312.0,12.0,0.2363,6.0,49.0,37.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58621,Kyle Walker,Defender,Spurs,6,England,2013-14,129.0,12.0,1.4242,0.0,5.0,5.0,10.0,0.2396,53.0,12.0,1.0,183.0,26.0,2.0,8.0,26.0,249.0,48.0,1395.0,1.0,1.0,0.0,5.0,,22.0,80.0,9.0,4.0,18.0,,2298.0,,,31.0,151.0,3.0,34.0,102.0,1046.0,20.0,75.0,3.0,41.5131,29.0,7.0,68.0,36.0,,98.0,135.0,31.0,0.0,280.0,17.0,1.0,527.0,147.0,26.0,4.0,1.0,9.0,12.0,677.0,33.0,71.0,46.0,,200.0,49.0,0.0,1350.0,7.0,21.0,472.0,44.0,22.0,5.0,556.0,26.0,57.0,18.0,100.0,177.0,2151.0,216.0,1.0,1.0,5.0,55.0,487.0,7.0,0.6854,5.0,66.0,55.0,4.0,,7.0,7.0,,0.4509,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
12679,Michael Dawson,Defender,Spurs,6,England,2013-14,111.0,,0.4239,0.0,3.0,2.0,,0.485,47.0,14.0,,166.0,32.0,,1.0,31.0,289.0,,1572.0,,1.0,,,1.0,,201.0,13.0,,,2.0,2838.0,2.0,,69.0,189.0,7.0,16.0,57.0,1085.0,35.0,,3.0,44.4774,7.0,22.0,250.0,40.0,3.0,42.0,303.0,14.0,0.0,300.0,4.0,,662.0,107.0,32.0,,,13.0,,401.0,33.0,,5.0,3.0,99.0,132.0,0.0,1509.0,12.0,3.0,311.0,34.0,2.0,23.0,542.0,29.0,68.0,,198.0,65.0,2048.0,4.0,1.0,,,92.0,882.0,13.0,1.0183,7.0,123.0,61.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
153265,Milos Veljkovic,Defender,Spurs,6,Serbia,2013-14,1.0,,0.0056,0.0,,,,,,,,6.0,2.0,,5.0,,7.0,,43.0,,,,,2.0,,,,,,,30.0,,,,,,1.0,,35.0,,,,0.3078,1.0,,,,,1.0,10.0,,0.0,1.0,1.0,,11.0,1.0,2.0,,,,,11.0,,,,,1.0,,0.0,43.0,,,7.0,,,,15.0,,2.0,,1.0,7.0,46.0,,,,,1.0,25.0,,,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81012,Ryan Fredericks,Defender,Spurs,6,England,2013-14,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62305,Vlad Chiriches,Defender,Spurs,6,Romania,2013-14,69.0,,0.4404,0.0,,1.0,2.0,0.2903,37.0,4.0,1.0,60.0,17.0,,,16.0,85.0,2.0,763.0,1.0,,1.0,,1.0,,52.0,6.0,,,,1412.0,,,27.0,88.0,4.0,10.0,63.0,579.0,3.0,,2.0,21.75,5.0,2.0,74.0,19.0,,42.0,276.0,15.0,0.0,157.0,5.0,0.0,276.0,112.0,17.0,,,8.0,4.0,205.0,15.0,2.0,15.0,,105.0,25.0,0.0,743.0,3.0,,118.0,29.0,13.0,4.0,179.0,13.0,39.0,,99.0,32.0,1002.0,2.0,2.0,,,24.0,473.0,3.0,0.1239,1.0,25.0,30.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
37742,Younes Kaboul,Defender,Spurs,6,France,2013-14,35.0,,1.1899,2.0,1.0,4.0,,1.8585,25.0,7.0,,93.0,13.0,1.0,2.0,11.0,148.0,6.0,541.0,1.0,,0.0,1.0,2.0,,43.0,2.0,,,3.0,943.0,3.0,,14.0,63.0,5.0,17.0,34.0,355.0,17.0,,,18.4777,5.0,10.0,82.0,19.0,,21.0,108.0,4.0,0.0,98.0,7.0,1.0,290.0,53.0,13.0,,1.0,8.0,2.0,169.0,14.0,6.0,8.0,,55.0,29.0,2.0,521.0,3.0,2.0,167.0,17.0,5.0,2.0,104.0,9.0,25.0,,38.0,39.0,728.0,4.0,,,1.0,47.0,224.0,2.0,1.8287,1.0,55.0,24.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,
