playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,timePlayed,aerialDuelsLost,duelsWon,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,totalLossesOfPossession,successfulDribbles,leftsidePasses,backwardPasses,touches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,throughBalls,successfulLayoffs,foulWonPenalty,starts,unsuccessfulCrossesOpenPlay,oboxBlocked,cleanSheets,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,goalsConcededOutsideBox,putthroughBlockedDistribution,throwInsToOppositionPlayer,keyPassesAttemptAssists,successfulLaunches,totalClearances,putthroughBlockedDistributionWon,recoveries,headedGoals,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,interceptions,successfulLongPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,unsuccessfulLongPasses,overruns,goalAssists,shotsOnTargetOutsideBox,oboxTarget,leftFootGoals,hitWoodwork,handballsConceded,goalKicks,penaltiesConceded,ownGoalScored,lastPlayerTackle,gkSuccessfulDistribution,clearancesOffTheLine,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,redCards2ndYellow,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,secondGoalAssists,expectedGoalsFreekick,penaltiesTaken,penaltyGoals
519321,Alfie Dorrington,Defender,Spurs,6,England,2023-24,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548308,Ashley Phillips,Defender,Spurs,6,England,2023-24,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115556,Ben Davies,Defender,Spurs,6,Wales,2023-24,43.0,0.5646,0.0,1.0,2.0,1.1008,24.0,11.0,51.0,17.0,71.0,812.0,1.0,,1.0,5.0,50.0,1085.0,21.0,76.0,47.0,710.0,25.0,2.0,21.6773,21.0,,22.0,331.0,19.0,0.0,119.0,0.0,343.0,17.0,,7.0,6.0,269.0,20.0,9.0,,69.0,29.0,0.0,778.0,95.0,4.0,86.0,52.0,1007.0,473.0,2.3392,2.0,35.0,1.0,3.0,3.0,1.0,12.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,3.0,4.0,2.0,35.0,2.0,53.0,1.0,9.0,9.0,2.0,17.0,15.0,8.0,10.0,31.0,24.0,2.0,1.0,10.0,6.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221632,Cristian Romero,Defender,Spurs,6,Argentina,2023-24,86.0,1.5174,1.0,4.0,10.0,3.1917,66.0,20.0,163.0,33.0,211.0,2588.0,5.0,1.0,2.0,,130.0,2792.0,39.0,183.0,92.0,2317.0,34.0,3.0,42.262,42.0,3.0,47.0,287.0,24.0,1.0,269.0,3.0,1036.0,33.0,2.0,26.0,1.0,924.0,40.0,5.0,3.0,139.0,91.0,1.0,2455.0,234.0,5.0,1131.0,134.0,2983.0,1453.0,3.4518,7.0,107.0,,6.0,,,33.0,3.0,1.0,7.0,,5.0,5.0,,2.0,48.0,,7.0,6.0,100.0,24.0,189.0,3.0,3.0,10.0,3.0,40.0,22.0,31.0,44.0,60.0,14.0,2.0,1.0,17.0,21.0,48.0,,,,,,2.0,1.0,10.0,2.0,1.0,3.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,
487053,Destiny Udogie,Defender,Spurs,6,Italy,2023-24,151.0,2.0187,1.0,2.0,5.0,2.2236,68.0,7.0,139.0,28.0,152.0,1214.0,2.0,3.0,0.0,,49.0,2398.0,27.0,150.0,128.0,1055.0,74.0,6.0,41.6614,40.0,2.0,124.0,408.0,36.0,0.0,301.0,2.0,413.0,28.0,,35.0,26.0,631.0,38.0,52.0,2.0,252.0,22.0,0.0,1190.0,310.0,24.0,171.0,222.0,1882.0,432.0,2.4738,5.0,54.0,1.0,,9.0,,28.0,21.0,,2.0,1.0,3.0,3.0,1.0,2.0,61.0,29.0,21.0,2.0,67.0,19.0,169.0,,21.0,2.0,13.0,33.0,8.0,51.0,37.0,7.0,172.0,6.0,,9.0,41.0,13.0,3.0,3.0,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
241157,Emerson Royal,Defender,Spurs,6,Brazil,2023-24,75.0,0.8715,0.0,1.0,3.0,0.4325,36.0,5.0,66.0,22.0,83.0,948.0,1.0,,1.0,11.0,38.0,1155.0,22.0,99.0,83.0,846.0,13.0,3.0,27.5241,31.0,,53.0,231.0,38.0,0.0,174.0,0.0,264.0,22.0,1.0,12.0,6.0,364.0,28.0,18.0,,136.0,16.0,0.0,901.0,134.0,10.0,285.0,168.0,1288.0,503.0,0.1984,4.0,42.0,2.0,1.0,18.0,,11.0,12.0,1.0,,2.0,,,,3.0,36.0,5.0,3.0,3.0,45.0,13.0,82.0,,12.0,2.0,6.0,24.0,10.0,14.0,20.0,19.0,70.0,3.0,1.0,9.0,9.0,17.0,,,2.0,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
93264,Eric Dier,Defender,Spurs,6,England,2023-24,5.0,0.04,0.0,,,,2.0,,8.0,4.0,16.0,141.0,,2.0,,3.0,8.0,198.0,5.0,6.0,3.0,123.0,2.0,1.0,8.2758,8.0,,,18.0,1.0,0.0,11.0,,77.0,4.0,,1.0,,33.0,8.0,,,3.0,3.0,0.0,132.0,17.0,,39.0,7.0,164.0,92.0,,0.0,11.0,,,,,1.0,,,,,,,,,,,,,12.0,,7.0,,,,,1.0,3.0,,2.0,2.0,,,,3.0,,8.0,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
491279,Micky van de Ven,Defender,Spurs,6,Netherlands,2023-24,84.0,0.3364,0.0,1.0,3.0,1.1025,49.0,7.0,75.0,27.0,102.0,1785.0,3.0,1.0,1.0,,79.0,2342.0,41.0,119.0,81.0,1642.0,15.0,5.0,34.797,38.0,1.0,43.0,732.0,17.0,3.0,203.0,2.0,584.0,27.0,,14.0,9.0,582.0,36.0,21.0,1.0,124.0,38.0,0.0,1706.0,148.0,15.0,341.0,128.0,2091.0,1101.0,0.6074,5.0,45.0,,,,,27.0,3.0,,5.0,,,,,2.0,15.0,4.0,1.0,2.0,71.0,10.0,144.0,,3.0,4.0,2.0,35.0,15.0,13.0,18.0,41.0,17.0,4.0,,13.0,9.0,27.0,,,,,3.0,,,31.0,1.0,,4.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,
441164,Pedro Porro,Defender,Spurs,6,Spain,2023-24,147.0,6.0304,0.0,15.0,12.0,2.0489,91.0,38.0,279.0,35.0,380.0,1865.0,3.0,1.0,1.0,,31.0,3092.0,14.0,159.0,142.0,1408.0,73.0,6.0,55.2161,54.0,5.0,133.0,164.0,27.0,0.0,306.0,2.0,689.0,35.0,3.0,28.0,24.0,871.0,52.0,39.0,5.0,275.0,17.0,0.0,1803.0,645.0,26.0,602.0,410.0,2910.0,651.0,2.9529,3.0,135.0,12.0,14.0,32.0,,35.0,92.0,10.0,5.0,37.0,4.0,4.0,1.0,2.0,113.0,11.0,44.0,9.0,80.0,45.0,199.0,,161.0,26.0,29.0,63.0,18.0,37.0,34.0,77.0,284.0,4.0,10.0,38.0,27.0,101.0,6.0,7.0,5.0,5.0,,2.0,1.0,,1.0,,1.0,,,100.0,51.0,,,,,,,,,,,,,22.0,4.0,4.0,,0.1722,,
493125,Radu Dragusin,Defender,Spurs,6,Romania,2023-24,14.0,0.0252,0.0,,,,5.0,1.0,33.0,9.0,44.0,368.0,,1.0,,5.0,15.0,424.0,6.0,19.0,10.0,318.0,2.0,1.0,8.4304,7.0,,8.0,155.0,4.0,0.0,33.0,,112.0,9.0,,2.0,1.0,74.0,7.0,2.0,,18.0,9.0,0.0,351.0,47.0,1.0,79.0,22.0,417.0,250.0,0.1368,1.0,24.0,,1.0,,,4.0,,,1.0,,,,,,4.0,,,1.0,18.0,1.0,21.0,,,1.0,,3.0,4.0,6.0,8.0,6.0,1.0,,,7.0,4.0,11.0,,,,,,,,9.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,
