playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,homeGoals,recoveries,appearances,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,totalFoulsConceded,interceptions,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesConceded,aerialDuelsWon,blocks,punches,catches,savesMade,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,attemptsFromSetPieces,clearancesOffTheLine,savesMadeFromOutsideBox,savesMadeCaught,drops,setPiecesGoals,unsuccessfulCornersIntoBox,penaltiesSaved,penaltiesFaced,savesFromPenalty,goalkeeperSmother,forwardPasses,crossesNotClaimed,penaltiesTaken,foulWonPenalty,penaltyGoals,lastPlayerTackle,headedGoals,ownGoalScored,redCards2ndYellow
15405,Alan Hutton,Defender,Spurs,6,Scotland,2009-10,59.0,13.0,1.0,1.0,2.0,36.0,7.0,,99.0,19.0,1.0,1.0,12.0,134.0,41.0,461.0,,1.0,,7.0,,26.0,2.0,13.0,1178.0,,12.0,82.0,2.0,68.0,306.0,,19.0,39.0,3.0,12.0,13.0,53.0,16.0,47.0,18.0,0.0,141.0,,50.0,19.0,,9.0,,6.0,227.0,14.0,41.0,18.0,115.0,1.0,448.0,5.0,9.0,256.0,27.0,14.0,16.0,22.0,21.0,870.0,114.0,,,31.0,113.0,,3.0,35.0,21.0,1.0,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28146,Benoit Assou-Ekotto,Defender,Spurs,6,Cameroon,2009-10,94.0,27.0,0.0,5.0,2.0,73.0,7.0,1.0,222.0,30.0,2.0,3.0,29.0,343.0,74.0,1408.0,1.0,,0.0,1.0,,47.0,6.0,27.0,2532.0,,18.0,156.0,5.0,127.0,936.0,,14.0,51.0,5.0,31.0,49.0,109.0,33.0,76.0,32.0,0.0,250.0,1.0,162.0,30.0,,12.0,1.0,7.0,619.0,28.0,74.0,32.0,203.0,0.0,1357.0,5.0,16.0,561.0,61.0,22.0,27.0,106.0,129.0,2276.0,230.0,5.0,,108.0,473.0,1.0,5.0,121.0,79.0,2.0,29.0,10.0,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
38290,Danny Rose,Defender,Spurs,6,England,2009-10,3.0,,0.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,7.0,1.0,,0.0,,,2.0,,,45.0,,1.0,3.0,,2.0,6.0,,2.0,1.0,,,,,,2.0,1.0,0.0,6.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,,1.0,1.0,4.0,0.0,7.0,,,4.0,,,,2.0,,19.0,,1.0,,,3.0,,0.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37648,Dorian Dervite,Defender,Spurs,6,France,2009-10,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Jonathan Woodgate,Defender,Spurs,6,England,2009-10,7.0,,0.0,,,5.0,1.0,,7.0,3.0,,1.0,3.0,11.0,,53.0,,,,,,7.0,1.0,,194.0,,3.0,10.0,,6.0,37.0,,3.0,,,2.0,2.0,17.0,1.0,4.0,1.0,0.0,17.0,,2.0,3.0,,2.0,,,15.0,1.0,,1.0,10.0,0.0,50.0,1.0,,20.0,3.0,,2.0,4.0,5.0,84.0,,1.0,,2.0,27.0,,0.0,4.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49539,Kyle Naughton,Defender,Spurs,6,England,2009-10,,,0.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58621,Kyle Walker,Defender,Spurs,6,England,2009-10,10.0,,0.0,,,11.0,,,13.0,2.0,,,2.0,15.0,4.0,54.0,,1.0,,,,5.0,1.0,,180.0,,3.0,22.0,,20.0,36.0,,4.0,4.0,1.0,3.0,1.0,4.0,3.0,7.0,6.0,0.0,32.0,,10.0,2.0,,1.0,,4.0,20.0,3.0,4.0,4.0,27.0,0.0,53.0,,1.0,29.0,10.0,3.0,1.0,1.0,3.0,107.0,13.0,,,3.0,19.0,1.0,0.0,2.0,8.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,Ledley King,Defender,Spurs,6,England,2009-10,51.0,,0.0,4.0,4.0,32.0,8.0,,92.0,20.0,,,19.0,125.0,,538.0,2.0,,2.0,1.0,,81.0,5.0,,1547.0,,31.0,94.0,5.0,44.0,371.0,,18.0,,3.0,4.0,12.0,131.0,20.0,20.0,5.0,0.0,145.0,0.0,66.0,20.0,,9.0,,1.0,101.0,15.0,,8.0,64.0,0.0,522.0,4.0,,181.0,23.0,7.0,9.0,47.0,42.0,821.0,,5.0,1.0,36.0,312.0,,1.0,33.0,31.0,,50.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
12679,Michael Dawson,Defender,Spurs,6,England,2009-10,83.0,2.0,0.0,4.0,4.0,48.0,10.0,3.0,174.0,29.0,,,25.0,285.0,4.0,1069.0,2.0,,2.0,4.0,,158.0,10.0,2.0,2333.0,,45.0,188.0,1.0,75.0,592.0,,26.0,,4.0,8.0,74.0,289.0,22.0,38.0,25.0,0.0,271.0,0.0,90.0,29.0,1.0,10.0,,1.0,326.0,21.0,4.0,8.0,113.0,0.0,999.0,6.0,1.0,445.0,38.0,2.0,19.0,95.0,192.0,1625.0,4.0,1.0,,118.0,460.0,1.0,4.0,111.0,77.0,,113.0,27.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,2.0,1.0,,
42744,Sebastien Bassong,Defender,Spurs,6,Cameroon,2009-10,79.0,,0.0,,4.0,32.0,15.0,1.0,140.0,28.0,,1.0,25.0,174.0,2.0,889.0,1.0,,0.0,3.0,,142.0,4.0,,2294.0,,49.0,149.0,5.0,56.0,656.0,,20.0,,4.0,5.0,20.0,251.0,30.0,30.0,20.0,2.0,228.0,1.0,81.0,28.0,,9.0,,3.0,227.0,25.0,2.0,6.0,86.0,0.0,863.0,11.0,,298.0,23.0,4.0,18.0,48.0,59.0,1313.0,1.0,3.0,,47.0,488.0,,2.0,34.0,61.0,1.0,93.0,12.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,1.0,,
