season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090138,15,1,Manchester_United,Home,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,1.0,,2.0,11.0,5.0,15.0,1.0,,6.0,,,1.0,1.0,,,3.0,11.0,2.0,,,4.0,,1.0,,,2.0,1.0,,85.0,1.0,,,,,,,,20.0,,6.9,,,1.0,,1.0,3.0,5.0,,2.0,,20.0,7.0,22.0,3,1.0,48.0,3.0,1.0,,
2016-17,7090138,15,1,Manchester_United,Home,82474,59846,Ander Herrera,ander-herrera,M,False,1.0,,4.0,16.0,11.0,26.0,,,11.0,1.0,,,3.0,,,1.0,7.0,9.0,,,3.0,1.0,,,,3.0,4.0,,89.0,1.0,,,,,,,,9.0,,8.0,,,,,,1.0,2.0,,7.0,,22.0,12.0,32.0,1,5.0,50.0,1.0,3.0,1.0,4.0
2016-17,7090138,15,1,Manchester_United,Home,111802,74208,Paul Pogba,paul-pogba,M,False,,,6.0,26.0,6.0,32.0,3.0,6.0,4.0,,,,2.0,,,3.0,11.0,13.0,,,2.0,,,,1.0,,,,90.0,2.0,,,,,,,,18.0,,7.2,,,1.0,,,3.0,2.0,,8.0,1.0,35.0,6.0,39.0,3,2.0,64.0,5.0,3.0,2.0,1.0
2016-17,7090138,15,1,Manchester_United,Home,191176,148225,Anthony Martial,anthony-martial,M,False,,,2.0,14.0,6.0,20.0,2.0,,6.0,,,1.0,,,,1.0,5.0,3.0,,,2.0,,,,,,,,72.0,,,,,,,,,16.0,,6.5,,,1.0,,1.0,3.0,3.0,,2.0,,23.0,8.0,28.0,2,1.0,42.0,1.0,1.0,1.0,1.0
2016-17,7090171,16,1,Manchester_United,Away,326,15208,Bastian Schweinsteiger,bastian-schweinsteiger,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090171,16,1,Manchester_United,Away,938,2404,Michael Carrick,michael-carrick,M,False,,,2.0,48.0,31.0,79.0,1.0,2.0,6.0,,,,1.0,,,,2.0,6.0,,,,,,,,1.0,1.0,,90.0,,,,,,,,,11.0,,7.2,,,,,1.0,,,,3.0,,55.0,34.0,89.0,0,1.0,100.0,1.0,4.0,,1.0
2016-17,7090171,16,1,Manchester_United,Away,28367,43670,Juan Mata,juan-mata,M,False,2.0,,1.0,30.0,6.0,34.0,1.0,,3.0,,,,3.0,,,1.0,6.0,2.0,,,,,,,,,1.0,,70.0,,,,,,,,,11.0,,6.4,,,,,,1.0,5.0,,2.0,1.0,36.0,6.0,37.0,0,1.0,50.0,3.0,1.0,,
2016-17,7090171,16,1,Manchester_United,Away,82474,59846,Ander Herrera,ander-herrera,M,False,1.0,,3.0,39.0,21.0,59.0,,,10.0,,,1.0,4.0,,,,4.0,7.0,,,,,,,,3.0,,,90.0,,,,,,,,,14.0,,7.6,,,2.0,,1.0,1.0,3.0,,6.0,,49.0,23.0,69.0,3,3.0,92.0,1.0,3.0,1.0,3.0
2016-17,7090171,16,1,Manchester_United,Away,111802,74208,Paul Pogba,paul-pogba,M,False,,,4.0,59.0,18.0,77.0,3.0,6.0,9.0,,,,,,,1.0,7.0,13.0,,,1.0,1.0,1.0,,,1.0,4.0,,90.0,2.0,,,,,,,,25.0,,9.3,,,2.0,,5.0,6.0,2.0,,5.0,,72.0,22.0,92.0,4,1.0,121.0,5.0,2.0,4.0,1.0
2016-17,7090193,17,1,Manchester_United,Away,938,2404,Michael Carrick,michael-carrick,M,False,,,4.0,39.0,31.0,70.0,,1.0,2.0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,4.0,1.0,,90.0,,1.0,,,,,,,6.0,,7.4,,,,,5.0,,,,7.0,,44.0,32.0,76.0,0,,86.0,,,,
