playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throughBalls,cornersTakenInclShortCorners,unsuccessfulLayoffs,successfulCornersIntoBox,unsuccessfulCornersIntoBox,substituteOff,goalAssists,hitWoodwork,setPiecesGoals,goalKicks,ownGoalScored,penaltiesTaken,leftFootGoals,headedGoals,attemptsFromSetPieces,gkUnsuccessfulDistribution,penaltyGoals,lastPlayerTackle,foulWonPenalty,penaltiesConceded,savesMade,savesMadeFromOutsideBox,gkSuccessfulDistribution,savesMadeCaught,savesMadeParried,savesMadeFromInsideBox,catches,penaltiesFaced,punches,goalkeeperSmother,drops,crossesNotClaimed
15633,Alex Baptiste,Defender,Blackpool,92,England,2010-11,80.0,5.0,0.0,4.0,3.0,1.0,51.0,11.0,109.0,21.0,3.0,19.0,156.0,18.0,661.0,2.0,1.0,2.0,2.0,68.0,2.0,5.0,1729.0,32.0,99.0,5.0,63.0,464.0,18.0,18.0,2.0,5.0,14.0,189.0,50.0,48.0,101.0,11.0,0.0,179.0,0.0,296.0,101.0,21.0,2.0,10.0,4.0,189.0,45.0,18.0,14.0,111.0,36.0,0.0,654.0,8.0,5.0,223.0,41.0,1.0,17.0,178.0,11.0,18.0,2.0,41.0,86.0,1164.0,94.0,38.0,321.0,1.0,2.0,47.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8411,Andy Reid,Midfielder,Blackpool,92,Ireland,2010-11,18.0,1.0,0.0,2.0,1.0,,3.0,6.0,26.0,7.0,7.0,2.0,31.0,12.0,117.0,,,,5.0,2.0,,4.0,202.0,1.0,10.0,1.0,9.0,78.0,9.0,,1.0,6.0,,,8.0,17.0,26.0,2.0,0.0,28.0,,45.0,10.0,7.0,,1.0,3.0,64.0,7.0,17.0,10.0,26.0,1.0,0.0,117.0,5.0,5.0,68.0,2.0,4.0,,27.0,2.0,,,8.0,19.0,179.0,,,26.0,,0.0,5.0,2.0,1.0,7.0,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,Brett Ormerod,Forward,Blackpool,92,England,2010-11,43.0,3.0,0.0,4.0,4.0,2.0,5.0,10.0,38.0,19.0,20.0,6.0,40.0,6.0,255.0,1.0,10.0,0.0,13.0,32.0,,3.0,702.0,21.0,25.0,2.0,14.0,207.0,23.0,1.0,,2.0,,,16.0,22.0,34.0,7.0,0.0,68.0,1.0,47.0,27.0,19.0,1.0,2.0,1.0,117.0,14.0,7.0,13.0,36.0,11.0,0.0,254.0,6.0,8.0,75.0,3.0,2.0,1.0,66.0,7.0,4.0,,8.0,108.0,341.0,3.0,1.0,101.0,,0.0,2.0,7.0,1.0,2.0,,,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20208,Charlie Adam,Midfielder,Blackpool,92,Scotland,2010-11,275.0,7.0,0.0,33.0,35.0,6.0,75.0,79.0,324.0,35.0,29.0,34.0,527.0,57.0,1884.0,12.0,,7.0,1.0,100.0,5.0,46.0,3051.0,44.0,281.0,7.0,225.0,1095.0,44.0,5.0,1.0,65.0,12.0,97.0,68.0,231.0,466.0,91.0,4.0,556.0,5.0,822.0,265.0,35.0,,13.0,47.0,849.0,61.0,150.0,111.0,456.0,56.0,0.0,1784.0,44.0,39.0,869.0,62.0,59.0,16.0,374.0,70.0,68.0,,262.0,222.0,2847.0,5.0,46.0,554.0,,11.0,203.0,72.0,22.0,104.0,1.0,32.0,61.0,3.0,8.0,2.0,2.0,1.0,1.0,8.0,11.0,1.0,21.0,1.0,7.0,,,,,,,,,,,,,,,
40386,Chris Basham,Defender,Blackpool,92,England,2010-11,10.0,,0.0,,,,3.0,,14.0,2.0,1.0,1.0,21.0,2.0,66.0,,,,1.0,6.0,,,120.0,3.0,9.0,1.0,6.0,38.0,2.0,3.0,,,1.0,5.0,3.0,7.0,7.0,,0.0,19.0,,28.0,7.0,2.0,,1.0,3.0,22.0,2.0,2.0,3.0,13.0,3.0,0.0,65.0,,1.0,29.0,2.0,3.0,,23.0,2.0,2.0,,7.0,8.0,98.0,9.0,1.0,23.0,,1.0,7.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
93856,Chris Kettings,Goalkeeper,Blackpool,92,Scotland,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41338,Craig Cathcart,Defender,Blackpool,92,Northern Ireland,2010-11,73.0,,0.0,1.0,2.0,,54.0,7.0,84.0,30.0,1.0,28.0,141.0,2.0,858.0,1.0,,0.0,2.0,90.0,4.0,,2389.0,46.0,115.0,7.0,71.0,614.0,11.0,,1.0,8.0,22.0,296.0,53.0,27.0,129.0,16.0,0.0,188.0,1.0,413.0,90.0,30.0,,10.0,,169.0,46.0,2.0,1.0,98.0,44.0,0.0,834.0,5.0,1.0,151.0,44.0,1.0,43.0,265.0,10.0,26.0,1.0,103.0,51.0,1332.0,2.0,42.0,548.0,,1.0,57.0,44.0,,,,,,3.0,,,,,1.0,,,1.0,,,,3.0,,,,,,,,,,,,,,
19645,DJ Campbell,Forward,Blackpool,92,England,2010-11,197.0,2.0,1.0,17.0,28.0,5.0,38.0,54.0,122.0,31.0,88.0,30.0,127.0,15.0,675.0,13.0,18.0,5.0,1.0,48.0,4.0,2.0,2628.0,44.0,101.0,7.0,97.0,536.0,132.0,,,21.0,2.0,3.0,52.0,153.0,145.0,45.0,8.0,298.0,8.0,122.0,90.0,31.0,6.0,12.0,19.0,352.0,45.0,15.0,108.0,250.0,4.0,1.0,675.0,26.0,16.0,339.0,26.0,14.0,,132.0,44.0,11.0,,12.0,276.0,1112.0,2.0,1.0,198.0,13.0,1.0,5.0,19.0,8.0,,12.0,,,2.0,1.0,1.0,,,,,5.0,2.0,,,,,2.0,,,,,,,,,,,,,
16815,David Carney,Defender,Blackpool,92,Australia,2010-11,24.0,4.0,0.0,4.0,1.0,1.0,14.0,4.0,31.0,11.0,4.0,5.0,47.0,7.0,166.0,,2.0,,6.0,7.0,,4.0,490.0,5.0,21.0,2.0,19.0,106.0,9.0,3.0,1.0,2.0,3.0,9.0,17.0,19.0,58.0,2.0,0.0,45.0,,67.0,23.0,11.0,,2.0,4.0,70.0,15.0,9.0,9.0,38.0,2.0,0.0,164.0,3.0,4.0,74.0,12.0,3.0,3.0,10.0,6.0,3.0,1.0,13.0,31.0,285.0,40.0,10.0,53.0,1.0,0.0,16.0,8.0,1.0,2.0,,,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
7631,David Vaughan,Midfielder,Blackpool,92,Wales,2010-11,159.0,10.0,0.0,8.0,7.0,2.0,141.0,17.0,163.0,35.0,49.0,35.0,215.0,39.0,1693.0,2.0,1.0,1.0,,25.0,6.0,20.0,3150.0,9.0,230.0,8.0,214.0,1333.0,18.0,1.0,2.0,23.0,9.0,57.0,69.0,150.0,394.0,35.0,0.0,389.0,1.0,562.0,247.0,35.0,1.0,37.0,24.0,801.0,61.0,52.0,65.0,364.0,16.0,0.0,1672.0,10.0,16.0,376.0,104.0,38.0,15.0,498.0,34.0,70.0,,145.0,239.0,2303.0,12.0,17.0,697.0,1.0,6.0,52.0,56.0,6.0,30.0,1.0,10.0,12.0,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
