playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,offsides,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,shotsBlockedInBox,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,expectedGoalsFreekick,overruns,successfulLayoffs,cornersTakenInclShortCorners,unsuccessfulLayoffs,penaltiesTaken,iboxBlocked,penaltyGoals,substituteOff,throughBalls,handballsConceded,goalAssists,foulWonPenalty,penaltiesConceded,redCards2ndYellow,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,headedGoals,secondGoalAssists,clearancesOffTheLine,ownGoalScored,lastPlayerTackle
37339,Ahmed El Mohamady,Defender,A Villa,7,Egypt,2020-21,24.0,10.0,1.1734,33.0,0.0,1.0,1.0,0.2121,17.0,8.0,68.0,14.0,20.0,8.0,103.0,29.0,470.0,0.0,1.0,6.0,27.0,3.0,1.0,10.0,833.0,9.0,40.0,1.0,9.0,22.0,337.0,13.0,17.0,1.0,10.891,13.0,6.0,22.0,9.0,15.0,27.0,3.0,0.0,64.0,3.0,0.0,184.0,63.0,14.0,1.0,4.0,1.0,211.0,8.0,29.0,4.0,37.0,18.0,0.0,452.0,7.0,1.0,160.0,13.0,2.0,3.0,203.0,6.0,17.0,30.0,56.0,714.0,91.0,1.0,15.0,166.0,6.0,0.4275,2.0,35.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193488,Anwar El Ghazi,Forward,A Villa,7,Netherlands,2020-21,141.0,11.0,2.1063,52.0,0.0,15.0,30.0,8.4987,16.0,49.0,116.0,28.0,25.0,17.0,129.0,49.0,523.0,7.0,10.0,11.0,78.0,3.0,12.0,23.0,1612.0,50.0,98.0,3.0,43.0,70.0,382.0,71.0,1.0,5.0,23.0304,26.0,,10.0,22.0,91.0,151.0,28.0,5.0,239.0,11.0,3.0,135.0,67.0,28.0,12.0,3.0,23.0,320.0,19.0,64.0,58.0,161.0,28.0,0.0,518.0,19.0,25.0,305.0,13.0,26.0,,81.0,18.0,6.0,12.0,156.0,931.0,15.0,10.0,8.0,97.0,1.0,8.4503,2.0,13.0,22.0,10.0,5.0,8.0,8.0,9.0,5.0,9.0,1.0,6.0,6.0,12.0,3.0,0.3718,3.0,14.0,21.0,3.0,4.0,5.0,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
110504,Bertrand Traoré,Forward,A Villa,7,Burkina Faso,2020-21,152.0,6.0,3.26,64.0,0.0,21.0,23.0,7.5314,26.0,43.0,132.0,36.0,33.0,29.0,156.0,35.0,700.0,2.0,4.0,7.0,65.0,3.0,6.0,23.0,2333.0,33.0,150.0,3.0,38.0,118.0,502.0,113.0,1.0,3.0,30.6177,29.0,1.0,12.0,31.0,119.0,73.0,40.0,1.0,302.0,22.0,5.0,162.0,119.0,36.0,6.0,16.0,45.0,362.0,28.0,79.0,71.0,237.0,32.0,0.0,680.0,20.0,19.0,393.0,10.0,52.0,1.0,293.0,31.0,15.0,42.0,172.0,1245.0,2.0,4.0,7.0,205.0,15.0,6.5833,1.0,24.0,50.0,7.0,7.0,10.0,10.0,10.0,17.0,2.0,5.0,2.0,2.0,24.0,2.0,0.1619,14.0,19.0,42.0,7.0,,17.0,,24.0,2.0,4.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
108156,Björn Engels,Defender,A Villa,7,Belgium,2020-21,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478912,Carney Chukwuemeka,Midfielder,A Villa,7,England,2020-21,8.0,,0.0526,4.0,0.0,,,,2.0,1.0,3.0,2.0,,,3.0,,9.0,0.0,,2.0,5.0,,,,18.0,4.0,3.0,,1.0,2.0,5.0,2.0,,,0.9699,,,,,4.0,3.0,,0.0,11.0,,0.0,1.0,1.0,2.0,,,,4.0,,,,6.0,1.0,0.0,9.0,1.0,,5.0,2.0,,,3.0,2.0,,1.0,2.0,14.0,,,,2.0,1.0,0.037,0.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230046,Douglas Luiz,Midfielder,A Villa,7,Brazil,2020-21,164.0,4.0,1.4439,94.0,1.0,6.0,8.0,0.9763,49.0,20.0,145.0,33.0,43.0,32.0,203.0,15.0,1415.0,0.0,5.0,1.0,85.0,9.0,7.0,4.0,2789.0,42.0,162.0,8.0,53.0,119.0,1104.0,16.0,,5.0,42.9842,17.0,6.0,41.0,41.0,122.0,412.0,48.0,0.0,326.0,35.0,0.0,376.0,208.0,33.0,7.0,31.0,9.0,634.0,33.0,19.0,27.0,241.0,43.0,0.0,1334.0,12.0,5.0,282.0,18.0,23.0,17.0,442.0,59.0,43.0,108.0,185.0,1835.0,1.0,5.0,16.0,582.0,28.0,1.2456,8.0,58.0,59.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,0.0848,2.0,16.0,1.0,1.0,,1.0,,10.0,,1.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
98980,Emiliano Martínez,Goalkeeper,A Villa,7,Argentina,2020-21,3.0,,0.0492,3.0,0.0,,,,3.0,,4.0,38.0,1.0,38.0,425.0,,1135.0,0.0,,,13.0,15.0,,,3420.0,2.0,22.0,8.0,,11.0,445.0,,,5.0,49.7234,2.0,65.0,14.0,46.0,1.0,129.0,8.0,0.0,25.0,,0.0,770.0,356.0,38.0,,,,175.0,38.0,,,12.0,11.0,0.0,617.0,,,440.0,3.0,,,236.0,1.0,2.0,265.0,,1542.0,,,159.0,535.0,,,1.0,421.0,86.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,39.0,60.0,254.0,17.0,6.0,1.0,4.0,142.0,5.0,3.0,1.0,322.0,109.0,35.0,81.0,,,,,
199798,Ezri Konsa,Defender,A Villa,7,England,2020-21,83.0,,0.1376,52.0,0.0,4.0,7.0,1.5968,25.0,18.0,107.0,36.0,25.0,35.0,197.0,3.0,1287.0,0.0,,1.0,152.0,12.0,1.0,,3195.0,56.0,178.0,8.0,12.0,82.0,1014.0,34.0,2.0,5.0,48.3572,2.0,14.0,158.0,46.0,27.0,284.0,54.0,1.0,261.0,6.0,2.0,391.0,156.0,36.0,1.0,12.0,,224.0,38.0,3.0,7.0,109.0,96.0,0.0,1248.0,11.0,4.0,229.0,13.0,6.0,47.0,487.0,19.0,29.0,76.0,125.0,1729.0,12.0,,56.0,866.0,4.0,2.4498,3.0,90.0,87.0,2.0,1.0,4.0,4.0,,4.0,1.0,,,,,1.0,,1.0,,,,,4.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,
114283,Jack Grealish,Midfielder,A Villa,7,England,2020-21,150.0,7.0,6.5217,100.0,0.0,21.0,19.0,5.897,31.0,29.0,145.0,26.0,55.0,24.0,166.0,29.0,996.0,3.0,5.0,2.0,54.0,11.0,2.0,17.0,2184.0,28.0,231.0,6.0,53.0,205.0,800.0,168.0,4.0,2.0,32.4041,71.0,,4.0,28.0,122.0,346.0,110.0,1.0,381.0,17.0,3.0,315.0,125.0,26.0,2.0,17.0,36.0,675.0,22.0,59.0,75.0,327.0,26.0,0.0,940.0,10.0,32.0,372.0,14.0,65.0,3.0,127.0,40.0,12.0,30.0,208.0,1582.0,25.0,5.0,6.0,172.0,22.0,4.6539,6.0,21.0,23.0,6.0,7.0,11.0,11.0,7.0,16.0,6.0,,2.0,2.0,23.0,1.0,0.1104,9.0,14.0,43.0,,,16.0,,2.0,2.0,1.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,
232653,Jacob Ramsey,Midfielder,A Villa,7,England,2020-21,49.0,2.0,0.1776,23.0,0.0,5.0,1.0,0.1475,10.0,6.0,29.0,22.0,12.0,6.0,31.0,6.0,221.0,0.0,1.0,16.0,16.0,,1.0,2.0,617.0,9.0,35.0,2.0,11.0,28.0,179.0,19.0,,1.0,11.0428,6.0,4.0,5.0,10.0,40.0,61.0,11.0,0.0,84.0,7.0,0.0,57.0,38.0,22.0,1.0,5.0,5.0,112.0,8.0,6.0,17.0,68.0,7.0,0.0,219.0,5.0,3.0,71.0,5.0,7.0,6.0,50.0,13.0,4.0,11.0,53.0,342.0,,1.0,1.0,80.0,6.0,0.491,0.0,2.0,8.0,,2.0,,,,4.0,,,,,,,,3.0,5.0,,,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
