playerId,playerName,position,team_name,team_id,nationality,season,groundDuels,duelsLost,straightRedCards,openPlayPasses,substituteOn,totalLossesOfPossession,totalRedCards,groundDuelsLost,rightsidePasses,winningGoal,duels,totalFoulsConceded,backwardPasses,appearances,timePlayed,touches,gamesPlayed,successfulLayoffs,successfulPassesOwnHalf,successfulShortPasses,successfulPassesOppositionHalf,totalPasses,yellowCards,timesTackled,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,setPiecesGoals,goalAssists,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,totalFoulsWon,homeGoals,forwardPasses,recoveries,penaltiesTaken,rightFootGoals,tacklesLost,unsuccessfulDribbles,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,aerialDuelsWon,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,penaltyGoals,successfulLongPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,throwInsToOppositionPlayer,leftFootGoals,lastPlayerTackle,headedGoals,penaltiesConceded,ownGoalScored
80979,Andreas Weimann,Forward,A Villa,7,Austria,2010-11,2.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,2.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Andy Marshall,Goalkeeper,A Villa,7,England,2010-11,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18892,Ashley Young,Defender,A Villa,7,England,2010-11,305.0,167.0,0.0,1073.0,,694.0,0.0,162.0,279.0,2.0,314.0,43.0,225.0,34.0,3054.0,1921.0,34.0,83.0,224.0,746.0,669.0,1141.0,8.0,105.0,18.0,12.0,34.0,16.0,30.0,71.0,46.0,247.0,2.0,10.0,5.0,34.0,324.0,85.0,7.0,21.0,2.0,123.0,9.0,5.0,76.0,11.0,5.0,147.0,7.0,143.0,47.0,102.0,2.0,72.0,7.0,9.0,49.0,95.0,5.0,424.0,136.0,5.0,7.0,10.0,52.0,42.0,171.0,4.0,37.0,44.0,20.0,18.0,3.0,10.0,213.0,34.0,64.0,1.0,4.0,71.0,13.0,3.0,4.0,27.0,4.0,77.0,30.0,,,,,,,,,,,,,,,,,,,,
59013,Barry Bannan,Midfielder,A Villa,7,Scotland,2010-11,43.0,30.0,0.0,320.0,5.0,103.0,0.0,23.0,61.0,0.0,50.0,6.0,43.0,12.0,636.0,410.0,12.0,14.0,115.0,225.0,140.0,323.0,1.0,10.0,2.0,1.0,2.0,,17.0,6.0,7.0,50.0,,1.0,,7.0,71.0,13.0,,,,2.0,7.0,,3.0,,7.0,20.0,2.0,20.0,1.0,4.0,2.0,7.0,1.0,3.0,14.0,,,122.0,49.0,,,7.0,5.0,12.0,14.0,,4.0,5.0,10.0,3.0,,,97.0,12.0,1.0,,,27.0,2.0,4.0,,5.0,1.0,21.0,16.0,,,,,,,,,,,,,,,,,,,,
1803,Brad Friedel,Goalkeeper,A Villa,7,United States,2010-11,9.0,3.0,0.0,394.0,,527.0,0.0,2.0,65.0,0.0,12.0,,,38.0,3420.0,1332.0,38.0,,195.0,150.0,238.0,947.0,2.0,,,,,,,,,7.0,,,,38.0,514.0,,,,,,3.0,7.0,,,1.0,9.0,7.0,7.0,,,4.0,,102.0,29.0,59.0,5.0,,820.0,402.0,,,,,52.0,,2.0,,,,,,,62.0,,,,,283.0,,,,238.0,,507.0,39.0,28.0,38.0,377.0,26.0,4.0,25.0,105.0,2.0,2.0,3.0,373.0,209.0,29.0,67.0,,,,,,
41705,Brad Guzan,Goalkeeper,A Villa,7,United States,2010-11,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17468,Carlos Cuellar,Defender,A Villa,7,Spain,2010-11,59.0,30.0,0.0,341.0,2.0,109.0,0.0,18.0,47.0,0.0,98.0,7.0,31.0,12.0,894.0,574.0,12.0,1.0,178.0,244.0,92.0,348.0,2.0,5.0,2.0,1.0,2.0,,34.0,6.0,,66.0,,,,10.0,80.0,5.0,,,,,39.0,1.0,2.0,,12.0,68.0,3.0,41.0,,13.0,3.0,4.0,7.0,65.0,15.0,5.0,,161.0,55.0,,,11.0,4.0,12.0,5.0,27.0,4.0,1.0,23.0,2.0,9.0,,109.0,28.0,,,,24.0,36.0,1.0,,20.0,,14.0,32.0,,,,,,,,,,,,,,,12.0,,,,,
49493,Chris Herd,Midfielder,A Villa,7,Australia,2010-11,13.0,8.0,0.0,63.0,5.0,17.0,0.0,2.0,16.0,0.0,24.0,1.0,4.0,6.0,107.0,89.0,6.0,,45.0,49.0,7.0,66.0,0.0,,,,,,7.0,,1.0,11.0,,,,1.0,14.0,2.0,,,,,11.0,,,,6.0,16.0,,11.0,,2.0,,,2.0,6.0,2.0,4.0,,30.0,8.0,,,3.0,,2.0,2.0,5.0,,,4.0,,,,16.0,3.0,,,,3.0,,,,5.0,,3.0,5.0,,,,,,,,,,,,,,,,,,,,
58845,Ciaran Clark,Defender,A Villa,7,Ireland,2010-11,148.0,100.0,0.0,656.0,3.0,225.0,0.0,68.0,190.0,0.0,210.0,33.0,68.0,19.0,1566.0,1069.0,19.0,6.0,317.0,482.0,198.0,667.0,9.0,20.0,2.0,1.0,4.0,,53.0,11.0,,130.0,,,,16.0,154.0,11.0,3.0,,1.0,,62.0,3.0,2.0,,32.0,110.0,5.0,80.0,,23.0,1.0,6.0,3.0,83.0,33.0,21.0,2.0,286.0,102.0,,,17.0,7.0,28.0,11.0,30.0,7.0,3.0,36.0,6.0,10.0,,123.0,44.0,,1.0,,31.0,72.0,2.0,2.0,29.0,,24.0,61.0,,,,,,,,,,,,,,,24.0,1.0,1.0,2.0,,
90590,Daniel Johnson,Midfielder,A Villa,7,Jamaica,2010-11,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
