playerId,playerName,position,team_name,team_id,nationality,season,expectedGoalsOnTargetConceded,expectedAssists,goalsConceded,totalRedCards,rightsidePasses,totalFoulsWon,winningGoal,overruns,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,successfulPassesOppositionHalf,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,substituteOn,totalLossesOfPossession,successfulDribbles,leftsidePasses,interceptions,backwardPasses,timePlayed,touches,duelsWon,putthroughBlockedDistribution,groundDuelsWon,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,expectedGoals,totalTouchesInOppositionBox,yellowCards,unsuccessfulLongPasses,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,starts,goals,awayGoals,oboxBlocked,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,keyPassesAttemptAssists,successfulLaunches,totalClearances,shotsBlockedInBox,groundDuelsLost,homeGoals,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,headedGoals,timesTackled,iboxBlocked,aerialDuelsWon,cornersWon,tacklesWon,blocks,totalFoulsConceded,successfulLongPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,unsuccessfulPassesOwnHalf,goalAssists,cornersTakenInclShortCorners,leftFootGoals,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulCrossesOpenPlay,offsides,successfulCrossesAndCorners,unsuccessfulLayoffs,penaltyGoalsConceded,penaltiesConceded,successfulCornersIntoBox,expectedGoalsFreekick,setPiecesGoals,freekickTotal,attemptsFromSetPieces,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,throwInsToOppositionPlayer,lastPlayerTackle,secondGoalAssists,ownGoalScored
653481,Alysson Edward,Forward,A Villa,7,Brazil,2025-26,1.626,0.0456,2.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,10.0,2.0,3.0,2.0,2.0,17.0,3.0,0.0,17.0,1.0,3.0,9.0,2.0,4.0,1.0,8.0,47.0,30.0,3.0,2.0,3.0,1.0,4.0,14.0,0.0455,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449871,Amadou Onana,Midfielder,A Villa,7,Belgium,2025-26,26.5071,0.7038,26.0,0.0,215.0,25.0,0.0,1.0,191.0,12.0,245.0,72.0,25.0,15.0,84.0,25.0,23.0,353.0,23.0,107.0,,,849.0,123.0,0.0,837.0,8.0,4.0,145.0,7.0,222.0,25.0,167.0,1764.0,1149.0,122.0,18.0,77.0,3.0,389.0,700.0,1.7146,25.0,3.0,23.0,69.0,4.0,7.0,1.8018,48.0,3.0,21.0,2.0,1.0,2.0,68.0,3.0,2.0,3.0,3.0,23.0,3.0,7.0,2.0,59.0,2.0,46.0,1.0,2.0,1.0,18.0,6.0,1.0,16.0,2.0,45.0,5.0,30.0,17.0,20.0,42.0,1.0,10.0,1.0,2.0,9.0,1.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606798,Andrés García,Defender,A Villa,7,Spain,2025-26,2.7441,0.0146,3.0,0.0,2.0,,0.0,,9.0,1.0,7.0,4.0,6.0,,,6.0,,17.0,1.0,,4.0,4.0,37.0,9.0,0.0,36.0,,5.0,11.0,,12.0,,16.0,83.0,64.0,5.0,1.0,5.0,,20.0,37.0,,1.0,0.0,,4.0,,,,5.0,,1.0,,,,,,,,,,2.0,,,4.0,,4.0,,,,1.0,1.0,,2.0,,,1.0,4.0,1.0,1.0,,5.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226944,Boubacar Kamara,Midfielder,A Villa,7,France,2025-26,18.3271,0.8605,15.0,0.0,210.0,30.0,1.0,1.0,204.0,13.0,244.0,65.0,18.0,4.0,81.0,18.0,30.0,392.0,14.0,96.0,2.0,1.0,818.0,148.0,0.0,799.0,,1.0,145.0,14.0,232.0,18.0,132.0,1418.0,1048.0,116.0,25.0,80.0,1.0,330.0,691.0,0.4904,11.0,5.0,15.0,88.0,3.0,4.0,0.8604,37.0,4.0,17.0,1.0,0.0,,56.0,2.0,1.0,2.0,2.0,20.0,1.0,12.0,3.0,20.0,3.0,68.0,1.0,1.0,,20.0,17.0,,32.0,3.0,36.0,1.0,17.0,8.0,17.0,31.0,,8.0,,,15.0,,27.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645618,Bradley Burrowes,Forward,A Villa,7,England,2025-26,1.1187,0.0009,1.0,0.0,,1.0,0.0,,3.0,1.0,,1.0,1.0,,2.0,1.0,,1.0,1.0,2.0,3.0,3.0,5.0,3.0,0.0,5.0,,1.0,6.0,,3.0,,2.0,16.0,12.0,1.0,2.0,1.0,,2.0,3.0,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690838,Brian Madjo,Forward,A Villa,7,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204646,Donyell Malen,Forward,A Villa,7,Netherlands,2025-26,9.267,0.3441,10.0,0.0,18.0,6.0,2.0,1.0,57.0,4.0,17.0,10.0,21.0,21.0,17.0,21.0,6.0,60.0,8.0,21.0,5.0,5.0,94.0,47.0,0.0,83.0,12.0,16.0,65.0,8.0,28.0,,31.0,645.0,206.0,21.0,9.0,18.0,2.0,15.0,72.0,4.0704,48.0,0.0,4.0,36.0,6.0,9.0,2.9268,4.0,1.0,5.0,4.0,1.0,1.0,10.0,,2.0,3.0,3.0,7.0,2.0,6.0,,2.0,5.0,29.0,3.0,2.0,4.0,1.0,12.0,,25.0,5.0,3.0,3.0,3.0,,2.0,1.0,,5.0,1.0,1.0,,,5.0,1.0,3.0,,,,2.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
230046,Douglas Luiz,Midfielder,A Villa,7,Brazil,2025-26,8.7525,0.7754,15.0,0.0,210.0,15.0,0.0,1.0,92.0,11.0,167.0,52.0,21.0,8.0,45.0,21.0,18.0,311.0,11.0,65.0,32.0,13.0,653.0,71.0,0.0,606.0,3.0,9.0,128.0,6.0,148.0,15.0,128.0,923.0,852.0,52.0,19.0,43.0,3.0,288.0,559.0,0.3904,16.0,3.0,20.0,40.0,3.0,5.0,0.8338,23.0,,12.0,1.0,0.0,,21.0,,2.0,1.0,1.0,12.0,4.0,19.0,1.0,12.0,1.0,28.0,1.0,2.0,1.0,10.0,7.0,,10.0,1.0,9.0,3.0,13.0,4.0,13.0,29.0,3.0,11.0,,,8.0,,14.0,,33.0,,15.0,,3.0,,11.0,,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
195546,Emiliano Buendía,Midfielder,A Villa,7,Argentina,2025-26,28.1295,2.2865,24.0,0.0,190.0,45.0,4.0,2.0,276.0,25.0,192.0,109.0,36.0,36.0,107.0,36.0,25.0,329.0,23.0,122.0,10.0,9.0,658.0,218.0,0.0,643.0,23.0,15.0,224.0,9.0,120.0,15.0,156.0,1759.0,1051.0,124.0,48.0,103.0,2.0,207.0,512.0,3.4219,73.0,6.0,15.0,152.0,13.0,13.0,4.3844,49.0,5.0,21.0,6.0,2.0,7.0,58.0,,3.0,4.0,4.0,37.0,1.0,28.0,3.0,20.0,6.0,115.0,4.0,3.0,4.0,22.0,20.0,1.0,55.0,6.0,21.0,7.0,27.0,4.0,41.0,24.0,6.0,20.0,2.0,7.0,24.0,,30.0,2.0,4.0,1.0,1.0,,,1.0,,3.0,,,,0.4832,1.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,
98980,Emiliano Martínez,Goalkeeper,A Villa,7,Argentina,2025-26,42.5194,0.1082,39.0,0.0,307.0,17.0,0.0,,29.0,,586.0,272.0,32.0,,7.0,32.0,,133.0,34.0,318.0,,,1211.0,12.0,0.0,967.0,,,326.0,,318.0,,,2835.0,1539.0,28.0,2.0,12.0,159.0,760.0,718.0,,,2.0,311.0,1.0,,,,,1.0,32.0,,,,17.0,7.0,,,,1.0,5.0,1.0,55.0,27.0,,,,,,,,,,,16.0,2.0,,,,175.0,,1.0,,,,,67.0,1.0,,,,,,,,,,,,,,,,1.0,43.0,40.0,105.0,4.0,1.0,1.0,10.0,95.0,5.0,5.0,1.0,185.0,44.0,23.0,54.0,,,,
