playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throughBalls,oboxBlocked,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,rightFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,handballsConceded,expectedGoalsFreekick,successfulLayoffs,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,penaltiesTaken,oboxTarget,penaltyGoals,shotsBlockedOutsideBox,penaltiesConceded,setPiecesGoals,leftFootGoals,secondGoalAssists,foulWonPenalty,clearancesOffTheLine,gkUnsuccessfulDistribution,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,drops,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,goalkeeperSmother,redCards2ndYellow
221239,Keinan Davis,Forward,A Villa,7,England,2019-20,78.0,,0.1453,0.0,2.0,5.0,0.8615,1.0,15.0,36.0,18.0,,4.0,36.0,2.0,136.0,,3.0,0.0,14.0,73.0,,,538.0,46.0,53.0,1.0,7.0,26.0,98.0,30.0,,,3.6599,5.0,,3.0,7.0,2.0,32.0,27.0,11.0,0.0,131.0,4.0,0.0,20.0,15.0,18.0,,6.0,73.0,6.0,,2.0,17.0,2.0,58.0,27.0,0.0,134.0,10.0,6.0,82.0,1.0,14.0,,37.0,12.0,,2.0,52.0,251.0,1.0,4.0,,27.0,3.0,2.7324,0.0,,4.0,,,5.0,5.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123354,Kortney Hause,Defender,A Villa,7,England,2019-20,77.0,,0.2724,0.0,2.0,3.0,1.0251,21.0,18.0,115.0,18.0,,17.0,212.0,,799.0,1.0,1.0,0.0,1.0,135.0,2.0,,1544.0,35.0,138.0,5.0,19.0,38.0,525.0,27.0,2.0,2.0,25.9001,2.0,13.0,94.0,34.0,2.0,42.0,218.0,9.0,0.0,215.0,8.0,1.0,387.0,109.0,18.0,12.0,4.0,170.0,29.0,,,11.0,2.0,80.0,100.0,0.0,785.0,15.0,3.0,243.0,9.0,9.0,19.0,135.0,24.0,20.0,62.0,59.0,1090.0,20.0,,40.0,417.0,5.0,2.5944,3.0,97.0,101.0,1.0,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88175,Lovre Kalinic,Goalkeeper,A Villa,7,Croatia,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184704,Marvelous Nakamba,Midfielder,A Villa,7,Zimbabwe,2019-20,109.0,,0.4948,0.0,,1.0,0.2288,55.0,7.0,91.0,29.0,,19.0,124.0,4.0,783.0,,,0.0,10.0,52.0,,,1835.0,29.0,115.0,4.0,49.0,92.0,635.0,2.0,1.0,2.0,28.4355,12.0,2.0,32.0,37.0,,80.0,205.0,24.0,0.0,224.0,39.0,0.0,216.0,155.0,29.0,27.0,5.0,300.0,33.0,,4.0,15.0,,172.0,23.0,0.0,764.0,6.0,,173.0,28.0,14.0,11.0,261.0,26.0,39.0,24.0,101.0,1108.0,4.0,9.0,23.0,359.0,19.0,0.1737,5.0,33.0,51.0,,,,,,,,,,,2.0,,4.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
169359,Matt Targett,Defender,A Villa,7,England,2019-20,121.0,15.0,2.9031,0.0,1.0,4.0,0.222,52.0,6.0,165.0,28.0,2.0,27.0,260.0,45.0,949.0,1.0,,0.0,1.0,75.0,4.0,23.0,2295.0,38.0,113.0,4.0,45.0,76.0,640.0,26.0,23.0,1.0,31.9119,27.0,5.0,67.0,40.0,1.0,83.0,300.0,17.0,1.0,234.0,20.0,1.0,445.0,122.0,28.0,23.0,13.0,429.0,36.0,,58.0,27.0,1.0,159.0,37.0,0.0,930.0,2.0,17.0,391.0,29.0,8.0,8.0,55.0,27.0,56.0,49.0,149.0,1570.0,172.0,5.0,39.0,283.0,17.0,0.4215,4.0,95.0,80.0,3.0,,3.0,3.0,2.0,,1.0,1.0,7.0,,1.0,0.1102,2.0,10.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
217487,Mbwana Samatta,Forward,A Villa,7,Tanzania,2019-20,105.0,1.0,0.1764,0.0,5.0,3.0,0.4851,6.0,12.0,54.0,14.0,,11.0,55.0,2.0,172.0,1.0,8.0,1.0,3.0,114.0,,1.0,946.0,72.0,73.0,4.0,13.0,31.0,112.0,34.0,,2.0,11.9481,10.0,,6.0,18.0,5.0,33.0,53.0,18.0,0.0,178.0,7.0,0.0,40.0,24.0,14.0,2.0,6.0,104.0,14.0,1.0,2.0,18.0,5.0,64.0,42.0,0.0,171.0,9.0,5.0,101.0,4.0,9.0,,31.0,9.0,1.0,5.0,48.0,306.0,1.0,6.0,,14.0,5.0,2.2975,1.0,1.0,9.0,,,2.0,2.0,,,,,,,1.0,,7.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47390,Neil Taylor,Defender,A Villa,7,Wales,2019-20,34.0,1.0,0.2018,0.0,1.0,,,16.0,2.0,62.0,14.0,,11.0,89.0,8.0,419.0,,,0.0,3.0,24.0,2.0,1.0,1089.0,15.0,33.0,7.0,23.0,24.0,315.0,5.0,13.0,3.0,18.0437,5.0,10.0,27.0,25.0,1.0,19.0,136.0,6.0,0.0,67.0,10.0,0.0,193.0,56.0,14.0,5.0,,181.0,18.0,,8.0,2.0,1.0,43.0,9.0,0.0,414.0,2.0,2.0,120.0,11.0,2.0,5.0,23.0,8.0,20.0,15.0,67.0,650.0,79.0,1.0,17.0,150.0,5.0,0.1722,2.0,27.0,35.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8432,Pepe Reina,Goalkeeper,A Villa,7,Spain,2019-20,3.0,,0.0149,0.0,,,,,,3.0,12.0,,12.0,114.0,,345.0,,,0.0,,7.0,2.0,,1080.0,,9.0,5.0,,2.0,130.0,,,2.0,15.0151,1.0,28.0,12.0,20.0,,3.0,46.0,4.0,0.0,12.0,,0.0,237.0,89.0,12.0,,,59.0,15.0,,,,,5.0,7.0,0.0,181.0,,,119.0,,,,62.0,1.0,,101.0,,458.0,,,44.0,172.0,,,1.0,111.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,5.0,9.0,2.0,3.0,1.0,3.0,33.0,3.0,115.0,8.0,24.0,,,
21205,Tom Heaton,Goalkeeper,A Villa,7,England,2019-20,2.0,,0.0259,0.0,,,,3.0,,5.0,20.0,,20.0,253.0,,527.0,,,0.0,,7.0,4.0,,1795.0,,11.0,4.0,,4.0,155.0,,,3.0,28.8174,,55.0,12.0,35.0,,2.0,61.0,2.0,0.0,13.0,,0.0,398.0,155.0,20.0,1.0,,99.0,31.0,,,,,6.0,7.0,0.0,241.0,,1.0,259.0,2.0,,,68.0,1.0,,119.0,,733.0,,1.0,134.0,175.0,1.0,,0.0,248.0,30.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,96.0,,10.0,22.0,7.0,3.0,,6.0,68.0,1.0,198.0,15.0,46.0,1.0,2.0,
148508,Trézéguet,Midfielder,A Villa,7,Egypt,2019-20,166.0,7.0,1.2169,1.0,22.0,17.0,4.1946,38.0,28.0,77.0,34.0,1.0,20.0,91.0,51.0,364.0,6.0,6.0,2.0,14.0,73.0,1.0,11.0,1950.0,44.0,128.0,6.0,38.0,99.0,264.0,79.0,1.0,3.0,25.6927,20.0,1.0,14.0,28.0,15.0,122.0,72.0,32.0,2.0,294.0,21.0,4.0,96.0,79.0,34.0,22.0,34.0,217.0,22.0,,56.0,54.0,15.0,221.0,29.0,0.0,358.0,11.0,18.0,291.0,16.0,30.0,2.0,96.0,35.0,25.0,9.0,100.0,847.0,7.0,14.0,6.0,67.0,17.0,4.7413,2.0,14.0,19.0,,7.0,7.0,7.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,0.2242,6.0,11.0,4.0,1.0,,4.0,,7.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0
149484,Tyrone Mings,Defender,A Villa,7,England,2019-20,70.0,1.0,0.4225,0.0,,4.0,0.7674,15.0,9.0,109.0,33.0,2.0,33.0,304.0,6.0,1385.0,2.0,2.0,1.0,,113.0,6.0,1.0,2903.0,46.0,105.0,11.0,21.0,38.0,964.0,24.0,,4.0,40.8367,5.0,27.0,189.0,53.0,,24.0,388.0,11.0,1.0,175.0,8.0,1.0,577.0,202.0,33.0,4.0,,287.0,42.0,,6.0,5.0,,62.0,67.0,0.0,1336.0,5.0,5.0,329.0,11.0,12.0,48.0,312.0,20.0,30.0,117.0,108.0,1798.0,5.0,1.0,84.0,795.0,4.0,0.8659,7.0,195.0,88.0,,,2.0,2.0,,,,,,,2.0,,,,,,,,,,1.0,,2.0,,,3.0,,,,,,,,,,,,,,,,
213345,Wesley,Forward,A Villa,7,Brazil,2019-20,164.0,,0.69,0.0,8.0,18.0,6.6593,15.0,28.0,100.0,21.0,1.0,21.0,104.0,7.0,367.0,5.0,14.0,4.0,,162.0,4.0,,1790.0,93.0,109.0,4.0,19.0,40.0,251.0,86.0,1.0,3.0,27.1417,10.0,,23.0,31.0,8.0,71.0,123.0,14.0,2.0,273.0,8.0,1.0,75.0,26.0,21.0,7.0,12.0,210.0,27.0,,7.0,30.0,8.0,111.0,69.0,0.0,366.0,10.0,9.0,202.0,8.0,11.0,2.0,77.0,43.0,4.0,12.0,92.0,620.0,2.0,8.0,1.0,53.0,10.0,6.9751,3.0,4.0,11.0,,,10.0,10.0,,5.0,,,,1.0,2.0,,23.0,,3.0,7.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
98770,Ørjan Nyland,Goalkeeper,A Villa,7,Norway,2019-20,,,0.0132,0.0,,,,,,1.0,7.0,,5.0,72.0,,152.0,,,0.0,2.0,,1.0,,537.0,,,2.0,,,45.0,,,,8.5385,,10.0,2.0,12.0,,,20.0,,0.0,,,0.0,122.0,40.0,7.0,,,26.0,10.0,,,,,,,0.0,75.0,,1.0,78.0,,,,10.0,,,35.0,,204.0,,,33.0,54.0,,,0.0,71.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,3.0,8.0,2.0,,,1.0,15.0,1.0,47.0,2.0,7.0,,,
