playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,iboxTarget,shotsOnTargetInBox,leftFootGoals,goalAssists,successfulLayoffs,setPiecesGoals,freekickTotal,attemptsFromSetPieces,hitWoodwork,secondGoalAssists,expectedGoalsFreekick,unsuccessfulLayoffs,headedGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,ownGoalScored,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,penaltiesTaken,penaltyGoals
18892,Ashley Young,Defender,A Villa,7,England,2022-23,64.0,7.0,0.7861,25.0,0.0,7.0,3.0,1.0,0.3472,50.0,8.0,2.0,126.0,29.0,19.0,23.0,217.0,29.0,966.0,1.0,1.0,1.0,6.0,6.0,6.0,25.0,8.0,2.0,8.0,2038.0,11.0,99.0,2.0,1.0,42.0,85.0,694.0,1.0,10.0,32.0,4.0,29.6428,14.0,10.0,60.0,28.0,1.0,53.0,95.0,28.0,0.0,163.0,14.0,0.0,459.0,131.0,29.0,2.0,1.0,23.0,10.0,351.0,26.0,34.0,15.0,1.0,138.0,14.0,0.0,909.0,5.0,9.0,325.0,27.0,8.0,11.0,243.0,24.0,21.0,4.0,1.0,55.0,169.0,1465.0,140.0,8.0,6.0,33.0,406.0,15.0,2.0,0.4677,7.0,91.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110504,Bertrand Traoré,Forward,A Villa,7,Burkina Faso,2022-23,19.0,3.0,0.123,4.0,0.0,5.0,3.0,1.0,1.0449,1.0,4.0,,11.0,8.0,,1.0,13.0,1.0,68.0,2.0,3.0,1.0,1.0,7.0,1.0,6.0,,,3.0,226.0,4.0,12.0,,,10.0,10.0,54.0,,13.0,,,0.7334,1.0,,,1.0,4.0,15.0,2.0,8.0,2.0,31.0,5.0,1.0,15.0,8.0,8.0,,,,3.0,44.0,1.0,2.0,10.0,4.0,25.0,2.0,0.0,68.0,1.0,1.0,35.0,1.0,1.0,,29.0,2.0,2.0,1.0,,1.0,22.0,129.0,1.0,1.0,1.0,1.0,14.0,2.0,,0.7129,1.0,2.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226944,Boubacar Kamara,Midfielder,A Villa,7,France,2022-23,106.0,,0.7472,51.0,0.0,,1.0,3.0,0.0445,58.0,4.0,2.0,110.0,24.0,28.0,21.0,142.0,1.0,940.0,,,,,3.0,,39.0,3.0,,,1778.0,17.0,131.0,2.0,,46.0,109.0,750.0,,13.0,,2.0,26.7663,6.0,,23.0,30.0,,89.0,278.0,31.0,0.0,237.0,26.0,,269.0,126.0,24.0,,,33.0,12.0,326.0,28.0,1.0,26.0,,198.0,22.0,0.0,906.0,3.0,,192.0,25.0,20.0,12.0,247.0,34.0,19.0,,,48.0,146.0,1216.0,,7.0,,12.0,472.0,26.0,1.0,0.1859,4.0,32.0,52.0,1.0,1.0,,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101184,Calum Chambers,Defender,A Villa,7,England,2022-23,16.0,1.0,0.2034,15.0,0.0,1.0,,,,9.0,1.0,,25.0,14.0,8.0,2.0,39.0,3.0,191.0,,,,,12.0,,9.0,,,1.0,345.0,6.0,14.0,1.0,,2.0,11.0,143.0,,2.0,5.0,1.0,3.6771,2.0,1.0,10.0,4.0,1.0,10.0,41.0,2.0,0.0,30.0,1.0,,96.0,23.0,14.0,,,3.0,,55.0,3.0,3.0,1.0,1.0,21.0,3.0,0.0,187.0,1.0,,53.0,6.0,,4.0,45.0,7.0,7.0,,,9.0,9.0,247.0,4.0,,,7.0,98.0,3.0,,0.1208,2.0,14.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433979,Cameron Archer,Forward,A Villa,7,England,2022-23,6.0,,0.0104,,0.0,,,,,,,,3.0,6.0,,,3.0,1.0,11.0,,1.0,,,6.0,,,,,,44.0,,2.0,,,1.0,2.0,8.0,,3.0,,,,,,,1.0,,6.0,3.0,1.0,0.0,8.0,,,1.0,2.0,6.0,,,,,7.0,1.0,1.0,3.0,,8.0,,0.0,10.0,,,9.0,,1.0,,4.0,2.0,,,,,3.0,20.0,,,,,1.0,1.0,,,0.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165659,Diego Carlos,Defender,A Villa,7,Brazil,2022-23,6.0,,0.1024,3.0,0.0,1.0,,,,1.0,3.0,,20.0,3.0,2.0,2.0,28.0,1.0,139.0,,,,,1.0,,9.0,,,,204.0,3.0,7.0,,,1.0,1.0,104.0,,4.0,,,1.4219,1.0,,2.0,3.0,1.0,3.0,34.0,,0.0,13.0,,,57.0,14.0,3.0,,,1.0,,53.0,3.0,1.0,,1.0,4.0,6.0,0.0,135.0,3.0,1.0,32.0,,,2.0,46.0,2.0,1.0,,,7.0,2.0,156.0,1.0,1.0,,5.0,58.0,,,0.3633,0.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230046,Douglas Luiz,Midfielder,A Villa,7,Brazil,2022-23,148.0,4.0,2.9347,71.0,1.0,12.0,12.0,1.0,3.4107,72.0,22.0,6.0,171.0,37.0,34.0,33.0,230.0,16.0,1697.0,6.0,2.0,3.0,9.0,4.0,90.0,48.0,8.0,5.0,21.0,2933.0,23.0,167.0,3.0,,45.0,142.0,1386.0,15.0,20.0,,4.0,33.1338,39.0,1.0,21.0,33.0,3.0,125.0,581.0,42.0,2.0,315.0,29.0,3.0,415.0,197.0,37.0,5.0,6.0,30.0,14.0,706.0,30.0,85.0,47.0,3.0,267.0,25.0,1.0,1573.0,10.0,17.0,402.0,42.0,28.0,7.0,396.0,48.0,40.0,53.0,,81.0,305.0,2246.0,6.0,9.0,9.0,15.0,782.0,25.0,2.0,2.774,6.0,59.0,73.0,1.0,1.0,,6.0,16.0,1.0,7.0,7.0,2.0,1.0,0.3075,,,,,,,,,,,,,,,,,,,,,,
195546,Emiliano Buendía,Midfielder,A Villa,7,Argentina,2022-23,238.0,1.0,4.1893,76.0,0.0,19.0,12.0,4.0,4.1635,51.0,30.0,11.0,192.0,38.0,38.0,27.0,212.0,14.0,992.0,5.0,1.0,2.0,5.0,11.0,5.0,77.0,3.0,3.0,1.0,2421.0,54.0,146.0,2.0,,56.0,123.0,734.0,,101.0,1.0,4.0,33.4248,39.0,1.0,13.0,34.0,14.0,184.0,233.0,44.0,3.0,384.0,18.0,3.0,282.0,138.0,38.0,3.0,2.0,28.0,26.0,487.0,32.0,17.0,84.0,14.0,307.0,23.0,0.0,939.0,18.0,9.0,384.0,23.0,28.0,2.0,223.0,43.0,20.0,3.0,,46.0,254.0,1463.0,6.0,19.0,5.0,7.0,294.0,29.0,3.0,6.2842,0.0,20.0,52.0,4.0,4.0,1.0,2.0,29.0,,2.0,2.0,4.0,1.0,0.133,5.0,2.0,,,,,,,,,,,,,,,,,,,,
98980,Emiliano Martínez,Goalkeeper,A Villa,7,Argentina,2022-23,3.0,,0.2562,1.0,0.0,,,,,,,1.0,10.0,36.0,1.0,36.0,355.0,,1248.0,,,,,,,13.0,11.0,,,3140.0,,19.0,3.0,1.0,1.0,6.0,654.0,,,,4.0,37.0705,2.0,30.0,29.0,38.0,,3.0,285.0,6.0,0.0,22.0,,,635.0,332.0,36.0,,,,,138.0,35.0,,,,9.0,13.0,0.0,800.0,,,364.0,,,,328.0,1.0,1.0,,,239.0,,1597.0,,2.0,,79.0,755.0,1.0,,,7.0,345.0,71.0,,,,,,,,,,,,,,1.0,55.0,33.0,212.0,4.0,5.0,1.0,6.0,1.0,98.0,2.0,5.0,1.0,276.0,71.0,29.0,65.0,,,
199798,Ezri Konsa,Defender,A Villa,7,England,2022-23,65.0,2.0,0.7201,35.0,0.0,2.0,,,,42.0,6.0,1.0,117.0,38.0,21.0,37.0,208.0,2.0,1872.0,,,,,1.0,,95.0,11.0,,2.0,3323.0,38.0,167.0,4.0,,32.0,110.0,1607.0,,22.0,3.0,5.0,42.5003,8.0,12.0,114.0,45.0,2.0,27.0,372.0,64.0,0.0,232.0,18.0,,637.0,164.0,38.0,,,22.0,3.0,373.0,41.0,2.0,8.0,2.0,137.0,57.0,0.0,1802.0,6.0,2.0,240.0,20.0,6.0,23.0,723.0,12.0,26.0,,1.0,57.0,140.0,2265.0,15.0,1.0,,40.0,1293.0,4.0,,1.041,6.0,91.0,93.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,10.0,,,,,,
