playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,goals,awayGoals,homeGoals,rightFootGoals,attemptsFromSetPieces,handballsConceded,cornersTakenInclShortCorners,successfulCornersIntoBox,penaltiesTaken,leftFootGoals,unsuccessfulCornersIntoBox,penaltyGoals,punches,catches,savesMade,savesMadeFromOutsideBox,crossesNotClaimed,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded,lastPlayerTackle,clearancesOffTheLine,hitWoodwork,foulWonPenalty,headedGoals,secondGoalAssists,ownGoalScored,drops
10738,Darren Bent,Forward,A Villa,7,England,2011-12,124.0,,0.0,4.0,1.0,8.0,39.0,2.0,109.0,22.0,1.0,41.0,21.0,118.0,6.0,407.0,39.0,1.0,115.0,3.0,,1862.0,7.0,75.0,66.0,2.0,26.0,285.0,92.0,,1.0,20.0,,32.0,28.0,49.0,116.0,13.0,2.0,190.0,95.0,30.0,22.0,3.0,9.0,234.0,26.0,,6.0,28.0,75.0,40.0,0.0,406.0,13.0,11.0,182.0,5.0,5.0,1.0,86.0,15.0,5.0,4.0,110.0,592.0,1.0,4.0,1.0,55.0,1.0,9.0,7.0,26.0,9.0,2.0,7.0,8.0,1.0,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,
110403,Derrick Williams,Defender,A Villa,7,Ireland,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Emile Heskey,Forward,A Villa,7,England,2011-12,116.0,1.0,0.0,5.0,3.0,24.0,24.0,6.0,200.0,28.0,,37.0,18.0,211.0,3.0,566.0,8.0,10.0,152.0,3.0,1.0,1458.0,5.0,64.0,136.0,1.0,48.0,346.0,62.0,,1.0,9.0,1.0,19.0,23.0,52.0,137.0,22.0,2.0,252.0,217.0,62.0,28.0,7.0,5.0,255.0,22.0,,3.0,25.0,100.0,88.0,0.0,566.0,15.0,9.0,276.0,17.0,2.0,4.0,102.0,26.0,15.0,9.0,110.0,774.0,,12.0,7.0,101.0,3.0,11.0,32.0,9.0,1.0,0.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
63426,Enda Stevens,Defender,A Villa,7,Ireland,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45139,Eric Lichaj,Defender,A Villa,7,United States,2011-12,51.0,1.0,0.0,,2.0,24.0,2.0,,48.0,10.0,1.0,2.0,9.0,68.0,2.0,272.0,,1.0,10.0,2.0,1.0,822.0,,7.0,36.0,1.0,33.0,195.0,3.0,35.0,3.0,4.0,3.0,42.0,16.0,44.0,77.0,5.0,0.0,87.0,128.0,44.0,10.0,4.0,10.0,128.0,15.0,,2.0,19.0,77.0,3.0,0.0,267.0,,3.0,134.0,20.0,4.0,4.0,44.0,13.0,18.0,9.0,23.0,518.0,61.0,,22.0,77.0,3.0,20.0,21.0,2.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41823,Fabian Delph,Midfielder,A Villa,7,England,2011-12,47.0,1.0,0.0,4.0,1.0,23.0,3.0,,55.0,11.0,,5.0,10.0,72.0,6.0,384.0,,1.0,17.0,2.0,4.0,855.0,,11.0,59.0,1.0,53.0,299.0,2.0,,1.0,8.0,6.0,9.0,11.0,36.0,95.0,18.0,0.0,106.0,132.0,50.0,11.0,5.0,9.0,185.0,10.0,,7.0,19.0,89.0,6.0,0.0,384.0,3.0,2.0,113.0,18.0,12.0,2.0,82.0,6.0,15.0,13.0,75.0,529.0,1.0,5.0,12.0,131.0,3.0,17.0,11.0,,,,,,,,4.0,3.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,
27450,Gabriel Agbonlahor,Forward,A Villa,7,England,2011-12,205.0,18.0,0.0,21.0,10.0,32.0,38.0,5.0,179.0,33.0,5.0,29.0,32.0,195.0,63.0,715.0,16.0,1.0,109.0,7.0,18.0,2763.0,8.0,70.0,146.0,3.0,107.0,500.0,102.0,,4.0,26.0,1.0,16.0,42.0,135.0,240.0,43.0,2.0,351.0,164.0,108.0,33.0,4.0,42.0,417.0,39.0,,63.0,85.0,242.0,39.0,0.0,715.0,20.0,33.0,414.0,28.0,32.0,1.0,101.0,47.0,12.0,20.0,210.0,1189.0,1.0,4.0,10.0,121.0,6.0,16.0,40.0,18.0,5.0,1.0,4.0,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,,
77800,Gary Gardner,Midfielder,A Villa,7,England,2011-12,40.0,2.0,0.0,4.0,1.0,11.0,12.0,,58.0,14.0,,1.0,5.0,75.0,5.0,257.0,,9.0,14.0,,2.0,605.0,,7.0,25.0,1.0,18.0,155.0,7.0,,1.0,1.0,1.0,10.0,15.0,33.0,72.0,5.0,0.0,65.0,92.0,27.0,14.0,1.0,7.0,102.0,14.0,,6.0,12.0,51.0,7.0,0.0,255.0,8.0,2.0,100.0,10.0,2.0,7.0,62.0,12.0,12.0,27.0,31.0,365.0,3.0,2.0,7.0,82.0,1.0,17.0,13.0,4.0,,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
106602,Graham Burke,Forward,A Villa,7,Ireland,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114283,Jack Grealish,Midfielder,A Villa,7,England,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
